Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tablet Accessories,200001085,Baseus Luxury Case for iPad Pro 12.9 11 2020 Coque Back Stand with Auto Sleep Wake Up PU Leather Smart Cover for iPad Pro Fundas,4000945384518,https://ae01.alicdn.com/kf/H242d8f6622fd4751937a807b400ade820/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H242d8f6622fd4751937a807b400ade820/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg,https://ae01.alicdn.com/kf/H1de7c35fb0084555af1b346fc698b398o/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg,https://ae01.alicdn.com/kf/H0fe29babfaa447bc980e9cd6d81a201bE/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg,https://ae01.alicdn.com/kf/H70e78dcc10bb4fec961c61d873a7b86aN/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg,https://ae01.alicdn.com/kf/Heb38b97962844a8b9d13bf94837390a1h/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep.jpg,",https://www.aliexpress.com/item/Baseus-Luxury-Case-for-iPad-Pro-12-9-11-2020-Coque-Back-Stand-with-Auto-Sleep/4000945384518.html,30.75,19.99,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AlkO3d
Tablet Accessories,200001085,ESR 1PC Tempered Glass for 2020 iPad Air 4/iPad 8th/iPad Pro 11 12.9 Anti Blue-ray HD Screen Protector for iPad Pro 2020 Glass,4001118279418,https://ae01.alicdn.com/kf/Hce5857fc2e224a839ec274049cdc6ed1E/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hce5857fc2e224a839ec274049cdc6ed1E/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/H02c59293bcb44cb2a2accb5f01404764M/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/H61a00cfdfd5d426fbc390ebfc4ad855cO/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/Hd0e5e4c7a7aa43c3a88595bf2275cf554/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/Hee6fa7d2fd3c4cae81ff89d74ee3d989n/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,",https://www.aliexpress.com/item/ESR-1PC-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9/4001118279418.html,14.27,9.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AYoGTz
Tablet Accessories,200001085,ESR Magnetic Stylus Pen For iPad Air 4 2020/iPad Pro 2020/2018 2019 Air 3 10.2/11/12.9 Active Stylus Pencil for iPad Air 4,1005001867338803,https://ae01.alicdn.com/kf/H727a42fd09154fca80fa8650ae7402a7b/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H727a42fd09154fca80fa8650ae7402a7b/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg,https://ae01.alicdn.com/kf/H8256d1a5afa64ae9acf6fe6d2b363b1af/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg,https://ae01.alicdn.com/kf/H35b88f87418f42f291cc4523f51e78d2f/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg,https://ae01.alicdn.com/kf/H6811a9e7ede544e98c67399aaab94edde/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg,https://ae01.alicdn.com/kf/Hfc054fdfa8fa496d9a2d47cb5cc835a0d/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3.jpg,",https://www.aliexpress.com/item/ESR-Magnetic-Stylus-Pen-For-iPad-Air-4-2020-iPad-Pro-2020-2018-2019-Air-3/1005001867338803.html,47.13,32.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AdAwp1
Tablet Accessories,200001085,Baseus Foldable Case For iPad 10.2 Inch 2019 Coque Smart Auto Sleep Wake Up PU Leather Back Bag Cover For iPad 7 2019 Funda Capa,4000506739489,https://ae01.alicdn.com/kf/Hd5da75a8c219405ab360961a86648c5cB/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hd5da75a8c219405ab360961a86648c5cB/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg,https://ae01.alicdn.com/kf/H706b306b02ec481694dc27fd76ec075fx/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg,https://ae01.alicdn.com/kf/H0100cefbf21f48e7b8192d6ae1fb1105s/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg,https://ae01.alicdn.com/kf/Ha734682a1e734a41b4e64f7274aaea40i/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg,https://ae01.alicdn.com/kf/Hea085cde522c467f9f9bff2bc64ce5967/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU.jpg,",https://www.aliexpress.com/item/Baseus-Foldable-Case-For-iPad-10-2-Inch-2019-Coque-Smart-Auto-Sleep-Wake-Up-PU/4000506739489.html,28.91,18.79,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_A0j2SL
Tablet Accessories,200001085,Baseus Capacitive Stylus Pen For iPad Pro 11 12.9 2020 9.7 2018 Air Mini 3 10.2 Active Screen Touch Pen For Apple iPad Pencil 2,4001091309409,https://ae01.alicdn.com/kf/Hd66ec9f9ac244568b0d24fb5d1e440f54/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hd66ec9f9ac244568b0d24fb5d1e440f54/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg,https://ae01.alicdn.com/kf/Hb7b79858047549db9bb63de1b85a0f9eX/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg,https://ae01.alicdn.com/kf/Ha41785dcf9064750864d7fe80e6b3bf6W/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg,https://ae01.alicdn.com/kf/H7fbd89bb6fc44ebba46b8b53b409c82bd/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg,https://ae01.alicdn.com/kf/H1f663ade5cd340f6be2ba00f08c93177N/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini.jpg,",https://www.aliexpress.com/item/Baseus-Capacitive-Stylus-Pen-For-iPad-Pro-11-12-9-2020-9-7-2018-Air-Mini/4001091309409.html,59.98,35.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9gCCaF
Tablet Accessories,200001085,Baseus Universal Car Tablet Holder Back Seat for Xiaomi Samsung iPad Tablet Car Mount Stand Mobile Phone Tablet Support for Car,1005001315663223,https://ae01.alicdn.com/kf/H58522c2d900f45c7bcfe9c0fa6891d06H/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H58522c2d900f45c7bcfe9c0fa6891d06H/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg,https://ae01.alicdn.com/kf/Hde107c32fd70448788a5c31ea073501cx/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg,https://ae01.alicdn.com/kf/H4a641a60268343a98f8b65e5c397395ac/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg,https://ae01.alicdn.com/kf/H4fed4372d19a4761acb6b002ee9d028bN/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg,https://ae01.alicdn.com/kf/He7a613cf100c40d486cce06abf8d68e2p/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile.jpg,",https://www.aliexpress.com/item/Baseus-Universal-Car-Tablet-Holder-Back-Seat-for-Xiaomi-Samsung-iPad-Tablet-Car-Mount-Stand-Mobile/1005001315663223.html,19.98,12.99,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_ApwkP5
Tablet Accessories,200001085,Baseus GAN 65W Laptop Power Adapter Charger For Macbook Pro Quick Charge QC 4.0 PD 3.0 Type C Fast USB Charger For iPhone Tablet,4001359304589,https://ae01.alicdn.com/kf/H1745a49027e54309ab44e9ecf9854d58f/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H1745a49027e54309ab44e9ecf9854d58f/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg,https://ae01.alicdn.com/kf/H6712c3c2fac84a9da7e201a30a45925b1/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg,https://ae01.alicdn.com/kf/H7264a9447c7743169e7a8979570c1bacw/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg,https://ae01.alicdn.com/kf/Hf5c39db0ffae465086760587ab51a5d9l/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg,https://ae01.alicdn.com/kf/H9788bcf8f6334305b6dc7718659c5e56a/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD.jpg,",https://www.aliexpress.com/item/Baseus-GAN-65W-Laptop-Power-Adapter-Charger-For-Macbook-Pro-Quick-Charge-QC-4-0-PD/4001359304589.html,58.32,34.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A8QSgn
Tablet Accessories,200001085,ESR PU Leather Case for iPad 9.7 2017 Smart Cover Case Auto Wake Case for Apple iPad 2018 9.7 inch Smart Cover For Ipad 9.7 inch,4001118531624,https://ae01.alicdn.com/kf/Heec0917a305e4a4382e4403d76ea8b43J/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Heec0917a305e4a4382e4403d76ea8b43J/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg,https://ae01.alicdn.com/kf/Hbf939ec83370415caf2eb0dca3dd4267B/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg,https://ae01.alicdn.com/kf/H678776feb1104ff489fd276b97482b3cE/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg,https://ae01.alicdn.com/kf/H498bd038a61c493386109339c58aad0b1/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg,https://ae01.alicdn.com/kf/H08adf91dacad401d8df9b5e01ae920f25/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for.jpg,",https://www.aliexpress.com/item/ESR-PU-Leather-Case-for-iPad-9-7-2017-Smart-Cover-Case-Auto-Wake-Case-for/4001118531624.html,14.27,9.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9y3snz
Tablet Accessories,200001085,Baseus Backseat Mount Car Holder For iPhone 7 iPad Samsung S8 Tablet 360 Degree Back Seat Mobile Phone Holder Stand,32824901950,https://ae01.alicdn.com/kf/Hffd5d5f0ff6a4f0d9ab626c38092ea12z/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hffd5d5f0ff6a4f0d9ab626c38092ea12z/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg,https://ae01.alicdn.com/kf/HTB14crOSFXXXXb2XFXXq6xXFXXXe/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg,https://ae01.alicdn.com/kf/HTB1gFfQSFXXXXbpXFXXq6xXFXXXd/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg,https://ae01.alicdn.com/kf/HTB1enEbSFXXXXaUXXXXq6xXFXXXX/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg,https://ae01.alicdn.com/kf/HTB1Y86mSFXXXXaOapXXq6xXFXXXY/Baseus-Back-seat-Mount-Tablet-Car-Holder-For-iPad-Air-Mini-Pro-2018-2020-11-12.jpg,",https://www.aliexpress.com/item/Baseus-Backseat-Mount-Car-Holder-For-iPhone-7-iPad-Samsung-S8-Tablet-360-Degree-Back-Seat/32824901950.html,18.45,12.91,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AFGTsL
Tablet Accessories,200001085,2PCS ESR Tempered Glass for 2020 iPad Air 4/iPad 8th/iPad Pro 11 12.9 inch 2020 Screen Protector HD Ultra Clear Film Cover Glass,4001118271762,https://ae01.alicdn.com/kf/H08f45c917d304b9b8f663fa80623d00eB/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H08f45c917d304b9b8f663fa80623d00eB/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/Hbbf64188762f4b5f95a5c31dd10140a6b/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/Hb4fe4aa37f7c4a9990472b978664a2e6K/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/H95a8ede540d44b778e684cbb5f6946b6q/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,https://ae01.alicdn.com/kf/Ha6a72da7c2e94ef2a107f1a51c75a675Y/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9.jpg,",https://www.aliexpress.com/item/2PCS-ESR-Tempered-Glass-for-2020-iPad-Air-4-iPad-8th-iPad-Pro-11-12-9/4001118271762.html,18.56,12.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A960mT
