Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
External Storage,200001074,High Quality USB Flash Drive Metal Pen Drive 8GB 16GB 32GB 64GB 128GB 256GB Pendrives 3.0 Memory USB Stick 512GB Flash Drives,1005002489668655,https://ae01.alicdn.com/kf/Hf3207f4d950244a08ee18c86f2683d101/High-Quality-USB-Flash-Drive-Metal-Pen-Drive-8GB-16GB-32GB-64GB-128GB-256GB-Pendrives-3.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf3207f4d950244a08ee18c86f2683d101.jpg,https://ae04.alicdn.com/kf/H9d426cf60ff8440aa02dbd61294e7e4cP.jpg,https://ae04.alicdn.com/kf/Hdb691d96aa8344428ac1f0b5e742467dx.jpg,https://ae04.alicdn.com/kf/H12fb49a0044b4fe38c3065fb1253fc4fR.jpg,https://ae04.alicdn.com/kf/Hf6177b695f884b16b69ccbdfb30e2081l.jpg,",https://www.aliexpress.com/item/1005002489668655.html,7.00,3.50,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9JZvG6
External Storage,200001074,Ugreen 10Gbps M2 SSD Case NVMe NGFF Case For PCIE SATA to SSD Case for External Hard Drive Enclosure M-Key & B-Key SSD 2280 2260,1005002282219789,https://ae01.alicdn.com/kf/H2807d0091e304556b56996b1b2a36f65c/Ugreen-10Gbps-M2-SSD-Case-NVMe-NGFF-Case-For-PCIE-SATA-to-SSD-Case-for-External.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2807d0091e304556b56996b1b2a36f65c.jpg,https://ae04.alicdn.com/kf/H38d912e0e7b34c41bb05856a700fc54dk.jpg,https://ae04.alicdn.com/kf/H1b0f467521f54395bc8468c93b1d349dU.jpg,https://ae04.alicdn.com/kf/H9ea853ed67e841319cb9aabed7b84859l.jpg,https://ae04.alicdn.com/kf/H6730e67836ac4f1094864d9d8b3a5afcr.jpg,",https://www.aliexpress.com/item/1005002282219789.html,34.52,18.99,8.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_A4A2BU
External Storage,200001074,WANSENDA Metal USB Flash Drive Waterproof Pen Drive 64GB 32GB 16GB 8GB 4GB Pendrive USB Stick 2.0 with Portable Keychain,32819343151,https://ae01.alicdn.com/kf/H6670290fb62c4be4856649c722f2cfb0t/WANSENDA-Metal-USB-Flash-Drive-Waterproof-Pen-Drive-64GB-32GB-16GB-8GB-4GB-Pendrive-USB-Stick.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6670290fb62c4be4856649c722f2cfb0t.jpg,https://ae04.alicdn.com/kf/Ha23a642de3574c3abedc3de18aeb6276c.jpg,https://ae04.alicdn.com/kf/Ha0fddf86a4dd45f7a5397c41d632da20B.jpg,https://ae04.alicdn.com/kf/Hdf084c4d2a84448293367ff58a576014b.jpg,https://ae04.alicdn.com/kf/Habcac39dd50d421cbf24ea62ddd165daw.jpg,",https://www.aliexpress.com/item/32819343151.html,3.53,2.51,10.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_9QL0tu
External Storage,200001074,100% full capacity Wansenda 64GB USB Flash Drive Super tiny Waterproof Pen Drive 8GB 16GB 32GB Usb Flash Pendrive USB Stick,4000879750752,https://ae01.alicdn.com/kf/HTB1Wz1rbtfvK1RjSszhq6AcGFXaW/100-full-capacity-Wansenda-64GB-USB-Flash-Drive-Super-tiny-Waterproof-Pen-Drive-8GB-16GB-32GB.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1Wz1rbtfvK1RjSszhq6AcGFXaW.jpg,https://ae04.alicdn.com/kf/HTB1VyEBFSBYBeNjy0Feq6znmFXag.jpg,https://ae04.alicdn.com/kf/HTB104ytqb9YBuNjy0Fgq6AxcXXam.jpg,https://ae04.alicdn.com/kf/HTB1nuXTqbuWBuNjSszgq6z8jVXaL.jpg,https://ae04.alicdn.com/kf/HTB1BSGHqhWYBuNjy1zkq6xGGpXal.jpg,",https://www.aliexpress.com/item/4000879750752.html,4.23,0.01,10.00%,2098-12-31,99%,https://s.click.aliexpress.com/e/_ALPI6i
External Storage,200001074,WANSENDA USB Flash Drive Waterproof Pen Drive 4GB 8GB 16GB 32GB 64GB Super Tiny USB 2.0 Memory Stick Pendrive Thumbdrive,33015464431,https://ae01.alicdn.com/kf/HTB16TcYVHrpK1RjSZTEq6AWAVXam/WANSENDA-USB-Flash-Drive-Waterproof-Pen-Drive-4GB-8GB-16GB-32GB-64GB-Super-Tiny-USB-2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB16TcYVHrpK1RjSZTEq6AWAVXam.jpg,https://ae04.alicdn.com/kf/HTB1S.t0nL2H8KJjy0Fcq6yDlFXaT.jpg,https://ae04.alicdn.com/kf/HTB1SKIVVQvoK1RjSZFDq6xY3pXax.jpg,https://ae04.alicdn.com/kf/H586b59de6e3743fc98a024daafe80af10.jpg,https://ae04.alicdn.com/kf/HTB19QZ6VIfpK1RjSZFOq6y6nFXav.jpg,",https://www.aliexpress.com/item/33015464431.html,3.80,2.32,10.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_9hU29g
External Storage,200001074,2020 WANSENDA Super Mini USB Flash Drive Pen Drive 64GB 32GB Waterproof USB Stick 8GB 16GB Pendrive Cle USB Flash Memory Stick,33025200123,https://ae01.alicdn.com/kf/HTB1c8r0S9rqK1RjSZK9q6xyypXam/2020-WANSENDA-Super-Mini-USB-Flash-Drive-Pen-Drive-64GB-32GB-Waterproof-USB-Stick-8GB-16GB.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1c8r0S9rqK1RjSZK9q6xyypXam.jpg,https://ae04.alicdn.com/kf/HTB1m6D9S9zqK1RjSZFHq6z3CpXaa.jpg,https://ae04.alicdn.com/kf/HTB1RPkXS9zqK1RjSZFpq6ykSXXaO.jpg,https://ae04.alicdn.com/kf/HTB11JEbSW6qK1RjSZFmq6x0PFXa0.jpg,https://ae04.alicdn.com/kf/HTB1WKIaS7voK1RjSZFNq6AxMVXaU.jpg,",https://www.aliexpress.com/item/33025200123.html,3.57,2.53,10.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_9fSKqi
External Storage,200001074,"UTHAI T22 2.5"" SATA to USB3.0 HDD Enclosure Mobile Hard Drive Case for SSD External Storage HDD Box With USB3.0/2.0 Cable ABS",4000219528384,https://ae01.alicdn.com/kf/Hf47c6e1fc8844671a6dbbb7a3e896cd85/UTHAI-T22-2-5-SATA-to-USB3-0-HDD-Enclosure-Mobile-Hard-Drive-Case-for-SSD.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf47c6e1fc8844671a6dbbb7a3e896cd85.jpg,https://ae04.alicdn.com/kf/Haa504f350ac84801a3bd3796800d16f1d.jpg,https://ae04.alicdn.com/kf/Hd3c317694fd5459982575cd1eb243f78H.jpg,https://ae04.alicdn.com/kf/H68d6e086037d436aadd73e363a9b56caH.jpg,https://ae04.alicdn.com/kf/H41070f907f7c41aa997aec7b799a589at.jpg,",https://www.aliexpress.com/item/4000219528384.html,5.86,2.99,8.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_AkWgX8
External Storage,200001074,WANSENDA Real Capacity USB Flash Drive 64GB Super Mini Pen Drive 8GB 16GB 32GB USB 2.0 Waterproof Pendrive Flash Memory Stick,1005001894602734,https://ae01.alicdn.com/kf/HTB1Ic68QMHqK1RjSZFgq6y7JXXa5/WANSENDA-Real-Capacity-USB-Flash-Drive-64GB-Super-Mini-Pen-Drive-8GB-16GB-32GB-USB-2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1Ic68QMHqK1RjSZFgq6y7JXXa5.jpg,https://ae04.alicdn.com/kf/HTB19uL6QRLoK1RjSZFuq6xn0XXai.jpg,https://ae04.alicdn.com/kf/HTB1xIT4QHPpK1RjSZFFq6y5PpXaM.jpg,https://ae04.alicdn.com/kf/HTB112n7QSzqK1RjSZFjq6zlCFXah.jpg,https://ae04.alicdn.com/kf/HTB18J.XQMHqK1RjSZFEq6AGMXXar.jpg,",https://www.aliexpress.com/item/1005001894602734.html,3.86,0.01,10.00%,2098-12-31,99%,https://s.click.aliexpress.com/e/_AX7CuW
External Storage,200001074,WANSENDA High Speed OTG USB Flash Drive 32GB Pen Drive 8GB 16GB 64GB 128GB 256GB Pendrive 2 in 1 Micro Usb Stick for Android/PC,4000879256337,https://ae01.alicdn.com/kf/HTB1Nc5dXEY1gK0jSZFMq6yWcVXaZ/WANSENDA-High-Speed-OTG-USB-Flash-Drive-32GB-Pen-Drive-8GB-16GB-64GB-128GB-256GB-Pendrive.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1Nc5dXEY1gK0jSZFMq6yWcVXaZ.jpg,https://ae04.alicdn.com/kf/HTB1oJglarus3KVjSZKbq6xqkFXaM.jpg,https://ae04.alicdn.com/kf/HTB1DSUhaqWs3KVjSZFxq6yWUXXag.jpg,https://ae04.alicdn.com/kf/HTB1hhUXaA9E3KVjSZFGq6A19XXaD.jpg,https://ae04.alicdn.com/kf/H24aff15aedc14d989e97ef7da68cc05az.jpg,",https://www.aliexpress.com/item/4000879256337.html,3.85,2.58,10.00%,2098-12-31,33%,https://s.click.aliexpress.com/e/_9zfSxU
External Storage,200001074,M.2 NGFF SSD Heatsink NVME 2280 Solid State Disk Drive Radiator Cooler Cooling Pad Ventilador for Desktop PC,1005002503774906,https://ae01.alicdn.com/kf/H2f420b73b2994b5097efaab8db04042f3/M-2-NGFF-SSD-Heatsink-NVME-2280-Solid-State-Disk-Drive-Radiator-Cooler-Cooling-Pad-Ventilador.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2f420b73b2994b5097efaab8db04042f3.jpg,https://ae04.alicdn.com/kf/Hb56cbbce1cb7435a947e48b0fb8edaf2U.jpg,https://ae04.alicdn.com/kf/H4d6edaf691cb470a9ffa82ecfdd16a3e1.jpg,https://ae04.alicdn.com/kf/H2031996574f647718bd3e7ea68be1987m.jpg,https://ae04.alicdn.com/kf/Hac0ecebb3fb0481682689dec9b210d06o.jpg,",https://www.aliexpress.com/item/1005002503774906.html,49.18,13.77,8.00%,2098-12-31,72%,https://s.click.aliexpress.com/e/_A4c4Zo
