Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Mini PC,70803003,XCY Fanless Mini PC Intel Celeron N4100 Dual Gigabit Ethernet 2x RS232 HDMI VGA 4xUSB WiFi Windows 10 Linux Industrial Computer,32832914936,https://ae01.alicdn.com/kf/HTB1rkLJQxnaK1RjSZFBq6AW7VXaj/XCY-Fanless-Mini-PC-Intel-Celeron-N4100-Dual-Gigabit-Ethernet-2x-RS232-HDMI-VGA-4xUSB-WiFi.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1rkLJQxnaK1RjSZFBq6AW7VXaj.jpg,https://ae04.alicdn.com/kf/HTB1.TRFvmtYBeNjSspkq6zU8VXaw.jpg,https://ae04.alicdn.com/kf/HTB1sqlOvmtYBeNjSspaq6yOOFXav.jpg,https://ae04.alicdn.com/kf/HTB1uZv9u29TBuNjy1zbq6xpepXav.jpg,https://ae04.alicdn.com/kf/HTB1MlUWu7SWBuNjSszdq6zeSpXar.jpg,",https://www.aliexpress.com/item/32832914936.html,216.00,140.40,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9AcTg2
Mini PC,70803003,"Embedded 17 Inch Capacitive touch Industrial computer 21.5"" Mini Tablet Panel 19 inch All In One PC with Windows 10 PRO WiFi com",1005003027896304,https://ae01.alicdn.com/kf/H8d98e29c2b774d65840847c889970fffs/Embedded-17-Inch-Capacitive-touch-Industrial-computer-21-5-Mini-Tablet-Panel-19-inch-All-In.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8d98e29c2b774d65840847c889970fffs.jpg,https://ae04.alicdn.com/kf/H4195bbb6327b4067adef92009faaf747h.jpg,https://ae04.alicdn.com/kf/Ha66b27180818455a804f545d843505156.jpg,https://ae04.alicdn.com/kf/H0b155f2cfa544ea6934b1c02d55e9c1bW.jpg,https://ae04.alicdn.com/kf/H97f0b03ccb2f4636b1fc27c8ca9bf756N.jpg,",https://www.aliexpress.com/item/1005003027896304.html,460.00,368.00,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_Apu0WK
Mini PC,70803003,Mini PC Intel Core i3/i5/i7 8GB RAM 128GB SSD HDMI-Compatible VGA Dual Output Win10 System Dual-Band WiFi Gigabit Ethernet,1005002244757766,https://ae01.alicdn.com/kf/H16b9b627f8ee41e499e2919e9d26f8e5U/Mini-PC-Intel-Core-i3-i5-i7-8GB-RAM-128GB-SSD-HDMI-Compatible-VGA-Dual-Output.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H16b9b627f8ee41e499e2919e9d26f8e5U.jpg,https://ae04.alicdn.com/kf/Hacdc0dc690e4476fa205918888c7264am.jpg,https://ae04.alicdn.com/kf/H56947de35ac44915b740dfc5121f9c83N.jpg,https://ae04.alicdn.com/kf/Hfb8ca62dffb3474dbccb85894b9f78a6r.jpg,https://ae04.alicdn.com/kf/Hc8334ca9be934abd88e72c6ab0b232517.jpg,",https://www.aliexpress.com/item/1005002244757766.html,262.84,207.64,10.50%,2098-12-31,21%,https://s.click.aliexpress.com/e/_AWl24e
Mini PC,70803003,BEBEPC Industrial Fanless Mini PC Celeron N2830 J1900 N2930 Dual LAN &COM Gigabit Windows 10 Linux Mini Computer HD WIFI HTPC,32960318037,https://ae01.alicdn.com/kf/H3969dd3531d74324a68b7f0206352730X/BEBEPC-Industrial-Fanless-Mini-PC-Celeron-N2830-J1900-N2930-Dual-LAN-COM-Gigabit-Windows-10-Linux.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3969dd3531d74324a68b7f0206352730X.jpg,https://ae04.alicdn.com/kf/H025759a07c92403dbfdaea639e269631s.jpg,https://ae04.alicdn.com/kf/H93e1447b387340248af405ce9591bec7U.jpg,https://ae04.alicdn.com/kf/H6862a20d20074fe395069faf617dcb8cw.jpg,https://ae04.alicdn.com/kf/Hd37d5cc8cd60420cab45d79e3f70aad0c.jpg,",https://www.aliexpress.com/item/32960318037.html,243.60,141.29,10.50%,2098-12-31,42%,https://s.click.aliexpress.com/e/_AOfA2S
Mini PC,70803003,ZEUSLAP Mini PC intel core i3 i5 i7 CPU 8GB RAM 512GB SSD 2.4G 5G Dual Bank Wifi Bluetooth 4.0 Gigabit Ethernet Card Desktop PC,1005002012851318,https://ae01.alicdn.com/kf/H98eff6111b9742f3a8f484e386239514x/ZEUSLAP-Mini-PC-intel-core-i3-i5-i7-CPU-8GB-RAM-512GB-SSD-2-4G-5G.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H98eff6111b9742f3a8f484e386239514x.jpg,https://ae04.alicdn.com/kf/H56947de35ac44915b740dfc5121f9c83N.jpg,https://ae04.alicdn.com/kf/Hfb8ca62dffb3474dbccb85894b9f78a6r.jpg,https://ae04.alicdn.com/kf/Hc8334ca9be934abd88e72c6ab0b232517.jpg,https://ae04.alicdn.com/kf/H9f45dc8d15c2499287a0769e957482f1r.jpg,",https://www.aliexpress.com/item/1005002012851318.html,336.65,252.49,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_9GGE50
Mini PC,70803003,CPU E3827 Pfense Mini Router Server CP 4*1000M Lan  Support Windows10 Linux HD VGA Dual Display Fanless Desktop,1005002321051991,https://ae01.alicdn.com/kf/H18ba485060864d80b4ca5be95574b3a4p/CPU-E3827-Pfense-Mini-Router-Server-CP-4-1000M-Lan-Support-Windows10-Linux-HD-VGA-Dual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H18ba485060864d80b4ca5be95574b3a4p.jpg,https://ae04.alicdn.com/kf/H8e9f2dc35a4d4c13953317d9845db5c7s.jpg,https://ae04.alicdn.com/kf/Hd4cf534c3041429191d47e505635c888v.jpg,https://ae04.alicdn.com/kf/H1d6396d666c44874a29bf5b5ab83a443N.jpg,https://ae04.alicdn.com/kf/H959e15fff71e4295bcfd4c9305a8557fq.jpg,",https://www.aliexpress.com/item/1005002321051991.html,169.00,140.27,8.00%,2098-12-31,17%,https://s.click.aliexpress.com/e/_AFCwbk
Mini PC,70803003,Industrial Mini PC Fanless Dual LAN 6*COM RS232/RS485 Intel Core i5 4200U i7 5500U 4500U Windows 10 Mini Computer Linux WIFI,1005002115541145,https://ae01.alicdn.com/kf/Ha576c1da0db6416fbf4c8a2564899dcbN/Industrial-Mini-PC-Fanless-Dual-LAN-6-COM-RS232-RS485-Intel-Core-i5-4200U-i7-5500U.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha576c1da0db6416fbf4c8a2564899dcbN.jpg,https://ae04.alicdn.com/kf/H5fea8ba717ca40448c26ebbbec0aee8fW.jpg,https://ae04.alicdn.com/kf/H85c532b2b9c4490db3c2a62939483b39P.jpg,https://ae04.alicdn.com/kf/H3e9e133d9e104e368cb037103d03acd8h.jpg,https://ae04.alicdn.com/kf/H75fed44038bc4f439f893fc0812bc38da.jpg,",https://www.aliexpress.com/item/1005002115541145.html,375.34,225.20,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A6pbca
Mini PC,70803003,XCY Portable Mini PC Intel Celeron N4100 Quad-Cores 6GB LPDDR4 128GB M.2 SSD 2.4G/5.0G Wi-Fi Bluetooth 4.2 4K 60Hz Windows 10,4001282716642,https://ae01.alicdn.com/kf/Hf819e4740e6845e3a69c6fd18fdf78bbv/XCY-Portable-Mini-PC-Intel-Celeron-N4100-Quad-Cores-6GB-LPDDR4-128GB-M-2-SSD-2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf819e4740e6845e3a69c6fd18fdf78bbv.jpg,https://ae04.alicdn.com/kf/Hd0feea3105544154b7ecdc5b38b0830fW.jpg,https://ae04.alicdn.com/kf/He088678099bf4d2d957d5ff8367e7e36l.jpg,https://ae04.alicdn.com/kf/H7846a9d2bdb54848a6310d28bcdbd32dO.jpg,https://ae04.alicdn.com/kf/H8a093baa201c42d6b3b1532f9c55b64dZ.jpg,",https://www.aliexpress.com/item/4001282716642.html,288.99,184.95,8.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_AnIYnM
Mini PC,70803003,"13.3 inch Intel core i3 industrial 18.5 inch All In One PC With capacitive touch screen 15.6"" Tablet Panel Computer Windows 10",1005003031284588,https://ae01.alicdn.com/kf/H1706eb03a35f4608b64210dba8ef50bdZ/13-3-inch-Intel-core-i3-industrial-18-5-inch-All-In-One-PC-With-capacitive.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1706eb03a35f4608b64210dba8ef50bdZ.jpg,https://ae04.alicdn.com/kf/Ha6f50ff3c1aa47c8baf0fc3d73eb2dd1o.jpg,https://ae04.alicdn.com/kf/Hc1950f241d9f4c478d6f555462749441q.jpg,https://ae04.alicdn.com/kf/H1947cd52306f4e128b16bd932a52f3bcI.jpg,https://ae04.alicdn.com/kf/H983c8bb07c9a4be68c864d9ca2f4dde4N.jpg,",https://www.aliexpress.com/item/1005003031284588.html,430.00,344.00,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_ANtjru
Mini PC,70803003,Mini PC Intel Core i7 6500U i5 6300U Windows 10 DDR4 mSATA SSD 4K UHD HDMI VGA 300M WiFi Gigabit Ethernet Household Computer,32944889063,https://ae01.alicdn.com/kf/HTB1t8ttbtjvK1RjSspiq6AEqXXar/Mini-PC-Intel-Core-i7-6500U-i5-6300U-Windows-10-DDR4-mSATA-SSD-4K-UHD-HDMI.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1t8ttbtjvK1RjSspiq6AEqXXar.jpg,https://ae04.alicdn.com/kf/HTB1gzBxbtfvK1RjSszhq6AcGFXad.jpg,https://ae04.alicdn.com/kf/HTB1qohsbxrvK1RjSszeq6yObFXaD.jpg,https://ae04.alicdn.com/kf/H439a15205e9540019d74fb8dc8f59d33U.jpg,https://ae04.alicdn.com/kf/HTB1m8RKhzDpK1RjSZFrq6y78VXao.jpg,",https://www.aliexpress.com/item/32944889063.html,349.00,226.85,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9wnjQe
