Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tablets,200001086,Notebook 10.1 Inch Original design Android laptop Quad Core WiFi Mini Netbook laptop Keyboard mouse pc tablets tablet 10,32713901473,https://ae01.alicdn.com/kf/HTB1j4R5Xx2rK1RkSnhJq6ykdpXaM/Notebook-10-1-Inch-Original-design-Android-laptop-Quad-Core-WiFi-Mini-Netbook-laptop-Keyboard-mouse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1j4R5Xx2rK1RkSnhJq6ykdpXaM.jpg,https://ae04.alicdn.com/kf/Hd2f0eadffe3d4c8a872afb31e190a51f2.jpg,https://ae04.alicdn.com/kf/H246a58a168fb42ec8cd02282b9dc9cdbt.jpg,https://ae04.alicdn.com/kf/HTB17CY.aOYrK1Rjy0Fdq6ACvVXaE.jpg,https://ae04.alicdn.com/kf/HTB1rst4XynrK1Rjy1Xcq6yeDVXaf.jpg,",https://www.aliexpress.com/item/32713901473.html,158.10,120.16,10.50%,2098-12-31,24%,https://s.click.aliexpress.com/e/_AXShlG
Tablets,200001086,KIVBWY 10.1 inch tablet PC 6+64GB ROM 1280*800 IPSl SIM Card 4G LTE FDD Wifi Bluetooth Android10.0 Tablets Octa Core Google Play,1005001511908308,https://ae01.alicdn.com/kf/H306ab6f7b95841079d3d3b6164b3a1a0v/KIVBWY-10-1-inch-tablet-PC-6-64GB-ROM-1280-800-IPSl-SIM-Card-4G-LTE.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H306ab6f7b95841079d3d3b6164b3a1a0v.jpg,https://ae04.alicdn.com/kf/H19ebb298575b4cf0a994c0bd5443f908p.jpg,https://ae04.alicdn.com/kf/Hc32af1635e3f4cc4ba62ca55ea4955df9.jpg,https://ae04.alicdn.com/kf/H440b57ef44f840cfb7d50e6ca31d4d3cr.jpg,https://ae04.alicdn.com/kf/H68035b4685044f6381144dd8728c61bdv.png,",https://www.aliexpress.com/item/1005001511908308.html,178.00,92.56,9.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_Ad8Gr8
Tablets,200001086,New 10.1 Inch Tablet Pc Google Play Android 9.0 Octa Core 4G Phone Call CE Brand Tablets WiFi Bluetooth GPS Android 10 Inch Tab,32827671147,https://ae01.alicdn.com/kf/Hc8d05bc196244345baab83a8cbbfd179r/New-10-1-Inch-Tablet-Pc-Google-Play-Android-9-0-Octa-Core-4G-Phone-Call.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc8d05bc196244345baab83a8cbbfd179r.jpg,https://ae04.alicdn.com/kf/H30dfaf9475654c6682abe3cef7a57338u.jpg,https://ae04.alicdn.com/kf/Ha444eb72c62148b1bbe7ed1da006ebeeR.jpg,https://ae04.alicdn.com/kf/H9a07adba40304380b8d1c1aade96f48av.jpg,https://ae04.alicdn.com/kf/H75a3b3d0c3aa423b82431983bb8a211dS.jpg,",https://www.aliexpress.com/item/32827671147.html,120.50,98.81,8.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_9yp2qE
Tablets,200001086,2021 New Arrival Octa Core 4G LTE Tablets 10.1 inch Android 9.0 Tablet Pc Google Play Dual SIM Card GPS WiFi Bluetooth 10 Inch,1005001705585253,https://ae01.alicdn.com/kf/Ha941faa2a4314421bac3f9ecb0a8f301j/2021-New-Arrival-Octa-Core-4G-LTE-Tablets-10-1-inch-Android-9-0-Tablet-Pc.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha941faa2a4314421bac3f9ecb0a8f301j.jpg,https://ae04.alicdn.com/kf/H6f5355a9a0314e9d94ec46195611c5e1Q.jpg,https://ae04.alicdn.com/kf/Hc740e96864b44ff19f258831b5febfd1y.jpg,https://ae04.alicdn.com/kf/Hfdad3791a106499e839f344a43a46ab0a.jpg,https://ae04.alicdn.com/kf/Hcd54d14ad9fa4948967336090cecc1ffe.jpg,",https://www.aliexpress.com/item/1005001705585253.html,136.30,96.77,8.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_9fKc6a
Tablets,200001086,Original Refurbish Apple IPad pro 2015 A1584  12.9 inches Wifi Version Black white About 80% New Unlock,1005001901673143,https://ae01.alicdn.com/kf/H80d5ef0cfc5346ca95e14c84df4c4d82Y/Original-Refurbish-Apple-IPad-pro-2015-A1584-12-9-inches-Wifi-Version-Black-white-About-80.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80d5ef0cfc5346ca95e14c84df4c4d82Y.jpg,https://ae04.alicdn.com/kf/H98a6771bd14d45df81d7e0f6748f7983f.jpg,https://ae04.alicdn.com/kf/H95354f96ab5f42778035988180cd374aV.jpg,https://ae04.alicdn.com/kf/H3a0cf16436074b3bb11e09b04937397fV.jpg,https://ae04.alicdn.com/kf/Hfb762a146aee4831ab07c1eb5657edf0p.jpg,",https://www.aliexpress.com/item/1005001901673143.html,475.85,452.06,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_At5YXc
Tablets,200001086,Original Refurbish Apple IPad 2 IPAD 2011 9.7 inches Wifi Version Black About 80% New,1005001804192294,https://ae01.alicdn.com/kf/Hd83fa9abd1c54d53add2d151ce14a26dS/Original-Refurbish-Apple-IPad-2-IPAD-2011-9-7-inches-Wifi-Version-Black-About-80-New.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd83fa9abd1c54d53add2d151ce14a26dS.jpg,https://ae04.alicdn.com/kf/H9d1474d0173a4c23b4cb8c3999245fedz.jpg,https://ae04.alicdn.com/kf/H3ee9b6b88f9c452fa75187e45395b95bO.jpg,https://ae04.alicdn.com/kf/H642c1dc9ac3e49e9b8f259eb82d187f5b.jpg,https://ae04.alicdn.com/kf/H12c7ef6996c143929019a6b76f7e2a8dR.jpg,",https://www.aliexpress.com/item/1005001804192294.html,90.00,85.50,10.50%,2098-12-31,5%,https://s.click.aliexpress.com/e/_A0Bnk2
Tablets,200001086,New 10.1 Inch Tablet Pc Android 9.0 Quad Core 2GB+32GB ROM Android Tablets WIFI Google Play 1280x800 IPS Screen Dual SIM Cards,32961804173,https://ae01.alicdn.com/kf/Hed4dce92d5644568ab38118560601a4bp/New-10-1-Inch-Tablet-Pc-Android-9-0-Quad-Core-2GB-32GB-ROM-Android-Tablets.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hed4dce92d5644568ab38118560601a4bp.jpg,https://ae04.alicdn.com/kf/H7a01b7f959e74cc89c154ca2dc7fb0253.jpg,https://ae04.alicdn.com/kf/H8eee2056a84a43cb9fbf63a6cb90f620t.jpg,https://ae04.alicdn.com/kf/H299f627302884356be1761acb71940d3u.jpg,https://ae04.alicdn.com/kf/Heae8233060dc4d288db9bf03e788e1878.jpg,",https://www.aliexpress.com/item/32961804173.html,95.02,84.57,10.50%,2098-12-31,11%,https://s.click.aliexpress.com/e/_AdaIvs
Tablets,200001086,100% Original New WiFi Version 2021 Apple 11-inch iPad Pro 5th generation M1 Chip,1005002709879557,https://ae01.alicdn.com/kf/H83def0a36d5b41bdb4dfb6dedd075b9eN/100-Original-New-WiFi-Version-2021-Apple-11-inch-iPad-Pro-5th-generation-M1-Chip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H83def0a36d5b41bdb4dfb6dedd075b9eN.jpg,https://ae04.alicdn.com/kf/Hedf90503653d41c48bb2f3586198c8714.jpg,https://ae04.alicdn.com/kf/H4075e2ff3a9142c1b94f5af09064cff0G.jpg,https://ae04.alicdn.com/kf/H63f07b78ab2f4cbb84ccf8e24da649d6s.jpg,https://ae04.alicdn.com/kf/H5001d4ad41d647c3a1c5501b22cf4d0bo.jpg,",https://www.aliexpress.com/item/1005002709879557.html,"1,540.00","1,463.00",10.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_AA4rhc
Tablets,200001086,"New Apple IPad 2019 IPad 7 (7th Generation)  (10.2-inch, Wi-Fi , 128GB) - Space Gray (Previous Model)﻿ A10 Fusion Chip",1005003009993162,https://ae01.alicdn.com/kf/Ha000815f576e4659b325cf893e4feeec9/New-Apple-IPad-2019-IPad-7-7th-Generation-10-2-inch-Wi-Fi-128GB-Space-Gray.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha000815f576e4659b325cf893e4feeec9.jpg,https://ae04.alicdn.com/kf/H8fef02cbc6844fa186bfc6859cec5071P.jpg,https://ae04.alicdn.com/kf/H0f69ae84f8184d3e8344795aa53fc4030.jpg,https://ae04.alicdn.com/kf/H3581ffd3a48d45d0ac47e40db6e75266k.jpg,https://ae04.alicdn.com/kf/H5137a8012bfe4c0494a46ad74d0950fdH.jpg,",https://www.aliexpress.com/item/1005003009993162.html,578.74,549.80,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_9IFZno
Tablets,200001086,Original Apple IPad 5 Refurbish ipad  A1823  A1822 5th IPAD 2017 9.7 inches Wifi Version Black white About 80% New,1005002587766303,https://ae01.alicdn.com/kf/H0853c6fbfa58408c92ff70a8dd499b73z/Original-Apple-IPad-5-Refurbish-ipad-A1823-A1822-5th-IPAD-2017-9-7-inches-Wifi-Version.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0853c6fbfa58408c92ff70a8dd499b73z.jpg,https://ae04.alicdn.com/kf/H4d3903b83ed942fcba4058c2ca150592H.jpg,https://ae04.alicdn.com/kf/Hc44702edfb744209ac6a0df65da91f3cq.jpg,https://ae04.alicdn.com/kf/H7a52503086c44e7db4ff55890dac8a9cc.jpg,https://ae04.alicdn.com/kf/He504d2a97db84c509b6484af6492c0f7o.jpg,",https://www.aliexpress.com/item/1005002587766303.html,345.85,328.56,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_A3nR0E
