Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Camera & Photo,100000305,20&#39;&#39; Articulated Camera Magic Arm Super Clamp For Canon Nikon Sony Speedlight Monitor Mic Lighting Stand Photography Accessories,1005003109871988,https://ae01.alicdn.com/kf/H65bf65868e4647c58b69b89e474ef2a8c/20-39-39-Articulated-Camera-Magic-Arm-Super-Clamp-For-Canon-Nikon-Sony-Speedlight-Monitor-Mic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H65bf65868e4647c58b69b89e474ef2a8c.jpg,https://ae04.alicdn.com/kf/H1ebdb0daf00e46a0a74f2fb36139fcb7Q.jpg,https://ae04.alicdn.com/kf/H28e9f450ba264f588107c942b9bb51faz.jpg,https://ae04.alicdn.com/kf/Hd9ef585e50494642a713fb622268a39b5.jpg,https://ae04.alicdn.com/kf/Hffe4a0ef53a348cf9173fb5d65e31de7B.jpg,",https://www.aliexpress.com/item/1005003109871988.html,28.10,17.14,25.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_9xhh1c
Camera & Photo,100000305,Background Non-Woven Fabric Solid Color Green Black Screen Photo Backdrop Studio Photography Props Photo Studio Simple Backgroun,1005003109990355,https://ae01.alicdn.com/kf/H3e1041d87e3b483185751be1aa8c8f99M/Background-Non-Woven-Fabric-Solid-Color-Green-Black-Screen-Photo-Backdrop-Studio-Photography-Props-Photo-Studio.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3e1041d87e3b483185751be1aa8c8f99M.jpg,https://ae04.alicdn.com/kf/Haef9c11e71de4ce9a135c2cd9b55b0e2e.jpg,https://ae04.alicdn.com/kf/H1ffb54c722fe4bd88983216c30ffa773l.jpg,https://ae04.alicdn.com/kf/Ha3b0b4be9ac149edb307d1c2e5f608daT.jpg,https://ae04.alicdn.com/kf/H8d956523bee442baa0e1403f0158f98bl.jpg,",https://www.aliexpress.com/item/1005003109990355.html,22.82,11.41,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9HakxG
Camera & Photo,100000305,aluminum alloy Wireless Bluetooth Selfie Stick Foldable Monopods Universal Tripod for Smartphones for Action Cameras,1005003110229423,https://ae01.alicdn.com/kf/H34ced6b62a0b4732a75be3c4bad64266t/aluminum-alloy-Wireless-Bluetooth-Selfie-Stick-Foldable-Monopods-Universal-Tripod-for-Smartphones-for-Action-Cameras.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H34ced6b62a0b4732a75be3c4bad64266t.jpg,https://ae04.alicdn.com/kf/H1dda10063ffb48d78f0a98a3febc11cfG.jpg,https://ae04.alicdn.com/kf/H82d4e57c3ea74bc1b8d97f63640473492.jpg,https://ae04.alicdn.com/kf/H1148deb1d46f4d268d74e0d0258d0f20I.jpg,https://ae04.alicdn.com/kf/H2c9b4222b29c4368bd864d56f88540f4D.jpg,",https://www.aliexpress.com/item/1005003110229423.html,25.98,12.99,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9xBGcA
Camera & Photo,100000305,Selfie Stick 3 In 1 Wireless Bluetooth Selfie Stick Foldable Mini Tripod With Fill Light Shutter Remote Control,1005003110187503,https://ae01.alicdn.com/kf/Hb83c4cb384874fae8149badc45d829b1E/Selfie-Stick-3-In-1-Wireless-Bluetooth-Selfie-Stick-Foldable-Mini-Tripod-With-Fill-Light-Shutter.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb83c4cb384874fae8149badc45d829b1E.jpg,https://ae04.alicdn.com/kf/Hc0771b5f05e0438b802eba5b3de1ee1ew.jpg,https://ae04.alicdn.com/kf/Hc7a18d94bce74241a6c107816939464dS.jpg,https://ae04.alicdn.com/kf/Hc4af3dd4c44e485196527526e46dcf56s.jpg,https://ae04.alicdn.com/kf/H8e53208d6bde419997351f35f9cf6661b.jpg,",https://www.aliexpress.com/item/1005003110187503.html,39.82,19.91,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9AoWsW
Camera & Photo,100000305,Detachable Clip Bluetooth Selfie Stick Universal Horizontal and Vertical Tripod Selfie Stick Mobile Phone Bracket Photograph,1005003110123662,https://ae01.alicdn.com/kf/H3d23249eb3464a46ac5f8ea9a8f08315w/Detachable-Clip-Bluetooth-Selfie-Stick-Universal-Horizontal-and-Vertical-Tripod-Selfie-Stick-Mobile-Phone-Bracket-Photograph.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d23249eb3464a46ac5f8ea9a8f08315w.jpg,https://ae04.alicdn.com/kf/He7b70f766b3d41a0967d3479f4f5a740Z.jpg,https://ae04.alicdn.com/kf/Hb36b64d7e5074d92a2e4b9e10c49fecf7.jpg,https://ae04.alicdn.com/kf/Had102dbd3d264998987fb33f92642d49O.jpg,https://ae04.alicdn.com/kf/H00ca3c8ae1ab42bf9f7ac70be7f46e2c7.jpg,",https://www.aliexpress.com/item/1005003110123662.html,37.75,18.87,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Askk5Y
Camera & Photo,100000305,Wireless Bluetooth Selfie Stick with Led Ring Light Foldable Tripod Monopod  Samsung Android Live Tripod,1005003110123886,https://ae01.alicdn.com/kf/Hc4a09d89983348958e47ed7957f649dcC/Wireless-Bluetooth-Selfie-Stick-with-Led-Ring-Light-Foldable-Tripod-Monopod-Samsung-Android-Live-Tripod.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc4a09d89983348958e47ed7957f649dcC.jpg,https://ae04.alicdn.com/kf/H4e051f6216fe44f2a46bbc2e246a3cafy.jpg,https://ae04.alicdn.com/kf/Hbaa6ee9f94a84181a559b426d1e8de7fS.jpg,https://ae04.alicdn.com/kf/H6821642f33ce43fbb2f59b08e6751566U.jpg,https://ae04.alicdn.com/kf/H8b9087870cc6458daecbdc2af912d82c0.jpg,",https://www.aliexpress.com/item/1005003110123886.html,33.42,16.71,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AOpjMS
Camera & Photo,100000305,3 In 1 Wireless Bluetooth Selfie Stick Handheld Monopod Shutter Remote Foldable Mini Tripod for IPhone XR 8 X 7 6s Plus,1005003110200192,https://ae01.alicdn.com/kf/H79bd69335ddd4ae3ae8ab6af715b69884/3-In-1-Wireless-Bluetooth-Selfie-Stick-Handheld-Monopod-Shutter-Remote-Foldable-Mini-Tripod-for-IPhone.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H79bd69335ddd4ae3ae8ab6af715b69884.jpg,https://ae04.alicdn.com/kf/H93b7dd7e4233440fafc593f7bd9caf32Z.jpg,https://ae04.alicdn.com/kf/He2261df762054a888944164db0fae872T.jpg,https://ae04.alicdn.com/kf/H61f7a717114e4229a7e578b149853437L.jpg,https://ae04.alicdn.com/kf/H17ca301619fc494db6a6b209c537cf30H.jpg,",https://www.aliexpress.com/item/1005003110200192.html,28.07,14.03,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AoAY4e
Camera & Photo,100000305,Photo Backgrounds 57X87cm 200color PVC Photography 2side Wood Marble Wall Printing Waterproof Backdrops for Studio Camera Softbx,1005003109995036,https://ae01.alicdn.com/kf/H44455ed0bd19493c987c7d42909b4debB/Photo-Backgrounds-57X87cm-200color-PVC-Photography-2side-Wood-Marble-Wall-Printing-Waterproof-Backdrops-for-Studio-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H44455ed0bd19493c987c7d42909b4debB.jpg,https://ae04.alicdn.com/kf/H78552fb53cdc4f15be0ce3700fbba6b4b.jpg,https://ae04.alicdn.com/kf/H43a9b978517b4bad81402c7a139433375.jpg,https://ae04.alicdn.com/kf/Hb7b5d138158b447fa91503fa97309de5L.jpg,https://ae04.alicdn.com/kf/H9836f868f5894bd1b226f9067a1284e1z.jpg,",https://www.aliexpress.com/item/1005003109995036.html,12.46,6.23,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AV9rOe
Camera & Photo,100000305,Photography Background Backdrop Smooth Muslin Cotton Green Screen Chromakey Cromakey Background Cloth For Photo Studio Video,1005003109954367,https://ae01.alicdn.com/kf/H3d53b3c9b4864e9b9f60581358ad9f3ct/Photography-Background-Backdrop-Smooth-Muslin-Cotton-Green-Screen-Chromakey-Cromakey-Background-Cloth-For-Photo-Studio-Video.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d53b3c9b4864e9b9f60581358ad9f3ct.jpg,https://ae04.alicdn.com/kf/H476fa4d1911d4d93b094ef7ce76b10028.jpg,https://ae04.alicdn.com/kf/Hf3d2596d652b4131b9c19596c8086c758.jpg,https://ae04.alicdn.com/kf/Hd46d8c1cb00a4808a11f170f49b1a1f5Y.jpg,https://ae04.alicdn.com/kf/Hf309b6e2aa2c4a9a9138d0aaf7b51d3ai.jpg,",https://www.aliexpress.com/item/1005003109954367.html,53.00,26.50,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AbJKXy
Camera & Photo,100000305,Go Pro Accessories Waterproof 19&quot; Aluminum Selfie Stick for Gopro 9 8 7 6 5 Sj4000 Sj7 Yi 4K DJI OSMO H8 H9R EKEN Action Camera,1005003109670555,https://ae01.alicdn.com/kf/Hec99c63095d244adbabad32fee041233z/Go-Pro-Accessories-Waterproof-19-quot-Aluminum-Selfie-Stick-for-Gopro-9-8-7-6-5.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hec99c63095d244adbabad32fee041233z.jpg,https://ae04.alicdn.com/kf/Had6a6b75c90d4b8a935df11de715799be.jpg,https://ae04.alicdn.com/kf/H769438fffc1349e3997df3317478fbbfU.jpg,https://ae04.alicdn.com/kf/Hac179b0a07b142d3bfab4273c5ebfff3R.jpg,https://ae04.alicdn.com/kf/H043d27d9cfe24bf7aca193c0e039cb32A.jpg,",https://www.aliexpress.com/item/1005003109670555.html,16.98,8.32,25.00%,2098-12-31,51%,https://s.click.aliexpress.com/e/_AOxguI
