Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Games & Accessories,100000310,MOCUTE 050 Wireless Support Bluetooth Controller Control For PC IOS Android smartphone Tablet TV Box Holder VR Gamepad Joystick,1005003106989432,https://ae01.alicdn.com/kf/Hd0b863eb22004b5dad609e12229d61fbZ/MOCUTE-050-Wireless-Support-Bluetooth-Controller-Control-For-PC-IOS-Android-smartphone-Tablet-TV-Box-Holder.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd0b863eb22004b5dad609e12229d61fbZ.jpg,https://ae04.alicdn.com/kf/Hc6cd77a383e24cf89861e6aebfca2ea18.jpg,https://ae04.alicdn.com/kf/H997d96b1657b4df9a5a358857bdbdd69K.jpg,https://ae04.alicdn.com/kf/Hffbe63c7e54a4a049621ae7bb8d1b84cx.jpg,https://ae04.alicdn.com/kf/Hdfb8b5e87afb48ea80c828f4fdf31be7d.jpg,",https://www.aliexpress.com/item/1005003106989432.html,26.26,26.26,40.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AkCOse
Games & Accessories,100000310,Soft TPU Nintend Swtich Case Cute Cartoon Cat Back Cover Shell for Nintendo Switch Case for Joy Con Protective Case,1005002523418082,https://ae01.alicdn.com/kf/H3aca496db0a14da581a2012126e77d755/Soft-TPU-Nintend-Swtich-Case-Cute-Cartoon-Cat-Back-Cover-Shell-for-Nintendo-Switch-Case-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3aca496db0a14da581a2012126e77d755.jpg,https://ae04.alicdn.com/kf/H1822244315ba4429ac1a3031842f90b62.jpg,https://ae04.alicdn.com/kf/H188f2bd9f3e14a87a446bb5ed0d4c6ddn.jpg,https://ae04.alicdn.com/kf/H8b4af986983c4665998de98389c5db5fX.jpg,https://ae04.alicdn.com/kf/H89216272d2554f15820c830e24c9ebe7g.jpg,",https://www.aliexpress.com/item/1005002523418082.html,27.40,13.15,10.00%,2098-12-31,52%,https://s.click.aliexpress.com/e/_A0Lodg
Games & Accessories,100000310,ABS Mobile Phone Game Handle Controller  for PUBG Gamepad Joystick Trigger Fire Aim Shooting L1 R1 Key Button for Iphone Android,1005003088734800,https://ae01.alicdn.com/kf/H5be411a9f6bd40838809baaa56826781W/ABS-Mobile-Phone-Game-Handle-Controller-for-PUBG-Gamepad-Joystick-Trigger-Fire-Aim-Shooting-L1-R1.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5be411a9f6bd40838809baaa56826781W.jpg,https://ae04.alicdn.com/kf/H2352231be9494b1c9812f0384d651682m.jpg,https://ae04.alicdn.com/kf/Ha6f475fecb7d4f259564e0351b4ce316I.jpg,https://ae04.alicdn.com/kf/H00db2fff3ee84cbc9ae52933e9d3044bx.jpg,https://ae04.alicdn.com/kf/H45f46b90d50a4882854ba5dba17f5c98n.jpg,",https://www.aliexpress.com/item/1005003088734800.html,16.65,9.99,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Ac6wqS
Games & Accessories,100000310,F302 Mobile Phone Gaming Accessories Game Controller Fr PUBG Gamepad Joystick Trigger Aim Shooting Key Button for iPhone Android,1005003093663977,https://ae01.alicdn.com/kf/Hb2d2f0906f6b4233be853e88a26089f1W/F302-Mobile-Phone-Gaming-Accessories-Game-Controller-Fr-PUBG-Gamepad-Joystick-Trigger-Aim-Shooting-Key-Button.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb2d2f0906f6b4233be853e88a26089f1W.jpg,https://ae04.alicdn.com/kf/H023e1f9ba94c48afa2fbfd1325537d427.jpg,https://ae04.alicdn.com/kf/Hb2ace81be5bb4af6823801cfe90b5dc4E.jpg,https://ae04.alicdn.com/kf/H9bb8ca6e8ddd4f47a3820f1a6ae4c34cH.jpg,https://ae04.alicdn.com/kf/H8ab41a949bd2407c8a0c5f411e7c401cO.jpg,",https://www.aliexpress.com/item/1005003093663977.html,7.65,4.59,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_APf2XM
Games & Accessories,100000310,ABS Mobile Phone Gaming Accessories Game Controller for PUBG Gamepad Joystick Trigger Aim Shooting Key Button for iPhone Android,1005003093710632,https://ae01.alicdn.com/kf/H4aa17978ef964c63aa2ffab27d274de51/ABS-Mobile-Phone-Gaming-Accessories-Game-Controller-for-PUBG-Gamepad-Joystick-Trigger-Aim-Shooting-Key-Button.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4aa17978ef964c63aa2ffab27d274de51.jpg,https://ae04.alicdn.com/kf/H9e18acfb62dc4b78bbf600f13b20ac74J.jpg,https://ae04.alicdn.com/kf/H56ac4ca7c5994912a1a946d7743ad468Y.jpg,https://ae04.alicdn.com/kf/H49a91c58659045c28ff4799a911b0509B.jpg,https://ae04.alicdn.com/kf/H634ce3cc7bf948018489e0ba2a48e792q.jpg,",https://www.aliexpress.com/item/1005003093710632.html,5.98,3.59,9.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9Hj86K
Games & Accessories,100000310,Wireless support bluetooth Gamepad For Nintendo Pro NS Video Game USB joystick Controller For Switch Console with 6-Axis,1005003101267159,https://ae01.alicdn.com/kf/Hd74d3a85954d45a6bbae03a69a946616A/Wireless-support-bluetooth-Gamepad-For-Nintendo-Pro-NS-Video-Game-USB-joystick-Controller-For-Switch-Console.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd74d3a85954d45a6bbae03a69a946616A.jpg,https://ae04.alicdn.com/kf/H67a29d3acf61413f84c867307cf1deadU.jpg,https://ae04.alicdn.com/kf/H3dcc3d1c46a449d28dde5df320ba68b7v.jpg,https://ae04.alicdn.com/kf/H049394b822f5478aaef0f1a1a39a450eb.jpg,https://ae04.alicdn.com/kf/Haafbff9294dd4046927df6de903cedbcj.jpg,",https://www.aliexpress.com/item/1005003101267159.html,26.59,25.26,40.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_Ab4RLu
Games & Accessories,100000310,USB Wired Gamepad for PS4 Joystick controller Joypad for PC For PS4 with 2.2M Cable For PS3 Console for pc win 7/8/X,1005003106655530,https://ae01.alicdn.com/kf/H0c9af6ff54c1410f8d1155a30f6cbdfcd/USB-Wired-Gamepad-for-PS4-Joystick-controller-Joypad-for-PC-For-PS4-with-2-2M-Cable.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0c9af6ff54c1410f8d1155a30f6cbdfcd.jpg,https://ae04.alicdn.com/kf/H5fad7cf2d9d84cf19b510b00ebc0ded7P.jpg,https://ae04.alicdn.com/kf/Hf49ffada05bd4f21a8c64656f6dc8dabG.jpg,https://ae04.alicdn.com/kf/Hcb4f257c67074c769d8b4a05d6410e17V.jpg,https://ae04.alicdn.com/kf/Heb4e5b52fa86424dbab1f359d332e084Z.jpg,",https://www.aliexpress.com/item/1005003106655530.html,14.32,8.59,40.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AOtr8i
Games & Accessories,100000310,Suitable for PS5 base cover PS4 base cover stand upright Sony game console dust cover transparent acrylic cover host protection,1005002887322266,https://ae01.alicdn.com/kf/H52841fccb0f6445980dc5c68bf9cb86af/Suitable-for-PS5-base-cover-PS4-base-cover-stand-upright-Sony-game-console-dust-cover-transparent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H52841fccb0f6445980dc5c68bf9cb86af.jpg,https://ae04.alicdn.com/kf/Hf4ce6d730a5c4630943da939d2a34870B.jpg,https://ae04.alicdn.com/kf/H0895656d597d4793b83db4d4159b1c94A.jpg,https://ae04.alicdn.com/kf/Hba065ac35c684818907b431981cb69aft.jpg,https://ae04.alicdn.com/kf/H50158ae7e42a4d1d92235e1aa0157b499.jpg,",https://www.aliexpress.com/item/1005002887322266.html,29.06,23.25,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9GNhfg
Games & Accessories,100000310,Wireless Controller Gamepad For Nitendo Swich Nintendo Switch Accessories Bluetooth Game Pad Gaming Control Joystick Triggers,1005003076963748,https://ae01.alicdn.com/kf/H2ccee452b36a4ae5bb20d382ca11517ak/Wireless-Controller-Gamepad-For-Nitendo-Swich-Nintendo-Switch-Accessories-Bluetooth-Game-Pad-Gaming-Control-Joystick-Triggers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2ccee452b36a4ae5bb20d382ca11517ak.jpg,https://ae04.alicdn.com/kf/H67256ee10682414480f8b6ef065291f1v.jpg,https://ae04.alicdn.com/kf/Ha1016a56781b407f8e386d550e09b357F.jpg,https://ae04.alicdn.com/kf/Hea235e446ffc412298f092840e4c39f67.jpg,https://ae04.alicdn.com/kf/Hca057021ee54460ca2354c3aca4b9bc5A.jpg,",https://www.aliexpress.com/item/1005003076963748.html,49.80,49.80,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_ApSEa6
Games & Accessories,100000310,GameSir T1s Bluetooth Wireless Gamepad Mobile Game Controller Dual Wireless Connection for PUBG Call of Duty Android PC Joystick,1005003100716758,https://ae01.alicdn.com/kf/He4092484b55344d69ea310a21bbecd69b/GameSir-T1s-Bluetooth-Wireless-Gamepad-Mobile-Game-Controller-Dual-Wireless-Connection-for-PUBG-Call-of-Duty.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He4092484b55344d69ea310a21bbecd69b.jpg,https://ae04.alicdn.com/kf/H4d867b94e70840559a680469a3fd715cv.jpg,https://ae04.alicdn.com/kf/H741adbd866154ff3b58a34b7ffaa4a98Y.jpg,https://ae04.alicdn.com/kf/H34e33fb4143c44e488ccd1311e4fe814b.jpg,https://ae04.alicdn.com/kf/H9c7849735e384cfcb0b6b01492273994a.jpg,",https://www.aliexpress.com/item/1005003100716758.html,21.90,20.80,40.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_A8W03U
