Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Internal Storage,200154144,SanDisk Micro SD Card 16GB 32GB MicroSDHC Memory Card 64GB 128GB 256GB MicroSDXC EXTREME PRO V30 U3 4K UHD TF Cards,32953910400,https://ae01.alicdn.com/kf/HTB1l4SGXULrK1Rjy0Fjq6zYXFXa9/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1l4SGXULrK1Rjy0Fjq6zYXFXa9/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg,https://ae01.alicdn.com/kf/HTB1zuOyXFzsK1Rjy1Xbq6xOaFXa4/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg,https://ae01.alicdn.com/kf/HTB1ntSEXIvrK1Rjy0Feq6ATmVXau/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg,https://ae01.alicdn.com/kf/HTB1hf5GXIrrK1Rjy1zeq6xalFXaH/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg,https://ae01.alicdn.com/kf/HTB1Gi1HXPDuK1RjSszdq6xGLpXac/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30.jpg,",https://www.aliexpress.com/item/SanDisk-Micro-SD-Card-16GB-32GB-MicroSDHC-Memory-Card-64GB-128GB-256GB-MicroSDXC-EXTREME-PRO-V30/32953910400.html,6.65,3.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AFuf1N
Internal Storage,200154144,Baseus 2 in 1 Card Reader USB 3.0 &USB Type C to SD Micro SD TF Card Reader OTG Adapter Smart Memory Microsd Cardreader For iPad,4000782622962,https://ae01.alicdn.com/kf/Hb029d0f747de4984847e7ac4bdcac5eft/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hb029d0f747de4984847e7ac4bdcac5eft/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg,https://ae01.alicdn.com/kf/H62d65ce3397a4d188e148aae1bd60cb6P/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg,https://ae01.alicdn.com/kf/Hbeaddde34b094959be6bc97dec889fbch/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg,https://ae01.alicdn.com/kf/H07e5c6b77bbf4e738d020d81bca5cba3c/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg,https://ae01.alicdn.com/kf/Hfde8c6b4beed45c1a49494340248a43aP/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD.jpg,",https://www.aliexpress.com/item/Baseus-2-in-1-Card-Reader-USB-3-0-USB-Type-C-to-SD-Micro-SD/4000782622962.html,16.29,10.59,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_A9A8rV
Internal Storage,200154144,SanDisk Memory Card Micro SD 128GB 200GB 256GB 64GB 32GB 16GB Class 10 UHS-1 SDHC/SDXC Max 100M/s TF Trans Flash Mikro Card,32864018989,https://ae01.alicdn.com/kf/HTB1u58pXyLxK1Rjy0Ffq6zYdVXaY/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1u58pXyLxK1Rjy0Ffq6zYdVXaY/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg,https://ae01.alicdn.com/kf/HTB1Ui0WdiMnBKNjSZFCq6x0KFXaM/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg,https://ae01.alicdn.com/kf/HTB1grdplL9TBuNjy0Fcq6zeiFXa0/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg,https://ae01.alicdn.com/kf/HTB11BBqXvfsK1RjSszgq6yXzpXay/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg,https://ae01.alicdn.com/kf/HTB1WfRpXpzsK1Rjy1Xbq6xOaFXa7/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC.jpg,",https://www.aliexpress.com/item/SanDisk-Memory-Card-Micro-SD-128GB-200GB-256GB-64GB-32GB-16GB-Class-10-UHS-1-SDHC/32864018989.html,4.93,3.70,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AdDEyn
Internal Storage,200154144,SanDisk Extreme PRO microsd 256GB UHS-I Memory Card 512GB micro SD Card 64GB TF Card 170MB/s Class10 U3 V30 A2 cartao de memoria,32952032957,https://ae01.alicdn.com/kf/HTB1r2muXUrrK1RkSne1q6ArVVXaO/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1r2muXUrrK1RkSne1q6ArVVXaO/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg,https://ae01.alicdn.com/kf/HTB1oeWvXPDuK1RjSszdq6xGLpXaH/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg,https://ae01.alicdn.com/kf/HTB1F6WqXUvrK1RjSszfq6xJNVXaJ/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg,https://ae01.alicdn.com/kf/HTB1Y4qrXOzxK1RkSnaVq6xn9VXao/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg,https://ae01.alicdn.com/kf/H0cbdfab0071342e9940e96546ba8c2be6/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card.jpg,",https://www.aliexpress.com/item/SanDisk-Extreme-PRO-microsd-256GB-UHS-I-Memory-Card-512GB-micro-SD-Card-64GB-TF-Card/32952032957.html,26.65,15.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A0l1nD
Internal Storage,200154144,ORICO Universal Card Reader Mobile Phone Tablet PC USB 3.0 5Gbps for Micro TF Flash Memory Card,32810358149,https://ae01.alicdn.com/kf/H735508bcdc1e41da85f7b12c1699a579X/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H735508bcdc1e41da85f7b12c1699a579X/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg,https://ae01.alicdn.com/kf/HTB12cBPRXXXXXbCXFXXq6xXFXXX2/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg,https://ae01.alicdn.com/kf/HTB1TxucRXXXXXaSXXXXq6xXFXXXw/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg,https://ae01.alicdn.com/kf/HTB1xzR2RXXXXXaSXpXXq6xXFXXXE/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg,https://ae01.alicdn.com/kf/HTB1FNpMRXXXXXaGXVXXq6xXFXXX1/ORICO-USB-3-0-Type-C-Card-Reader-OTG-for-Micro-TF-Flash-Smart-Memory-Card.jpg,",https://www.aliexpress.com/item/ORICO-Universal-Card-Reader-Mobile-Phone-Tablet-PC-USB-3-0-5Gbps-for-Micro-TF-Flash/32810358149.html,5.44,2.83,8.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_9AGtoT
Internal Storage,200154144,"MLC Original Transcend Brand 633X Micro SD Card 32GB 64GB Class10 UHS-I U3, Tarjeta Micro SD 32GB 1080p full-HD 3D 4K Video Card",32575109654,https://ae01.alicdn.com/kf/HTB1HxkTIKuSBuNjSsziq6zq8pXaS/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1HxkTIKuSBuNjSsziq6zq8pXaS/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg,https://ae01.alicdn.com/kf/HTB1_AZBIH1YBuNjSszhq6AUsFXaK/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg,https://ae01.alicdn.com/kf/H4b0f4a0683794b4bb5566fb07deacdffA/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg,https://ae01.alicdn.com/kf/HTB1ROzjmpkoBKNjSZFkq6z4tFXaR/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg,https://ae01.alicdn.com/kf/HTB1UfnnmBsmBKNjSZFFq6AT9VXaO/Samsung-PRO-Endurance-microSD-Card-128GB-64GB-SDXC-32GB-SDHC-U1-Class10-TF-Card-For-Video.jpg,",https://www.aliexpress.com/item/MLC-Original-Transcend-Brand-633X-Micro-SD-Card-32GB-64GB-Class10-UHS-I-U3-Tarjeta-Micro/32575109654.html,19.63,11.78,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A26qe7
Internal Storage,200154144,SanDisk MAX ENDURANCE micro SD Card 32GB 64GB 128GB 256GB High Endurance Video Monitoring Memory Card C10 U3 V30 4K for drones,1005001682299181,https://ae01.alicdn.com/kf/H44d2bbe157154ee79d218164ed6badbeV/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H44d2bbe157154ee79d218164ed6badbeV/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg,https://ae01.alicdn.com/kf/H4f1a7c59c81d469f9fc6a9b7dc1da4201/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg,https://ae01.alicdn.com/kf/H5d1aa952d4eb4440ba1d3ee7fc864ef6x/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg,https://ae01.alicdn.com/kf/H9b03bbf2eb044700a2727ce23632265dJ/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg,https://ae01.alicdn.com/kf/H71599a0205404e98a05adcea00b68457t/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card.jpg,",https://www.aliexpress.com/item/SanDisk-MAX-ENDURANCE-micro-SD-Card-32GB-64GB-128GB-256GB-High-Endurance-Video-Monitoring-Memory-Card/1005001682299181.html,19.98,9.39,8.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_AWzBir
Internal Storage,200154144,Baseus 2 in 1 Card Reader USB 3.0 Type C to SD Micro SD TF Adapter for PC Laptop OTG Cardreader Smart Memory Microsd Card Reader,4000338162833,https://ae01.alicdn.com/kf/H2082832d829a435fa8e93703428b93e4y/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H2082832d829a435fa8e93703428b93e4y/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg,https://ae01.alicdn.com/kf/Hf63b87fcddd74177810f86c9456682b4D/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg,https://ae01.alicdn.com/kf/H802c9e682fff4ab3bcb80588230c0e19h/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg,https://ae01.alicdn.com/kf/H913d5e1ce8884479aacea2eae5829133d/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg,https://ae01.alicdn.com/kf/H8e3005f675c5470789f70de08ece3712E/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF.jpg,",https://www.aliexpress.com/item/Baseus-2-in-1-Card-Reader-USB-3-0-Type-C-to-SD-Micro-SD-TF/4000338162833.html,23.06,14.99,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9f0q8J
Internal Storage,200154144,4 In 1 Card Reader USB Type-C Micro USB Lighting High-speed Universal Card Reader for Apple Android Computer Extension Headers,4000493935005,https://ae01.alicdn.com/kf/H937162bb63a14b469a6c586863f228f5b/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H937162bb63a14b469a6c586863f228f5b/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg,https://ae01.alicdn.com/kf/H996a483e21fb479caea46211d8a035eae/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg,https://ae01.alicdn.com/kf/H2d2ad071eeae4c3089503463b46c2ef0O/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg,https://ae01.alicdn.com/kf/Hea4098234e144cc3bb474c43985fd864M/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg,https://ae01.alicdn.com/kf/Hec34671914a94634aac53779e5ad691eY/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader.jpg,",https://www.aliexpress.com/item/4-In-1-Card-Reader-USB-Type-C-Micro-USB-Lighting-High-speed-Universal-Card-Reader/4000493935005.html,5.00,4.55,18.00%,2098-12-31,9%,https://s.click.aliexpress.com/e/_AsdRfp
Internal Storage,200154144,SanDisk MAX ENDURANCE microSD Memory Card 256GB 128GB 64GB 32GB Record in Full HD or 4K for action cameras or drones,1005001682814532,https://ae01.alicdn.com/kf/H87f05f893bc54a3c8189456736d64d8ab/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H87f05f893bc54a3c8189456736d64d8ab/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg,https://ae01.alicdn.com/kf/H13dab9daa8a24e0fb97be19cdeef9f3cr/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg,https://ae01.alicdn.com/kf/H27e740f54ce145978093a1515999889a3/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg,https://ae01.alicdn.com/kf/Hb77287948ba04ddcbd02466468e2e43em/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg,https://ae01.alicdn.com/kf/H9c6ff5ed23df42279dd17758f78d247ft/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K.jpg,",https://www.aliexpress.com/item/SanDisk-MAX-ENDURANCE-microSD-Memory-Card-256GB-128GB-64GB-32GB-Record-in-Full-HD-or-4K/1005001682814532.html,18.65,14.92,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9AELin
