Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Lighting Accessories,530,Better 220V Lamp Light Digital Wireless Remote Control Switch ON/OFF Wireless Wall Remote Control Switch Receiver Transmitter,1005003108626369,https://ae01.alicdn.com/kf/H55ccf7c94a84489780f0decdabba143bm/Better-220V-Lamp-Light-Digital-Wireless-Remote-Control-Switch-ON-OFF-Wireless-Wall-Remote-Control-Switch.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H55ccf7c94a84489780f0decdabba143bm.jpg,https://ae04.alicdn.com/kf/Hb7a6d56c995a465c991d269fd6350cd3K.jpg,https://ae04.alicdn.com/kf/Hd49bf25c54c749f7ad216970c95f8c17M.jpg,https://ae04.alicdn.com/kf/H4ba11fc72e7b4375943d044c2035d50ea.jpg,https://ae04.alicdn.com/kf/H44b81ac8e357477f932e4a9dadd59cddT.jpg,",https://www.aliexpress.com/item/1005003108626369.html,2.68,1.45,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_ACU41g
Lighting Accessories,530,24V Power Supply Adapter 36 V Power Adapter AC DC 24V TO 48V 2A 110V TO 220V EU US UK AU Plug for LED Strip Light Led Driver DC,4000089421579,https://ae01.alicdn.com/kf/H61426a8a73194c08abf8b1c5089c7810Y/24V-Power-Supply-Adapter-36-V-Power-Adapter-AC-DC-24V-TO-48V-2A-110V-TO.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H61426a8a73194c08abf8b1c5089c7810Y.jpg,https://ae04.alicdn.com/kf/Hc2701bd16d6e4bf592814bfa9302ae284.jpg,https://ae04.alicdn.com/kf/H9d6633fa585446c697dd18f485cca11cV.jpg,https://ae04.alicdn.com/kf/H17a95b1a4eab489794da95d7fabc03bay.jpg,https://ae04.alicdn.com/kf/H28270b7f14214305b82f42596cf4b60fU.jpg,",https://www.aliexpress.com/item/4000089421579.html,17.08,13.66,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A6Kpru
Lighting Accessories,530,AC85-265V Led Lamp Holder E27 Socket EU/US Plug Single/Double Flexible Clip Switch Lamp Socket Desk Light LED Plant Grow Bulb,4000970886608,https://ae01.alicdn.com/kf/H86051691f0964f0ebb7b460bf8569330i/AC85-265V-Led-Lamp-Holder-E27-Socket-EU-US-Plug-Single-Double-Flexible-Clip-Switch-Lamp.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H86051691f0964f0ebb7b460bf8569330i.jpg,https://ae04.alicdn.com/kf/H3c341637fd1448e1aceb2301ec9db89e1.jpg,https://ae04.alicdn.com/kf/H359b297722254a998aa9a6e5a7a28957y.jpg,https://ae04.alicdn.com/kf/H510e0093b05044dc855946c4f5d853e9f.jpg,https://ae04.alicdn.com/kf/H6a74d86c359242bd86c1ef879ce69845g.jpg,",https://www.aliexpress.com/item/4000970886608.html,16.87,7.76,8.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_ABGEwK
Lighting Accessories,530,Crystal Maple Leaf Prism 38mm Various Color Glass Chandelier Pendant Parts Decorative Chandelier Wedding,1005003087224265,https://ae01.alicdn.com/kf/Hd102f836e5c74f64bc6ee6eb6891b0ed1/Crystal-Maple-Leaf-Prism-38mm-Various-Color-Glass-Chandelier-Pendant-Parts-Decorative-Chandelier-Wedding.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd102f836e5c74f64bc6ee6eb6891b0ed1.jpg,https://ae04.alicdn.com/kf/Hfcec4b59cf9546b1986c0b7fe68af0acA.jpg,https://ae04.alicdn.com/kf/H61104095d9ca4974ae6aa544ef1a28e0J.jpg,https://ae04.alicdn.com/kf/H1a5340b6871747d78b97e007545e3c07v.jpg,https://ae04.alicdn.com/kf/Hcbc0c0c9a3ef4ed6b441921fc53d4de6G.jpg,",https://www.aliexpress.com/item/1005003087224265.html,12.38,9.90,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AMCwYe
Lighting Accessories,530,100PCS High CRI 95+ 2835 SMD LED 3V 60ma 16-26lm 2600-7000K Available For LED Lighting,4000389792048,https://ae01.alicdn.com/kf/Hcf9e89040d7a48a897fb3f46d79d4c72C/100PCS-High-CRI-95-2835-SMD-LED-3V-60ma-16-26lm-2600-7000K-Available-For-LED.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcf9e89040d7a48a897fb3f46d79d4c72C.jpg,https://ae04.alicdn.com/kf/H6e2db403826540ca8679ba5b964c7b8en.jpg,https://ae04.alicdn.com/kf/H4c0f106e1f684a2eb0240b54d74588b1u.jpg,https://ae04.alicdn.com/kf/HTB1sOWiSFXXXXXDXVXXq6xXFXXXi.jpg,",https://www.aliexpress.com/item/4000389792048.html,3.67,3.38,8.00%,2098-12-31,8%,https://s.click.aliexpress.com/e/_97PyoI
Lighting Accessories,530,Electronic Candle Lotus Light Floating Flower Waterproof Lamp Night Light For Pool Pond Garden Decoration,1005002389117357,https://ae01.alicdn.com/kf/Hc8c71ac39f4a44bbbdea66352719e8d90/Electronic-Candle-Lotus-Light-Floating-Flower-Waterproof-Lamp-Night-Light-For-Pool-Pond-Garden-Decoration.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc8c71ac39f4a44bbbdea66352719e8d90.jpg,https://ae04.alicdn.com/kf/H1a268b151d6049adb4b59fbccb008e7bz.jpg,https://ae04.alicdn.com/kf/H5801ddfdb46f45d3b52a233a6da3d7950.jpg,https://ae04.alicdn.com/kf/H84e9d42e4b6048a19b6496995a6f4aee6.jpg,https://ae04.alicdn.com/kf/Hf4fda282ed04481bb85c26632726c06e8.jpg,",https://www.aliexpress.com/item/1005002389117357.html,2.25,1.78,10.00%,2098-12-31,21%,https://s.click.aliexpress.com/e/_9IxcJ4
Lighting Accessories,530,Vintage Retro Edison Lamp E27 Socket Pendant Lights Bulb Socket Screw Base Aluminum Light Industrial Retro Lamp Holder Fitting,33012307938,https://ae01.alicdn.com/kf/HTB103ILTpzqK1RjSZFoq6zfcXXak/Vintage-Retro-Edison-Lamp-E27-Socket-Pendant-Lights-Bulb-Socket-Screw-Base-Aluminum-Light-Industrial-Retro.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB103ILTpzqK1RjSZFoq6zfcXXak.jpg,https://ae04.alicdn.com/kf/HTB1bZQJTCzqK1RjSZFHq6z3CpXax.jpg,https://ae04.alicdn.com/kf/HTB1iuZBTwTqK1RjSZPhq6xfOFXak.jpg,https://ae04.alicdn.com/kf/HTB1mwEUTxjaK1RjSZFAq6zdLFXao.jpg,https://ae04.alicdn.com/kf/HTB1NuEPTwHqK1RjSZJnq6zNLpXaM.jpg,",https://www.aliexpress.com/item/33012307938.html,5.38,0.99,8.00%,2098-12-31,81%,https://s.click.aliexpress.com/e/_AY4kHu
Lighting Accessories,530,Baseus Magnetic Base Lamp Holder For Baseus Desk Lamp Table Lamp Night Lights,1005002524956797,https://ae01.alicdn.com/kf/Hbedc08a06a564c7a95d4420180451627C/Baseus-Magnetic-Base-Lamp-Holder-For-Baseus-Desk-Lamp-Table-Lamp-Night-Lights.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbedc08a06a564c7a95d4420180451627C.jpg,https://ae04.alicdn.com/kf/Hf3fa9502e1cb4df5873ee928ec8ceedaI.jpg,https://ae04.alicdn.com/kf/H23239463a1324d6f9a30f65064c85f7aD.jpg,https://ae04.alicdn.com/kf/Hbead1692cc2b4d05a167e7f62b20cfdfD.jpg,https://ae04.alicdn.com/kf/Hccbe1f537f74429797899b71e5db72b16.jpg,",https://www.aliexpress.com/item/1005002524956797.html,12.08,7.25,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9QsWuI
Lighting Accessories,530,220V Lamp Light Digital Wireless Remote Control Switch ON/OFF Wireless Wall Remote Control Switch Receiver Transmitter,1005003108414978,https://ae01.alicdn.com/kf/Ha5a01b64910c4dd7b16d30d52b41a15dB/220V-Lamp-Light-Digital-Wireless-Remote-Control-Switch-ON-OFF-Wireless-Wall-Remote-Control-Switch-Receiver.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha5a01b64910c4dd7b16d30d52b41a15dB.jpg,https://ae04.alicdn.com/kf/H480f5219f0d343049a72222fd2deb3caf.jpg,https://ae04.alicdn.com/kf/Hb045fbb878eb4a3898d2dce022b0ee01n.jpg,https://ae04.alicdn.com/kf/H7a59d153dec746bdbfe07016ff2602aeB.jpg,https://ae04.alicdn.com/kf/He9fc0249897f40bd9de81dcf0d4f47db7.jpg,",https://www.aliexpress.com/item/1005003108414978.html,2.68,1.45,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_A47sWS
Lighting Accessories,530,LED Transformer 220V TO 12V LED Driver AC DC Power Supply Adapter 12V 18W 28W 36W 48W 72W 100W LED Driver Lighting Power Supply,4000730313396,https://ae01.alicdn.com/kf/H82fd20cdaa994de09e6976886172e334S/LED-Transformer-220V-TO-12V-LED-Driver-AC-DC-Power-Supply-Adapter-12V-18W-28W-36W.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H82fd20cdaa994de09e6976886172e334S.jpg,https://ae04.alicdn.com/kf/H9a31276355714486aec49451e56585634.jpg,https://ae04.alicdn.com/kf/Hb1f0effc9cde4893b607ac81ad7fb39dh.jpg,https://ae04.alicdn.com/kf/H163b572fac544025b2079be9bbb4eb111.jpg,https://ae04.alicdn.com/kf/Hcdec8c9c4e264b76a21d18ab388efb45p.jpg,",https://www.aliexpress.com/item/4000730313396.html,7.27,5.09,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AffAJM
