Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Novelty Lighting,200001067,Baseus Novelty LED Night Lights PIR Motion Sensor Light USB Rechargeable Bedside Wall Lamp Smart Home for Kitchen Closet Cabinet,4001075965973,https://ae01.alicdn.com/kf/Hd015cfb05cce4bb0900c388c0ecad39eQ/Baseus-Novelty-LED-Night-Lights-PIR-Motion-Sensor-Light-USB-Rechargeable-Bedside-Wall-Lamp-Smart-Home.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd015cfb05cce4bb0900c388c0ecad39eQ.jpg,https://ae04.alicdn.com/kf/H7d5a15313f184f909d1209d2e9ad26136.jpg,https://ae04.alicdn.com/kf/H827f77bae2924ace85d8828e5fc0b0c8j.jpg,https://ae04.alicdn.com/kf/H25380cecd81742d0b73bc739cda30134f.jpg,https://ae04.alicdn.com/kf/Hb859726fc99b4af091d00db2ee36333eH.jpg,",https://www.aliexpress.com/item/4001075965973.html,28.32,16.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AqTnnC
Novelty Lighting,200001067,5Pcs 10CM Acrylic LED Flashing Coasters Light Up Cocktail Wine Glass Cup Mat for Xams Bar Event Holiday Wedding Party Decoration,4000923090298,https://ae01.alicdn.com/kf/H64e886a53bd843f9a30c671aebb0171cF/5Pcs-10CM-Acrylic-LED-Flashing-Coasters-Light-Up-Cocktail-Wine-Glass-Cup-Mat-for-Xams-Bar.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H64e886a53bd843f9a30c671aebb0171cF.jpg,https://ae04.alicdn.com/kf/Hf52ce881243e4c0db13d85538976d0c3W.jpg,https://ae04.alicdn.com/kf/Hd872fb26b6104abcae8a30ec0dab2bd9C.jpg,https://ae04.alicdn.com/kf/H797e01a453dd4fe687c0b610e04f9b56z.jpg,https://ae04.alicdn.com/kf/H9d1ffc55f64048e3a17edbe2c6e24fadd.jpg,",https://www.aliexpress.com/item/4000923090298.html,18.23,13.67,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_A6HQwi
Novelty Lighting,200001067,D2 Plasma Ball Lamp Party Lights Crysta Magic Ball Ion Sphere Night Light Atmosphere Lamps Novelty Night Light Kids Best Gift,1005003109483866,https://ae01.alicdn.com/kf/H633131ab06f74e4586e7100d19728178n/D2-Plasma-Ball-Lamp-Party-Lights-Crysta-Magic-Ball-Ion-Sphere-Night-Light-Atmosphere-Lamps-Novelty.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H633131ab06f74e4586e7100d19728178n.jpg,https://ae04.alicdn.com/kf/He909cdd0c01346f2baed459e1a58d4216.jpg,https://ae04.alicdn.com/kf/Hfd0526f51b14416189872a8adef073b2p.jpg,https://ae04.alicdn.com/kf/Hf8553a27093d47c89d9bea4cda589a7fd.jpg,https://ae04.alicdn.com/kf/H28ff692ed502431ca019fd6e7ce214bfP.jpg,",https://www.aliexpress.com/item/1005003109483866.html,13.93,11.00,8.00%,2098-12-31,21%,https://s.click.aliexpress.com/e/_AnB7lU
Novelty Lighting,200001067,Waterproof 5 LED Acrylic Bird Garland Lights String Christmas Home Garden Party Decoration Holiday Solar Powered Landscape Fairy,1005001900639813,https://ae01.alicdn.com/kf/H912c953413b04444ae4d5195b8fa25b1V/Waterproof-5-LED-Acrylic-Bird-Garland-Lights-String-Christmas-Home-Garden-Party-Decoration-Holiday-Solar-Powered.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H912c953413b04444ae4d5195b8fa25b1V.jpg,https://ae04.alicdn.com/kf/Hd1015eb33b534e4ebdd3acdd8ddc6c771.jpg,https://ae04.alicdn.com/kf/H1e954e7da3bc4d13b90e9f57509858f7M.jpg,https://ae04.alicdn.com/kf/Haf2f358125e0465686067a2454890bffk.jpg,https://ae04.alicdn.com/kf/H97b0845ae6f5419d8a0cf14051f02668O.jpg,",https://www.aliexpress.com/item/1005001900639813.html,14.13,9.75,8.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_A6kbOO
Novelty Lighting,200001067,Rainbow Sunset Projection Lamps Atmosphere Night Light Home Coffee Shop Background Wall Decoration Colorful Lamp Dropshipping,1005002413661456,https://ae01.alicdn.com/kf/Hd8a94696ed2e4cc59f717d3185ab06e6z/Rainbow-Sunset-Projection-Lamps-Atmosphere-Night-Light-Home-Coffee-Shop-Background-Wall-Decoration-Colorful-Lamp-Dropshipping.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8a94696ed2e4cc59f717d3185ab06e6z.jpg,https://ae04.alicdn.com/kf/H61e4b07e18814385aef0268e9dfdd463p.jpg,https://ae04.alicdn.com/kf/H9d90e8cd30fa4aeeb3c1aeacdcb7c5cdQ.jpg,https://ae04.alicdn.com/kf/Hbc27039567a242f089e3977f3d691d719.jpg,https://ae04.alicdn.com/kf/H641f96caf9b84f9780ae5463a31949d0R.jpg,",https://www.aliexpress.com/item/1005002413661456.html,5.14,3.60,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AaoN1M
Novelty Lighting,200001067,Sunset Projection LED Night Lights Live Broadcast Background Sun Projector Atmosphere Rainbow Lamp Decoration For Party Bedroom,1005002281240631,https://ae01.alicdn.com/kf/H9ee5cac8b45140ada07348470f824185q/Sunset-Projection-LED-Night-Lights-Live-Broadcast-Background-Sun-Projector-Atmosphere-Rainbow-Lamp-Decoration-For-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9ee5cac8b45140ada07348470f824185q.jpg,https://ae04.alicdn.com/kf/Hc41f5cdc29654df1ba733729076df246z.jpg,https://ae04.alicdn.com/kf/H71d4455c739f4a618f73013c78a17461u.jpg,https://ae04.alicdn.com/kf/H2d035a5e505747bab6e8fd648ef4103eg.jpg,https://ae04.alicdn.com/kf/H1d4b1e918c50405cbe427787718dbd52s.jpg,",https://www.aliexpress.com/item/1005002281240631.html,50.98,13.25,15.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_AevzU6
Novelty Lighting,200001067,Creative Santa Claus Elk Flame Light Snowman Lantern Light Merry Christmas Decor Home Christmas Tree Ornament Room Decoration,1005003105755357,https://ae01.alicdn.com/kf/H80878bf52bcc49779dccc0275d44f40al/Creative-Santa-Claus-Elk-Flame-Light-Snowman-Lantern-Light-Merry-Christmas-Decor-Home-Christmas-Tree-Ornament.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80878bf52bcc49779dccc0275d44f40al.jpg,https://ae04.alicdn.com/kf/H139d9e37970a4f58a45232a16cce2fddk.jpg,https://ae04.alicdn.com/kf/H4a0ee173ad31456fb301ade1059fb1d1z.jpg,https://ae04.alicdn.com/kf/Hff5a60c12ec64b04ae73d8eadc285628C.jpg,https://ae04.alicdn.com/kf/Hd60cc7b6585f4b1291e011044eca9791m.jpg,",https://www.aliexpress.com/item/1005003105755357.html,3.93,2.16,20.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_ALmf2q
Novelty Lighting,200001067,"Kids Night Light Cute Animals Nursery Light for Baby and Toddler, Tap Control, USB Rechargeable Battery, Dimmable Night Light",1005003101859105,https://ae01.alicdn.com/kf/H0543ffed43804787b75d1bb7353d05c4B/Kids-Night-Light-Cute-Animals-Nursery-Light-for-Baby-and-Toddler-Tap-Control-USB-Rechargeable-Battery.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0543ffed43804787b75d1bb7353d05c4B.jpg,https://ae04.alicdn.com/kf/H9aa3c9b00f0744eb8359b59da1677b6aj.jpg,https://ae04.alicdn.com/kf/H2fbc731ce8474367ab36c3773da69affF.jpg,https://ae04.alicdn.com/kf/H36953a68ef454f1ebef0fed40478d520d.jpg,https://ae04.alicdn.com/kf/H007f8a29fb21436a9ac78cc1ea44771cF.jpg,",https://www.aliexpress.com/item/1005003101859105.html,8.35,8.35,20.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9QGqNg
Novelty Lighting,200001067,"130 db Safesound Personal Security Alarm Keychain Light Self Defense Electronic Device as Bag Decoration for Women,Kids,Girls",32996596489,https://ae01.alicdn.com/kf/HTB1XXwWO9zqK1RjSZPxq6A4tVXaH/130-db-Safesound-Personal-Security-Alarm-Keychain-Light-Self-Defense-Electronic-Device-as-Bag-Decoration-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1XXwWO9zqK1RjSZPxq6A4tVXaH.jpg,https://ae04.alicdn.com/kf/HTB16cQ0O4TpK1RjSZR0q6zEwXXaD.jpg,https://ae04.alicdn.com/kf/HTB1z5k3OVYqK1RjSZLeq6zXppXa1.jpg,https://ae04.alicdn.com/kf/HTB16gk9OVzqK1RjSZFvq6AB7VXaN.jpg,https://ae04.alicdn.com/kf/HTB1I7.YOYPpK1RjSZFFq6y5PpXaQ.jpg,",https://www.aliexpress.com/item/32996596489.html,2.96,2.66,8.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_ABVxaQ
Novelty Lighting,200001067,Portable Retro Lamp USB Charging Wooden Led Lamp 360 Degree Folding Organ Lamp for Bedroom Dorm Study  Folding Organ Light,1005003098331894,https://ae01.alicdn.com/kf/Hab3dd25e42f24da189541e3b9c8b0c8eB/Portable-Retro-Lamp-USB-Charging-Wooden-Led-Lamp-360-Degree-Folding-Organ-Lamp-for-Bedroom-Dorm.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hab3dd25e42f24da189541e3b9c8b0c8eB.jpg,https://ae04.alicdn.com/kf/H96ad583bb21b460788c1bb5ccba705274.jpg,https://ae04.alicdn.com/kf/H0a9eab3ea290479db66e8188f6945168S.jpg,https://ae04.alicdn.com/kf/Hf8eb8cdcdbdb49c0830145ae5f65063aw.jpg,https://ae04.alicdn.com/kf/H341f341a6559465f83dbe6252cc802ebr.jpg,",https://www.aliexpress.com/item/1005003098331894.html,83.26,41.63,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9uivPu
