Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Mobile Phone Accessories,100001205,Leather Wallet Case For Samsung Galaxy A12 5G Flip Cover Funda For A 12 A125 SM-A125F A125M Painted Animal Case Phone Bags,1005002639141636,https://ae01.alicdn.com/kf/H143bf3585f7f463d8a85ad19d21a69e9V/Leather-Wallet-Case-For-Samsung-Galaxy-A12-5G-Flip-Cover-Funda-For-A-12-A125-SM.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H143bf3585f7f463d8a85ad19d21a69e9V.jpg,https://ae04.alicdn.com/kf/Hb424e9e8603642d3a06bdafe50f8119aD.jpg,https://ae04.alicdn.com/kf/Ha97d48653584434ba3588656221994719.jpg,https://ae04.alicdn.com/kf/Hf899c10252e443148727fbd0f862741ai.jpg,https://ae04.alicdn.com/kf/Hda8c3358d76b484b9c07dccd88dff68dO.jpg,",https://www.aliexpress.com/item/1005002639141636.html,5.02,4.12,4.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_AoO4qE
Mobile Phone Accessories,100001205,Vintage Leather Wallet Case for Samsung Galaxy A10 A20 A20e A30 A40 A50 A70 A80 A90 A21 A51 A71 M10 Flip Cover Card Slots Holder,10000157458508,https://ae01.alicdn.com/kf/H31777a492ab54519b9c350cc0cbc866c8/Vintage-Leather-Wallet-Case-for-Samsung-Galaxy-A10-A20-A20e-A30-A40-A50-A70-A80-A90.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H31777a492ab54519b9c350cc0cbc866c8.jpg,https://ae04.alicdn.com/kf/H3684dd9131a7436798def3e498d4fdd8P.jpg,https://ae04.alicdn.com/kf/H7f892fb985da4eedb6aa28634d338ba6S.jpg,https://ae04.alicdn.com/kf/Hb454951d504549f6ada4c0e9d662e032q.jpg,https://ae04.alicdn.com/kf/Hb8865ac4229048ae810b2e67accefb1ap.jpg,",https://www.aliexpress.com/item/10000157458508.html,3.99,1.99,4.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Arnuvs
Mobile Phone Accessories,100001205,Ultra Thin Leather Case for iPhone 12 Mini 11 Pro XS Max XR 8 7 6s 6 Plus SE 2020 Suede Magnetic Flip Cover Phone Wallet Bag,10000254899454,https://ae01.alicdn.com/kf/H85a26a851fdf4f3b8946ad8e6dbf8cd4Y/Ultra-Thin-Leather-Case-for-iPhone-12-Mini-11-Pro-XS-Max-XR-8-7-6s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H85a26a851fdf4f3b8946ad8e6dbf8cd4Y.jpg,https://ae04.alicdn.com/kf/H12960bc8268a4b408c230c3b122efc938.jpg,https://ae04.alicdn.com/kf/He958c257f6b3472d879bdfcfef158b19w.jpg,https://ae04.alicdn.com/kf/H99a00e5f7b9a4d44a2f6af9bed37babc5.jpg,https://ae04.alicdn.com/kf/H4e33123dfbdf4300853d490880dacc32g.jpg,",https://www.aliexpress.com/item/10000254899454.html,3.99,1.99,4.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A6I9EA
Mobile Phone Accessories,100001205,Leather Wallet Case For Samsung Galaxy J5 2016 J510 Flip Cover Funda For Samsung J5 2017 J530 Painted Animal Case Phone Bags,1005002844660998,https://ae01.alicdn.com/kf/He48ce333198540ed9a4f9f093c939e86G/Leather-Wallet-Case-For-Samsung-Galaxy-J5-2016-J510-Flip-Cover-Funda-For-Samsung-J5-2017.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He48ce333198540ed9a4f9f093c939e86G.jpg,https://ae04.alicdn.com/kf/H6a85bf3f3f2f48c8b26763dabf980975o.jpg,https://ae04.alicdn.com/kf/H4e5699ae066242bc82bb0d6d6199e140C.jpg,https://ae04.alicdn.com/kf/Hd942a8bf084f497cba9d239d4caf1665g.jpg,https://ae04.alicdn.com/kf/Hc54d85225576461496faede6cb9598938.jpg,",https://www.aliexpress.com/item/1005002844660998.html,5.02,4.12,4.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_9wFSYO
Mobile Phone Accessories,100001205,Leather Wallet Case For Xiaomi Redmi 9T Flip Cover na For Xiomi Redmi9 T Redmi9T 9 Power 9Power Painted Animal Case Phone Bags,1005002905308135,https://ae01.alicdn.com/kf/Hcb398cf939e14bc297becb5e7017cea1p/Leather-Wallet-Case-For-Xiaomi-Redmi-9T-Flip-Cover-na-For-Xiomi-Redmi9-T-Redmi9T-9.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcb398cf939e14bc297becb5e7017cea1p.jpg,https://ae04.alicdn.com/kf/H677cbe1f02d549e2aa69ab838ad67bd47.jpg,https://ae04.alicdn.com/kf/H0a903b29664a4411a8a9bae896b2fdccZ.jpg,https://ae04.alicdn.com/kf/H508e7738a97148aea1daddc0fee42bf9q.jpg,https://ae04.alicdn.com/kf/H52635f3b2f8f44818e38d49b805b73099.jpg,",https://www.aliexpress.com/item/1005002905308135.html,5.02,4.12,4.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_AN5Sa2
Mobile Phone Accessories,100001205,Leather Case for Xiaomi Poco X3 NFC M3 F3 10T Pro Lite Wallet Flip Cover Redmi Note 10 9 9s 9A 9C 8 7 Ultra Thin Coque Card Slot,1005002290512904,https://ae01.alicdn.com/kf/H4c6b302aaea64df0b4a5ba5966d31451p/Leather-Case-for-Xiaomi-Poco-X3-NFC-M3-F3-10T-Pro-Lite-Wallet-Flip-Cover-Redmi.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4c6b302aaea64df0b4a5ba5966d31451p.jpg,https://ae04.alicdn.com/kf/Hf500d4008a6649619c7ece162e1acc01g.jpg,https://ae04.alicdn.com/kf/Ha7d97ad5ed70421c8776642d1c9e2d7da.jpg,https://ae04.alicdn.com/kf/Ha834e908a9d945b08ddf40cbf9448636t.jpg,https://ae04.alicdn.com/kf/Hd75a10d2cef44ca38ca1e09b07dc3d2bO.jpg,",https://www.aliexpress.com/item/1005002290512904.html,3.89,1.99,4.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_9jtydo
Mobile Phone Accessories,100001205,Luxury Leather Case for HUAWEI P40 P30 P20 Pro Lite P Smart 2019 Wallet Flip Cover Mate 10 20 30 Pro Lite  Y5 Y9 with Card Slots,10000170925680,https://ae01.alicdn.com/kf/H925200856a1748ffa9d667eb1e2ce8d7B/Luxury-Leather-Case-for-HUAWEI-P40-P30-P20-Pro-Lite-P-Smart-2019-Wallet-Flip-Cover.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H925200856a1748ffa9d667eb1e2ce8d7B.jpg,https://ae04.alicdn.com/kf/Hc17fd103b39d4814a81fde5c897d5473o.jpg,https://ae04.alicdn.com/kf/Hf7cb30444ed64658a471f095f3c104416.jpg,https://ae04.alicdn.com/kf/H5f1db96bb2ef46eea867e48521a74e04E.jpg,https://ae04.alicdn.com/kf/Hc57dc8d2c54e4d7d8ab58e3bf34d14bcd.jpg,",https://www.aliexpress.com/item/10000170925680.html,3.99,1.99,4.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AaxDl8
Mobile Phone Accessories,100001205,Butterfly Leather Phone Case For Samsung Galaxy A02s A025 on For A02 EU A022 Card Holder Hasp Wallet Bag Flip Cover Etui,1005003082409658,https://ae01.alicdn.com/kf/Hfc3b50d63c1b4b43970c9b1a96785494t/Butterfly-Leather-Phone-Case-For-Samsung-Galaxy-A02s-A025-on-For-A02-EU-A022-Card-Holder.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfc3b50d63c1b4b43970c9b1a96785494t.jpg,https://ae04.alicdn.com/kf/H5892b2b27e7d4f11a2839d6b4b7d4874Y.jpg,https://ae04.alicdn.com/kf/H87d3bef85df844ba90c01b4aa88a1a93t.jpg,https://ae04.alicdn.com/kf/Hde1bc5207e60491aab27ddca4370d3dfh.jpg,https://ae04.alicdn.com/kf/Hb3ef6af6007e46e2a32f5d8506ef3e0bB.jpg,",https://www.aliexpress.com/item/1005003082409658.html,5.32,3.99,4.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_ANRPOW
Mobile Phone Accessories,100001205,Leather Case for OPPO F19 Pro Plus A94 A92S A92 A74 A72 A53S A53 A52 A33 A32 A11X A11 A9 A5 Realme C25 C21 C20 C3 C15 C12 5 5s,1005002713725178,https://ae01.alicdn.com/kf/H0346bb382ea147c0946cdc549e1fa9f1e/Leather-Case-for-OPPO-F19-Pro-Plus-A94-A92S-A92-A74-A72-A53S-A53-A52-A33.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0346bb382ea147c0946cdc549e1fa9f1e.jpg,https://ae04.alicdn.com/kf/H75bf35c1d414441793fdc429521b587eR.jpg,https://ae04.alicdn.com/kf/Hf104ffa7e33541f48293520d20a1a877K.jpg,https://ae04.alicdn.com/kf/H1d6563f62d6640268dba69a4098bb19bt.jpg,https://ae04.alicdn.com/kf/H3d02f1773e5642618e454f1f24b9b155F.jpg,",https://www.aliexpress.com/item/1005002713725178.html,3.99,3.59,4.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_9icbEW
Mobile Phone Accessories,100001205,Ultra Slim Matte Leather Flip Cover Wallet Phone Bag Case for Huawei P40 P30 P20 Pro Lite Mate 20 30 Pro Lite P Smart Plus 2019,10000160681107,https://ae01.alicdn.com/kf/H51ef10aa0a544ffc94358ac8fb55fec8A/Ultra-Slim-Matte-Leather-Flip-Cover-Wallet-Phone-Bag-Case-for-Huawei-P40-P30-P20-Pro.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H51ef10aa0a544ffc94358ac8fb55fec8A.jpg,https://ae04.alicdn.com/kf/H5ef0d14dcc7f4d3daeab8d7d93178936V.jpg,https://ae04.alicdn.com/kf/H04567c6373cc451eb9994e18a708a44d4.jpg,https://ae04.alicdn.com/kf/H8c24f2fcc8ef41e9a29e48939fcd89be3.jpg,https://ae04.alicdn.com/kf/Hd5bc3fb895c346f6b697d013f0db111b0.jpg,",https://www.aliexpress.com/item/10000160681107.html,3.99,3.59,4.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_AnCtL0
