Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Stress Relief Toy,200246142,Squishy Kawaii Plush Dog Antistress Toys Simulation Animal Keychain Поп Ит Special Needs Autism Adhd Toys For Kids Adult,1005003109738771,https://ae01.alicdn.com/kf/H0564d7e084774053a942f19df0299d2aj/Squishy-Kawaii-Plush-Dog-Antistress-Toys-Simulation-Animal-Keychain-Поп-Ит-Special-Needs-Autism-Adhd-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0564d7e084774053a942f19df0299d2aj.jpg,https://ae04.alicdn.com/kf/H04d47cc5ee7c4d9d9d79fc357a695cd1F.jpg,https://ae04.alicdn.com/kf/H87cd2fa3842b4364b306beb77a04a928l.jpg,https://ae04.alicdn.com/kf/H85ba82b55a864c6d9eef80546cab140bS.jpg,https://ae04.alicdn.com/kf/H4646b35c559b4f9198658fa3691cbfabK.jpg,",https://www.aliexpress.com/item/1005003109738771.html,3.30,1.55,8.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_Arij4w
Stress Relief Toy,200246142,1PC Random Color Tumbler Toy Egg Decompression Desktop Stress Relief Fun Fidget Toys Spinner Creative Kids Magic Gift,1005002348332018,https://ae01.alicdn.com/kf/H7fc2ca20ceb3470c8e28f4dcbb4f34e7h/1PC-Random-Color-Tumbler-Toy-Egg-Decompression-Desktop-Stress-Relief-Fun-Fidget-Toys-Spinner-Creative-Kids.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7fc2ca20ceb3470c8e28f4dcbb4f34e7h.jpg,https://ae04.alicdn.com/kf/Hd3fb787cc18e4820837fbc55d94619032.jpg,https://ae04.alicdn.com/kf/H136aa733373d4e7ea4aafe1d5068769bg.jpg,https://ae04.alicdn.com/kf/Hb9e4cd3540d44d928df0cd3fc07c832eL.jpg,https://ae04.alicdn.com/kf/H48d2c1dbc0264c8a9764ae5ecd35101at.jpg,",https://www.aliexpress.com/item/1005002348332018.html,2.90,1.45,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AU6aRc
Stress Relief Toy,200246142,New Creative Spinner Pen Toy Adult Glowing Lights Spinning Pen Toys Children Antistress Anti-slip Hand Spinner Pen Gifts,1005003109922513,https://ae01.alicdn.com/kf/H2403267d181e41dd887ce07fcb549634R/New-Creative-Spinner-Pen-Toy-Adult-Glowing-Lights-Spinning-Pen-Toys-Children-Antistress-Anti-slip-Hand.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2403267d181e41dd887ce07fcb549634R.jpg,https://ae04.alicdn.com/kf/Hd84e16fc13fb49c9af90e17baed8f3a1l.jpg,https://ae04.alicdn.com/kf/H8e0a0e6847314943bac3615e72e737fbV.jpg,https://ae04.alicdn.com/kf/Hc08b3a73289846358fd6f815ea74a46b2.jpg,https://ae04.alicdn.com/kf/H0a60cc50e3024cca9cc24a9fb723f3a5d.jpg,",https://www.aliexpress.com/item/1005003109922513.html,14.05,8.29,8.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_9wANca
Stress Relief Toy,200246142,Decompression Infinity Flip Magic Cube Unlimited Shape Puzzle Toys Relieve Stress Happy Children Adult Kaleidoscope fidget toys,1005003023500344,https://ae01.alicdn.com/kf/H27dafed1e985485ca8b1df926bb648e2S/Decompression-Infinity-Flip-Magic-Cube-Unlimited-Shape-Puzzle-Toys-Relieve-Stress-Happy-Children-Adult-Kaleidoscope-fidget.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H27dafed1e985485ca8b1df926bb648e2S.jpg,https://ae04.alicdn.com/kf/H3f0668fb8a5d42868c80481670231a439.jpg,https://ae04.alicdn.com/kf/H8710d4c736b84f82bf237e6e83331874l.jpg,https://ae04.alicdn.com/kf/H99c382d54585441894da9da6ac83af98F.jpg,https://ae04.alicdn.com/kf/H20e7554e2be542648f210f57b607fab4o.jpg,",https://www.aliexpress.com/item/1005003023500344.html,5.62,1.69,8.00%,2098-12-31,70%,https://s.click.aliexpress.com/e/_ArCHIW
Stress Relief Toy,200246142,5pcs Mini Pop Its Fidget Toys Kit Keychain Autism Squishy Stress Reliever Toys Adult Children Anti Stress Set Antistress Toys,1005003109577944,https://ae01.alicdn.com/kf/H0ddd4288c65e41bf95651dd96dc7b7bcQ/5pcs-Mini-Pop-Its-Fidget-Toys-Kit-Keychain-Autism-Squishy-Stress-Reliever-Toys-Adult-Children-Anti.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0ddd4288c65e41bf95651dd96dc7b7bcQ.jpg,https://ae04.alicdn.com/kf/H8ab6fc7b74e54e29baaeb7d743891b5cC.jpg,https://ae04.alicdn.com/kf/Hcbe8c341d1014723a038f2cbac60cf62X.jpg,https://ae04.alicdn.com/kf/H93ef46d4018744b5be3f8d4cb9cdd3c41.jpg,https://ae04.alicdn.com/kf/Hcb282c1c06934d5abdd2d31ec983101bq.jpg,",https://www.aliexpress.com/item/1005003109577944.html,11.65,6.87,10.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A7LXU2
Stress Relief Toy,200246142,Push Bubble Fidget Toys Anti Stress Set Strings Relief Adults Children Sensory Squishy Antistress Relief Anti Stress Figet  Toy,1005003110056414,https://ae01.alicdn.com/kf/H4061904d6c444d5d815db4c885dd08bdw/Push-Bubble-Fidget-Toys-Anti-Stress-Set-Strings-Relief-Adults-Children-Sensory-Squishy-Antistress-Relief-Anti.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4061904d6c444d5d815db4c885dd08bdw.jpg,https://ae04.alicdn.com/kf/H74a8b7d4bc884c8482458ac9c7dd6659O.jpg,https://ae04.alicdn.com/kf/Hb4d03fe66f2b471d923adfd790e089d6F.jpg,https://ae04.alicdn.com/kf/He8f39cd35cc648bfb7e20d45e1659eb5S.jpg,https://ae04.alicdn.com/kf/H303a5ab1f0fd417eb3ee06fd711f5a3fh.jpg,",https://www.aliexpress.com/item/1005003110056414.html,2.20,1.69,15.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_AEpYkO
Stress Relief Toy,200246142,Fidget Toys Kawaii Cartoon Animal Keychain Antistress Toy Simulation Animal Squishy Squeeze Ball Children&#39;s Toys Brinquedos,1005003109796255,https://ae01.alicdn.com/kf/Hf099335f586b4c48ba07bdf958628f8d1/Fidget-Toys-Kawaii-Cartoon-Animal-Keychain-Antistress-Toy-Simulation-Animal-Squishy-Squeeze-Ball-Children-39-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf099335f586b4c48ba07bdf958628f8d1.jpg,https://ae04.alicdn.com/kf/H8fa4cdb147994f2688f56321bae4c4a79.jpg,https://ae04.alicdn.com/kf/H6a42f3a57f6e4aa29427ba98da8f18dcZ.jpg,https://ae04.alicdn.com/kf/H58c7f0b7f8ad4604a065776eb7e13660M.jpg,https://ae04.alicdn.com/kf/Hf57c6c3931c04ea98a4cfc8841555995T.jpg,",https://www.aliexpress.com/item/1005003109796255.html,1.33,0.63,8.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_AV5QNs
Stress Relief Toy,200246142,Fingertips Fidget Flippy Anxiety Ring For Adult Antistress Magic Chain Spinner Toy Metal Keychain Emotional Vent Ring Toy Autism,1005002616237237,https://ae01.alicdn.com/kf/H1b0083df24e842c7a0dd65fc86dbf711Z/Fingertips-Fidget-Flippy-Anxiety-Ring-For-Adult-Antistress-Magic-Chain-Spinner-Toy-Metal-Keychain-Emotional-Vent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1b0083df24e842c7a0dd65fc86dbf711Z.jpg,https://ae04.alicdn.com/kf/H96ee60818a804b0f9db9346480089ee8k.jpg,https://ae04.alicdn.com/kf/H10110cabf57b434898b92b377ea088e3p.jpg,https://ae04.alicdn.com/kf/H214b43e7e4624086845fba46e36b2af5r.jpg,https://ae04.alicdn.com/kf/H5eb5582f075d49ba86a23a7a0d95b091a.jpg,",https://www.aliexpress.com/item/1005002616237237.html,4.42,2.65,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_ADV6AE
Stress Relief Toy,200246142,Antistress Toys Funny Red-eyed Cow Squishy Vent Toys Special Needs Autism Adhd Toys For Kids Adult Funny Children&#39;s Toys#fs,1005003109801282,https://ae01.alicdn.com/kf/Hac08ad373aa04383b0fec7ee17a21b39a/Antistress-Toys-Funny-Red-eyed-Cow-Squishy-Vent-Toys-Special-Needs-Autism-Adhd-Toys-For-Kids.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hac08ad373aa04383b0fec7ee17a21b39a.jpg,https://ae04.alicdn.com/kf/H8e8e84a21ec64747aa2ee386e72f6ee0i.jpg,https://ae04.alicdn.com/kf/Hb81647d9cda84b47b65c8b6d940e319ew.jpg,https://ae04.alicdn.com/kf/Hf8cf149c947044e9aa469213e8844e8bU.jpg,https://ae04.alicdn.com/kf/Hde8974697ac24241876b7905ab774a7fI.jpg,",https://www.aliexpress.com/item/1005003109801282.html,4.15,2.07,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ACv9pG
Stress Relief Toy,200246142,New Large-Size Fingertip Toys Push Bubble Pop Its Pendant New Bag Hot Sale Adults Decompression Toys Children Anti-Stress поп ит,1005003109648770,https://ae01.alicdn.com/kf/H4473ac0728a54bf68a2d3b056d4461c8m/New-Large-Size-Fingertip-Toys-Push-Bubble-Pop-Its-Pendant-New-Bag-Hot-Sale-Adults-Decompression.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4473ac0728a54bf68a2d3b056d4461c8m.jpg,https://ae04.alicdn.com/kf/H15318a8b2f8349de9429a7356f18f104J.jpg,https://ae04.alicdn.com/kf/H013a2b736f71438cb6d0b095d92ae07af.jpg,https://ae04.alicdn.com/kf/H910ea8a90d574767b2cb8682605f1b131.jpg,https://ae04.alicdn.com/kf/H80eabe945a27435da98b882e6eeca833f.jpg,",https://www.aliexpress.com/item/1005003109648770.html,33.31,19.65,10.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_9814No
