"ProductId","Image Url","Video Url","Product Desc","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Store Level","Comment Score","Promotion Url","Seller Code","Code Available Time Start","Code Available Time End","Code Campaign Type","Code Value/Rate","Code Mini Spend","Code Quantity","Code Promotion Url"
"33061923680","https://ae04.alicdn.com/kf/UTB8E7fHQarFXKJk43Ovq6ybnpXa9.jpg","","FIMI X8SE 2020 Camera Drone fuselage main body RC Helicopter 8KM FPV 3-axis Gimbal 4K Camera GPS RC Drone Quadcopter spare part","USD 285.00","5.00%","USD","7","USD 19.95","12","Good","4.7","https://s.click.aliexpress.com/e/_DBXhLb9",,,,,,,,
"1005004599139498","https://ae04.alicdn.com/kf/S41359113052443c3911894f21b0ac53c9.jpg","","New KF101 Max GPS 5G Wifi 3000M FPV RC Drone 4K HD Professional Camera 3-Axis Gimabal Brushless Foldable Dron RC Quadcopter Toys","USD 190.29","51.00%","USD","8.0","USD 15.22","1","Average","0","https://s.click.aliexpress.com/e/_Dlb4p4f",,,,,,,,
"1005004251608999","https://ae04.alicdn.com/kf/S762089c664fb4b49a5f29ee8ce703856k.jpg","https://cloud.video.taobao.com/play/u/2212922083797/p/1/e/6/t/10301/1100031604833.mp4","New RG101 MAX GPS Professional Drone HD Camera FPV 3Km Brushless Motor Aerial Photography Foldable Quadcopter Toy","USD 95.75","49.00%","USD","7","USD 6.70","11","Good","5","https://s.click.aliexpress.com/e/_Dnm6c7p",,,,,,,,
"1005003570117253","https://ae04.alicdn.com/kf/H390df1373cef4148a47922332fef8e1cy.jpg","","L106 Pro 3 Drone With WIFI 3-Axis Gimbal 4K HD Dual Camera Professional Mini GPS Dron FPV Brushless Motor Quadcopter 1.2km VS H4","USD 126.69","50.00%","USD","7","USD 8.87","1","Average","5","https://s.click.aliexpress.com/e/_DmJf163",,,,,,,,
"1005004370489294","https://ae04.alicdn.com/kf/Ab5dfbdcde82545d38ecb2f2802c9632du.jpg","https://cloud.video.taobao.com/play/u/2213028887565/p/1/e/6/t/10301/1100044280690.mp4","New Rc Drone 4K Dual Camera HD Wide Angle Camera Quadcopter Aerial Photography Dron Camera Real-time Transmission Helicopter Toy","USD 46.28","48.00%","USD","10.0","USD 4.63","18","Good","5","https://s.click.aliexpress.com/e/_DmFGjDp",,,,,,,,
"1005003290944680","https://ae04.alicdn.com/kf/Sa962dbfb2cef49d09e14a1c1d81d8690O.jpg","https://cloud.video.taobao.com/play/u/2208132857401/p/1/e/6/t/10301/328119670140.mp4","New KY910 Mini Drone 4K Professional HD Dual Camera 2.4G Wifi FPV Foldable RC Quadcopter Aerial Photography Aircraft","USD 32.85","48.00%","USD","7","USD 2.30","55","Below Average","3.9","https://s.click.aliexpress.com/e/_Dnp08j1",,,,,,,,
"1005004630210553","https://ae04.alicdn.com/kf/S6a6fd88bc44a460caba6a7b4ab02ce5fS.jpg","https://cloud.video.taobao.com/play/u/2210200387044/p/1/e/6/t/10301/1100078947515.mp4","2022 New KY910 Mini Drone 4k Hd Camera Profesional Rc Drones Wifi Fpv Toy Outdoor Rc Quadcopter Fixed Height Drones Boy For Toys","USD 17.74","38.00%","USD","7","USD 1.24","0","Below Average","0","https://s.click.aliexpress.com/e/_DDOyGQX",,,,,,,,
"1005004351587803","https://ae04.alicdn.com/kf/S7b3744d4d98c45cb83405ac3b3ac09d7l.jpg","https://cloud.video.taobao.com/play/u/2212782222510/p/1/e/6/t/10301/1100040047064.mp4","V9 Mini Drone for Kids with 4K HD Camera FPV Live Video RC Quadcopter Helicopter for Adults beginners Toys Gifts,Altitude Hold","USD 29.74","50.00%","USD","10.0","USD 2.97","3","Good","0","https://s.click.aliexpress.com/e/_DF9PLkf",,,,,,,,
"1005004658522930","https://ae04.alicdn.com/kf/S207222bf4b17467eaab7bb17e449e023d.jpg","","WLR/C E99 K3 Pro 4K Single/Dual Camera FPV 6-Axis RC Drone Altitude Hold 2.4GHz 4CH Foldable Quadcopter Toys for Kids Adults","USD 9.33","27.00%","USD","7","USD 0.65","0","Below Average","0","https://s.click.aliexpress.com/e/_DnpUuyT",,,,,,,,
"1005004670439229","https://ae04.alicdn.com/kf/S7e26d55f7eb34589b9f2d15331d105ebV.jpg","https://cloud.video.taobao.com/play/u/2212887766030/p/1/e/6/t/10301/1100082894567.mp4","Drone Three-sided Obstacle Avoidance with Infrared RC Toy Aircraft 4K HD Dual Camera Drone Foldable Quadcopter Drones Toy Gifts","USD 33.98","30.00%","USD","7","USD 2.38","0","Average","0","https://s.click.aliexpress.com/e/_DdnaGGj",,,,,,,,
