"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Mobile Phone Parts","201084002","Xiao Mi 100% Original Battery BM3B For Xiaomi Mix 2 2S Mix2S 3300mAh High Capacity Rechargeable Phone Replacement Batteria Akku","4001018724308","https://ae01.alicdn.com/kf/H37c9fa06059d41c182687f70776b05caS/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H37c9fa06059d41c182687f70776b05caS/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg,https://ae01.alicdn.com/kf/H26d1cf4f54b44c87876b31640eb3d109s/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg,https://ae01.alicdn.com/kf/H33f578307e934ab9af4578d154c2e5a3N/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg,https://ae01.alicdn.com/kf/Hd31362a80da442fe8dba07d9beb6be24b/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg,https://ae01.alicdn.com/kf/H0ead49c888034b64ad9b38d5af751f8cf/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable.jpg,","https://www.aliexpress.com/item/Xiao-Mi-100-Original-Battery-BM3B-For-Xiaomi-Mix-2-2S-Mix2S-3300mAh-High-Capacity-Rechargeable/4001018724308.html","5.99","5.63","7.00%","2098-12-31","6%","http://s.click.aliexpress.com/e/_dZDkris"
"Mobile Phone Parts","201084002","New Original For ZTE Axon 7 A2017 A2017G Up Down Cover Front Frame Up and down speaker network Front Frame Flex","4000438988454","https://ae01.alicdn.com/kf/H80890b47ba0e4f189509fac8b04b4c3df/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H80890b47ba0e4f189509fac8b04b4c3df/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg,https://ae01.alicdn.com/kf/Hac9f105e0f5942f69b1ee954fb72a72cE/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg,https://ae01.alicdn.com/kf/H6c0f7ff4fe3b48a098bbb97ae1b98f5eo/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg,https://ae01.alicdn.com/kf/Hef03aa4636e843aea5b5dcf5a28f5476L/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg,https://ae01.alicdn.com/kf/Hbd1bca78349d46dd8453e618a3c7b283I/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down.jpg,","https://www.aliexpress.com/item/New-Original-For-ZTE-Axon-7-A2017-A2017G-Up-Down-Cover-Front-Frame-Up-and-down/4000438988454.html","9.96","7.07","4.00%","2098-12-31","29%","http://s.click.aliexpress.com/e/_d7cK2M0"
"Mobile Phone Parts","201084002","5.5 "" AMOLED Original For Samsung Galaxy J4 2018 J400 J400F LCD Display Touch Screen Digitizer Assembly Replacement Phone Parts","4000559703399","https://ae01.alicdn.com/kf/Hbdc7383b7f454802abedaf02077f16f42/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hbdc7383b7f454802abedaf02077f16f42/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg,https://ae01.alicdn.com/kf/Heb632b35a2cd4b97a5366620e9699981F/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg,https://ae01.alicdn.com/kf/H487a7d5281044b61927a6ef969e47527W/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg,https://ae01.alicdn.com/kf/H549b16a90caf4eb6b2887bbc94433f97a/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg,https://ae01.alicdn.com/kf/H9e2b05e40c7946939c40b4317653ab61E/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer.jpg,","https://www.aliexpress.com/item/5-5-AMOLED-Original-For-Samsung-Galaxy-J4-2018-J400-J400F-LCD-Display-Touch-Screen-Digitizer/4000559703399.html","18.35","16.52","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_d9ngdja"
"Mobile Phone Parts","201084002","USB Plug Charger Board For Huawei Honor 8A Microphone Module Cable Connector For Huawei Honor 8A Phone Replacement Repair Parts","4000459320705","https://ae01.alicdn.com/kf/H2ad3514561ae4d5ab7b8de6de09ba20dk/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H2ad3514561ae4d5ab7b8de6de09ba20dk/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg,https://ae01.alicdn.com/kf/H5118ccead58c4b91b7ef31a3b19b9698D/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg,https://ae01.alicdn.com/kf/H0caeed276c274f33b4be609978256de68/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg,https://ae01.alicdn.com/kf/Hbea391f723f9477ba6322db3934e9552N/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg,https://ae01.alicdn.com/kf/H4c106eea8fef4a53b59d2d513c414f721/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A.jpg,","https://www.aliexpress.com/item/USB-Plug-Charger-Board-For-Huawei-Honor-8A-Microphone-Module-Cable-Connector-For-Huawei-Honor-8A/4000459320705.html","5.19","4.67","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_d6zecz6"
"Mobile Phone Parts","201084002","For LEAGOO S11 USB Plug Charger Board Microphone Module Cable Connector For Leagoo S11 Phone Replacement Repair Parts","4000453176009","https://ae01.alicdn.com/kf/H756b731a8fd84efa975efbc7295025d2x/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H756b731a8fd84efa975efbc7295025d2x/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg,https://ae01.alicdn.com/kf/H7078211f2d47411b8d4657b61345b938q/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg,https://ae01.alicdn.com/kf/Hd454f38d67e14f0ea31bdf2f2ec9269e0/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg,https://ae01.alicdn.com/kf/H6cc14adee89847a5afb142ba25e997e52/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg,https://ae01.alicdn.com/kf/H0efc26e46a70468998261fd04316b60dP/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement.jpg,","https://www.aliexpress.com/item/For-LEAGOO-S11-USB-Plug-Charger-Board-Microphone-Module-Cable-Connector-For-Leagoo-S11-Phone-Replacement/4000453176009.html","9.51","8.56","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_dYm4ztO"
"Mobile Phone Parts","201084002","Xiao Mi Battery BN43 Redmi Note4 Note4X For Xiaomi Redmi Note 4X / Note 4 Global Snapdragon 625 Replacement 4100mAh + Free Tools","33018191419","https://ae01.alicdn.com/kf/H82b8499a34d347af8272c76d22b17981l/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H82b8499a34d347af8272c76d22b17981l/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg,https://ae01.alicdn.com/kf/Hc04fa9674d4340d9808eab7043569c99e/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg,https://ae01.alicdn.com/kf/Hbd6bfaaca8d14c3a9966014d56fc32d2l/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg,https://ae01.alicdn.com/kf/H671cd151ca734663894d22b57dd6518cQ/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg,https://ae01.alicdn.com/kf/H5aa33b0d0bd0475f8d39e561c8d902498/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon.jpg,","https://www.aliexpress.com/item/Xiao-Mi-Battery-BN43-Redmi-Note4-Note4X-For-Xiaomi-Redmi-Note-4X-Note-4-Global-Snapdragon/33018191419.html","6.49","6.10","7.00%","2098-12-31","6%","http://s.click.aliexpress.com/e/_d7fODDA"
"Mobile Phone Parts","201084002","5.5"" LCD For Elephone P8 2017 LCD display Touch Screen digitizer input component For Elephone P8 2017 smartphone repair parts","33003292889","https://ae01.alicdn.com/kf/HTB1RX8oRNTpK1RjSZR0q6zEwXXav/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1RX8oRNTpK1RjSZR0q6zEwXXav/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg,https://ae01.alicdn.com/kf/HTB1UDNpRSzqK1RjSZFjq6zlCFXay/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg,https://ae01.alicdn.com/kf/HTB1AzJvRFzqK1RjSZFCq6zbxVXag/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg,https://ae01.alicdn.com/kf/HTB1Gp8oRNTpK1RjSZR0q6zEwXXas/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg,https://ae01.alicdn.com/kf/HTB1n5hARMHqK1RjSZFkq6x.WFXaW/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone.jpg,","https://www.aliexpress.com/item/5-5-LCD-For-Elephone-P8-2017-LCD-display-Touch-Screen-digitizer-input-component-For-Elephone/33003292889.html","29.69","21.08","4.00%","2098-12-31","29%","http://s.click.aliexpress.com/e/_d8mgSli"
"Mobile Phone Parts","201084002","BM42 Battery For Xiaomi Redmi Note 3100mah Li-on Battery + Desktop dock charger Battery sets For Hongmi Red Rice NOTE Smartphone","32894766061","https://ae01.alicdn.com/kf/HTB1dP3wEnJYBeNjy1zeq6yhzVXa5/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1dP3wEnJYBeNjy1zeq6yhzVXa5/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg,https://ae01.alicdn.com/kf/HTB1NO1tEeySBuNjy1zdq6xPxFXaC/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg,https://ae01.alicdn.com/kf/HTB1TrlDggZC2uNjSZFnq6yxZpXab/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg,https://ae01.alicdn.com/kf/HTB1u8mLk8jTBKNjSZFuq6z0HFXax/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg,https://ae01.alicdn.com/kf/HTB1hhtREeuSBuNjy1Xcq6AYjFXav/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For.jpg,","https://www.aliexpress.com/item/BM42-Battery-For-Xiaomi-Redmi-Note-3100mah-Li-on-Battery-Desktop-dock-charger-Battery-sets-For/32894766061.html","7.55","7.10","7.00%","2098-12-31","6%","http://s.click.aliexpress.com/e/_dS5foVi"
"Mobile Phone Parts","201084002","Original For Huawei honor 9 lite battery cover Door Back Battery Door Replacement Parts For Huawei honor 9lite Back Cover case","4000517154497","https://ae01.alicdn.com/kf/H40703f9916f041a1aeced3bf3585e494u/Original-For-Huawei-honor-9-lite-battery-cover-Door-Back-Battery-Door-Replacement-Parts-For-Huawei.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H40703f9916f041a1aeced3bf3585e494u/Original-For-Huawei-honor-9-lite-battery-cover-Door-Back-Battery-Door-Replacement-Parts-For-Huawei.jpg,","https://www.aliexpress.com/item/Original-For-Huawei-honor-9-lite-battery-cover-Door-Back-Battery-Door-Replacement-Parts-For-Huawei/4000517154497.html","9.44","8.50","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_dZUABe0"
"Mobile Phone Parts","201084002","For zte blade A6 A6 lite 5.2 inch 100%tested high quality LCD display touch screen black white gold LCD display","32993513422","https://ae01.alicdn.com/kf/HTB1mdSvSkvoK1RjSZFwq6AiCFXaF/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1mdSvSkvoK1RjSZFwq6AiCFXaF/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg,https://ae01.alicdn.com/kf/HTB14l_db13tHKVjSZSgq6x4QFXag/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg,https://ae01.alicdn.com/kf/HTB1kVulO3HqK1RjSZJnq6zNLpXaN/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg,https://ae01.alicdn.com/kf/HTB1g2yqOZfpK1RjSZFOq6y6nFXaJ/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg,https://ae01.alicdn.com/kf/HTB1xcifO7voK1RjSZPfq6xPKFXaR/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch.jpg,","https://www.aliexpress.com/item/For-zte-blade-A6-A6-lite-5-2-inch-100-tested-high-quality-LCD-display-touch/32993513422.html","19.51","17.56","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_dVeFhNA"
