"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Mobile Phones","5090301","realme C3 Global Version 3GB 64GB Mobile Phone Helio G70 12MP AI Camera 6.5"" HD+ Mini-drop Screen 5000mAh Battery Play Store NFC","4001017618435","https://ae01.alicdn.com/kf/H2a241e5e75e44b6d9133daebb620474cT/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H2a241e5e75e44b6d9133daebb620474cT/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg,https://ae01.alicdn.com/kf/H7fa345329d20494d960899eb4ea5fb57R/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg,https://ae01.alicdn.com/kf/Hf064450adbf6446db9d02edc6a46e79f7/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg,https://ae01.alicdn.com/kf/Hee28683914724a48a71717b06a111911w/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg,https://ae01.alicdn.com/kf/H3f09f4ecd36d4a178de14caa9babb1c61/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD.jpg,","https://www.aliexpress.com/item/realme-C3-Global-Version-3GB-64GB-Mobile-Phone-Helio-G70-12MP-AI-Camera-6-5-HD/4001017618435.html","145.56","128.09","4.00%","2098-12-31","12%","http://s.click.aliexpress.com/e/_d9Bzzdm"
"Mobile Phones","5090301","realme 6 4GB RAM 128GB ROM Global Version Helio G90T 6.5"" 90Hz Display 30W Flash Charge 4300mAh 64MP Camera NFC Play Store","4001058663454","https://ae01.alicdn.com/kf/Ha53cba9a75824cf0bedae6936cad728bH/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha53cba9a75824cf0bedae6936cad728bH/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg,https://ae01.alicdn.com/kf/Hca7d78ee35b24f41b46f504afb652e007/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg,https://ae01.alicdn.com/kf/H9b09fe4ac74d4d9e8a8904b039b2fe65j/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg,https://ae01.alicdn.com/kf/H5790789c78da468c940bb6afcec8b13fJ/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg,https://ae01.alicdn.com/kf/Ha3cf11e1c17347e6a79f7efcdd76ea6b9/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash.jpg,","https://www.aliexpress.com/item/realme-6-4GB-RAM-128GB-ROM-Global-Version-Helio-G90T-6-5-90Hz-Display-30W-Flash/4001058663454.html","274.99","222.74","4.00%","2098-12-31","19%","http://s.click.aliexpress.com/e/_dYlUjiC"
"Mobile Phones","5090301","Global Version Xiaomi Redmi Note 9 4GB 128GB Smartphone MTK Helio G85 Octa Core 48MP Quad Cameras NFC 6.53"" DotDisplay 5020mAh","4001013620493","https://ae01.alicdn.com/kf/H34831918482949969bf164979b150ad6H/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H34831918482949969bf164979b150ad6H/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg,https://ae01.alicdn.com/kf/H005b7aab209c4cd79ce2b8d573eabaf9f/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg,https://ae01.alicdn.com/kf/H01ecb9200c4b46bc94cd2e0a60fd770ea/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg,https://ae01.alicdn.com/kf/H3ff7f1dae74a417086ba2a4e5785fb4cM/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg,https://ae01.alicdn.com/kf/H89c6d7e4173846b9b002eff2c850625dY/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad.jpg,","https://www.aliexpress.com/item/Global-Version-Xiaomi-Redmi-Note-9-4GB-128GB-Smartphone-MTK-Helio-G85-Octa-Core-48MP-Quad/4001013620493.html","169.00",,"4.00%","2098-12-31",,"http://s.click.aliexpress.com/e/_d7P8vmC"
"Mobile Phones","5090301","Global Version Xiaomi Redmi 8 4GB 64GB Smartphone Snapdragon 439 Octa Core 12MP Dual Camera 5000mAh Battery 6.22"" Mobile Phone","4000235871558","https://ae01.alicdn.com/kf/H478efe2134b74711bab5da87b3efc73eL/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H478efe2134b74711bab5da87b3efc73eL/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg,https://ae01.alicdn.com/kf/H487f20d8292448a890d94712069074d7E/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg,https://ae01.alicdn.com/kf/H1d807ec4a7004c869f5735aa4b8ca1d3E/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg,https://ae01.alicdn.com/kf/H002781f8e1bb4403a2c19db70be9a6cbs/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg,https://ae01.alicdn.com/kf/Hdcfff393a22744ad93da5a529c749140j/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh.jpg,","https://www.aliexpress.com/item/Global-Version-Xiaomi-Redmi-8-4GB-64GB-Smartphone-Snapdragon-439-Octa-Core-12MP-Dual-Camera-5000mAh/4000235871558.html","169.99","152.99","4.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_d8ZeAJq"
"Mobile Phones","5090301","realme 6 Pro Global Version 8GB RAM 128GB ROM Snapdragon 720G 30W Flash Charge 4300mAh 64MP Camera NFC EU Charger Play Store","4001058463639","https://ae01.alicdn.com/kf/H4ed883aceb204f8793065963557e6bdcW/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H4ed883aceb204f8793065963557e6bdcW/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg,https://ae01.alicdn.com/kf/Hd1bac03f65394240a98171fc5e22a716w/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg,https://ae01.alicdn.com/kf/He4c6e8549946480caaeb6e1633f6e8d1w/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg,https://ae01.alicdn.com/kf/H37db9b8ccfad49b5a7f1d8fbefc76237c/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg,https://ae01.alicdn.com/kf/H641c9e2ae7a1447d9a39f150e496329fY/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP.jpg,","https://www.aliexpress.com/item/realme-6-Pro-Global-Version-8GB-RAM-128GB-ROM-Snapdragon-720G-30W-Flash-Charge-4300mAh-64MP/4001058463639.html","330.00","273.90","4.00%","2098-12-31","17%","http://s.click.aliexpress.com/e/_dTAzgss"
"Mobile Phones","5090301","2020 New Nubia Red Magic 5G Global Version Gaming phone Snapdragon 865  8/12 GB RAM 128/256GB ROM 144Hz refresh rate Smartphone","4000910907400","https://ae01.alicdn.com/kf/H20d0d3abca5f4763939e02846c55d0b6J/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H20d0d3abca5f4763939e02846c55d0b6J/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.jpg,https://ae01.alicdn.com/kf/H69458b4f465a4176b60076b8b49b1ab8T/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.jpg,https://ae01.alicdn.com/kf/Hf9fea98e27ef482a98d8c0f19aa09855x/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.png,https://ae01.alicdn.com/kf/Hda69211437cd40c4b621ec9238c683a7n/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.jpg,https://ae01.alicdn.com/kf/H5dc2681d12114f0c8c68174f26b24ff1X/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM.png,","https://www.aliexpress.com/item/2020-New-Nubia-Red-Magic-5G-Global-Version-Gaming-phone-Snapdragon-865-8-12-GB-RAM/4000910907400.html","777.92","599.00","4.00%","2098-12-31","23%","http://s.click.aliexpress.com/e/_BfAieGSc"
"Mobile Phones","5090301","Global Version Xiaomi Redmi Note 9S 9 S 4GB 64GB Smartphone Snapdragon 720G Octa Core 48MP Quad Cameras 6.67"" FHD Screen 5020mAh","4000911611953","https://ae01.alicdn.com/kf/H1a7389693c3343979d3a2ffa5a645ce17/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H1a7389693c3343979d3a2ffa5a645ce17/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg,https://ae01.alicdn.com/kf/H2a31bbd68a5a4d0991da10856b41b4dao/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg,https://ae01.alicdn.com/kf/H1661a28385da4688ac0bc5918b933c712/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg,https://ae01.alicdn.com/kf/Hb92918dfa3f640f9ad732091831ac0e49/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg,https://ae01.alicdn.com/kf/Hbfa634a7a4de4d24bb5b4489c2d1b88dw/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP.jpg,","https://www.aliexpress.com/item/Global-Version-Xiaomi-Redmi-Note-9S-9-S-4GB-64GB-Smartphone-Snapdragon-720G-Octa-Core-48MP/4000911611953.html","195.00",,"4.00%","2098-12-31",,"http://s.click.aliexpress.com/e/_d7OW0Gu"
"Mobile Phones","5090301","Ulefone Power 3S 6.0"" 18:9 FHD+ Android 7.1 Mobile Phone MTK6763 Octa Core 4GB+64GB 16MP 4 Camera 6350mAh Face ID 4G Smartphone","4000414949986","https://ae01.alicdn.com/kf/Hb162dafcf4d94ced83c10136e70e551dp/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hb162dafcf4d94ced83c10136e70e551dp/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg,https://ae01.alicdn.com/kf/HTB1m1SBr4GYBuNjy0Fnq6x5lpXaU/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg,https://ae01.alicdn.com/kf/HTB1onPRbojrK1RkHFNRq6ySvpXaP/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg,https://ae01.alicdn.com/kf/Hefb88c65cf53491c9a2d9c5bf281b17cP/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg,https://ae01.alicdn.com/kf/H8fa428fce48048a0a26ea87a3ce9ee6fV/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core.jpg,","https://www.aliexpress.com/item/Ulefone-Power-3S-6-0-18-9-FHD-Android-7-1-Mobile-Phone-MTK6763-Octa-Core/4000414949986.html","179.99","118.79","5.00%","2098-12-31","34%","http://s.click.aliexpress.com/e/_dTDgI2M"
"Mobile Phones","5090301","DOOGEE S95 Pro 6.3 Inch Android 9.0 Mobile Phone Rugged IP68 Drop Proof Smartphone MTK P90 8GB 128GB Cellphone 48MP AL Cameras","4000349301591","https://ae01.alicdn.com/kf/H3d5aaccf9c66409c95e4094f2b37e5188/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H3d5aaccf9c66409c95e4094f2b37e5188/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg,https://ae01.alicdn.com/kf/H53ec761158ff430cb4d66a406965d8e57/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg,https://ae01.alicdn.com/kf/H3b8f9254db4a4ca0891152c63eb28470m/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg,https://ae01.alicdn.com/kf/H758e6e93b3a94d609a131a28fd07979eR/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg,https://ae01.alicdn.com/kf/Hb561e139f8e44b8f858be9cbebb723e4U/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone.jpg,","https://www.aliexpress.com/item/DOOGEE-S95-Pro-6-3-Inch-Android-9-0-Mobile-Phone-Rugged-IP68-Drop-Proof-Smartphone/4000349301591.html","462.49","323.74","8.00%","2098-12-31","30%","http://s.click.aliexpress.com/e/_dYvQFte"
"Mobile Phones","5090301","Global Version Xiaomi Redmi 9 64GB ROM 4GB RAM (Brand New / Sealed) redmi9 redmi9 64 Smartphone mobile telephone","4001159765559","https://ae01.alicdn.com/kf/Ub0b982eb039f446d9d13234821661db75/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ub0b982eb039f446d9d13234821661db75/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg,https://ae01.alicdn.com/kf/U7684a33bce26444b8f853624931d9cdd5/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg,https://ae01.alicdn.com/kf/Uc9aeaa7ba0b04487890a123a42d15c39E/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg,https://ae01.alicdn.com/kf/Ufb45a73691be4e1cbadbfe93151b25670/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg,https://ae01.alicdn.com/kf/U70d66d50a66a4c4faf3f45039bbde2c1M/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone.jpg,","https://www.aliexpress.com/item/Global-Version-Xiaomi-Redmi-9-64GB-ROM-4GB-RAM-Brand-New-Sealed-redmi9-redmi9-64-Smartphone/4001159765559.html","149.00",,"4.00%","2098-12-31",,"http://s.click.aliexpress.com/e/_d60Y1fK"
