"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Walkie Talkie Parts ","200380144","APRS-K1 Cable (Audio Interface Cable) for BaoFeng UV5R UV-82 5RA  5RB WOUXUN  TYT (APRSpro, APRSDroid, Compatible - Android, iOS","4001078162343","https://ae01.alicdn.com/kf/Hd95b69d778044400bb9ab86e7a1700a6B/APRS-K1-Cable-Audio-Interface-Cable-for-BaoFeng-UV5R-UV-82-5RA-5RB-WOUXUN-TYT-APRSpro.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hd95b69d778044400bb9ab86e7a1700a6B/APRS-K1-Cable-Audio-Interface-Cable-for-BaoFeng-UV5R-UV-82-5RA-5RB-WOUXUN-TYT-APRSpro.jpg,https://ae01.alicdn.com/kf/H15d0bd86828547469431251aefa2d4afr/APRS-K1-Cable-Audio-Interface-Cable-for-BaoFeng-UV5R-UV-82-5RA-5RB-WOUXUN-TYT-APRSpro.jpg,","https://www.aliexpress.com/item/APRS-K1-Cable-Audio-Interface-Cable-for-BaoFeng-UV5R-UV-82-5RA-5RB-WOUXUN-TYT-APRSpro/4001078162343.html","35.00","17.85","4.00%","2098-12-31","49%","http://s.click.aliexpress.com/e/_d6ERZo8"
"Walkie Talkie Parts ","200380144","Baofeng USB Programming Cable With Driver CD for BaoFeng UV-5R BF-888S UV-82 GT-3 Walkie Talkie Accessories","4000348832789","https://ae01.alicdn.com/kf/Hfce2a1089d2e4b20a1339d49e9d810caN/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hfce2a1089d2e4b20a1339d49e9d810caN/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg,https://ae01.alicdn.com/kf/H6cbb8eb4a07f442b8b617552cb214bd3t/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg,https://ae01.alicdn.com/kf/H2f717f5f1fa8473b94b4a0e113b1f34eD/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg,https://ae01.alicdn.com/kf/Hc21ac7bb700a45c59cbbc56b4336c8977/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg,https://ae01.alicdn.com/kf/H63f7aeb7c33a4966b320da51ba0a1b48r/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT.jpg,","https://www.aliexpress.com/item/Baofeng-USB-Programming-Cable-With-Driver-CD-for-BaoFeng-UV-5R-BF-888S-UV-82-GT/4000348832789.html","2.00","1.80","10.00%","2098-12-31","10%","http://s.click.aliexpress.com/e/_dZFa6Lq"
"Walkie Talkie Parts ","200380144","Tactical headset adapter  5 Pin to Nexus TJ-101 NATO Wire Adaptor  for H4855 Radio,Bowman PRR, Selex CT","4001113564464","https://ae01.alicdn.com/kf/Hf0be17ef077f465cbc53ac028abebdbes/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hf0be17ef077f465cbc53ac028abebdbes/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg,https://ae01.alicdn.com/kf/H9d3076a44bce47828ebe0101cd1d0b702/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg,https://ae01.alicdn.com/kf/Hdd2ac5a6e1f447439f1f52e842340374r/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg,https://ae01.alicdn.com/kf/H0d252e12b44a4df7a5788106e52a9b82X/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg,https://ae01.alicdn.com/kf/Hd54496b0be924e9d83d834e8c0d1e9f4z/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman.jpg,","https://www.aliexpress.com/item/Tactical-headset-adapter-5-Pin-to-Nexus-TJ-101-NATO-Wire-Adaptor-for-H4855-Radio-Bowman/4001113564464.html","145.00","73.95","5.50%","2098-12-31","49%","http://s.click.aliexpress.com/e/_dX9aS7q"
"Walkie Talkie Parts ","200380144","NL-770S Dual Band Antenna B-400 Antenna Mount Bracket Clip 5M Coaxial Cable Kit For Car Radio  KT8900 KT-8900R BJ-218 UV-25HX","4000976904066","https://ae01.alicdn.com/kf/H1284d20fe0dc4e9bbd56adba8f07f275v/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H1284d20fe0dc4e9bbd56adba8f07f275v/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg,https://ae01.alicdn.com/kf/He9295dad94c143169f62872af3fa581fV/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg,https://ae01.alicdn.com/kf/H40f390c87980429b85d53ae98350f44fu/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg,https://ae01.alicdn.com/kf/H44d01fc865a54d72a670a24ddea077c8E/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg,https://ae01.alicdn.com/kf/H933b4384c52e48fb8ceeee4746c9d13ah/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For.jpg,","https://www.aliexpress.com/item/NL-770S-Dual-Band-Antenna-B-400-Antenna-Mount-Bracket-Clip-5M-Coaxial-Cable-Kit-For/4000976904066.html","5.44","3.81","12.00%","2098-12-31","30%","http://s.click.aliexpress.com/e/_BfhazKEM"
"Walkie Talkie Parts ","200380144","CA-35RS CA-23RP PL259 SO239 Radio Repeater Coaxial Lightning Antenna Surge Protector","4000429381650","https://ae01.alicdn.com/kf/Ha4d9000c14594fe9bffcb61200c244e5Q/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha4d9000c14594fe9bffcb61200c244e5Q/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg,https://ae01.alicdn.com/kf/H0c9f290238494a3ca9a84ce22e961c59N/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg,https://ae01.alicdn.com/kf/Hf7d7e9c45c044f538475c4ffc6f6e00fJ/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg,https://ae01.alicdn.com/kf/H9e2d6a907f06433db39f771be9a98ce1x/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg,https://ae01.alicdn.com/kf/H7bb370afe99b415aa7a32f2f38d68236j/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector.jpg,","https://www.aliexpress.com/item/CA-35RS-CA-23RP-PL259-SO239-Radio-Repeater-Coaxial-Lightning-Antenna-Surge-Protector/4000429381650.html","14.00","9.66","15.00%","2098-12-31","31%","http://s.click.aliexpress.com/e/_d6UWExe"
"Walkie Talkie Parts ","200380144","AN/PRC 152 /PRC 148 Harris walkie talkie 6 pin plug turn to Kenwood adapter U-283/U walkie talkie  connector PRC-152 PRC-148","4001029579301","https://ae01.alicdn.com/kf/H7f2f3bbc699e4c37893f1553b7505cf1C/AN-PRC-152-PRC-148-Harris-walkie-talkie-6-pin-plug-turn-to-Kenwood-adapter-U.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H7f2f3bbc699e4c37893f1553b7505cf1C/AN-PRC-152-PRC-148-Harris-walkie-talkie-6-pin-plug-turn-to-Kenwood-adapter-U.jpg,https://ae01.alicdn.com/kf/H13ea8a151164412bb4802069d2c91b04s/AN-PRC-152-PRC-148-Harris-walkie-talkie-6-pin-plug-turn-to-Kenwood-adapter-U.jpg,https://ae01.alicdn.com/kf/Hfa5a1ca5dea14166ab6cb685b145b7039/AN-PRC-152-PRC-148-Harris-walkie-talkie-6-pin-plug-turn-to-Kenwood-adapter-U.jpg,","https://www.aliexpress.com/item/AN-PRC-152-PRC-148-Harris-walkie-talkie-6-pin-plug-turn-to-Kenwood-adapter-U/4001029579301.html","38.00","19.38","4.00%","2098-12-31","49%","http://s.click.aliexpress.com/e/_dZ1mNVA"
"Walkie Talkie Parts ","200380144","Military Z-Tactical Headset U94 PTT for Motorola XiR P6600 P6620 DP2400 MTP3250 DEP550 DP2400 MTP3550 MTP3150 Walkie Talkie","4000996751741","https://ae01.alicdn.com/kf/H60e1efdf669943bc8af00553d53ce500f/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H60e1efdf669943bc8af00553d53ce500f/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550.jpg,https://ae01.alicdn.com/kf/H8190b9d432db45a989ac7b425cc818816/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550.jpg,https://ae01.alicdn.com/kf/Ha87480a954fd4257a45ef3377812559ca/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550.jpg,https://ae01.alicdn.com/kf/Hc503dd8fde7f446da380944216ae1cdaC/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550.jpg,","https://www.aliexpress.com/item/Military-Z-Tactical-Headset-U94-PTT-for-Motorola-XiR-P6600-P6620-DP2400-MTP3250-DEP550-DP2400-MTP3550/4000996751741.html","35.00","17.85","4.50%","2098-12-31","49%","http://s.click.aliexpress.com/e/_d762cXq"
"Walkie Talkie Parts ","200380144","Belt Clip Clamp for Baofeng Waterproof Two Way Radio Walkie Talkie for Baofeng BF-A58 UV-9R Plus GT-3WP UV-XR","4000650054484","https://ae01.alicdn.com/kf/He5cf6dba26094c819146b211b5a60c9aT/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/He5cf6dba26094c819146b211b5a60c9aT/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg,https://ae01.alicdn.com/kf/H337c461c232e4cc9a998be7596886ef15/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg,https://ae01.alicdn.com/kf/H5934831a125c49a28f810f5d721d3a34T/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg,https://ae01.alicdn.com/kf/Hef89f52bc3354235aacd8a8519d585f5v/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg,https://ae01.alicdn.com/kf/Hc82b6d02c17d4b26922a1e46407fce38J/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV.jpg,","https://www.aliexpress.com/item/Belt-Clip-Clamp-for-Baofeng-Waterproof-Two-Way-Radio-Walkie-Talkie-for-Baofeng-BF-A58-UV/4000650054484.html","0.96","0.60","10.00%","2098-12-31","37%","http://s.click.aliexpress.com/e/_dTAAhvI"
"Walkie Talkie Parts ","200380144","Tactics U94 PTT AMPLIFIED version for REAL STEAL headset for Motorola gp88 cp040 Radio Nexus 3M comtacs/MSA Dynamic MIC headset","4001067503279","https://ae01.alicdn.com/kf/Hc28bca12b2654d2c94ccfbd81271aac3f/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hc28bca12b2654d2c94ccfbd81271aac3f/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg,https://ae01.alicdn.com/kf/Hdfb77c5448b440d4b1e8091d7f2327ebj/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg,https://ae01.alicdn.com/kf/H2392df32bd1046e180cd4ce0c49c042bY/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg,https://ae01.alicdn.com/kf/H8190b9d432db45a989ac7b425cc818816/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg,https://ae01.alicdn.com/kf/Ha87480a954fd4257a45ef3377812559ca/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M.jpg,","https://www.aliexpress.com/item/Tactics-U94-PTT-AMPLIFIED-version-for-REAL-STEAL-headset-for-Motorola-gp88-cp040-Radio-Nexus-3M/4001067503279.html","135.00","68.85","5.50%","2098-12-31","49%","http://s.click.aliexpress.com/e/_d8McrOC"
"Walkie Talkie Parts ","200380144","Tactical  U94 PTT Headset Accessory PTT For COMTAC MSA EARMOR TCA TRI Headphones for baofeng icom midland motorola YEASU radio","4000567156688","https://ae01.alicdn.com/kf/H2d6d141d3a16457588a52f43d2c3393d6/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H2d6d141d3a16457588a52f43d2c3393d6/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom.jpg,https://ae01.alicdn.com/kf/H258ee4e33e974afc8362f7f1d8a00efcO/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom.jpg,https://ae01.alicdn.com/kf/H8190b9d432db45a989ac7b425cc818816/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom.jpg,https://ae01.alicdn.com/kf/Hec8465bcfe7748d2aa0ebbe0ea5c0bcfw/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom.jpg,","https://www.aliexpress.com/item/Tactical-U94-PTT-Headset-Accessory-PTT-For-COMTAC-MSA-EARMOR-TCA-TRI-Headphones-for-baofeng-icom/4000567156688.html","29.50","15.04","4.50%","2098-12-31","49%","http://s.click.aliexpress.com/e/_dYg6zRS"
