"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Couple Watches","200362143","Digital Military Watches Fashion Gold Silver Square Men Vintage  Electronic  Display Retro Style Couple  Clock","33018160064","https://ae01.alicdn.com/kf/HTB1nga7XhSYBuNjSsphq6zGvVXaC/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1nga7XhSYBuNjSsphq6zGvVXaC/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg,https://ae01.alicdn.com/kf/HTB1iM.9LpXXXXaHXVXXq6xXFXXXl/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg,https://ae01.alicdn.com/kf/HTB1BDGoMXXXXXcXXVXXq6xXFXXXM/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg,https://ae01.alicdn.com/kf/HTB1i6qpMXXXXXcaXVXXq6xXFXXXU/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg,https://ae01.alicdn.com/kf/HTB1b4OdMXXXXXaNaXXXq6xXFXXXR/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock.jpg,","https://www.aliexpress.com/item/Digital-Military-Watches-Fashion-Gold-Silver-Square-Men-Vintage-Electronic-Display-Retro-Style-Couple-Clock/33018160064.html","1.98","1.41","8.00%","2098-12-31","29%","http://s.click.aliexpress.com/e/_dWdF9fE"
"Couple Watches","200362143","Couple Watch 2019 Mens Watches Top Brand Luxury Quartz Watch Women Clock Ladies Dress Wristwatch Fashion Casual lovers Watch","4000195371396","https://ae01.alicdn.com/kf/Hfda612880c8e4908a305c461d02cf457p/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hfda612880c8e4908a305c461d02cf457p/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg,https://ae01.alicdn.com/kf/H0ca53bb77b014c0d8c70a782fd2aed81v/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg,https://ae01.alicdn.com/kf/H17656551c5184ee0825d11504570f925N/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg,https://ae01.alicdn.com/kf/Ha7d874c586024629ab987f761b3c7eb12/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg,https://ae01.alicdn.com/kf/H51698e2b94964d1ab603434922ebe934k/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion.jpg,","https://www.aliexpress.com/item/Couple-Watch-2019-Mens-Watches-Top-Brand-Luxury-Quartz-Watch-Women-Clock-Ladies-Dress-Wristwatch-Fashion/4000195371396.html","7.32","4.39","8.00%","2098-12-31","40%","http://s.click.aliexpress.com/e/_Bf8xqaO8"
"Couple Watches","200362143","Dropshipping  ICE-Out Bling Diamond Luxury Watch Men Gold Hip Hop iced out watch Men Gold Quartz Watches Stainless Steel relogio","32998767727","https://ae01.alicdn.com/kf/Ha4bf6c049b194a67a4a6189cd59d10f6k/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha4bf6c049b194a67a4a6189cd59d10f6k/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg,https://ae01.alicdn.com/kf/HTB1O5vHOH2pK1RjSZFsq6yNlXXad/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg,https://ae01.alicdn.com/kf/HTB1tLrUONjaK1RjSZFAq6zdLFXaR/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg,https://ae01.alicdn.com/kf/HTB18BYMOPTpK1RjSZKPq6y3UpXan/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg,https://ae01.alicdn.com/kf/HTB15XeLXwaH3KVjSZFjq6AFWpXaH/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold.jpg,","https://www.aliexpress.com/item/Dropshipping-ICE-Out-Bling-Diamond-Luxury-Watch-Men-Gold-Hip-Hop-iced-out-watch-Men-Gold/32998767727.html","28.12","14.06","8.00%","2098-12-31","50%","http://s.click.aliexpress.com/e/_dUlwBZm"
"Couple Watches","200362143","REDFIRE Classic Zebra-wood Couple Wood Watches Quartz Genuine Leather Watch Lovers Watches Gifts for Wedding Anniversary reloj","4000483105630","https://ae01.alicdn.com/kf/H09e465897f3946a493a292fc8bc43b69c/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H09e465897f3946a493a292fc8bc43b69c/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.jpg,https://ae01.alicdn.com/kf/H1257d25877c043a28110f1062c6fc296g/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.png,https://ae01.alicdn.com/kf/H554315bd879344908c82ebe70b7ec82d0/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.png,https://ae01.alicdn.com/kf/H1d7258e1731b4642b1977df0bc5e57601/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.png,https://ae01.alicdn.com/kf/Hb463a760804442769a0e647da9a0d5ceq/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding.png,","https://www.aliexpress.com/item/REDFIRE-Classic-Zebra-wood-Couple-Wood-Watches-Quartz-Genuine-Leather-Watch-Lovers-Watches-Gifts-for-Wedding/4000483105630.html","27.94","13.69","10.00%","2098-12-31","51%","http://s.click.aliexpress.com/e/_d8gmfle"
"Couple Watches","200362143","KARUNO Smartwatch H11 Fitness Men Women Clock Color Screen Blood Pressure Heart Rate Monitoring Waterproof Smart Clock Bracelet","4000893891610","https://ae01.alicdn.com/kf/H8abd347ecf6a4861addd1c4190f8fcecD/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H8abd347ecf6a4861addd1c4190f8fcecD/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg,https://ae01.alicdn.com/kf/Hae66d2632afd4c378f1b627c2bdfd4ffc/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg,https://ae01.alicdn.com/kf/Hd60beb7bea284c2d95e692ea21878028I/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg,https://ae01.alicdn.com/kf/H74550ed3f62b40a7b510af99f6e39454K/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg,https://ae01.alicdn.com/kf/H7666e2b4aa1441cd991dcd6b3e72db96U/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart.jpg,","https://www.aliexpress.com/item/KARUNO-Smartwatch-H11-Fitness-Men-Women-Clock-Color-Screen-Blood-Pressure-Heart-Rate-Monitoring-Waterproof-Smart/4000893891610.html","41.63","24.98","15.00%","2098-12-31","40%","http://s.click.aliexpress.com/e/_dT2V3Xi"
"Couple Watches","200362143","REDFIRE Couple Wood Watches Punk Fashion Compass Dial Men Watches Women's Wooden Bangle Wristwatch Folding Clasp Lovers Watch","4000532365420","https://ae01.alicdn.com/kf/Heff4ece4d859427eb11e314f85c509f0e/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Heff4ece4d859427eb11e314f85c509f0e/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg,https://ae01.alicdn.com/kf/H089b4f7aca9249a794eb100f0337a0c7c/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg,https://ae01.alicdn.com/kf/H1d7fb65db2ae4e0d91cf795d81454404j/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg,https://ae01.alicdn.com/kf/Ha7dfd9b4021c456e95c5d373c61b6ffc7/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg,https://ae01.alicdn.com/kf/H8f156beb095d4c9db676227db4876605O/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding.jpg,","https://www.aliexpress.com/item/REDFIRE-Couple-Wood-Watches-Punk-Fashion-Compass-Dial-Men-Watches-Women-s-Wooden-Bangle-Wristwatch-Folding/4000532365420.html","44.27","21.69","10.00%","2098-12-31","51%","http://s.click.aliexpress.com/e/_dTSzR1W"
"Couple Watches","200362143","2020 5pcs/set Fashion new Couple 1314 Love Fashion Waterproof Quartz watch steel band women's Watch Dress Clock Gifts","4000700962342","https://ae01.alicdn.com/kf/H7173c34d971e43e49d7dde3f242d0ddb3/2020-5pcs-set-Fashion-new-Couple-1314-Love-Fashion-Waterproof-Quartz-watch-steel-band-women-s.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H7173c34d971e43e49d7dde3f242d0ddb3/2020-5pcs-set-Fashion-new-Couple-1314-Love-Fashion-Waterproof-Quartz-watch-steel-band-women-s.jpg,https://ae01.alicdn.com/kf/H658236546b554f6fa0eb367fe815b9b6O/2020-5pcs-set-Fashion-new-Couple-1314-Love-Fashion-Waterproof-Quartz-watch-steel-band-women-s.jpg,https://ae01.alicdn.com/kf/H6e738e5988654451937d1772fc1a4ff7r/2020-5pcs-set-Fashion-new-Couple-1314-Love-Fashion-Waterproof-Quartz-watch-steel-band-women-s.jpg,","https://www.aliexpress.com/item/2020-5pcs-set-Fashion-new-Couple-1314-Love-Fashion-Waterproof-Quartz-watch-steel-band-women-s/4000700962342.html","71.28",,"28.00%","2098-12-31",,"http://s.click.aliexpress.com/e/_d69AE3W"
"Couple Watches","200362143","Switzerland Lovers Watch Vintage Japan Quartz Movement Man Woman Gift Couple Wristwatch Stainless Watchband Sapphire Clock","4000468471124","https://ae01.alicdn.com/kf/H64c0bf6ceaaa42deab2f5492ddaa88ea9/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H64c0bf6ceaaa42deab2f5492ddaa88ea9/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg,https://ae01.alicdn.com/kf/H986e445a86394937a5e49bf5a1d5c92c5/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg,https://ae01.alicdn.com/kf/Hf212e3bc8f8a46449d6afdd5b238fa8ds/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg,https://ae01.alicdn.com/kf/H5b900b535f354a828323ebd630b04e59t/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg,https://ae01.alicdn.com/kf/H5cffe655a42447faa654f5155c22c7d6I/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock.jpg,","https://www.aliexpress.com/item/Switzerland-Lovers-Watch-Vintage-Japan-Quartz-Movement-Man-Woman-Gift-Couple-Wristwatch-Stainless-Watchband-Sapphire-Clock/4000468471124.html","392.00","168.56","8.00%","2098-12-31","57%","http://s.click.aliexpress.com/e/_dYnsWZa"
"Couple Watches","200362143","REDFIRE Creative Hollow Dial Walnut Wood Watch Couple Watches Quartz Movement Hot Fashion Lovers Genuine Leather Wood Wristwatch","4000447920822","https://ae01.alicdn.com/kf/H129c387e2c114cfe878b9c375a9d14a9s/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H129c387e2c114cfe878b9c375a9d14a9s/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg,https://ae01.alicdn.com/kf/H92a577b0ae7a4fd6bd6c03db77ef57a8r/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg,https://ae01.alicdn.com/kf/H2d4a3f2c45c245d1a5f83347601f95d9s/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg,https://ae01.alicdn.com/kf/H8a4c421055484e5f8822d2bde65a66d1B/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg,https://ae01.alicdn.com/kf/Hbf61842b1f29432a878e71527d68149dd/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather.jpg,","https://www.aliexpress.com/item/REDFIRE-Creative-Hollow-Dial-Walnut-Wood-Watch-Couple-Watches-Quartz-Movement-Hot-Fashion-Lovers-Genuine-Leather/4000447920822.html","27.94","13.69","10.00%","2098-12-31","51%","http://s.click.aliexpress.com/e/_dXBw41w"
"Couple Watches","200362143","Couple Watches Handmade Natural Wood Valentine Gifts for Lover Wooden Watch for Women Men Drop Shipping","4000614771091","https://ae01.alicdn.com/kf/H81193cf00f6540df987f1ce36c4d4cc9l/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H81193cf00f6540df987f1ce36c4d4cc9l/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg,https://ae01.alicdn.com/kf/H10a22da31d89465fb6eadbccb045d19fH/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg,https://ae01.alicdn.com/kf/Hcf2a2bc225ab47f9a7cb7a8bf6eafd666/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg,https://ae01.alicdn.com/kf/Hf9dbe59dbde14ad1a7e724ade5332254w/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg,https://ae01.alicdn.com/kf/H0f817348722c4d14b3212b5d3e9ee015C/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping.jpg,","https://www.aliexpress.com/item/Couple-Watches-Handmade-Natural-Wood-Valentine-Gifts-for-Lover-Wooden-Watch-for-Women-Men-Drop-Shipping/4000614771091.html","38.90","17.12","11.00%","2098-12-31","56%","http://s.click.aliexpress.com/e/_d6KAtRS"
