"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Watches Accessories","200000121","2020 Solid 316L Stainless Steel Watchbands Silver 18mm 19mm 20mm 21mm 22mm 23mm Metal Watch Band Strap Wrist Watches Bracelet","1000006818807","https://ae01.alicdn.com/kf/ULB8c.I_DRahduJk43Jaq6zM8FXa2/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg_220x220.jpg","https://ae01.alicdn.com/kf/ULB8c.I_DRahduJk43Jaq6zM8FXa2/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg,https://ae01.alicdn.com/kf/ULB8jvzlEiDEXKJk43Oqq6Az3XXaU/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg,https://ae01.alicdn.com/kf/ULB8m_c.jYnJXKJkSahGq6xhzFXaY/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg,https://ae01.alicdn.com/kf/ULB8WhFjkf2JXKJkSanrq6y3lVXa8/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg,https://ae01.alicdn.com/kf/ULB8bdpmkevJXKJkSajhq6A7aFXaN/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band.jpg,","https://www.aliexpress.com/item/2020-Solid-316L-Stainless-Steel-Watchbands-Silver-18mm-19mm-20mm-21mm-22mm-23mm-Metal-Watch-Band/1000006818807.html","24.99","16.24","13.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_BffTgkCC"
"Watches Accessories","200000121","New design 18mm 19mm 20mm 21mm 22mm man New Top Grade Lizard pattern Genuine Leather Watch BAND Strap for High-end Brand watch","1000006935394","https://ae01.alicdn.com/kf/ULB8YIlnkevJXKJkSajhq6A7aFXaf/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg_220x220.jpg","https://ae01.alicdn.com/kf/ULB8YIlnkevJXKJkSajhq6A7aFXaf/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg,https://ae01.alicdn.com/kf/ULB86THlEarFXKJk43Ovq6ybnpXa9/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg,https://ae01.alicdn.com/kf/ULB8CDxokXfJXKJkSamHq6zLyVXa2/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg,https://ae01.alicdn.com/kf/ULB89nHlEarFXKJk43Ovq6ybnpXaZ/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg,https://ae01.alicdn.com/kf/ULB8h.g_DMQydeJk43PUq6AyQpXaO/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch.jpg,","https://www.aliexpress.com/item/New-design-18mm-19mm-20mm-21mm-22mm-man-New-Top-Grade-Lizard-pattern-Genuine-Leather-Watch/1000006935394.html","32.99","23.09","8.00%","2098-12-31","30%","http://s.click.aliexpress.com/e/_d7cWlGM"
"Watches Accessories","200000121","18 19 20 21 22 mm handmade high quality Wristband new design Men Watch Band Straps +Vintage Calfskin Watchband For brand watch","1000006826171","https://ae01.alicdn.com/kf/ULB82N_aEhHEXKJk43Jeq6yeeXXaT/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg_220x220.jpg","https://ae01.alicdn.com/kf/ULB82N_aEhHEXKJk43Jeq6yeeXXaT/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg,https://ae01.alicdn.com/kf/ULB8CGGUEmnEXKJk43Ubq6zLppXao/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg,https://ae01.alicdn.com/kf/ULB8AK9.EXfFXKJk43Otq6xIPFXaj/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg,https://ae01.alicdn.com/kf/ULB8jxoTj0nJXKJkSaiyq6AhwXXaA/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg,https://ae01.alicdn.com/kf/ULB8zwg4j1vJXKJkSajhq6A7aFXan/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps.jpg,","https://www.aliexpress.com/item/18-19-20-21-22-mm-handmade-high-quality-Wristband-new-design-Men-Watch-Band-Straps/1000006826171.html","25.99","16.89","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_dVCgnRK"
"Watches Accessories","200000121","Handmade Luxury personality 20mm 22mm 24mm 26mm Genuine Python leather pattern Watch Band Wristband Universal Watchband Strap","32954433251","https://ae01.alicdn.com/kf/HTB1AEpqX5nrK1Rjy1Xcq6yeDVXaw/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1AEpqX5nrK1Rjy1Xcq6yeDVXaw/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg,https://ae01.alicdn.com/kf/HTB1_xJsXZfrK1Rjy0Fmq6xhEXXao/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg,https://ae01.alicdn.com/kf/HTB1XWJrX.jrK1RkHFNRq6ySvpXaa/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg,https://ae01.alicdn.com/kf/HTB1TcttX.LrK1Rjy1zbq6AenFXaK/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg,https://ae01.alicdn.com/kf/HTB1_IlwX0zvK1RkSnfoq6zMwVXax/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband.jpg,","https://www.aliexpress.com/item/Handmade-Luxury-personality-20mm-22mm-24mm-26mm-Genuine-Python-leather-pattern-Watch-Band-Wristband-Universal-Watchband/32954433251.html","33.99","23.79","8.00%","2098-12-31","30%","http://s.click.aliexpress.com/e/_dVAda3Q"
"Watches Accessories","200000121","20 21 22mm high quality Handmade vintage True crocodile skin watchbands watch accessories watch band 2019 Universal watch straps","32951505936","https://ae01.alicdn.com/kf/HTB1._iwXUvrK1RjSspcq6zzSXXaB/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1._iwXUvrK1RjSspcq6zzSXXaB/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg,https://ae01.alicdn.com/kf/H1d103de9f4dd43db811088ef9d5dd7acm/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg,https://ae01.alicdn.com/kf/H3a90de9a57064012867a277250e800afR/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg,https://ae01.alicdn.com/kf/Hddc32d6c7a6e405bb73f0a2acf2cd6d8Z/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg,https://ae01.alicdn.com/kf/H49b84404ad4448979e38c9b2e3590ffc3/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019.jpg,","https://www.aliexpress.com/item/20-21-22mm-high-quality-Handmade-vintage-True-crocodile-skin-watchbands-watch-accessories-watch-band-2019/32951505936.html","52.99","37.09","10.00%","2098-12-31","30%","http://s.click.aliexpress.com/e/_dSHCneu"
"Watches Accessories","200000121","Retro NATO ZULU Crazy Horse Leather Strap 20 22 24 26mm, G10 European Style Leather Strap, Black Brown Watchband For Brand strap","32952574253","https://ae01.alicdn.com/kf/HTB1huRtXI_vK1Rjy0Foq6xIxVXa7/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1huRtXI_vK1Rjy0Foq6xIxVXa7/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg,https://ae01.alicdn.com/kf/HTB1DQJvXUrrK1RkSne1q6ArVVXaG/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg,https://ae01.alicdn.com/kf/HTB1uhxsXIfrK1RkSmLyq6xGApXaq/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg,https://ae01.alicdn.com/kf/HTB1NCdqXUjrK1RkHFNRq6ySvpXaQ/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg,https://ae01.alicdn.com/kf/HTB19zRsXOLxK1Rjy0Ffq6zYdVXaM/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap.jpg,","https://www.aliexpress.com/item/Retro-NATO-ZULU-Crazy-Horse-Leather-Strap-20-22-24-26mm-G10-European-Style-Leather-Strap/32952574253.html","18.88","12.27","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_dVDg9U8"
"Watches Accessories","200000121","2020 new design Upscale 18 19 20 21 22 mm Handmade Italy Leather VINTAGE Replacement Wrist Watch Band Strap Belt for Brand Watch","1000006976331","https://ae01.alicdn.com/kf/HTB1yM1AXzDuK1RjSszdq6xGLpXak/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1yM1AXzDuK1RjSszdq6xGLpXak/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg,https://ae01.alicdn.com/kf/HTB1iF4xi4jaK1RjSZKzq6xVwXXaS/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg,https://ae01.alicdn.com/kf/HTB1mumyXyDxK1RjSsphq6zHrpXaf/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg,https://ae01.alicdn.com/kf/HTB1TTGAXELrK1Rjy0Fjq6zYXFXaR/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg,https://ae01.alicdn.com/kf/HTB1RzCwXpzsK1Rjy1Xbq6xOaFXaP/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist.jpg,","https://www.aliexpress.com/item/2020-new-design-Upscale-18-19-20-21-22-mm-Handmade-Italy-Leather-VINTAGE-Replacement-Wrist/1000006976331.html","25.99","16.89","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_d6ZO7f6"
"Watches Accessories","200000121","2020 high quality Italy Genuine Leather Watch Strap 18 19 20 21 22mm Watch Band Black Watchband for Hamilton Mido Longines Seiko","1000007016846","https://ae01.alicdn.com/kf/HTB1KHbkXyzxK1RkSnaVq6xn9VXaT/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1KHbkXyzxK1RkSnaVq6xn9VXaT/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg,https://ae01.alicdn.com/kf/HTB13rbkXyzxK1RkSnaVq6xn9VXaJ/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg,https://ae01.alicdn.com/kf/HTB1yG_mXErrK1RkSne1q6ArVVXaL/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg,https://ae01.alicdn.com/kf/HTB1xF6lXtzvK1RkSnfoq6zMwVXa0/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg,https://ae01.alicdn.com/kf/ULB8PM9sD3QydeJk43PUq6AyQpXah/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black.jpg,","https://www.aliexpress.com/item/2020-high-quality-Italy-Genuine-Leather-Watch-Strap-18-19-20-21-22mm-Watch-Band-Black/1000007016846.html","25.98","16.89","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_dZKkefA"
"Watches Accessories","200000121","Men's Composite fiber+Leather 20 21 22mm blue Watch Band Strap For iwc Seiko Tissot Hours Male Female Belt Bracelet Wristband","1000007197558","https://ae01.alicdn.com/kf/ULB8vwYCEiDEXKJk43Oqq6Az3XXa3/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg_220x220.jpg","https://ae01.alicdn.com/kf/ULB8vwYCEiDEXKJk43Oqq6Az3XXa3/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg,https://ae01.alicdn.com/kf/ULB8lDVAkXPJXKJkSahVq6xyzFXaA/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg,https://ae01.alicdn.com/kf/ULB8cXtpD8ahduJk43Jaq6zM8FXaG/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg,https://ae01.alicdn.com/kf/ULB84RRAkn_IXKJkSalUq6yBzVXaN/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg,https://ae01.alicdn.com/kf/ULB8wMYCEiDEXKJk43Oqq6Az3XXa8/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot.jpg,","https://www.aliexpress.com/item/Men-s-Composite-fiber-Leather-20-21-22mm-blue-Watch-Band-Strap-For-iwc-Seiko-Tissot/1000007197558.html","26.99","17.54","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_d7fEVLw"
"Watches Accessories","200000121","Retro Genuine Leather 18 19 20 21 22mm Men's excellent Watch Band Strap For Seiko Mido for Omega fossil Belt Bracelet watchbands","1000006996080","https://ae01.alicdn.com/kf/HTB1L61DXyzxK1RkSnaVq6xn9VXab/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1L61DXyzxK1RkSnaVq6xn9VXab/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg,https://ae01.alicdn.com/kf/HTB1yTWDXE_rK1Rjy0Fcq6zEvVXay/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg,https://ae01.alicdn.com/kf/ULB8lSZTj3nJXKJkSaelq6xUzXXaU/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg,https://ae01.alicdn.com/kf/ULB85qc5j1vJXKJkSajhq6A7aFXab/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg,https://ae01.alicdn.com/kf/ULB8pYQZj__IXKJkSalUq6yBzVXaT/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko.jpg,","https://www.aliexpress.com/item/Retro-Genuine-Leather-18-19-20-21-22mm-Men-s-excellent-Watch-Band-Strap-For-Seiko/1000006996080.html","25.99","16.89","8.00%","2098-12-31","35%","http://s.click.aliexpress.com/e/_d7thBKY"
