"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Walkie Talkie","50906","C037  2 Pin telescopic Throat Covert Acoustic Tube Earpiece for TYT BAOFENG UV5R 888S  FOR KENWOOD Radio Black New","32419675507","https://ae01.alicdn.com/kf/Hb269473e9de4479b85ddbb50cd2579b0u/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hb269473e9de4479b85ddbb50cd2579b0u/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg,https://ae01.alicdn.com/kf/H6387529aea74418589917f4920103e94e/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg,https://ae01.alicdn.com/kf/Hfb1483e8230544209680825bfd1e26d8e/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg,https://ae01.alicdn.com/kf/Hde54de7cad224d08be1c112fb7716957O/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg,https://ae01.alicdn.com/kf/HTB1teD6QXXXXXaQXFXXq6xXFXXX6/Throat-Microphone-Headphones-For-Walkie-talkie-Throat-Laryngophone-Headset-For-Kenwood-TYT-Baofeng-UV-5R-UV.jpg,","https://www.aliexpress.com/item/C037-2-Pin-telescopic-Throat-Covert-Acoustic-Tube-Earpiece-for-TYT-BAOFENG-UV5R-888S-FOR-KENWOOD/32419675507.html","12.80","9.73","4.00%","2098-12-31","24%","https://s.click.aliexpress.com/e/_9HpFFf"
"Walkie Talkie","50906","RETEVIS RS-114 IP54 Waterproof Speaker Microphone For Kenwood RETEVIS H777 RT3S RT5R RT22 BAOFENG UV-5R UV-82 888S Walkie Talkie","32839980788","https://ae01.alicdn.com/kf/Hac15d79342ca428981403cb603b59fe2n/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hac15d79342ca428981403cb603b59fe2n/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg,https://ae01.alicdn.com/kf/H48e2dddcdd804f7d9614aaa98b33a993O/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg,https://ae01.alicdn.com/kf/HTB1qZbEonnI8KJjSszgq6A8ApXa4/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg,https://ae01.alicdn.com/kf/H330e7d84293a4a8197f6aea51ab0aabdz/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg,https://ae01.alicdn.com/kf/H6b1935c02593482b8934c7837d587689b/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV.jpg,","https://www.aliexpress.com/item/RETEVIS-RS-114-IP54-Waterproof-Speaker-Microphone-For-Kenwood-RETEVIS-H777-RT3S-RT5R-RT22-BAOFENG-UV/32839980788.html","14.27","9.42","4.00%","2098-12-31","34%","https://s.click.aliexpress.com/e/_AcCsHJ"
"Walkie Talkie","50906","Covert Acoustic Tube In-ear Earpiece Headset Walkie Talkie Accessories For KENWOOD BAOFENG BF-888s HYT Retevis RT5R RT5 RT7 H777","32755180931","https://ae01.alicdn.com/kf/H6d3c0830dbac471eaed9637c3f175a8cC/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H6d3c0830dbac471eaed9637c3f175a8cC/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg,https://ae01.alicdn.com/kf/HTB1eHFUX7T2gK0jSZFkq6AIQFXad/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg,https://ae01.alicdn.com/kf/HTB1qv9DX7T2gK0jSZPcq6AKkpXaQ/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg,https://ae01.alicdn.com/kf/HTB1VjqiX.T1gK0jSZFrq6ANCXXaL/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg,https://ae01.alicdn.com/kf/H37008b6ee7894755a56b40d391ae580dU/2pcs-Acoustic-Tube-PTT-Mic-2Pin-Headphone-Walkie-Talkie-Headset-For-Kenwood-TYT-Baofeng-888s-UV.jpg,","https://www.aliexpress.com/item/Covert-Acoustic-Tube-In-ear-Earpiece-Headset-Walkie-Talkie-Accessories-For-KENWOOD-BAOFENG-BF-888s-HYT/32755180931.html","14.60","9.49","4.00%","2098-12-31","35%","https://s.click.aliexpress.com/e/_APkfCh"
"Walkie Talkie","50906","New Upgraded IP67 Waterproof PTT Speaker Microphone For Ailunce HD1 Retevis RT29/RT82/RT83/RT87/RT648/RT647 Walkie Talkie J9131G","32843592011","https://ae01.alicdn.com/kf/HTB1hmG4NCzqK1RjSZFjq6zlCFXa4/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1hmG4NCzqK1RjSZFjq6zlCFXa4/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg,https://ae01.alicdn.com/kf/HTB1kBp7ax2rK1RkSnhJq6ykdpXaC/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg,https://ae01.alicdn.com/kf/HTB1xHviajLuK1Rjy0Fhq6xpdFXa4/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg,https://ae01.alicdn.com/kf/HTB14cF1apzsK1Rjy1Xbq6xOaFXae/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg,https://ae01.alicdn.com/kf/HTB12Pp8asnrK1RjSspkq6yuvXXaC/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648.jpg,","https://www.aliexpress.com/item/New-Upgraded-IP67-Waterproof-PTT-Speaker-Microphone-For-Ailunce-HD1-Retevis-RT29-RT82-RT83-RT87-RT648/32843592011.html","27.49","21.99","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_AUWKhr"
"Walkie Talkie","50906","RETEVIS EH060K Tactical Headset Military Wakie Talkie Headset Airsoft Game Microphone For Kenwood ForBaofeng UV-5R/UV82 RT1/RT81","32961206473","https://ae01.alicdn.com/kf/HTB100bJuZbpK1RjSZFyq6x_qFXaJ/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB100bJuZbpK1RjSZFyq6x_qFXaJ/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1wwebajzuK1Rjy0Fpq6yEpFXaN/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1Y3CoafjsK1Rjy1Xaq6zispXa2/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1KZGiaozrK1RjSspmq6AOdFXav/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1RBWeaizxK1RkSnaVq6xn9VXar/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R.jpg,","https://www.aliexpress.com/item/RETEVIS-EH060K-Tactical-Headset-Military-Wakie-Talkie-Headset-Airsoft-Game-Microphone-For-Kenwood-ForBaofeng-UV-5R/32961206473.html","34.99","27.99","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_9jvopB"
"Walkie Talkie","50906","Retevis RB618 RB18 Walkie Talkie 2pcs Dual PTT PMR Radio PMR446 LCD Display FRS NOAA Two Way Radio Transceiver Walkie-talkies","4000852263596","https://ae01.alicdn.com/kf/Ha7a6a9e98dd3430f9e84bd8999306b900/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha7a6a9e98dd3430f9e84bd8999306b900/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg,https://ae01.alicdn.com/kf/H4923b58d00a44d9aa144d72137bfa88db/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg,https://ae01.alicdn.com/kf/H27493a8d9681493ea83398967d6897a6c/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg,https://ae01.alicdn.com/kf/H4a8cb95850494b21bdd0970aa19a1361v/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg,https://ae01.alicdn.com/kf/Hdead2e15f6614ee1be9de67d2fc89ae6I/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two.jpg,","https://www.aliexpress.com/item/Retevis-RB618-RB18-Walkie-Talkie-2pcs-Dual-PTT-PMR-Radio-PMR446-LCD-Display-FRS-NOAA-Two/4000852263596.html","47.13","32.05","5.00%","2098-12-31","32%","https://s.click.aliexpress.com/e/_AozW1R"
"Walkie Talkie","50906","Noise Cancelling Aviation Microphone Headset Walkie-talkie Earpiece VOX Volume Adjustment for Kenwood Baofeng UV-5R Retevis H777","32913286556","https://ae01.alicdn.com/kf/HTB1l24VdWWs3KVjSZFxq6yWUXXaE/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1l24VdWWs3KVjSZFxq6yWUXXaE/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB17qGFKh1YBuNjy1zcq6zNcXXay/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1nshnqiMnBKNjSZFzq6A_qVXaw/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1g5hwKXGWBuNjy0Fbq6z4sXXas/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/HTB1Qht8KeOSBuNjy0Fdq6zDnVXaK/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R.jpg,","https://www.aliexpress.com/item/Noise-Cancelling-Aviation-Microphone-Headset-Walkie-talkie-Earpiece-VOX-Volume-Adjustment-for-Kenwood-Baofeng-UV-5R/32913286556.html","87.49","65.62","4.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_9GVl9L"
"Walkie Talkie","50906","Retevis RT15 Mini Walkie Talkie 2pcs Portable Two Way Radio Station UHF VOX USB Charging Transceiver Communicator Walkie-Talkies","32918146639","https://ae01.alicdn.com/kf/H3be27182cc364022954a46187f707fe7h/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H3be27182cc364022954a46187f707fe7h/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg,https://ae01.alicdn.com/kf/Hfd9607e9b8c6491f8d918f809d96a704I/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg,https://ae01.alicdn.com/kf/Hdfc5fd7aba0c4ca4a0daf35d734dee638/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg,https://ae01.alicdn.com/kf/H47215b068de340b8952d7f60357ca653e/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg,https://ae01.alicdn.com/kf/H772b62a9b581426e8022b9229938a07dv/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver.jpg,","https://www.aliexpress.com/item/Retevis-RT15-Mini-Walkie-Talkie-2pcs-Portable-Two-Way-Radio-Station-UHF-VOX-USB-Charging-Transceiver/32918146639.html","38.56","22.36","4.00%","2098-12-31","42%","https://s.click.aliexpress.com/e/_ArflBn"
"Walkie Talkie","50906","Walkie Talkie 2pcs Retevis RB619 PMR446 Radio PMR Walkie-talkie RB19 FRS 1.7' Dot Matrix DisplayType-C Charge Walkie-Talkies","4000987042190","https://ae01.alicdn.com/kf/H32d752f298ea4ac0abdfcf2dfaa37b01L/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H32d752f298ea4ac0abdfcf2dfaa37b01L/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg,https://ae01.alicdn.com/kf/Hb73a54c5d6f54382a5aa544a85af0d2bM/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg,https://ae01.alicdn.com/kf/H32a7eca9e7b84ff5b578f0147aa9144b5/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg,https://ae01.alicdn.com/kf/Hcbb304e8d2ea48359585accd37828e3c5/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg,https://ae01.alicdn.com/kf/H00343316f36e4b91bf91a2fad8e52a22e/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix.jpg,","https://www.aliexpress.com/item/Walkie-Talkie-2pcs-Retevis-RB619-PMR446-Radio-PMR-Walkie-talkie-RB19-FRS-1-7-Dot-Matrix/4000987042190.html","61.65","33.29","5.00%","2098-12-31","46%","https://s.click.aliexpress.com/e/_A8byiv"
"Walkie Talkie","50906","Retevis RT649/RT49 Walkie-talkies 2pcs Family Use IP65 Waterproof For Hunting UHF PMR446 FRS Emergency Two Way Radio Portable","4000166003187","https://ae01.alicdn.com/kf/H95ec51f9794347fda4997509c2c145d2I/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H95ec51f9794347fda4997509c2c145d2I/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg,https://ae01.alicdn.com/kf/He3b1450d1f364a66b19999be1e4b96f5p/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg,https://ae01.alicdn.com/kf/Hce4f14604d78417a93d3f4dbbb5e2e84U/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg,https://ae01.alicdn.com/kf/H0367361d49f346a290ea655ec0bc29e4r/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg,https://ae01.alicdn.com/kf/H2b7251f39c0b441face0735a21174581n/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency.jpg,","https://www.aliexpress.com/item/Retevis-RT649-RT49-Walkie-talkies-2pcs-Family-Use-IP65-Waterproof-For-Hunting-UHF-PMR446-FRS-Emergency/4000166003187.html","61.42","42.99","4.00%","2098-12-31","30%","https://s.click.aliexpress.com/e/_ArdnYv"
