"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Walkie Talkie Parts ","200380144","New Retevis RHD-771 SMA-F Elite Antenna Dual Band 144/430 MHz U/V Antenna For Retevis Baofeng H-777 RT-5R 888s UV5R Radio","32438261791","https://ae01.alicdn.com/kf/Ha4312c78d6ce42709f5dfa8e37339a0dH/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha4312c78d6ce42709f5dfa8e37339a0dH/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg,https://ae01.alicdn.com/kf/H88318e838b3549fe8381a97c1a7b0805u/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB11YKADFuWBuNjSszbq6AS7FXaS/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg,https://ae01.alicdn.com/kf/Hd8f5dd1bf69d404c9b55ede8ce6a52c0u/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB1m1mODH5YBuNjSspoq6zeNFXaK/High-Gain-Retevis-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-For-Kenwood.jpg,","https://www.aliexpress.com/item/New-Retevis-RHD-771-SMA-F-Elite-Antenna-Dual-Band-144-430-MHz-U-V-Antenna/32438261791.html","7.86","5.97","4.00%","2098-12-31","24%","https://s.click.aliexpress.com/e/_ANmYJx"
"Walkie Talkie Parts ","200380144","New NAGOYA PHD-771 Dual Band 144/430MHz 20W 2.15dBi Soft Antenna SMA-F for Radio RETEVIS BAOFENG KENWOOD TYT J6290F","32634282919","https://ae01.alicdn.com/kf/Hf56599016a7e49618c60957d4a425d07r/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hf56599016a7e49618c60957d4a425d07r/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg,https://ae01.alicdn.com/kf/H508e7c1ee0064386ac39e5f3a7305aaa3/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg,https://ae01.alicdn.com/kf/H420f79e5a22d4fa180a8043e401027a7m/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg,https://ae01.alicdn.com/kf/H9d5cc9778e714239b22c3271ec7b0b32C/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB1Y5XZB_tYBeNjy1Xdq6xXyVXaF/2pcs-RETEVIS-RHD-771-SMA-F-Walkie-Talkie-Antenna-VHF-UHF-Dual-Band-39cm-For-Kenwood.jpg,","https://www.aliexpress.com/item/New-NAGOYA-PHD-771-Dual-Band-144-430MHz-20W-2-15dBi-Soft-Antenna-SMA-F-for/32634282919.html","14.27","9.42","4.00%","2098-12-31","34%","https://s.click.aliexpress.com/e/_981Or7"
"Walkie Talkie Parts ","200380144","Original Retevis RT-771 SMA-F Antenna VHF/UHF 144/430 MHz For Retevis H-777/RT-5R/BAOFENG/WOUXUN/TYT/Puxing Two Way Radio RUShip","32658651781","https://ae01.alicdn.com/kf/HTB1gtmMN7voK1RjSZFDq6xY3pXad/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1gtmMN7voK1RjSZFDq6xY3pXad/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB1gd7CBKySBuNjy1zdq6xPxFXaH/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB1FhDnBQKWBuNjy1zjq6AOypXaT/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg,https://ae01.alicdn.com/kf/HTB1JVxgtyCYBuNkHFCcq6AHtVXa6/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg,https://ae01.alicdn.com/kf/Hb21b964eed2c417f8b71aad497c75ef61/Retevis-RHD-701-SMA-F-VHF-UHF-Antenna-For-Walkie-talkie-20cm-2dBi-Accessories-For-Kenwood.jpg,","https://www.aliexpress.com/item/Original-Retevis-RT-771-SMA-F-Antenna-VHF-UHF-144-430-MHz-For-Retevis-H-777/32658651781.html","4.62","3.70","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_9j3cwv"
"Walkie Talkie Parts ","200380144","New 2 Pin Earpiece Mic Finger PTT Headset for Kenwood BAOFENG Radios UV-5R 777 888s WOUXUN HYT PUXING High Quality  C2014A","32464697571","https://ae01.alicdn.com/kf/H90fc236105344990bbc21955e02586a4j/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H90fc236105344990bbc21955e02586a4j/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg,https://ae01.alicdn.com/kf/HTB1phhLd.WF3KVjSZPhq6xclXXaM/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg,https://ae01.alicdn.com/kf/HTB1Thv0ECtYBeNjSspaq6yOOFXaS/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg,https://ae01.alicdn.com/kf/HTB1p91LEuySBuNjy1zdq6xPxFXay/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg,https://ae01.alicdn.com/kf/HTB15lUyEDtYBeNjy1Xdq6xXyVXay/Universal-2Pin-Finger-PTT-Earpiece-Soft-Microphone-Headset-For-Kenwood-For-BAOFENG-UV-5R-Bf-888s.jpg,","https://www.aliexpress.com/item/New-2-Pin-Earpiece-Mic-Finger-PTT-Headset-for-Kenwood-BAOFENG-Radios-UV-5R-777-888s/32464697571.html","14.32","10.02","4.00%","2098-12-31","30%","https://s.click.aliexpress.com/e/_97H0vr"
"Walkie Talkie Parts ","200380144","Retevis MA02 Fiberglass Omni-Directional Base Station Antenna SL16-K VHF UHF Repeater Antenna For Retevis RT97/RT9550/RT92","4000024562079","https://ae01.alicdn.com/kf/H2b2f7e66377f4e96b33535bd197c1bc1X/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H2b2f7e66377f4e96b33535bd197c1bc1X/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg,https://ae01.alicdn.com/kf/HTB1D3IVa4n1gK0jSZKPq6xvUXXas/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg,https://ae01.alicdn.com/kf/HTB1GvZVa8v0gK0jSZKbq6zK2FXaT/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg,https://ae01.alicdn.com/kf/HTB1_GBlaubviK0jSZFNq6yApXXaG/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg,https://ae01.alicdn.com/kf/HTB15PYSaVY7gK0jSZKzq6yikpXaq/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis.jpg,","https://www.aliexpress.com/item/Retevis-MA02-Fiberglass-Omni-Directional-Base-Station-Antenna-SL16-K-VHF-UHF-Repeater-Antenna-For-Retevis/4000024562079.html","105.71","91.97","4.00%","2098-12-31","13%","https://s.click.aliexpress.com/e/_ACvJkp"
"Walkie Talkie Parts ","200380144","Retevis HK008 2 Pin Rechargeable Mic Speaker Adjustable Volume For Kenwood Baofeng UV5R 888S Retevis RT22 RT3S  RT3 H777  C9121A","4000756227506","https://ae01.alicdn.com/kf/H5ba71fb9209a4219b2588f07a9939900k/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.png_220x220.png","https://ae01.alicdn.com/kf/H5ba71fb9209a4219b2588f07a9939900k/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.png,https://ae01.alicdn.com/kf/H35e5c343a6744e038d5de2fc6fb01643l/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.jpg,https://ae01.alicdn.com/kf/H0b556717726840e490835be629ccc121d/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.jpg,https://ae01.alicdn.com/kf/H2b37847bbf9042e3989db7d0fb45640fq/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.jpg,https://ae01.alicdn.com/kf/He34e37fcd6e74204ad7827b9bb81d0efY/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22.jpg,","https://www.aliexpress.com/item/Retevis-HK008-2-Pin-Rechargeable-Mic-Speaker-Adjustable-Volume-For-Kenwood-Baofeng-UV5R-888S-Retevis-RT22/4000756227506.html","33.07","21.50","4.00%","2098-12-31","35%","https://s.click.aliexpress.com/e/_ATQnNF"
"Walkie Talkie Parts ","200380144","Retevis TCK01 2Pin to 3.5mm Female Phone Audio Earpiece Transfer Cable For Retevis RT21 RT22 RT24 RT7 RT27 H777 Walkie Talkie","32843835877","https://ae01.alicdn.com/kf/HTB1g.8WdWWs3KVjSZFxq6yWUXXa3/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1g.8WdWWs3KVjSZFxq6yWUXXa3/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg,https://ae01.alicdn.com/kf/HTB1moddeMDD8KJjy0Fdq6AjvXXac/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg,https://ae01.alicdn.com/kf/HTB1ZOUFbXTM8KJjSZFlq6yO8FXaC/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg,https://ae01.alicdn.com/kf/HTB1sE3iazgy_uJjSZTEq6AYkFXax/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg,https://ae01.alicdn.com/kf/Hf6096e72fa8a4a28953faadb368ac4ffC/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22.jpg,","https://www.aliexpress.com/item/Retevis-TCK01-2Pin-to-3-5mm-Female-Phone-Audio-Earpiece-Transfer-Cable-For-Retevis-RT21-RT22/32843835877.html","8.74","6.99","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_9RO5E9"
"Walkie Talkie Parts ","200380144","USB Programming Cable/Cord CD Driver for Baofeng UV-5R / BF-888S handheld transceiver","4001204913242","https://ae01.alicdn.com/kf/H16dec67af8db496eb51ce61ea62d7d60p/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H16dec67af8db496eb51ce61ea62d7d60p/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg,https://ae01.alicdn.com/kf/H734b5b92d6b84b72a7ecc410bd20f8eds/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg,https://ae01.alicdn.com/kf/H02ba2cbe527e4842ac29d234569294c5n/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg,https://ae01.alicdn.com/kf/H72f1f98441334595bc17b741c3819325C/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg,https://ae01.alicdn.com/kf/H1158fc41780c4790960e0554b021a663u/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver.jpg,","https://www.aliexpress.com/item/USB-Programming-Cable-Cord-CD-Driver-for-Baofeng-UV-5R-BF-888S-handheld-transceiver/4001204913242.html","2.12","1.34","11.00%","2098-12-31","37%","https://s.click.aliexpress.com/e/_AMS7LX"
"Walkie Talkie Parts ","200380144","Wireless Bluetooth Headphones Headset Walkie Talkie  With Wireless Finger PTT For Kenwood For Baofeng UV 5R 888S Two-way Radio","4000560782165","https://ae01.alicdn.com/kf/He21ad5275047456ead25ae243091cbd2F/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg_220x220.jpg","https://ae01.alicdn.com/kf/He21ad5275047456ead25ae243091cbd2F/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/Ha863bbbeccbe48ee907ba10f3872ca09g/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/Hd58b9f8fd44e42d6a6f4d19e7f1cd5075/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/Hb032c4f2dadc4832aad216081d78ff0du/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg,https://ae01.alicdn.com/kf/H84c5c28b1c2349f8a3ba0e854f624c18u/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R.jpg,","https://www.aliexpress.com/item/Wireless-Bluetooth-Headphones-Headset-Walkie-Talkie-With-Wireless-Finger-PTT-For-Kenwood-For-Baofeng-UV-5R/4000560782165.html","41.24","32.99","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_AaE2Xb"
"Walkie Talkie Parts ","200380144","Retevis HB02 Black Fluorescent Double Chest Bag For Portable Two Way Radio Adjustable Shoulder Length Bag For Walkie-talkie","4001150757180","https://ae01.alicdn.com/kf/Hc10bf8c6dd364cafbde1c8d393717af9d/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hc10bf8c6dd364cafbde1c8d393717af9d/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg,https://ae01.alicdn.com/kf/Hff977bc173f247a0847dab5d0a6fbe12t/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg,https://ae01.alicdn.com/kf/H8c8841fc2f564127b6f644da029c54den/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg,https://ae01.alicdn.com/kf/Hc0717a0f1ee14733a45c3092541e0a74A/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg,https://ae01.alicdn.com/kf/H3c1517170f5d4739a820f1f93d279032b/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag.jpg,","https://www.aliexpress.com/item/Retevis-HB02-Black-Fluorescent-Double-Chest-Bag-For-Portable-Two-Way-Radio-Adjustable-Shoulder-Length-Bag/4001150757180.html","30.50","24.40","4.00%","2098-12-31","20%","https://s.click.aliexpress.com/e/_9vs8bj"
