"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"External Storage","200001074","Netac Z8 portable SSD 250GB 500GB 1TB 2TB USB3.1 External Solid State Drives USB 3.1 Gen1 and backward compatible for Laptop","4001023171073","https://ae01.alicdn.com/kf/H07268c21992a4a14b39a187dd51bb14aa/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H07268c21992a4a14b39a187dd51bb14aa/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg,https://ae01.alicdn.com/kf/Hbf44f41bf7dc4049906e9310ef27ed09b/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg,https://ae01.alicdn.com/kf/H5bdfaf3a90524bb189dce3c8ac166177W/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg,https://ae01.alicdn.com/kf/Hd7505c5340c54a3693eb38205f2f9255E/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg,https://ae01.alicdn.com/kf/H3063e816623c43eda10bb60731dd0262v/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3.jpg,","https://www.aliexpress.com/item/Netac-Z8-portable-SSD-250GB-500GB-1TB-2TB-USB3-1-External-Solid-State-Drives-USB-3/4001023171073.html","59.98","35.39","8.00%","2098-12-31","41%","https://s.click.aliexpress.com/e/_9AQV1j"
"External Storage","200001074","2.5 3.5 Inch USB 3.0 to SATA Hard Drive Docking Station/Duplicator Support MAX 24TB with 12V6.5A Power Adapter (ORICO 6648US3-C)","32733948335","https://ae01.alicdn.com/kf/H3ff26730e47b45f2be8216466b99515c5/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H3ff26730e47b45f2be8216466b99515c5/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg,https://ae01.alicdn.com/kf/Ha2d59fe3feba4ad5b9a010842dcb6933l/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg,https://ae01.alicdn.com/kf/H78587c89c3f7487886e24486d13b6cd5M/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg,https://ae01.alicdn.com/kf/Hd7f93a5c1bcc4bca96ef5b8ae6a95e2cO/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg,https://ae01.alicdn.com/kf/H4840ff6ccc71492797fac6e5be23f830u/ORICO-Clone-Docking-Station-2-5-3-5-Dual-Bay-SATA-To-USB-3-0-HDD.jpg,","https://www.aliexpress.com/item/2-5-3-5-Inch-USB-3-0-to-SATA-Hard-Drive-Docking-Station-Duplicator-Support/32733948335.html","29.22","18.12","8.00%","2098-12-31","38%","https://s.click.aliexpress.com/e/_A2GSrx"
"External Storage","200001074","SanDisk 100% Original  Cruzer Blade CZ50 USB Flash Drive 128GB 64GB 32GB 16GB Pen Drive USB 2.0 Disk Pendrive Memory Stick","1005001636392870","https://ae01.alicdn.com/kf/H44bb77269bf64e0bb437efd06681dd7eG/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H44bb77269bf64e0bb437efd06681dd7eG/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg,https://ae01.alicdn.com/kf/H94a3e013a0c34062b4240cf9daa0e7f9Y/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg,https://ae01.alicdn.com/kf/H5eae6016386e41f497b84a9d4c3ccb8dG/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg,https://ae01.alicdn.com/kf/H4c2602778e944c29b4107f3e5bf1d374Q/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg,https://ae01.alicdn.com/kf/Hc20b568b961544ae848b2bd7ff16a388n/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB.jpg,","https://www.aliexpress.com/item/SanDisk-100-Original-Cruzer-Blade-CZ50-USB-Flash-Drive-128GB-64GB-32GB-16GB-Pen-Drive-USB/1005001636392870.html","7.18","3.59","8.00%","2098-12-31","50%","https://s.click.aliexpress.com/e/_AcXthF"
"External Storage","200001074","Baseus M2 SSD Case External Hard Drive Case SSD Caddy M2 to USB Type C 3.0 Portable Hard Drive for NGFF SATA M/B KEY Disk Case","1005001521532575","https://ae01.alicdn.com/kf/Hacdc57fb9de2488aa3ed32e249ccbe78h/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hacdc57fb9de2488aa3ed32e249ccbe78h/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg,https://ae01.alicdn.com/kf/Ha21929398b4f4c42b070e69b6585e9e8i/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg,https://ae01.alicdn.com/kf/H538d7b790a544e9eb08bcb2338f1b756m/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg,https://ae01.alicdn.com/kf/H96da1ce4bb9a4cd3904c537124fc4dafa/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg,https://ae01.alicdn.com/kf/H37925a1d0b5e45bdb10c0a19e67dc9f0K/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3.jpg,","https://www.aliexpress.com/item/Baseus-M2-SSD-Case-External-Hard-Drive-Case-SSD-Caddy-M2-to-USB-Type-C-3/1005001521532575.html","21.41","13.92","8.00%","2098-12-31","35%","https://s.click.aliexpress.com/e/_AWNqX3"
"External Storage","200001074","64GB Pendrive Star Wars Cartoon Robot Cartoon 256GB 32GB External Storage cle Usb Stick 128GB 256 64 32 8 16 gb USB Flash Drive","4000160288754","https://ae01.alicdn.com/kf/H6fff5287b32d4c469abfb79bdb6d8d60M/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H6fff5287b32d4c469abfb79bdb6d8d60M/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg,https://ae01.alicdn.com/kf/Hd9023e049a4a48cc850634eab0d42d53h/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg,https://ae01.alicdn.com/kf/H3f30cc202552468cbb6c762e97de7439K/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg,https://ae01.alicdn.com/kf/H8fe8629196d84b95b3ad7527324b4b05F/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg,https://ae01.alicdn.com/kf/H321d12a5a54048758b934d4b5dd32b04p/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256.jpg,","https://www.aliexpress.com/item/64GB-Pendrive-Star-Wars-Cartoon-Robot-Cartoon-256GB-32GB-External-Storage-cle-Usb-Stick-128GB-256/4000160288754.html","4.13","3.35","8.00%","2098-12-31","19%","https://s.click.aliexpress.com/e/_AbpOI1"
"External Storage","200001074","Animal/Cat/Demon USB Flash Drive Pen Drives 256 128 32 GB 256GB 64GB 32GB 16GB 8GB 4GB Pendrive usb2.0 Cle Usb Owl Memory Stick","4000311495514","https://ae01.alicdn.com/kf/H5d60367859684e508b26c2df9174f280B/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H5d60367859684e508b26c2df9174f280B/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg,https://ae01.alicdn.com/kf/H58e41b46fc5f40648603378064e12070X/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg,https://ae01.alicdn.com/kf/Hd2601c8b879a4987bb2e6a52f133a51c8/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg,https://ae01.alicdn.com/kf/H00641c312651486eb74d85918d27c19ac/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg,https://ae01.alicdn.com/kf/H154ddcb9c4f74e9d8b65f1726ffb8390b/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB.jpg,","https://www.aliexpress.com/item/Animal-Cat-Demon-USB-Flash-Drive-Pen-Drives-256-128-32-GB-256GB-64GB-32GB-16GB/4000311495514.html","4.18","3.39","8.00%","2098-12-31","19%","https://s.click.aliexpress.com/e/_AO5HDL"
"External Storage","200001074","Rectangle USB Personalised Pendrive 256 32 8 gb Bullion gold bar Chiavetta usb 4GB 16GB 32GB Flash Drive 128GB 64GB Memory Stick","4000965478428","https://ae01.alicdn.com/kf/Hb08d6926a7a042a981a8fd5e7b195306V/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hb08d6926a7a042a981a8fd5e7b195306V/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg,https://ae01.alicdn.com/kf/Hb2140609dca74b1c9910a5d138814074Y/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg,https://ae01.alicdn.com/kf/He4a24ef90a0a4923ad84475d35de39ddR/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg,https://ae01.alicdn.com/kf/Hbdda4b5bb7aa46e4bca66ee48e9ffebeh/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg,https://ae01.alicdn.com/kf/Hec2ee69593e040eb8685515d79c0ea52q/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB.jpg,","https://www.aliexpress.com/item/Rectangle-USB-Personalised-Pendrive-256-32-8-gb-Bullion-gold-bar-Chiavetta-usb-4GB-16GB-32GB/4000965478428.html","4.51","3.74","8.00%","2098-12-31","17%","https://s.click.aliexpress.com/e/_99Y6XF"
"External Storage","200001074","usb flash drive Son Goku Kuririn Dragon Ball 128GB 64GB 16GB 256GB 8GB 32GB Cle USB 2.0 memory pendrive Cartoon Pen Drive Stick","4000151621401","https://ae01.alicdn.com/kf/Hf1ed7be6644e4484896e23751841db65i/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hf1ed7be6644e4484896e23751841db65i/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg,https://ae01.alicdn.com/kf/Hf0a214f2e32d43afbead11f2beb018abx/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg,https://ae01.alicdn.com/kf/Ha6752dae764044ff819db878dc6aa0b0T/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg,https://ae01.alicdn.com/kf/He631c882e17248d8bc8da501b28d2547V/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg,https://ae01.alicdn.com/kf/Hd3356ac9d468435a85eeb7c980a7cb0fG/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB.jpg,","https://www.aliexpress.com/item/usb-flash-drive-Son-Goku-Kuririn-Dragon-Ball-128GB-64GB-16GB-256GB-8GB-32GB-Cle-USB/4000151621401.html","4.13","3.35","8.00%","2098-12-31","19%","https://s.click.aliexpress.com/e/_ApOXN3"
"External Storage","200001074","SanDisk Wi-Fi Flash Drive Wireless Media Pendrive Stick USB Pen Drive USB Stick USB Memory 16G 32GB 64GB 128GB 200GB USB2.0 Used","4000599718007","https://ae01.alicdn.com/kf/H4db422e13fd2432a8b8e003ffd493ae4L/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H4db422e13fd2432a8b8e003ffd493ae4L/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg,https://ae01.alicdn.com/kf/H9938c2b41cf148ebab7875bbc0fbd7727/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg,https://ae01.alicdn.com/kf/H70bbd0f3f07d4a328d23ab195f1a341do/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg,https://ae01.alicdn.com/kf/H2c401b1a50e0492a8e5d408dfdfc0121t/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg,https://ae01.alicdn.com/kf/H3013509c7204422a8ef085fa04cf99f7Z/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory.jpg,","https://www.aliexpress.com/item/SanDisk-Wi-Fi-Flash-Drive-Wireless-Media-Pendrive-Stick-USB-Pen-Drive-USB-Stick-USB-Memory/4000599718007.html","18.19","13.64","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_A8SzAl"
"External Storage","200001074","Chinese Zodiac Signs USB Memory Stick 4 8 16 32 64 128 256 gb Pendrive 256GB 32GB 8GB USB Flash Drive Dog/Pig/Tiger/Rabbit gift","4000324719262","https://ae01.alicdn.com/kf/Hcebf6a534c2a4ac4b664b6b8819a2873P/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hcebf6a534c2a4ac4b664b6b8819a2873P/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg,https://ae01.alicdn.com/kf/H51bc42b6ad7945f0800376dd1e898d936/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg,https://ae01.alicdn.com/kf/H37dd585638ae4c3695c0c2ab0a10a2edW/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg,https://ae01.alicdn.com/kf/Hde72fddc297a444b90a9b0759d6b94faP/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg,https://ae01.alicdn.com/kf/H26ed80674700405889966f063e20ad37t/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB.jpg,","https://www.aliexpress.com/item/Chinese-Zodiac-Signs-USB-Memory-Stick-4-8-16-32-64-128-256-gb-Pendrive-256GB/4000324719262.html","4.31","3.49","8.00%","2098-12-31","19%","https://s.click.aliexpress.com/e/_Asoma1"
