"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Exterior Accessories","200003427","2 X Funny I MAY BE SLOW BUT I'M AHEAD OF YOU Personality PVC Decal Car Sticker,15cm*3cm","1005001548903806","https://ae01.alicdn.com/kf/H52331732241a41e39b22032df766f28fG/2-X-Funny-I-MAY-BE-SLOW-BUT-I-M-AHEAD-OF-YOU-Personality-PVC-Decal.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H52331732241a41e39b22032df766f28fG/2-X-Funny-I-MAY-BE-SLOW-BUT-I-M-AHEAD-OF-YOU-Personality-PVC-Decal.jpg,https://ae01.alicdn.com/kf/H656484363df640e3bea2e243880ed3e5t/2-X-Funny-I-MAY-BE-SLOW-BUT-I-M-AHEAD-OF-YOU-Personality-PVC-Decal.jpg,","https://www.aliexpress.com/item/2-X-Funny-I-MAY-BE-SLOW-BUT-I-M-AHEAD-OF-YOU-Personality-PVC-Decal/1005001548903806.html","4.99","1.95","8.00%","2098-12-31","61%","https://s.click.aliexpress.com/e/_AOVPO9"
"Exterior Accessories","200003427","Bardian Scratches Pattern Claws Vinyl Decal Car Sticker Creative Stickers Waterproof Accessories,16cm*14cm","1005001545068352","https://ae01.alicdn.com/kf/H9ba2256160e949b48b29c0190c69b539j/Bardian-Scratches-Pattern-Claws-Vinyl-Decal-Car-Sticker-Creative-Stickers-Waterproof-Accessories-16cm-14cm.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H9ba2256160e949b48b29c0190c69b539j/Bardian-Scratches-Pattern-Claws-Vinyl-Decal-Car-Sticker-Creative-Stickers-Waterproof-Accessories-16cm-14cm.jpg,https://ae01.alicdn.com/kf/H680fcf9181f64f40b4e427295cf1e6427/Bardian-Scratches-Pattern-Claws-Vinyl-Decal-Car-Sticker-Creative-Stickers-Waterproof-Accessories-16cm-14cm.jpg,","https://www.aliexpress.com/item/Bardian-Scratches-Pattern-Claws-Vinyl-Decal-Car-Sticker-Creative-Stickers-Waterproof-Accessories-16cm-14cm/1005001545068352.html","4.99","1.95","8.00%","2098-12-31","61%","https://s.click.aliexpress.com/e/_Apc4qp"
"Exterior Accessories","200003427","Yawn Lion Funny Vinyl Decals Creative Automobile Motorcycle Car Stickers Car-styling,16cm*13cm","1005001545078108","https://ae01.alicdn.com/kf/H302cc535a92549c68365b6e4e9c79ddft/Yawn-Lion-Funny-Vinyl-Decals-Creative-Automobile-Motorcycle-Car-Stickers-Car-styling-16cm-13cm.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H302cc535a92549c68365b6e4e9c79ddft/Yawn-Lion-Funny-Vinyl-Decals-Creative-Automobile-Motorcycle-Car-Stickers-Car-styling-16cm-13cm.jpg,https://ae01.alicdn.com/kf/H49b8e16e577c4b9d893710fbd470d007Z/Yawn-Lion-Funny-Vinyl-Decals-Creative-Automobile-Motorcycle-Car-Stickers-Car-styling-16cm-13cm.jpg,","https://www.aliexpress.com/item/Yawn-Lion-Funny-Vinyl-Decals-Creative-Automobile-Motorcycle-Car-Stickers-Car-styling-16cm-13cm/1005001545078108.html","4.99","1.95","8.00%","2098-12-31","61%","https://s.click.aliexpress.com/e/_A7M9EH"
"Exterior Accessories","200003427","2 X LOUDER THAN YOUR  LOUDER THAN YOUR GIRLFRIEND Stickers PVC Car Decal Waterproof Decals,15cm*3cm","1005001548642889","https://ae01.alicdn.com/kf/Hfe3aea3bda2d42548d6b9105486f2bdal/2-X-LOUDER-THAN-YOUR-LOUDER-THAN-YOUR-GIRLFRIEND-Stickers-PVC-Car-Decal-Waterproof-Decals-15cm.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hfe3aea3bda2d42548d6b9105486f2bdal/2-X-LOUDER-THAN-YOUR-LOUDER-THAN-YOUR-GIRLFRIEND-Stickers-PVC-Car-Decal-Waterproof-Decals-15cm.jpg,https://ae01.alicdn.com/kf/H79d5b3f9ac3b4ff58d8b83095bb90059z/2-X-LOUDER-THAN-YOUR-LOUDER-THAN-YOUR-GIRLFRIEND-Stickers-PVC-Car-Decal-Waterproof-Decals-15cm.jpg,","https://www.aliexpress.com/item/2-X-LOUDER-THAN-YOUR-LOUDER-THAN-YOUR-GIRLFRIEND-Stickers-PVC-Car-Decal-Waterproof-Decals-15cm/1005001548642889.html","4.99","1.95","8.00%","2098-12-31","61%","https://s.click.aliexpress.com/e/_9wfSYV"
"Exterior Accessories","200003427","5pcs Stainless Steel Car Sticker For MITSUBISHI ASX Auto Accessories","4000786493849","https://ae01.alicdn.com/kf/Hc95fa49883604305ba80841e29eccf10C/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hc95fa49883604305ba80841e29eccf10C/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg,https://ae01.alicdn.com/kf/H7066a89f68aa43a8b5389d6d9ae31233Z/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg,https://ae01.alicdn.com/kf/H4268020c48a249f382debefafb3296aeQ/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg,https://ae01.alicdn.com/kf/H1c246abdc32747ffa2b20aeb66d86ae7d/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg,https://ae01.alicdn.com/kf/Hc1c8ffca532949c68349860aa8f2ad268/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories.jpg,","https://www.aliexpress.com/item/5pcs-Stainless-Steel-Car-Sticker-For-MITSUBISHI-ASX-Auto-Accessories/4000786493849.html","3.99","2.99","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_AaHFfP"
"Exterior Accessories","200003427","5pcs Stainless Steel Car Sticker For Fiat Punto","4001269462209","https://ae01.alicdn.com/kf/H68ee80c443e94f2b851aed788ea158e9p/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H68ee80c443e94f2b851aed788ea158e9p/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto.jpg,https://ae01.alicdn.com/kf/H8ec5712fbf9c43fb8226bf862e9513c0l/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto.jpg,https://ae01.alicdn.com/kf/H918f35f03d0848b2afd6ad14ca06c80d7/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto.jpg,https://ae01.alicdn.com/kf/H190a0ebc5e59415f9658fa4d42da86d0k/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto.jpg,","https://www.aliexpress.com/item/5pcs-Stainless-Steel-Car-Sticker-For-Fiat-Punto/4001269462209.html","3.99","2.99","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_A6gf81"
"Exterior Accessories","200003427","5pcs Stainless Steel Car Sticker For Renault Dacia ZOE","1005001315746461","https://ae01.alicdn.com/kf/Hab53ec12fb5342f58cf3d9074c73f226f/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hab53ec12fb5342f58cf3d9074c73f226f/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg,https://ae01.alicdn.com/kf/Hba2b6e85576d4a319b04f27ce9585b3cI/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg,https://ae01.alicdn.com/kf/H8946d8eb0e6c4ee6a6c7d1d3745ec9779/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg,https://ae01.alicdn.com/kf/H9e84e6f95c764e769e07789cda2ce1ccX/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg,https://ae01.alicdn.com/kf/H792bc2140a884156a3db0148a5f1c5ebf/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE.jpg,","https://www.aliexpress.com/item/5pcs-Stainless-Steel-Car-Sticker-For-Renault-Dacia-ZOE/1005001315746461.html","3.99","2.99","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_ArjuvP"
"Exterior Accessories","200003427","Custom  car sticker 25*4cm  #NASTILE Russian car sticker car stickers  KK Vinyl waterproof Sunscreen applique","1005001680417482","https://ae01.alicdn.com/kf/H1b59019f9c4c4493b292a22955c3a34e0/Custom-car-sticker-25-4cm-NASTILE-Russian-car-sticker-car-stickers-KK-Vinyl-waterproof-Sunscreen-applique.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H1b59019f9c4c4493b292a22955c3a34e0/Custom-car-sticker-25-4cm-NASTILE-Russian-car-sticker-car-stickers-KK-Vinyl-waterproof-Sunscreen-applique.jpg,","https://www.aliexpress.com/item/Custom-car-sticker-25-4cm-NASTILE-Russian-car-sticker-car-stickers-KK-Vinyl-waterproof-Sunscreen-applique/1005001680417482.html","5.99",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_ANvSat"
"Exterior Accessories","200003427","15x7cm funny car stickers for toyota Mark II mark 2 colorful   and decals KK Vinyl","1005001680396450","https://ae01.alicdn.com/kf/Hc3fabecffed14e1a8ec3e0a19531eaceG/15x7cm-funny-car-stickers-for-toyota-Mark-II-mark-2-colorful-and-decals-KK-Vinyl.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hc3fabecffed14e1a8ec3e0a19531eaceG/15x7cm-funny-car-stickers-for-toyota-Mark-II-mark-2-colorful-and-decals-KK-Vinyl.jpg,","https://www.aliexpress.com/item/15x7cm-funny-car-stickers-for-toyota-Mark-II-mark-2-colorful-and-decals-KK-Vinyl/1005001680396450.html","4.99",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_9jzydr"
"Exterior Accessories","200003427","18*15cm  red of bull car sticker  stickers creative Custom Car motorcycle Vinyl applique","1005001680370466","https://ae01.alicdn.com/kf/H47f15000209d488ea6cfe45afa9db9ee7/18-15cm-red-of-bull-car-sticker-stickers-creative-Custom-Car-motorcycle-Vinyl-applique.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H47f15000209d488ea6cfe45afa9db9ee7/18-15cm-red-of-bull-car-sticker-stickers-creative-Custom-Car-motorcycle-Vinyl-applique.jpg,https://ae01.alicdn.com/kf/H37d892a074724e6bb0187f1b59e309fcM/18-15cm-red-of-bull-car-sticker-stickers-creative-Custom-Car-motorcycle-Vinyl-applique.jpg,https://ae01.alicdn.com/kf/H9b2ca74dd9014f8d9d65fa4dfc253fe2B/18-15cm-red-of-bull-car-sticker-stickers-creative-Custom-Car-motorcycle-Vinyl-applique.jpg,","https://www.aliexpress.com/item/18-15cm-red-of-bull-car-sticker-stickers-creative-Custom-Car-motorcycle-Vinyl-applique/1005001680370466.html","4.99",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_AosqJx"
