"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Games ","100000310","K21 Button Triggers Equipment For Cell Phone Dzhostik PUBG Mobile Joystick Gamepad Game Controller For iPhone Android Gaming","4000602955808","https://ae01.alicdn.com/kf/H3c9af11ea0764e9abeba2bca043ab2caJ/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H3c9af11ea0764e9abeba2bca043ab2caJ/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg,https://ae01.alicdn.com/kf/Hb54fb788156940a680d59ef0c36415e0T/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg,https://ae01.alicdn.com/kf/He8e7817a0e7d49009c93a6ea4aa56767B/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg,https://ae01.alicdn.com/kf/H003d088a690342ebb03385885d8fa2f26/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg,https://ae01.alicdn.com/kf/H85063a30bc914d4eafa3df00bf956cf1X/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone.jpg,","https://www.aliexpress.com/item/K21-Button-Triggers-Equipment-For-Cell-Phone-Dzhostik-PUBG-Mobile-Joystick-Gamepad-Game-Controller-For-iPhone/4000602955808.html","8.89","6.67","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_9AGHA5"
"Games ","100000310","6 Finger All-in-One Mobile Game Controller Fire Key Button for PUBG Triggers Mobile Game Controller with Cooling Fan Compatiple","4000497778189","https://ae01.alicdn.com/kf/Hfdc35268617f4751a1174760b47dd7f75/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hfdc35268617f4751a1174760b47dd7f75/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg,https://ae01.alicdn.com/kf/H4134c1274e6645c782c005796bcbbaf8r/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg,https://ae01.alicdn.com/kf/He89bcde2e7104e96a75b650e55f229bfg/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg,https://ae01.alicdn.com/kf/H01f9e868e3b946b487cd23e16f0f109cq/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg,https://ae01.alicdn.com/kf/Hf00b058ec17141a083899a7f7f1b2a15y/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game.jpg,","https://www.aliexpress.com/item/6-Finger-All-in-One-Mobile-Game-Controller-Fire-Key-Button-for-PUBG-Triggers-Mobile-Game/4000497778189.html","10.39","7.79","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_AdDXLR"
"Games ","100000310","Video Game Console SUPER CONSOLE X Support HDMI Out 4K HD Output TV Retro Game Player For PSP/PS1/MD/N64 Built-in 34000+ Games","1005001609180830","https://ae01.alicdn.com/kf/Hbc9fedfa513c4615a9ff3a6492fb7433Y/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hbc9fedfa513c4615a9ff3a6492fb7433Y/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg,https://ae01.alicdn.com/kf/H41e8dda568094c11a69417a66129f2das/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg,https://ae01.alicdn.com/kf/Hbd55b61d93e4494985eeaf2ec7465fe1J/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg,https://ae01.alicdn.com/kf/He7e08a5e673f4c04b2d074676a902428O/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg,https://ae01.alicdn.com/kf/Hbf3853607a1244778b18a06d45cd3875g/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player.jpg,","https://www.aliexpress.com/item/Video-Game-Console-SUPER-CONSOLE-X-Support-HDMI-Out-4K-HD-Output-TV-Retro-Game-Player/1005001609180830.html","16.50","9.90","8.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_ApQHCD"
"Games ","100000310","Best Gift  Video Game Console Free 30000 Games MP5 PlayersX12Pro Upgrade Game Console Handheld Game Console 2/8GB Game Console","4000904411754","https://ae01.alicdn.com/kf/H38e12556571944b2b4013b7782a6a1d6j/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H38e12556571944b2b4013b7782a6a1d6j/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg,https://ae01.alicdn.com/kf/H8cf299515e58492bb647360329ea4f38w/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg,https://ae01.alicdn.com/kf/Hf147dacebf0d421ba779f7cafa5e7020F/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg,https://ae01.alicdn.com/kf/H6397032da59d44a38a357e600db89767b/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg,https://ae01.alicdn.com/kf/H4e7a2d0bd618402a8522f0b987d69acfg/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console.jpg,","https://www.aliexpress.com/item/Best-Gift-Video-Game-Console-Free-30000-Games-MP5-PlayersX12Pro-Upgrade-Game-Console-Handheld-Game-Console/4000904411754.html","36.71","33.04","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_A9dltb"
"Games ","100000310","YuXi Transparent Clear Hard Case Protective Cover Shell Skin for Sony PlayStation Psvita PS Vita PSV 1000 Crystal Body Protector","33041033390","https://ae01.alicdn.com/kf/HTB1_j6_dgKG3KVjSZFLq6yMvXXaS/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1_j6_dgKG3KVjSZFLq6yMvXXaS/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg,https://ae01.alicdn.com/kf/HTB19BUadlGE3KVjSZFhq6AkaFXas/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg,https://ae01.alicdn.com/kf/HTB1.u4laLBj_uVjSZFpq6A0SXXaA/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg,https://ae01.alicdn.com/kf/HTB1JUgfdlKw3KVjSZTEq6AuRpXat/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg,https://ae01.alicdn.com/kf/HTB15pccdmWD3KVjSZSgq6ACxVXaU/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV.jpg,","https://www.aliexpress.com/item/YuXi-Transparent-Clear-Hard-Case-Protective-Cover-Shell-Skin-for-Sony-PlayStation-Psvita-PS-Vita-PSV/33041033390.html","2.49","2.24","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_9AEupR"
"Games ","100000310","Retro Super Console X TV Video Game Console For PSP/PS1/MD/N64 WiFi Support AV HDMI Out Built-in 45 Emulators with 33300+ Games","1005001619535516","https://ae01.alicdn.com/kf/H2a999bf44d4f4a0a94e8a6a8f0d9dc26P/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H2a999bf44d4f4a0a94e8a6a8f0d9dc26P/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg,https://ae01.alicdn.com/kf/Hd1bb08b9049b4a1da8237c44bbba1abaL/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg,https://ae01.alicdn.com/kf/He3913d20b7bf473f8608a827a4db6951K/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg,https://ae01.alicdn.com/kf/H0f8d37426ff9488d8c983b4c5e05efd7W/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg,https://ae01.alicdn.com/kf/H1e03d192653446d2938dd6564116bedaY/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV.jpg,","https://www.aliexpress.com/item/Retro-Super-Console-X-TV-Video-Game-Console-For-PSP-PS1-MD-N64-WiFi-Support-AV/1005001619535516.html","23.31","13.99","8.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_AFnoSv"
"Games ","100000310","YuXi Replacement Full Set Housing shell and buttons For DualShock 4 PlayStation 4 PS4 Pro V2 JDS 040 JDM-040 Controller Housing","4000569501462","https://ae01.alicdn.com/kf/He6ff81849b8b4a049487ecd24e8342f77/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg_220x220.jpg","https://ae01.alicdn.com/kf/He6ff81849b8b4a049487ecd24e8342f77/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg,https://ae01.alicdn.com/kf/H000740c65292461ba3c2c85369cb7021S/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg,https://ae01.alicdn.com/kf/H89bc62c37b2b4e0082912a7e544409343/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg,https://ae01.alicdn.com/kf/H571bba4603d24c1bb0d8c88333dcfc3fy/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg,https://ae01.alicdn.com/kf/Hc85d234fb8d24a5d894a4086f5091d781/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2.jpg,","https://www.aliexpress.com/item/YuXi-Replacement-Full-Set-Housing-shell-and-buttons-For-DualShock-4-PlayStation-4-PS4-Pro-V2/4000569501462.html","10.37","9.33","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_AW3Wjj"
"Games ","100000310","YuXi 1set Anti-Slip Silicone Soft Case For Nintendo Switch Protective Cover Skin For Nintend Switch Joy-Con Controller Accessory","32961379929","https://ae01.alicdn.com/kf/HTB1NHk1X0fvK1RjSszhq6AcGFXa9/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1NHk1X0fvK1RjSszhq6AcGFXa9/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg,https://ae01.alicdn.com/kf/HTB1nxkVX5DxK1Rjy1zcq6yGeXXaX/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg,https://ae01.alicdn.com/kf/HTB1vioTXZfrK1RkSmLyq6xGApXaI/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg,https://ae01.alicdn.com/kf/HTB1EcAWX5LxK1Rjy0Ffq6zYdVXaw/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg,https://ae01.alicdn.com/kf/HTB1O9sUX.vrK1RjSszfq6xJNVXaZ/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch.jpg,","https://www.aliexpress.com/item/YuXi-1set-Anti-Slip-Silicone-Soft-Case-For-Nintendo-Switch-Protective-Cover-Skin-For-Nintend-Switch/32961379929.html","0.96","0.86","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_9HWM3T"
"Games ","100000310","[50PC/ LOT] Hotsale Battery cover shell case replacement For Gameboy Color GBC game console Repair Part","32705813037","https://ae01.alicdn.com/kf/HTB1j9tKfkfb_uJjSsrbq6z6bVXaR/-50PC-LOT-Hotsale-Battery-cover-shell-case-replacement-For-Gameboy-Color-GBC-game-console-Repair.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1j9tKfkfb_uJjSsrbq6z6bVXaR/-50PC-LOT-Hotsale-Battery-cover-shell-case-replacement-For-Gameboy-Color-GBC-game-console-Repair.jpg,","https://www.aliexpress.com/item/50PC-LOT-Hotsale-Battery-cover-shell-case-replacement-For-Gameboy-Color-GBC-game-console-Repair/32705813037.html","21.00","18.90","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_AOkB5x"
"Games ","100000310","10pcs Original for PS4 Controller Conductive Film Keypad flat flex ribbon Cable for PlayStation 4 joypad replacement Parts","32706566352","https://ae01.alicdn.com/kf/HTB1.VJ5SXXXXXXIXVXXq6xXFXXXX/10pcs-for-PS4-Controller-Conductive-Film-Keypad-flat-flex-ribbon-Cable-for-PlayStation-4-joypad-replacement.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1.VJ5SXXXXXXIXVXXq6xXFXXXX/10pcs-for-PS4-Controller-Conductive-Film-Keypad-flat-flex-ribbon-Cable-for-PlayStation-4-joypad-replacement.jpg,https://ae01.alicdn.com/kf/HTB19cJOSXXXXXX9apXXq6xXFXXXs/10pcs-for-PS4-Controller-Conductive-Film-Keypad-flat-flex-ribbon-Cable-for-PlayStation-4-joypad-replacement.jpg,","https://www.aliexpress.com/item/10pcs-Original-for-PS4-Controller-Conductive-Film-Keypad-flat-flex-ribbon-Cable-for-PlayStation-4-joypad/32706566352.html","8.00","7.20","8.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_9Go1sv"
