Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Holiday Lighting,150403,Waterproof  Meteor Shower 8 Tubes LED String Lights Christmas Lamp Holiday Wedding Party  Decoration Xmas Lighting 30CM and 50CM,1005001298173335,https://ae01.alicdn.com/kf/Ha9217456729640aca90b35e68d2ab3dab/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Ha9217456729640aca90b35e68d2ab3dab/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg,https://ae01.alicdn.com/kf/H82394ce302cb489d91dd1f6655c73556F/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg,https://ae01.alicdn.com/kf/Hf4aceb7c9f804cbfa5bea00e291e1d282/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg,https://ae01.alicdn.com/kf/H630e4088d89f4fadb7351c85176ef741O/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg,https://ae01.alicdn.com/kf/H106a90db8544421891949cbb7b9e1de7M/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting.jpg,",https://www.aliexpress.com/item/Waterproof-Meteor-Shower-8-Tubes-LED-String-Lights-Christmas-Lamp-Holiday-Wedding-Party-Decoration-Xmas-Lighting/1005001298173335.html,14.98,8.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AbuE2J
Holiday Lighting,150403,Bluetooth LED String Light USB String Lights App Control Lamp Waterproof Outdoor Fairy Lights For Home Living Room Decoration,1005001781295528,https://ae01.alicdn.com/kf/H564ead157c3d4d7cb36c3a3f86707923z/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H564ead157c3d4d7cb36c3a3f86707923z/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg,https://ae01.alicdn.com/kf/H77ea9965941f42fd9ceca8a2334ca65ag/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg,https://ae01.alicdn.com/kf/H3b604ffb2375407fa591dbd695404abcD/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg,https://ae01.alicdn.com/kf/H67dd280d5fe14e46b1c05137c072222eu/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg,https://ae01.alicdn.com/kf/Hd07f50348fdc4f9ca99f8077d43c8d73p/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home.jpg,",https://www.aliexpress.com/item/Bluetooth-LED-String-Light-USB-String-Lights-App-Control-Lamp-Waterproof-Outdoor-Fairy-Lights-For-Home/1005001781295528.html,17.99,8.46,50.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_AO2TBN
Holiday Lighting,150403,Christmas Decorations Cotton Balls Led String Lights Garlands Fairy Lights Holiday Battery Operated Lights Navidad Wedding Decor,4001100152733,https://ae01.alicdn.com/kf/He4fcf385386e45a8bb9272347afa9c72x/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/He4fcf385386e45a8bb9272347afa9c72x/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg,https://ae01.alicdn.com/kf/H6f75ca9710d64d1b93fed2907ae5aeb2M/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg,https://ae01.alicdn.com/kf/H8c875f6160da4dbaa294c0c5e1ee90dcv/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg,https://ae01.alicdn.com/kf/Hb4bfbc0f35fc40c1ad4a216e3c551507b/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg,https://ae01.alicdn.com/kf/Hc372891bc9b3429d9be66d506186cc66O/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding.jpg,",https://www.aliexpress.com/item/Christmas-Decorations-Cotton-Balls-Led-String-Lights-Garlands-Fairy-Lights-Holiday-Battery-Operated-Lights-Navidad-Wedding/4001100152733.html,5.92,3.85,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9GqzEL
Holiday Lighting,150403,8 Tubes Waterproof Meteor Shower Rain LED String Lights Outdoor Christmas Decoration for Home Tree 30/ 50/ 80cm  EU/US Plug,1005001793986624,https://ae01.alicdn.com/kf/Hbbd11a61d64d403b9674639c7030c504q/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hbbd11a61d64d403b9674639c7030c504q/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg,https://ae01.alicdn.com/kf/H03234420f0044f32b651b32e974e616aR/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg,https://ae01.alicdn.com/kf/H0fb3e23d710c445bbe8e53bd84b2d8582/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg,https://ae01.alicdn.com/kf/H625062aeab234e07a6f30cf442ff1934g/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg,https://ae01.alicdn.com/kf/H62cefcfb73cc43fcabb44a96b907f6ce0/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30.jpg,",https://www.aliexpress.com/item/8-Tubes-Waterproof-Meteor-Shower-Rain-LED-String-Lights-Outdoor-Christmas-Decoration-for-Home-Tree-30/1005001793986624.html,13.70,9.59,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AofryR
Holiday Lighting,150403,30/50cm 8 Tube Outdoor Meteor Shower Rain LED String Lights Christmas Tree Decorations for Home Outdoor New Year Navidad Wedding,4001194647341,https://ae01.alicdn.com/kf/H57f5f851dec844de9437aaffb1a88f514/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H57f5f851dec844de9437aaffb1a88f514/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg,https://ae01.alicdn.com/kf/Hc04baa9c49dd409293ce1a2f1d22b25ew/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg,https://ae01.alicdn.com/kf/H7fe3e9d426534ca29e2ee56f0d8b4e30E/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg,https://ae01.alicdn.com/kf/H7a29403b610b48ebac623bb2e34874b2G/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg,https://ae01.alicdn.com/kf/H346a33cc5de24be5806682ed825d1600X/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home.jpg,",https://www.aliexpress.com/item/30-50cm-8-Tube-Outdoor-Meteor-Shower-Rain-LED-String-Lights-Christmas-Tree-Decorations-for-Home/4001194647341.html,12.60,7.56,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A7jAnv
Holiday Lighting,150403,Waterproof Solar LED Light String Outdoor Crystal Ball 20/50/100LEDs Fairy Light Garden Fence Patio Christmas Lights Decoration,1005001375780853,https://ae01.alicdn.com/kf/H55143126f71c42d2ac08e954f5fbc506m/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H55143126f71c42d2ac08e954f5fbc506m/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg,https://ae01.alicdn.com/kf/H7252f4f0e74240e788844041e3493cb9z/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg,https://ae01.alicdn.com/kf/H1fd541f536334b159e9818f1f585a159l/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg,https://ae01.alicdn.com/kf/Hc20eafe326944278bd874bf71bd8df90e/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg,https://ae01.alicdn.com/kf/Haf70988eb55a4f31883e2cb25f87477f6/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio.jpg,",https://www.aliexpress.com/item/Waterproof-Solar-LED-Light-String-Outdoor-Crystal-Ball-20-50-100LEDs-Fairy-Light-Garden-Fence-Patio/1005001375780853.html,16.50,9.90,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AVcD67
Holiday Lighting,150403,"10Pack 30/50cm Solar Power Meteor Shower Rain Tubes , 24/40 Led DC7V LED String Lights For Christmas Wedding Decor Outdoor",4000274283895,https://ae01.alicdn.com/kf/H18a64bb310ef4cd7a84ad58f6f5f354cM/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H18a64bb310ef4cd7a84ad58f6f5f354cM/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg,https://ae01.alicdn.com/kf/H4f4ef1c654354c989726882d21bf5026l/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg,https://ae01.alicdn.com/kf/H7bd52c3a21b04a2ca4b45c97e9b79a67Z/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg,https://ae01.alicdn.com/kf/Hf95397c779f94197b7aeafeb964a4cbdI/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg,https://ae01.alicdn.com/kf/H184b219dacef4c1cae2b487d2cc2535cJ/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights.jpg,",https://www.aliexpress.com/item/10Pack-30-50cm-Solar-Power-Meteor-Shower-Rain-Tubes-24-40-Led-DC7V-LED-String-Lights/4000274283895.html,28.99,27.54,8.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_9xCT9Z
Holiday Lighting,150403,LED Curtain Garland String Lights USB Battery Remote Festoon Wedding Party Christmas Decorations Room New Year's Decor Lights,1005001894600179,https://ae01.alicdn.com/kf/H88d9a1263dff415c98e9debade014676k/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H88d9a1263dff415c98e9debade014676k/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg,https://ae01.alicdn.com/kf/H27aa69bab0db45ea88c2a49cf506dd9ai/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg,https://ae01.alicdn.com/kf/Hb2034efff08141eb88d5b65be5b2b588T/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg,https://ae01.alicdn.com/kf/Hfecc65e4da124fe1967cfa3fff1346c0b/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg,https://ae01.alicdn.com/kf/H4cc4c67470834469adfe9da3450384fdq/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year.jpg,",https://www.aliexpress.com/item/LED-Curtain-Garland-String-Lights-USB-Battery-Remote-Festoon-Wedding-Party-Christmas-Decorations-Room-New-Year/1005001894600179.html,10.33,6.61,10.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_AD3jxN
Holiday Lighting,150403,Cute neon lights party supplies girl room decoration accessories table decoration children's gifts Lip shape  banana rainbow,4001228422364,https://ae01.alicdn.com/kf/H3ad715ec260b4af0af9bca58185391fbo/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H3ad715ec260b4af0af9bca58185391fbo/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg,https://ae01.alicdn.com/kf/Hc84b2990d4e243a5baf32bc9504e81b23/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg,https://ae01.alicdn.com/kf/H3edb29e8097d4c8b9b76080d9656020b7/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg,https://ae01.alicdn.com/kf/Hf9bdbea9c2704ceba2280489360e55cdt/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg,https://ae01.alicdn.com/kf/H84d96076f4274751883b4d2c95bbd2818/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape.jpg,",https://www.aliexpress.com/item/Cute-neon-lights-party-supplies-girl-room-decoration-accessories-table-decoration-children-s-gifts-Lip-shape/4001228422364.html,18.90,18.52,12.00%,2098-12-31,2%,https://s.click.aliexpress.com/e/_AUskmr
Holiday Lighting,150403,Kerosene Bottle LED Chain Lamp String Light Ramadan Festival Retro Decorative Light String for Bedroom Party Coffee Home Decor,1005001977538714,https://ae01.alicdn.com/kf/Hd2ee8282594f42aab0a43080c2b99249o/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg_220x220.jpeg,"https://ae01.alicdn.com/kf/Hd2ee8282594f42aab0a43080c2b99249o/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg,https://ae01.alicdn.com/kf/H0bbb870e02b74ca389d188cf58ad2abd9/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg,https://ae01.alicdn.com/kf/Hea8d85902b5843f990ddfd25820ae23aI/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg,https://ae01.alicdn.com/kf/H55ba9f6f2e674e068f2196b418f680e0O/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg,https://ae01.alicdn.com/kf/Hf5760cb372a54998b969a8d22865ad3aP/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party.jpeg,",https://www.aliexpress.com/item/Kerosene-Bottle-LED-Chain-Lamp-String-Light-Ramadan-Festival-Retro-Decorative-Light-String-for-Bedroom-Party/1005001977538714.html,2.00,1.02,20.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AqFbXV
