"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"LED Lighting","390501","5M DC12V LED Ribbon Strip Light SMD 5054 2835 5630 120Leds/m Waterprooof Led Light Strip Flexible Led Strip Tape Light tiras led","4000272640907","https://ae01.alicdn.com/kf/H7de41c7641644e3c9e3d82d5fdf1de5eQ/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H7de41c7641644e3c9e3d82d5fdf1de5eQ/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg,https://ae01.alicdn.com/kf/H28147464911c40779ed194b920bb4268B/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg,https://ae01.alicdn.com/kf/Hf616a401aa3d416a9f25b15e04f659c0f/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg,https://ae01.alicdn.com/kf/Hd9c39bda7a5747689d35666e18d80822b/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg,https://ae01.alicdn.com/kf/Ha243a4b7f5784f2ba579ced0aead2a9ej/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip.jpg,","https://www.aliexpress.com/item/5M-DC12V-LED-Ribbon-Strip-Light-SMD-5054-2835-5630-120Leds-m-Waterprooof-Led-Light-Strip/4000272640907.html","2.58","1.86","8.00%","2098-12-31","28%","https://s.click.aliexpress.com/e/_9xNprB"
"LED Lighting","390501","LED strip Star Light String 10M Twinkle Garlands Battery Powered Christmas Lamp 3M 6M Party Christmas Decorations Fairy Lights","1005001521487537","https://ae01.alicdn.com/kf/Hf367eba8d3f64ee89cf128501979eeffk/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hf367eba8d3f64ee89cf128501979eeffk/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg,https://ae01.alicdn.com/kf/H22dee4a250b546dea9bc2e844f440e2bX/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg,https://ae01.alicdn.com/kf/H69c5f67519524a0dad1e90378b06b23fC/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg,https://ae01.alicdn.com/kf/Haef1d1e0d1c64ee298dea6d2f8b7c25aT/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg,https://ae01.alicdn.com/kf/H970815703a224534ae4adc179839bf113/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas.jpg,","https://www.aliexpress.com/item/LED-strip-Star-Light-String-10M-Twinkle-Garlands-Battery-Powered-Christmas-Lamp-3M-6M-Party-Christmas/1005001521487537.html","5.98","2.81","20.00%","2098-12-31","53%","https://s.click.aliexpress.com/e/_99wemZ"
"LED Lighting","390501","1pcs/lot Gold Downlight Under 31mm Cabinet Spot Light 1w Ceiling Recessed Lamp Ac85-265v Dimmable Down Lights Free Shipping","4000342608173","https://ae01.alicdn.com/kf/Had5338cdf85f481f994fe819c0d16ef8v/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Had5338cdf85f481f994fe819c0d16ef8v/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg,https://ae01.alicdn.com/kf/H38e6f20a7ad24b3dad167e02fedffa85i/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg,https://ae01.alicdn.com/kf/Hf84e9ba8380b42b1814fb92ff1cac02ao/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg,https://ae01.alicdn.com/kf/H66ab79a44eed4659a8787b652d52665c4/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg,https://ae01.alicdn.com/kf/Hfb8d3cea5e5d4533b8770e5365cd62e03/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable.jpg,","https://www.aliexpress.com/item/1pcs-lot-Gold-Downlight-Under-31mm-Cabinet-Spot-Light-1w-Ceiling-Recessed-Lamp-Ac85-265v-Dimmable/4000342608173.html","2.35",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_9jR95T"
"LED Lighting","390501","6 Stück 3W silver body LED Mini spot light Einbauleuchte Round verstellbarer cabinet Spot Deckenlampe 230 V LED-Schrankleuchte","4001235094365","https://ae01.alicdn.com/kf/H7376f81361194dca93cfcb6d2eba2de3K/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H7376f81361194dca93cfcb6d2eba2de3K/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg,https://ae01.alicdn.com/kf/H855195f85c1d4d6cbe03baf4d255c811g/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg,https://ae01.alicdn.com/kf/H33cbdfe9ff8b4ca4b3f6f5717cf4c2b7i/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg,https://ae01.alicdn.com/kf/Hda60c1e63ff04cf4b73bce2ba6d5e31aK/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg,https://ae01.alicdn.com/kf/H188cb117b2264cb6a1662d23e6eb2a3aY/6-Stück-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe-230.jpg,","https://www.aliexpress.com/item/6-St-ck-3W-silver-body-LED-Mini-spot-light-Einbauleuchte-Round-verstellbarer-cabinet-Spot-Deckenlampe/4001235094365.html","11.80",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_AVsH4D"
"LED Lighting","390501","Christmas 2020 USB LED strip Star Light String 10M Garland Twinkle Night Light Bedroom Lamp Party Decorations Fairy Lights","1005001635328196","https://ae01.alicdn.com/kf/Hcc36caad8e694c1cba97bffd1434999fX/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hcc36caad8e694c1cba97bffd1434999fX/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg,https://ae01.alicdn.com/kf/Hd2bc1a8e09804fddad0656fbdb03b2d0P/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg,https://ae01.alicdn.com/kf/Hbc111edcb8ec4c908057d3d443c5feb1c/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg,https://ae01.alicdn.com/kf/H8415fb02cfa1404c85d640cb6434d894m/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg,https://ae01.alicdn.com/kf/Hfc930299cbd84cd7a6c641548858d561S/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party.jpg,","https://www.aliexpress.com/item/Christmas-2020-USB-LED-strip-Star-Light-String-10M-Garland-Twinkle-Night-Light-Bedroom-Lamp-Party/1005001635328196.html","7.99","4.00","20.00%","2098-12-31","50%","https://s.click.aliexpress.com/e/_ApedWN"
"LED Lighting","390501","SMD 5050 AC 220V LED Strip Outdoor Waterproof 220V 5050 220 V LED Strip 220V SMD 5050 LED Strip Light 1M 2M 5M 10M 20M 25M 220V","4000143982299","https://ae01.alicdn.com/kf/HTB1rpSUbijrK1RjSsplq6xHmVXaF/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1rpSUbijrK1RjSsplq6xHmVXaF/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg,https://ae01.alicdn.com/kf/HTB14OUJajDuK1RjSszdq6xGLpXaM/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg,https://ae01.alicdn.com/kf/HTB1VEK7bfjsK1Rjy1Xaq6zispXa9/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg,https://ae01.alicdn.com/kf/HTB1Tsk1a6LuK1Rjy0Fhq6xpdFXak/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg,https://ae01.alicdn.com/kf/HTB1uBsMaoLrK1Rjy0Fjq6zYXFXaP/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD.jpg,","https://www.aliexpress.com/item/SMD-5050-AC-220V-LED-Strip-Outdoor-Waterproof-220V-5050-220-V-LED-Strip-220V-SMD/4000143982299.html","6.60",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_99oCg5"
"LED Lighting","390501","LED Strip Flexible Light SMD5050 AC 220V with EU Plug Waterproof IP67 for Outdoor Use 1M 4M 5M 8M 9M 10M 15M 20M","32776354346","https://ae01.alicdn.com/kf/HTB1AEl6asnrK1RkHFrdq6xCoFXaw/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1AEl6asnrK1RkHFrdq6xCoFXaw/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg,https://ae01.alicdn.com/kf/HTB1Y6t_ayjrK1RjSsplq6xHmVXaW/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg,https://ae01.alicdn.com/kf/HTB1BSB8aynrK1RjSsziq6xptpXat/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg,https://ae01.alicdn.com/kf/HTB1skgIanHuK1RkSndVq6xVwpXaP/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg,https://ae01.alicdn.com/kf/HTB1tQwKah2rK1RkSnhJq6ykdpXak/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M.jpg,","https://www.aliexpress.com/item/LED-Strip-Flexible-Light-SMD5050-AC-220V-with-EU-Plug-Waterproof-IP67-for-Outdoor-Use-1M/32776354346.html","6.60",,"8.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_9wBqMN"
"LED Lighting","390501","USB LED Strip Light Bluetooth SMD 5050 Colorful DC 5V Flexible RGB Led Tape Ribbon Waterproof TV Background Lighting app control","1005001623511180","https://ae01.alicdn.com/kf/H9656284d40bc4df5ab6d807ffd295cd7j/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H9656284d40bc4df5ab6d807ffd295cd7j/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg,https://ae01.alicdn.com/kf/Hec92d36c19614832accabf895d7067f9w/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg,https://ae01.alicdn.com/kf/Ha2919a73de324a0996225ae9f015fadbF/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg,https://ae01.alicdn.com/kf/H75d01306bc0a4c169eea7571827e0de0i/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg,https://ae01.alicdn.com/kf/H5a1394cffb694340a13e2ef51405bb75H/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof.jpg,","https://www.aliexpress.com/item/USB-LED-Strip-Light-Bluetooth-SMD-5050-Colorful-DC-5V-Flexible-RGB-Led-Tape-Ribbon-Waterproof/1005001623511180.html","9.99","6.99","30.00%","2098-12-31","30%","https://s.click.aliexpress.com/e/_ArF89r"
"LED Lighting","390501","LED Neon Light Strip 12V Neon Sign 6X12mm 2835 120LED/m  Outdoor Waterproof Flexible LED Rope Lights Strip Neon Tube Decoration","4001242308825","https://ae01.alicdn.com/kf/H21e54e61849a45f5a0045ba12f179e0dx/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H21e54e61849a45f5a0045ba12f179e0dx/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg,https://ae01.alicdn.com/kf/H01148203c8b94c66816c362f75c21b18j/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg,https://ae01.alicdn.com/kf/H0145010d4ff9400c89492d550b439d4bQ/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg,https://ae01.alicdn.com/kf/Ha0529d2950fc457fbb8e99484f7f8a1bA/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg,https://ae01.alicdn.com/kf/H5d236c35d90f490d8a268fab648df4c0J/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope.jpg,","https://www.aliexpress.com/item/LED-Neon-Light-Strip-12V-Neon-Sign-6X12mm-2835-120LED-m-Outdoor-Waterproof-Flexible-LED-Rope/4001242308825.html","3.08","2.31","8.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_ArH6F7"
"LED Lighting","390501","LED Strip Light USB 5050 SMD DC 5V Flexible LED Lamp Tape Ribbon RGB 1M 2M 3M 4M 5M TV Desktop Screen BackLight Diode Tape","1005001499635389","https://ae01.alicdn.com/kf/Hfcfcfd1869df46e2aa099e7fd674df63t/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hfcfcfd1869df46e2aa099e7fd674df63t/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg,https://ae01.alicdn.com/kf/H697f6bf8d8fc421f9557469695d0a984p/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg,https://ae01.alicdn.com/kf/Hddb96ab2d81b4373906636074d169d36R/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg,https://ae01.alicdn.com/kf/H69fb9728fb314d42b02fe4d0630629f8M/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg,https://ae01.alicdn.com/kf/H36efe14787ff4de393b6f6bf832224a1a/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M.jpg,","https://www.aliexpress.com/item/LED-Strip-Light-USB-5050-SMD-DC-5V-Flexible-LED-Lamp-Tape-Ribbon-RGB-1M-2M/1005001499635389.html","4.58","2.98","30.00%","2098-12-31","35%","https://s.click.aliexpress.com/e/_AE4Pbn"
