"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Novelty Lighting","200001067","Galaxy Projector Sky Light Projector Night Light Star Starry Sky Nebula Projector For Bedroom Decor Novelties Night Lamp","1005001290482588","https://ae01.alicdn.com/kf/He70b45b709ab427da0c292885b7b6755V/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg_220x220.jpg","https://ae01.alicdn.com/kf/He70b45b709ab427da0c292885b7b6755V/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg,https://ae01.alicdn.com/kf/Hcbdbc2c1e51b43fda3aeecae18d25a04F/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg,https://ae01.alicdn.com/kf/Hfb5134419fa145eeb444dd6596a4c732u/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg,https://ae01.alicdn.com/kf/H83112602963846f781cea8cf7dbfa381N/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg,https://ae01.alicdn.com/kf/H1bfa249d98c249718501b4e8ca576efea/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties.jpg,","https://www.aliexpress.com/item/Galaxy-Projector-Sky-Light-Projector-Night-Light-Star-Starry-Sky-Nebula-Projector-For-Bedroom-Decor-Novelties/1005001290482588.html","52.84","39.63","8.50%","2098-12-31","25%","https://s.click.aliexpress.com/e/_AFpkOt"
"Novelty Lighting","200001067","Table Lamp Desk Light Night Light Modern Bright Adorable Creative 3D Motocross Bike USB Charging Touch Control Gifts Decoration","4000701808604","https://ae01.alicdn.com/kf/H5a3185fbc68e4e87bfcc108bbb72cf83p/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpeg_220x220.jpeg","https://ae01.alicdn.com/kf/H5a3185fbc68e4e87bfcc108bbb72cf83p/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpeg,https://ae01.alicdn.com/kf/H3dfee3f7923d4809b1612a34d50297afw/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpeg,https://ae01.alicdn.com/kf/H68069c3124b64d1eaad8ebaa0ee35c56n/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpg,https://ae01.alicdn.com/kf/H99dc03e2371d4848855ea07232bc3621D/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpg,https://ae01.alicdn.com/kf/H1061be56889344ab9592ab6345c35ce6R/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch.jpg,","https://www.aliexpress.com/item/Table-Lamp-Desk-Light-Night-Light-Modern-Bright-Adorable-Creative-3D-Motocross-Bike-USB-Charging-Touch/4000701808604.html","13.99","9.51","8.00%","2098-12-31","32%","https://s.click.aliexpress.com/e/_AsirWH"
"Novelty Lighting","200001067","Gas Light Key Ring Key Chain Acrylic Shockproof Waterproof Automatic Luminescence Fluorescence No Energy Consumption 25 Years","4001204708754","https://ae01.alicdn.com/kf/HTB1R4_8dYsTMeJjSszgq6ycpFXaZ/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1R4_8dYsTMeJjSszgq6ycpFXaZ/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg,https://ae01.alicdn.com/kf/HTB1yc1jgK7JL1JjSZFKq6A4KXXay/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg,https://ae01.alicdn.com/kf/HTB1XOyZXWagSKJjy0Fgq6ARqFXal/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg,https://ae01.alicdn.com/kf/HTB136GVXWagSKJjy0Fbq6y.mVXaO/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg,https://ae01.alicdn.com/kf/HTB1GAcadYsTMeJjy1zbq6AhlVXaw/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25.jpg,","https://www.aliexpress.com/item/Gas-Light-Key-Ring-Key-Chain-Acrylic-Shockproof-Waterproof-Automatic-Luminescence-Fluorescence-No-Energy-Consumption-25/4001204708754.html","44.97","26.08","8.00%","2098-12-31","42%","https://s.click.aliexpress.com/e/_9GyKg9"
"Novelty Lighting","200001067","Video Light Dimmable LED Selfie Ring Light USB ring lamp Photography Light with Phone Holder 2M tripod stand for Makeup Youtube","4001227424239","https://ae01.alicdn.com/kf/H880ba435d2b64371a093722c10be76e9K/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H880ba435d2b64371a093722c10be76e9K/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg,https://ae01.alicdn.com/kf/He9f5f380812b4988a0f0728154b1e6b9D/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg,https://ae01.alicdn.com/kf/Hef676ccb55014429b0217899beb591384/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg,https://ae01.alicdn.com/kf/Hf1c2d99d391d45109202826e99b0cd6aV/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg,https://ae01.alicdn.com/kf/H7f4b55d645d34e74a6eb9b921279382fQ/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M.jpg,","https://www.aliexpress.com/item/Video-Light-Dimmable-LED-Selfie-Ring-Light-USB-ring-lamp-Photography-Light-with-Phone-Holder-2M/4001227424239.html","25.69",,"50.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_AcPVvF"
"Novelty Lighting","200001067","Selfie Fill Light Ring Light Dimmable LED Ring Light Video Selfie Fill Light For Photography Makeup Beauty Fill Light","1005001344100980","https://ae01.alicdn.com/kf/H9180eae2fd9a4f1582f0fa9a29129a09k/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H9180eae2fd9a4f1582f0fa9a29129a09k/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg,https://ae01.alicdn.com/kf/H6b93d6e6c38e4c679c6400edc26f6a54u/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg,https://ae01.alicdn.com/kf/H10e78af0ba6745889e42e475ce86eb1a8/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg,https://ae01.alicdn.com/kf/H18c4b1c6fdf34e5d81db07a0ea438e93C/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg,https://ae01.alicdn.com/kf/Hda0a286e130f47e7a145aa709ab31b851/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup.jpg,","https://www.aliexpress.com/item/Selfie-Fill-Light-Ring-Light-Dimmable-LED-Ring-Light-Video-Selfie-Fill-Light-For-Photography-Makeup/1005001344100980.html","26.18","18.06","8.00%","2098-12-31","31%","https://s.click.aliexpress.com/e/_AOmbpL"
"Novelty Lighting","200001067","50W LED Ceiling Light Folding Four Leaf Light RGB Bluetooth Music Bulb With Speaker And Remote Control Smart Home Party Light","1005001512143001","https://ae01.alicdn.com/kf/Hd6413cc96362491d915711e45baa8a6fB/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hd6413cc96362491d915711e45baa8a6fB/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg,https://ae01.alicdn.com/kf/Hf1fa1e2caa784ba3a603a975a532b4dbe/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg,https://ae01.alicdn.com/kf/H394771f3172444dc99b9ac6a255c2fb8Y/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg,https://ae01.alicdn.com/kf/H363c983bd6b849a683398fb45191af36j/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg,https://ae01.alicdn.com/kf/H4c9e98e9790f48fb9eaea64a57900e36V/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote.jpg,","https://www.aliexpress.com/item/50W-LED-Ceiling-Light-Folding-Four-Leaf-Light-RGB-Bluetooth-Music-Bulb-With-Speaker-And-Remote/1005001512143001.html","21.18","14.61","8.00%","2098-12-31","31%","https://s.click.aliexpress.com/e/_9G2N4t"
"Novelty Lighting","200001067","LED Night Light Ocean Wave Projector Beam Projector Novelty Lights With Bluetooth Speaker Galaxy Projector Lights For Kids Gift","1005001623748158","https://ae01.alicdn.com/kf/He3edf407a1ef4ae3a2d7d72e29ab8000H/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg_220x220.jpg","https://ae01.alicdn.com/kf/He3edf407a1ef4ae3a2d7d72e29ab8000H/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg,https://ae01.alicdn.com/kf/H702061092a244efbbdd72306cda41be0V/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg,https://ae01.alicdn.com/kf/H164fa7d041e843b9b81adcf67576f801A/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg,https://ae01.alicdn.com/kf/Hf12d34e20e44421782a001153e46c098T/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg,https://ae01.alicdn.com/kf/H24e56732d4cc465f99a3fa7ed5b8358eA/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights.jpg,","https://www.aliexpress.com/item/LED-Night-Light-Ocean-Wave-Projector-Beam-Projector-Novelty-Lights-With-Bluetooth-Speaker-Galaxy-Projector-Lights/1005001623748158.html","32.84","24.63","70.00%","2098-12-31","25%","https://s.click.aliexpress.com/e/_ApqjV3"
"Novelty Lighting","200001067","Portable Infrared Vein Imaging Red LED Light Transilluminator Pediatric Unit Doctors Nurses Vein Finder Medical Equipment Tool","1005001560065853","https://ae01.alicdn.com/kf/Ha83e16c3914e4dffacecfe7ef1f160b1U/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Ha83e16c3914e4dffacecfe7ef1f160b1U/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg,https://ae01.alicdn.com/kf/He2e57b7a30484b6baa167c994558c698P/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg,https://ae01.alicdn.com/kf/Hd6e43c795c9846ff9fc8dcf1b2b8a67eU/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg,https://ae01.alicdn.com/kf/H86a39e56a43d4cd2baeff56c5cf5156cq/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg,https://ae01.alicdn.com/kf/He1083a56f6ee42d292e730893c3f5d70L/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment.jpg,","https://www.aliexpress.com/item/Portable-Infrared-Vein-Imaging-Red-LED-Light-Transilluminator-Pediatric-Unit-Doctors-Nurses-Vein-Finder-Medical-Equipment/1005001560065853.html","12.27","8.47","8.00%","2098-12-31","31%","https://s.click.aliexpress.com/e/_A8LFIl"
"Novelty Lighting","200001067","LED Selfie Ring Fill Light 4.7/6.2inch Dimmable Camera Phone 12/16CM Ring Lamp With Stand Tripod For Makeup Video Live Studio","4001227655050","https://ae01.alicdn.com/kf/H4c9dd42ac1f44776a09565f045e340e8t/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H4c9dd42ac1f44776a09565f045e340e8t/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg,https://ae01.alicdn.com/kf/Hde99d1770d0643968a3b859ca8dfa9c4n/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg,https://ae01.alicdn.com/kf/Hd28994412af14f969b5eb2c339697f16H/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg,https://ae01.alicdn.com/kf/H8fa2ec46160b4becad925b027d6ef78fm/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg,https://ae01.alicdn.com/kf/Hec33e8e50bec4bd19419f77a2d8ebbd1J/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp.jpg,","https://www.aliexpress.com/item/LED-Selfie-Ring-Fill-Light-4-7-6-2inch-Dimmable-Camera-Phone-12-16CM-Ring-Lamp/4001227655050.html","22.19",,"50.00%","2098-12-31",,"https://s.click.aliexpress.com/e/_9x9R5x"
"Novelty Lighting","200001067","Light Ring Flash Portable Led Selfie Lumiere Telephone Mobile Phone Clip Lamp For Iphone Samsung Night Lighting Hoops Ring","1005001628586368","https://ae01.alicdn.com/kf/Hbed853383b3d49cda7db811d60539b16h/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hbed853383b3d49cda7db811d60539b16h/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg,https://ae01.alicdn.com/kf/Hadb615d2ef5941de868a915ae4d9cd894/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg,https://ae01.alicdn.com/kf/Hf2ab214f65474dba8fe4002969a0f1b0R/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg,https://ae01.alicdn.com/kf/H22248467f73e4c9eb8bce22fc68b77bek/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg,https://ae01.alicdn.com/kf/H98500147251146d981bc08d701f649436/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night.jpg,","https://www.aliexpress.com/item/Light-Ring-Flash-Portable-Led-Selfie-Lumiere-Telephone-Mobile-Phone-Clip-Lamp-For-Iphone-Samsung-Night/1005001628586368.html","30.00","27.00","30.00%","2098-12-31","10%","https://s.click.aliexpress.com/e/_9jWPId"
