"Category Name","CategoryID","Product Name","ProductID","Product Image Url","allImageUrls(5<)","Product Url","originalPrice($)","salePrice($)","Commission Rate","Out of Stock Date","Discount","Click url"
"Communication Equipment","100001204","2pcs/set 4G Antenna SMA Male for 4G LTE Router External Antenna for Huawei B593 E5186 For HUAWEI B315 B310 698-2700MHz","32879676349","https://ae01.alicdn.com/kf/HTB1UMvDXh_rK1RkHFqDq6yJAFXao/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1UMvDXh_rK1RkHFqDq6yJAFXao/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186.jpg,https://ae01.alicdn.com/kf/HTB1MVrCXfLsK1Rjy0Fbq6xSEXXa1/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186.jpg,https://ae01.alicdn.com/kf/HTB1m52sd9zqK1RjSZFpq6ykSXXaW/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186.jpg,https://ae01.alicdn.com/kf/HTB1JJftdVzqK1RjSZFvq6AB7VXaZ/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186.jpg,","https://www.aliexpress.com/item/2pcs-set-4G-Antenna-SMA-Male-for-4G-LTE-Router-External-Antenna-for-Huawei-B593-E5186/32879676349.html","4.50","2.70","4.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_AKF4HJ"
"Communication Equipment","100001204","Dlenp 2pcs 4G LTE Antenna with TS9 or CRC9 Connector For Huawei E398 E5372 E589 E392 Zte MF61 MF62 aircard 753s 5dbi Gain","32963779078","https://ae01.alicdn.com/kf/HTB1Fta5aovrK1RjSspcq6zzSXXaL/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1Fta5aovrK1RjSspcq6zzSXXaL/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg,https://ae01.alicdn.com/kf/HTB1oJW6ainrK1Rjy1Xcq6yeDVXa2/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg,https://ae01.alicdn.com/kf/HTB1igu6aXzsK1Rjy1Xbq6xOaFXaA/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg,https://ae01.alicdn.com/kf/HTB1LN_aacnrK1RjSspkq6yuvXXah/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg,https://ae01.alicdn.com/kf/HTB1E3G.aiLrK1Rjy1zdq6ynnpXat/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392.jpg,","https://www.aliexpress.com/item/Dlenp-2pcs-4G-LTE-Antenna-with-TS9-or-CRC9-Connector-For-Huawei-E398-E5372-E589-E392/32963779078.html","4.99","2.99","6.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_9gnAuH"
"Communication Equipment","100001204","SC UPC to SC UPC Fiber Optic Drop Cable Single Mode Simplex 2.0mm Outdoor Fiber Optic Patch Cord Optical Patch Cable","32996600324","https://ae01.alicdn.com/kf/H55d37bdb0d0740c8a111080e272aa00d6/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg_220x220.jpg","https://ae01.alicdn.com/kf/H55d37bdb0d0740c8a111080e272aa00d6/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg,https://ae01.alicdn.com/kf/H7365c7c35f914f4da7398fc9bf152324O/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg,https://ae01.alicdn.com/kf/H97c48c08c5324eaa85fbc581d47811c0w/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg,https://ae01.alicdn.com/kf/H02bdf3f685e14fd98c939b368bab12ebZ/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg,https://ae01.alicdn.com/kf/Hcbdcc9bf25e348329afcb551f0ae585fc/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber.jpg,","https://www.aliexpress.com/item/SC-UPC-to-SC-UPC-Fiber-Optic-Drop-Cable-Single-Mode-Simplex-2-0mm-Outdoor-Fiber/32996600324.html","25.04","12.52","7.50%","2098-12-31","50%","https://s.click.aliexpress.com/e/_AFykpB"
"Communication Equipment","100001204","Fiber Optic Fast Connector FTTH SC APC Single Mode Fiber Optic Adapter  SC UPC  FTTH SC Fiber Connector Field Assembly","32958399048","https://ae01.alicdn.com/kf/Hc218748e3b63411494ac1d1a62ed5dbaQ/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hc218748e3b63411494ac1d1a62ed5dbaQ/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg,https://ae01.alicdn.com/kf/H0db91524cc6045b582e91a90a94a18aah/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg,https://ae01.alicdn.com/kf/Hc675f481b09e4ffd9ef032ec551b35e9h/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg,https://ae01.alicdn.com/kf/Hff7fce84450c4f058a56f16e1d08b81a4/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg,https://ae01.alicdn.com/kf/He7eaa8156daa431e8448d6df4775d69bj/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC.jpg,","https://www.aliexpress.com/item/Fiber-Optic-Fast-Connector-FTTH-SC-APC-Single-Mode-Fiber-Optic-Adapter-SC-UPC-FTTH-SC/32958399048.html","35.90","17.95","6.50%","2098-12-31","50%","https://s.click.aliexpress.com/e/_AXaS1R"
"Communication Equipment","100001204","2pcs SC  SFP Module Gigabit DDM BIDI mini gbic 1000Mbps fiber tranceiver sfp module Compatible with Mikrotik Cisco Switch","1000006399803","https://ae01.alicdn.com/kf/H9110bbcac7734889ac25287015e0345bt/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.png_220x220.png","https://ae01.alicdn.com/kf/H9110bbcac7734889ac25287015e0345bt/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.png,https://ae01.alicdn.com/kf/H934b9248a1d540f7b41542eb3ec09a67q/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.jpg,https://ae01.alicdn.com/kf/H626a44e5fa314a698e519cb188b3d844N/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.png,https://ae01.alicdn.com/kf/H916619533d3f47f58ee6427deb08ffb4M/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.jpg,https://ae01.alicdn.com/kf/H4f4b7ab920e540ed861d865f084f2c1ci/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with.png,","https://www.aliexpress.com/item/2pcs-SC-SFP-Module-Gigabit-DDM-BIDI-mini-gbic-1000Mbps-fiber-tranceiver-sfp-module-Compatible-with/1000006399803.html","30.38","15.19","7.50%","2098-12-31","50%","https://s.click.aliexpress.com/e/_9zeyUz"
"Communication Equipment","100001204","Dlenp 3G/4G antenna with TS9/ CRC9 Connector Options 1920-2670 Mhz FOR Huawei modem 3 dbi","32962090491","https://ae01.alicdn.com/kf/HTB1deKUah_rK1RkHFqDq6yJAFXaP/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1deKUah_rK1RkHFqDq6yJAFXaP/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3.jpg,https://ae01.alicdn.com/kf/HTB1fEeUaiYrK1Rjy0Fdq6ACvVXaG/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3.jpg,https://ae01.alicdn.com/kf/HTB1m6iPaXzsK1Rjy1Xbq6xOaFXaU/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3.jpg,https://ae01.alicdn.com/kf/HTB1owWUajzuK1RjSspeq6ziHVXaa/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3.jpg,","https://www.aliexpress.com/item/Dlenp-3G-4G-antenna-with-TS9-CRC9-Connector-Options-1920-2670-Mhz-FOR-Huawei-modem-3/32962090491.html","3.66","2.31","6.00%","2098-12-31","37%","https://s.click.aliexpress.com/e/_AV6XXr"
"Communication Equipment","100001204","Dlenp Long Range 433 MHz Antenna 433mhz patch antenna Ham Radio SMA Male With 3M Cable","32882843651","https://ae01.alicdn.com/kf/HTB1WxrQdVzqK1RjSZFoq6zfcXXan/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1WxrQdVzqK1RjSZFoq6zfcXXan/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg,https://ae01.alicdn.com/kf/HTB1PsLEXcfrK1Rjy0Fmq6xhEXXaV/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg,https://ae01.alicdn.com/kf/HTB1R.nDXizxK1Rjy1zkq6yHrVXaC/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg,https://ae01.alicdn.com/kf/HTB14fvDXjDuK1Rjy1zjq6zraFXax/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg,https://ae01.alicdn.com/kf/HTB1tjnDXovrK1RjSszfq6xJNVXaP/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable.jpg,","https://www.aliexpress.com/item/Dlenp-Long-Range-433-MHz-Antenna-433mhz-patch-antenna-Ham-Radio-SMA-Male-With-3M-Cable/32882843651.html","4.99","2.99","6.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_9AlI1J"
"Communication Equipment","100001204","AMPCOM 10-Pack CAT6 RJ45 Tool-Less Keystone Jack, No Punch Down Tool Required UTP Module Connector Red","4001065784111","https://ae01.alicdn.com/kf/Hf363eec3ae5247fea0f03bd16d7f0241A/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg_220x220.jpg","https://ae01.alicdn.com/kf/Hf363eec3ae5247fea0f03bd16d7f0241A/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg,https://ae01.alicdn.com/kf/Heedfda43b0cb4204911e942ccfc9b197a/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg,https://ae01.alicdn.com/kf/H28af5b196e3749c4825fee4f6b5745554/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg,https://ae01.alicdn.com/kf/H0ee8f656748f44ce87ecc6f9e822d6aeH/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg,https://ae01.alicdn.com/kf/H711fc8130b5446e89817a59858e5b18fw/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module.jpg,","https://www.aliexpress.com/item/AMPCOM-10-Pack-CAT6-RJ45-Tool-Less-Keystone-Jack-No-Punch-Down-Tool-Required-UTP-Module/4001065784111.html","24.83","14.90","10.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_9xfb65"
"Communication Equipment","100001204","1 pair Dlenp 2.4Ghz Wireless WIFI Router Antenna Aerial Booster 18 dbi SMA/ RP-SMA Optional AP Bridge WLAN Router Connector","32955811015","https://ae01.alicdn.com/kf/HTB1ctlaajDuK1Rjy1zjq6zraFXa2/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1ctlaajDuK1Rjy1zjq6zraFXa2/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg,https://ae01.alicdn.com/kf/HTB1K.yYXUzrK1RjSspmq6AOdFXaW/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg,https://ae01.alicdn.com/kf/HTB1I5CVXODxK1RjSsphq6zHrpXar/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg,https://ae01.alicdn.com/kf/HTB1oFCTXUjrK1RkHFNRq6ySvpXaX/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg,https://ae01.alicdn.com/kf/HTB1AvaZXInrK1RjSspkq6yuvXXaU/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA.jpg,","https://www.aliexpress.com/item/1-pair-Dlenp-2-4Ghz-Wireless-WIFI-Router-Antenna-Aerial-Booster-18-dbi-SMA-RP-SMA/32955811015.html","7.10","4.54","4.00%","2098-12-31","36%","https://s.click.aliexpress.com/e/_Asjtxn"
"Communication Equipment","100001204","Dlenp 3dbi GSM Antenna with SMA Male/ TS9/ CRC9 Connector GSM Aerial RG174 With 2.5M Length Cable","32979718697","https://ae01.alicdn.com/kf/HTB1tH2HJlLoK1RjSZFuq6xn0XXaq/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg_220x220.jpg","https://ae01.alicdn.com/kf/HTB1tH2HJlLoK1RjSZFuq6xn0XXaq/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg,https://ae01.alicdn.com/kf/HTB18C5vbEzrK1RjSspmq6AOdFXaU/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg,https://ae01.alicdn.com/kf/HTB1qrrHJmzqK1RjSZPxq6A4tVXaA/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg,https://ae01.alicdn.com/kf/HTB1_qClbsfrK1RkSmLyq6xGApXaI/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg,https://ae01.alicdn.com/kf/HTB1wM.aJhnaK1RjSZFtq6zC2VXaB/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M.jpg,","https://www.aliexpress.com/item/Dlenp-3dbi-GSM-Antenna-with-SMA-Male-TS9-CRC9-Connector-GSM-Aerial-RG174-With-2-5M/32979718697.html","4.99","2.99","6.00%","2098-12-31","40%","https://s.click.aliexpress.com/e/_9AJjQl"
