Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tablet Accessories,200001085,For Samsung Galaxy A 9.7 T550/10.5 T590/S5e(T720/725)/E 9.6(T560/561)Anti-fall Tablet Back Cover,1005001874452427,https://ae01.alicdn.com/kf/H05bc87eff3334a1aa93f12dd6bcd3e2b4/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H05bc87eff3334a1aa93f12dd6bcd3e2b4/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg,https://ae01.alicdn.com/kf/H650f9ff59e2c4e8ca0adca9e73e3f2d4w/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg,https://ae01.alicdn.com/kf/H6b8f646259d94234ae1120892ddd67a0Q/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg,https://ae01.alicdn.com/kf/H3d56b2f38d034d2a978c2c223d64a6ca4/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg,https://ae01.alicdn.com/kf/Hccd57f6c7bfb4a848c841280a023113d3/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6.jpg,",https://www.aliexpress.com/item/For-Samsung-Galaxy-A-9-7-T550-10-5-T590-S5e-T720-725-E-9-6/1005001874452427.html,5.82,3.49,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AS13LN
Tablet Accessories,200001085,Fit Apple IPad(2017/2018/2019)/IPad 2/3/4/Mini 1/2/3/4/5/Air(1/2/3)/Pro 11(2018/2020)/Pro(9.7/10.5) Letter Series Tablet Case,1005001873070004,https://ae01.alicdn.com/kf/Hef1e2aabe161450489218d7d5ec40b9d0/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hef1e2aabe161450489218d7d5ec40b9d0/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H5fbfe744ae0f4d0f9aa1c7643aab097dh/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H803521219d6741d98b19e6cef569b2769/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H46d58b2060b444b9b70bc2e4d5c46fe14/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H04b36d25f2b144c19bd2c2f1ec9c359dN/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,",https://www.aliexpress.com/item/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5/1005001873070004.html,5.82,3.49,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_97CAOR
Tablet Accessories,200001085,Flag Case Fit Apple IPad(2017/2018/2019)/IPad 2/3/4/Mini 1/2/3/4/5/Air(1/2/3)/Pro(9.7/10.5)/Pro 11(2018/2020) Tablet Back Shell,1005001873735314,https://ae01.alicdn.com/kf/Hcf7ff0d8ca8e46ec9a7bc3ece08f631cT/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hcf7ff0d8ca8e46ec9a7bc3ece08f631cT/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg,https://ae01.alicdn.com/kf/H5bf1452a91ca4bc49c46eb910c25a0cb9/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg,https://ae01.alicdn.com/kf/Had9cd6e56f1745aca058d1103f80fda1n/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg,https://ae01.alicdn.com/kf/Ha2205c8f45ea4105bdf303e48c0cf29et/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg,https://ae01.alicdn.com/kf/Hd802fa324ff7488bb39a8f53ea9c1530I/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3.jpg,",https://www.aliexpress.com/item/Flag-Case-Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3/1005001873735314.html,5.82,3.49,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Afs1BV
Tablet Accessories,200001085,Fit Apple IPad(2017/2018/2019)/IPad 2/3/4/Mini 1/2/3/4/5/Air(1/2/3)/Pro 9.7/Pro 11(2018/2020)/Pro 2nd 10.5 New Star Back Shell,1005001873895524,https://ae01.alicdn.com/kf/H64831d0cf8ef4878b24c13e8ea2d35e5d/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H64831d0cf8ef4878b24c13e8ea2d35e5d/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H56dd86b270d04400940fa2023cc6c582p/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H91be344f69e94de986bc487494f31752u/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/H40950e8eb1474366a9b5a4ea04c5c0108/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,https://ae01.alicdn.com/kf/Hc6dac46f6a694274b9e49518fa9d3b0ei/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5.jpg,",https://www.aliexpress.com/item/Fit-Apple-IPad-2017-2018-2019-IPad-2-3-4-Mini-1-2-3-4-5/1005001873895524.html,6.65,3.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_ABMxET
Tablet Accessories,200001085,"Tablet Case for Huawei MediaPad T5 10 10.1""/T3 10 9.6 Inch/MediaPad T3 8.0 Shape Series Hard Shell Back Case",1005001874451132,https://ae01.alicdn.com/kf/H875a50f389134de1b850c7bb955e2149U/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H875a50f389134de1b850c7bb955e2149U/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg,https://ae01.alicdn.com/kf/H76f451bcfcbb45079d3844db63c56baeM/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg,https://ae01.alicdn.com/kf/Hec3a3a61b5a5419daf54f5631b8674739/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg,https://ae01.alicdn.com/kf/Hd2848c1a320d4d34a5a2a300420a1107G/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg,https://ae01.alicdn.com/kf/H65beca337b7e4eec9406c8fc6b85fb80W/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3.jpg,",https://www.aliexpress.com/item/Tablet-Case-for-Huawei-MediaPad-T5-10-10-1-T3-10-9-6-Inch-MediaPad-T3/1005001874451132.html,5.82,3.49,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AkIWjD
Tablet Accessories,200001085,For Samsung Galaxy Tab A 9.7 T550/10.5 T590/E 9.6(T560/561)/S5e(T720/725) Shape Pattern Back Cover,1005001874394184,https://ae01.alicdn.com/kf/H2cdc9de1638e4b1387f9008d7bed47078/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H2cdc9de1638e4b1387f9008d7bed47078/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg,https://ae01.alicdn.com/kf/H25c87c9fa7104d2dbcda516606289ca6g/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg,https://ae01.alicdn.com/kf/H127bfd4efd5d444988a4a66efe5d2177k/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg,https://ae01.alicdn.com/kf/H473918b1dcec415ba8b56f6f8ccb42f80/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg,https://ae01.alicdn.com/kf/H79aab93635a5421cba3035ec55332e78A/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561.jpg,",https://www.aliexpress.com/item/For-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-E-9-6-T560-561/1005001874394184.html,5.82,3.49,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AXwzeb
Tablet Accessories,200001085,Case for Samsung Galaxy Tab A 9.7 T550/10.5 T590/S5e(T720/725)/E 9.6(T560/561)Tablet Back Cover,1005001874392098,https://ae01.alicdn.com/kf/H78052c072a7641db87ef2e9ceea90fabN/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H78052c072a7641db87ef2e9ceea90fabN/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg,https://ae01.alicdn.com/kf/H010625bd1c8d4a4c9306ecae7d643e0dV/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg,https://ae01.alicdn.com/kf/H608674c53979411dbaeaf19584c8272fe/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg,https://ae01.alicdn.com/kf/Hc1af220a89a34514997b615ef4233d80N/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg,https://ae01.alicdn.com/kf/Hbd94dab1aed34749a4ccd433741acf60b/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E.jpg,",https://www.aliexpress.com/item/Case-for-Samsung-Galaxy-Tab-A-9-7-T550-10-5-T590-S5e-T720-725-E/1005001874392098.html,5.82,3.49,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9zRtCR
Tablet Accessories,200001085,For Amazon Fire 7(5th/7th/9th Gen)/HD 8(6th/7th/8th Gen)/HD 10(5th/7th/9th Gen)- Oldimage Shockproof Back Case + Stylus,1005001872560217,https://ae01.alicdn.com/kf/H01b4002e206f46a2b9a0068b7da87953p/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H01b4002e206f46a2b9a0068b7da87953p/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg,https://ae01.alicdn.com/kf/H63423fa225884ec09397ba12f2734004h/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg,https://ae01.alicdn.com/kf/H1a31eaf394fe4d30949d98efa863b12dD/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg,https://ae01.alicdn.com/kf/He95a229cb23842939572bff099836396N/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg,https://ae01.alicdn.com/kf/H8a9f0a2f58eb44f98e3d615eeb21c4b9O/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10.jpg,",https://www.aliexpress.com/item/For-Amazon-Fire-7-5th-7th-9th-Gen-HD-8-6th-7th-8th-Gen-HD-10/1005001872560217.html,5.82,3.49,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A44EG7
Tablet Accessories,200001085,For Amazon Kindle EReader Paperwhite 1/2/3/4/Kindle 8th Gen 2016/10th Gen 2019 Star Tablet Hard Back Case + Stylus,1005001873723393,https://ae01.alicdn.com/kf/H67f18f5cd3ed4893852f5a75bda9c1008/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H67f18f5cd3ed4893852f5a75bda9c1008/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg,https://ae01.alicdn.com/kf/H8cfa94d89878404e929c79052126d8a0A/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg,https://ae01.alicdn.com/kf/H521948bd81924729b9abd7d7c783d0ccs/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg,https://ae01.alicdn.com/kf/H6cbf50fc065a45de9464b06ae26ec78bL/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg,https://ae01.alicdn.com/kf/H249be17f7ce84c16b25649baf8ade272F/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019.jpg,",https://www.aliexpress.com/item/For-Amazon-Kindle-EReader-Paperwhite-1-2-3-4-Kindle-8th-Gen-2016-10th-Gen-2019/1005001873723393.html,5.82,3.49,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Aegz8n
Tablet Accessories,200001085,For Samsung Galaxy Tab A 10.1 Inch/A 9.7/10.1/10.5 Inch/E 9.6 Inch/S5e 10.5 Inch Marble Pattern Back Case + Stylus,1005001872928615,https://ae01.alicdn.com/kf/Hb66014528e284c8a8a108f7723f28354u/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hb66014528e284c8a8a108f7723f28354u/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg,https://ae01.alicdn.com/kf/Hbdb67fb0b4104c90896a12a8ba55cc30s/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg,https://ae01.alicdn.com/kf/H7806a57595d54e4d87a471118970d1afd/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg,https://ae01.alicdn.com/kf/Hd64c91a20cb34088b8e9eeb7f0c0d6c7K/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg,https://ae01.alicdn.com/kf/Hc413cba870924936a0b7bbc221296114m/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch.jpg,",https://www.aliexpress.com/item/For-Samsung-Galaxy-Tab-A-10-1-Inch-A-9-7-10-1-10-5-Inch/1005001872928615.html,5.82,3.49,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A1H5zD
