Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Electronic Toys,200001388,DIY Rail Racing Track Small Duck Climbing Stairs Toy Electric Car Staircase Music Educational Toys For Children Race Track Set,1005003888359306,https://ae01.alicdn.com/kf/S1293339c8a814b5f9caade25ac0b98ae0/DIY-Rail-Racing-Track-Small-Duck-Climbing-Stairs-Toy-Electric-Car-Staircase-Music-Educational-Toys-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S1293339c8a814b5f9caade25ac0b98ae0.jpg,https://ae04.alicdn.com/kf/S77c84503dcb84a899e0ef1eba21e3462u.jpg,https://ae04.alicdn.com/kf/Sa4e93594ae1d478a8f574d59614e43b6e.jpg,https://ae04.alicdn.com/kf/S3934e12b326b4ddc9917f5333fb5b7edv.jpg,https://ae04.alicdn.com/kf/S046ef9c5784c4ef1baf48afdb1e2bf60z.jpg,",https://www.aliexpress.com/item/1005003888359306.html,9.99,6.49,8.00%,,35%,https://s.click.aliexpress.com/e/_AMtTmf
Electronic Toys,200001388,Electric Duck Climbing Stairs Slides Set Music LED Flashing Lights Baby Race Car Track Roller Coaster Toy Kids Educational Toys,1005003903225834,https://ae01.alicdn.com/kf/S738a2e62a7d44987ad98bc9715bb572eO/Electric-Duck-Climbing-Stairs-Slides-Set-Music-LED-Flashing-Lights-Baby-Race-Car-Track-Roller-Coaster.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S738a2e62a7d44987ad98bc9715bb572eO.jpg,https://ae04.alicdn.com/kf/S34d8b7e9c55449e09173baf525fce1aeJ.jpg,https://ae04.alicdn.com/kf/S2e432f5b712240068a44db2e9a4263475.jpg,https://ae04.alicdn.com/kf/Secb735519b104a7998b3523f659258880.jpg,https://ae04.alicdn.com/kf/S439ebc03decd4d10ae816a0b843e3ac9v.jpg,",https://www.aliexpress.com/item/1005003903225834.html,16.65,9.82,8.00%,,41%,https://s.click.aliexpress.com/e/_Ag84wL
Electronic Toys,200001388,Hello Kitty Lunch Box Handbag Oxford Cloth Insulation Bag Corner Large Capacity Aluminum Foil Insulation Bag Cold Storage Bag,1005003903166185,https://ae01.alicdn.com/kf/Sc9c7fc10b71f4c23b05ad886dfce53632/Hello-Kitty-Lunch-Box-Handbag-Oxford-Cloth-Insulation-Bag-Corner-Large-Capacity-Aluminum-Foil-Insulation-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc9c7fc10b71f4c23b05ad886dfce53632.jpg,https://ae04.alicdn.com/kf/S17edd0a9b6f842e8a009c06aff92b5c0Y.jpg,https://ae04.alicdn.com/kf/Sacb688c6199349c483771e73d0234e5ed.jpg,https://ae04.alicdn.com/kf/S742c2222a5c5427dab2bbe37eb35a23dt.jpg,https://ae04.alicdn.com/kf/Sfb21bd93c6fa4a3e99914685a759cb73r.jpg,",https://www.aliexpress.com/item/1005003903166185.html,29.00,14.79,8.00%,,49%,https://s.click.aliexpress.com/e/_A5XyZ1
Electronic Toys,200001388,Flipping Toy Lighting Effect Colorful Interactive Electric Rolling Monkey Toy   Animal Toy  for Boys,1005003606737013,https://ae01.alicdn.com/kf/H1eb1af070dde4d16b77742500842d478A/Flipping-Toy-Lighting-Effect-Colorful-Interactive-Electric-Rolling-Monkey-Toy-Animal-Toy-for-Boys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1eb1af070dde4d16b77742500842d478A.jpg,https://ae04.alicdn.com/kf/H4f2b7bff6d7446888aca8ef3041de9ec6.jpg,https://ae04.alicdn.com/kf/H9dbf71d6a6074f6484b7cd69efad5c9d1.jpg,https://ae04.alicdn.com/kf/Ha3823ea5be394383b9b813712c5491414.jpg,https://ae04.alicdn.com/kf/H358dbc19baed4bfe8ac5f3590edcbf8aB.jpg,",https://www.aliexpress.com/item/1005003606737013.html,9.80,1.86,8.00%,,81%,https://s.click.aliexpress.com/e/_ATFDhz
Electronic Toys,200001388,Takara Tomy Student Girl Hello Kitty Cute Simple Card Set Subway Bus Card Meal Card Protection Set School Card Set Keychain,1005003912250545,https://ae01.alicdn.com/kf/Se1f6290ecc2f47788afb57277473700aT/Takara-Tomy-Student-Girl-Hello-Kitty-Cute-Simple-Card-Set-Subway-Bus-Card-Meal-Card-Protection.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Se1f6290ecc2f47788afb57277473700aT.jpg,https://ae04.alicdn.com/kf/Sce307817d9d04fbcb64fef85176cae49e.jpg,https://ae04.alicdn.com/kf/Se62d778ecf3144d0b5493c181cf5a784K.jpg,https://ae04.alicdn.com/kf/Sd25ee17d3e03438193bad5d7d105ad3cO.jpg,https://ae04.alicdn.com/kf/S321e6550b7bc494798f15ed7df2a20e2r.jpg,",https://www.aliexpress.com/item/1005003912250545.html,9.40,4.79,8.00%,,49%,https://s.click.aliexpress.com/e/_9uYpDH
Electronic Toys,200001388,with Light and Music Game Toy Parent-child Interaction Electric Gear Robot Walking Toy Walking Toy for Children,1005003742161224,https://ae01.alicdn.com/kf/Sc0dada669819456c83dfd27599b5c20cn/with-Light-and-Music-Game-Toy-Parent-child-Interaction-Electric-Gear-Robot-Walking-Toy-Walking-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc0dada669819456c83dfd27599b5c20cn.jpg,https://ae04.alicdn.com/kf/Scbc9f5a12f7c423a9a9f2470673b8a2dG.jpg,https://ae04.alicdn.com/kf/Sf334c954da804f99b69831760793e5c6t.jpg,https://ae04.alicdn.com/kf/Sb66cf63d0bcd4f67b4f27ea06aa706afl.jpg,https://ae04.alicdn.com/kf/S9045dc6445e9409da841a6ca014f90b5M.jpg,",https://www.aliexpress.com/item/1005003742161224.html,17.45,3.32,8.00%,,81%,https://s.click.aliexpress.com/e/_AL9VgL
Electronic Toys,200001388,"Baby Einstein, Magic Touch Piano, Wooden Music Toys, Including 3 Scores and 6 Songs from 6 Months",1005003902906151,https://ae01.alicdn.com/kf/Seba0d8d65bb245d4bdd5d58447ddb71du/Baby-Einstein-Magic-Touch-Piano-Wooden-Music-Toys-Including-3-Scores-and-6-Songs-from-6.png_220x220.png,"https://ae04.alicdn.com/kf/Seba0d8d65bb245d4bdd5d58447ddb71du.png,https://ae04.alicdn.com/kf/S64c577a2f739467d812f3268477508ffS.png,https://ae04.alicdn.com/kf/Se68717ee9e8b4c55b0952278df63b08eS.png,https://ae04.alicdn.com/kf/Sa0a5e4c827284a6292b4ff84032f92f27.png,https://ae04.alicdn.com/kf/Sfe9dc7ecbc8847d696afc9efe3de3fe68.png,",https://www.aliexpress.com/item/1005003902906151.html,55.00,44.00,8.00%,,20%,https://s.click.aliexpress.com/e/_9hhRjt
Electronic Toys,200001388,Dropshipping!!Bullshit Maybe No Sorry Yes Sound Talking Button Home Office Party Funny Toy,1005003897327051,https://ae01.alicdn.com/kf/S2089686a40a9457c954b4dbb23b9a0dfr/Dropshipping-Bullshit-Maybe-No-Sorry-Yes-Sound-Talking-Button-Home-Office-Party-Funny-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S2089686a40a9457c954b4dbb23b9a0dfr.jpg,https://ae04.alicdn.com/kf/Safecece0b4a54310b460ce48d0ea0725I.jpg,https://ae04.alicdn.com/kf/S74d2ffcdc87b4904ba815346c8184f21V.jpg,https://ae04.alicdn.com/kf/S8e054ed6e0934f588e398f7651a9997eM.jpg,https://ae04.alicdn.com/kf/S23d73a48ed90434ebaad59e2a28f1eb70.jpg,",https://www.aliexpress.com/item/1005003897327051.html,3.58,1.36,8.00%,,62%,https://s.click.aliexpress.com/e/_AmIse3
Electronic Toys,200001388,Electric Walking Unicorn Plush Toy Soft Stuffed Animal Doll Electronic Pets Music Unicornio Party for Children Christmas Gifts,1005003843908805,https://ae01.alicdn.com/kf/Sc161a935e41f4865a866550faeeee22fx/Electric-Walking-Unicorn-Plush-Toy-Soft-Stuffed-Animal-Doll-Electronic-Pets-Music-Unicornio-Party-for-Children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc161a935e41f4865a866550faeeee22fx.jpg,https://ae04.alicdn.com/kf/Sf01d378f96ab4be8a4ce35f0ce9b5814U.jpg,https://ae04.alicdn.com/kf/S72f19b1529bf4edebbdabc334611c0e5w.jpg,https://ae04.alicdn.com/kf/S81ce846c71674c3783d3faee8dbba18a4.jpg,https://ae04.alicdn.com/kf/S6b2f5ee0077e453b941a989ce778bb6bs.jpg,",https://www.aliexpress.com/item/1005003843908805.html,23.43,18.51,8.00%,,21%,https://s.click.aliexpress.com/e/_97BbKB
Electronic Toys,200001388,Hello Kitty's New Mini Coin Purse for Female Students Is Easy To Carry Cute Short Coin Purse Small Fresh Cartoon Small Bag,1005003903041787,https://ae01.alicdn.com/kf/S86fa5b11e5f74863874bdea23bbec7b3S/Hello-Kitty-s-New-Mini-Coin-Purse-for-Female-Students-Is-Easy-To-Carry-Cute-Short.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S86fa5b11e5f74863874bdea23bbec7b3S.jpg,https://ae04.alicdn.com/kf/Sb660af219ae6482681bb0338eb54b45fA.jpg,https://ae04.alicdn.com/kf/S22fbcbc019144c9a89901716782957f6y.jpg,https://ae04.alicdn.com/kf/S408ea52a557b4dd599df42a477ed8b49s.jpg,https://ae04.alicdn.com/kf/Se5f4be8ae1874d5f9eb3c4a732ff3bf9K.jpg,",https://www.aliexpress.com/item/1005003903041787.html,9.40,4.79,8.00%,,49%,https://s.click.aliexpress.com/e/_9RtH9d
