Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Learning & Education,100001714,Fluffy Rainbow Slime Putty Mud Clay Plasticine Sludge Stress Relief Kids Toys Hand Fidget Toy Slime Toy Antistress for Children,1005002140496092,https://ae01.alicdn.com/kf/Hb630a1cacbc64783b013b6dfdf786053K/Fluffy-Rainbow-Slime-Putty-Mud-Clay-Plasticine-Sludge-Stress-Relief-Kids-Toys-Hand-Fidget-Toy-Slime.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb630a1cacbc64783b013b6dfdf786053K.jpg,https://ae04.alicdn.com/kf/Hfa6e94cab4524a9fbca222c39fc64161q.jpg,https://ae04.alicdn.com/kf/H821bec71a82c41178dfc86501801f407L.jpg,https://ae04.alicdn.com/kf/He934eeeb822c498f8b51664b4138c855S.jpg,https://ae04.alicdn.com/kf/H5581cd66227d4df6bb406a5f1c7702cdG.jpg,",https://www.aliexpress.com/item/1005002140496092.html,0.34,0.24,8.00%,,29%,https://s.click.aliexpress.com/e/_AV5KMR
Learning & Education,100001714,60/100ml Doughnut Fluffy Slime Putty Mud Clay Sludge Toy Stress Relief Gift Hand Fidget Toy Slime Toy Antistress for Children,1005002056556319,https://ae01.alicdn.com/kf/H9683f1de35bd40b4a14909054bdd5e82a/60-100ml-Doughnut-Fluffy-Slime-Putty-Mud-Clay-Sludge-Toy-Stress-Relief-Gift-Hand-Fidget-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9683f1de35bd40b4a14909054bdd5e82a.jpg,https://ae04.alicdn.com/kf/H40933dc3e63849cea3322f10cd043360p.jpg,https://ae04.alicdn.com/kf/H3663222998ea453aa01aecc1536e0ddcP.jpg,https://ae04.alicdn.com/kf/H68390d6816634058b5d69ebc2200d512b.jpg,https://ae04.alicdn.com/kf/H4dbc5fc5bac8415abd6b4386be638fe4b.jpg,",https://www.aliexpress.com/item/1005002056556319.html,0.03,0.02,8.00%,,29%,https://s.click.aliexpress.com/e/_9xtGPz
Learning & Education,100001714,6Pcs Broken-proof Kids Toy Comfortable Grasp Luminous Dino Bones Skeleton Toy Dinosaur Fossils Toy for Children,1005003503672729,https://ae01.alicdn.com/kf/H8b53a2439f524f0b88d8853d364e99fd5/6Pcs-Broken-proof-Kids-Toy-Comfortable-Grasp-Luminous-Dino-Bones-Skeleton-Toy-Dinosaur-Fossils-Toy-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8b53a2439f524f0b88d8853d364e99fd5.jpg,https://ae04.alicdn.com/kf/H7c719710ad104ecb825e33010bd256ceD.jpg,https://ae04.alicdn.com/kf/H7daf3fd4174e46fd909277301c02b384C.jpg,https://ae04.alicdn.com/kf/H78de11a181954d1392c62537c0e7b917f.jpg,https://ae04.alicdn.com/kf/Hff794c6968b34f32a96badcacdf0ad48x.jpg,",https://www.aliexpress.com/item/1005003503672729.html,10.05,1.91,8.00%,,81%,https://s.click.aliexpress.com/e/_AsOkgJ
Learning & Education,100001714,60/100ml Multicolor Slime Toy Stress Relief Plasticine Scented Clay Antistress Sludge Cotton Release Clay Toy Plasticine Gifts,1005002102510301,https://ae01.alicdn.com/kf/Hac1c990dd8ec4554b21411c3d994f8df4/60-100ml-Multicolor-Slime-Toy-Stress-Relief-Plasticine-Scented-Clay-Antistress-Sludge-Cotton-Release-Clay-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hac1c990dd8ec4554b21411c3d994f8df4.jpg,https://ae04.alicdn.com/kf/Hf6f431c355354f25a8ee9a053f4d2e7dJ.jpg,https://ae04.alicdn.com/kf/H09f63d3f2f8a428b811a699790dd0457F.jpg,https://ae04.alicdn.com/kf/H82ced440cb6144168779083d0b29373cG.jpg,https://ae04.alicdn.com/kf/H03feca3eca7c4660bc43a900134f5f1ea.jpg,",https://www.aliexpress.com/item/1005002102510301.html,0.66,0.47,8.00%,,29%,https://s.click.aliexpress.com/e/_ANJILN
Learning & Education,100001714,Science Experiment Set Variety Accessories Plastic Hands-on Activities Circuit Learning Starter Kit for Teacher,1005003509614780,https://ae01.alicdn.com/kf/Hf81a8cb00d8f4b8ba445f71d04a166b0t/Science-Experiment-Set-Variety-Accessories-Plastic-Hands-on-Activities-Circuit-Learning-Starter-Kit-for-Teacher.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf81a8cb00d8f4b8ba445f71d04a166b0t.jpg,https://ae04.alicdn.com/kf/Hbfa4052a48e749cab6a08051b899cb77j.jpg,https://ae04.alicdn.com/kf/Hda3c3e85173f4da4b900d9bcf56c771dK.jpg,https://ae04.alicdn.com/kf/H9158311004ae41db8b46b5d773470d12Z.jpg,https://ae04.alicdn.com/kf/H2b01f717390f444980ada42d6d1b4b78X.jpg,",https://www.aliexpress.com/item/1005003509614780.html,9.80,1.86,8.00%,,81%,https://s.click.aliexpress.com/e/_9jy2OL
Learning & Education,100001714,60/120ml Kids Slime Toy Ocean Dolphin Mud Clay Slime Plasticine Sludge Stress Relief Kids Toy For Kids Children  Slime Toy,1005002102417629,https://ae01.alicdn.com/kf/Hb2316a45b7984e90998251cd6bcb73dfq/60-120ml-Kids-Slime-Toy-Ocean-Dolphin-Mud-Clay-Slime-Plasticine-Sludge-Stress-Relief-Kids-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb2316a45b7984e90998251cd6bcb73dfq.jpg,https://ae04.alicdn.com/kf/H72f1c22efd6740d9b683ade288310a7bg.jpg,https://ae04.alicdn.com/kf/Habddb4d7b23d4cce8b1bb00475d2e1d3s.jpg,https://ae04.alicdn.com/kf/H4ffc96d09d7d4cc5b672d17354e4edc3P.jpg,https://ae04.alicdn.com/kf/Hbe14e986778342e184f4331be24a3677b.jpg,",https://www.aliexpress.com/item/1005002102417629.html,0.79,0.56,8.00%,,29%,https://s.click.aliexpress.com/e/_AEpckB
Learning & Education,100001714,Lollipop Star Fluffy Slime Putty Mud Clay Plasticine Sludge Toy Stress Reliever Hand Fidget Toy Slime Toy Antistress for Childre,1005002056606167,https://ae01.alicdn.com/kf/H269131635abd45b8ae2406d3b46deda1P/Lollipop-Star-Fluffy-Slime-Putty-Mud-Clay-Plasticine-Sludge-Toy-Stress-Reliever-Hand-Fidget-Toy-Slime.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H269131635abd45b8ae2406d3b46deda1P.jpg,https://ae04.alicdn.com/kf/Hf6456c7e43f04206a6d155e6d978c398i.jpg,https://ae04.alicdn.com/kf/Hc89e1c7990894d85b39a465b5710c829n.jpg,https://ae04.alicdn.com/kf/H95a5ca45438b4578b0faa34c0840a8b4I.jpg,https://ae04.alicdn.com/kf/H2bd9b04b8e424fb7a78380eedd863705b.jpg,",https://www.aliexpress.com/item/1005002056606167.html,0.41,0.29,8.00%,,29%,https://s.click.aliexpress.com/e/_9RNVnv
Learning & Education,100001714,Fluffy Fruit Watermelon Strawberry Slime Stress Relief Kids Adult Stretchy Toy Hand Fidget Toy Slime Toy Antistress for Children,1005002056395476,https://ae01.alicdn.com/kf/Hb0897f7fd21846bcb61b25c21c45dca27/Fluffy-Fruit-Watermelon-Strawberry-Slime-Stress-Relief-Kids-Adult-Stretchy-Toy-Hand-Fidget-Toy-Slime-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb0897f7fd21846bcb61b25c21c45dca27.jpg,https://ae04.alicdn.com/kf/Hc6c1cb42c7744082a6e80385799f54a3U.jpg,https://ae04.alicdn.com/kf/H4cfc7eca0874476f9bef562c738284e8r.jpg,https://ae04.alicdn.com/kf/H86323dcfd20a4f269fb81c73d8301dbfO.jpg,https://ae04.alicdn.com/kf/H3d6196bdaceb4c1dbe0411eb7647b023a.jpg,",https://www.aliexpress.com/item/1005002056395476.html,0.73,0.52,8.00%,,29%,https://s.click.aliexpress.com/e/_AT3Seb
Learning & Education,100001714,Bar Ring Horseshoe Compass Magnets Physics Science Experiment Tools Kids Toy Easy to Operate Durable Science Experiment Tools,1005002066585640,https://ae01.alicdn.com/kf/H1f144fd2790c46078d27a9fa9482a377D/Bar-Ring-Horseshoe-Compass-Magnets-Physics-Science-Experiment-Tools-Kids-Toy-Easy-to-Operate-Durable-Science.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1f144fd2790c46078d27a9fa9482a377D.jpg,https://ae04.alicdn.com/kf/Hac0b9ca2644c494b91272c1c09fe100bY.jpg,https://ae04.alicdn.com/kf/H72d19787457048058b0a2951a5878344H.jpg,https://ae04.alicdn.com/kf/H749ace3c72cf40c8b70341664bbc858ah.jpg,https://ae04.alicdn.com/kf/H02a566c575a645d29e8c02b123ae2883M.jpg,",https://www.aliexpress.com/item/1005002066585640.html,2.43,1.73,8.00%,,29%,https://s.click.aliexpress.com/e/_9vryCR
Learning & Education,100001714,Kids Adults Slime Soft Non-Sticky Mixed Color Cotton Mud Stress Relief Toys Hand Fidget Toys SlimeToys Antistress for Children,1005002056372489,https://ae01.alicdn.com/kf/H7eceab259aeb40c488993dae83c5318aZ/Kids-Adults-Slime-Soft-Non-Sticky-Mixed-Color-Cotton-Mud-Stress-Relief-Toys-Hand-Fidget-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7eceab259aeb40c488993dae83c5318aZ.jpg,https://ae04.alicdn.com/kf/Hc2fcad1e1aa94f19a35959c49ce1fe73p.jpg,https://ae04.alicdn.com/kf/H4e65b58235b24615bbfb242fde95f79bc.jpg,https://ae04.alicdn.com/kf/Hf8dbefbb0fbe4d9dae7905a0ceb5482an.jpg,https://ae04.alicdn.com/kf/H0afab3f1ec9b47da91615e6dc5d727f9p.jpg,",https://www.aliexpress.com/item/1005002056372489.html,0.52,0.37,8.00%,,29%,https://s.click.aliexpress.com/e/_AqM4tv
