Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Laptops,702,Newest Teclast F15S 15.6 Inch Laptop Windows 10 Notebook 1920x1080 Intel Apollo Lake Laptops 8GB RAM 128GB SSD Dual Wifi HDMI,1005001587150288,https://ae01.alicdn.com/kf/Hfc1d4cfab1a54f3c8e3dec3bd71a12a5y/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hfc1d4cfab1a54f3c8e3dec3bd71a12a5y/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg,https://ae01.alicdn.com/kf/Hfbd14d2198bd4f08bf5229eddeec56e8x/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg,https://ae01.alicdn.com/kf/Hdd82fed655d04c738ce31e56332f37e5l/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg,https://ae01.alicdn.com/kf/H33f739e800eb42cf9869c40f7831140f4/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg,https://ae01.alicdn.com/kf/Hbd0d9dd017cb4366945d681c44cc4a0dY/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB.jpg,",https://www.aliexpress.com/item/Newest-Teclast-F15S-15-6-Inch-Laptop-Windows-10-Notebook-1920x1080-Intel-Apollo-Lake-Laptops-8GB/1005001587150288.html,374.99,307.49,8.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_ArJnvt
Laptops,702,CHUWI GemiBook Pro 14 inch 2K Screen Laptop 16GB RAM 512GB SSD Intel Celeron Quad Core Windows 10 Computer with Backlit Keyboard,1005001520846730,https://ae01.alicdn.com/kf/H71845c59297749e7b0241de49bd383cei/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H71845c59297749e7b0241de49bd383cei/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg,https://ae01.alicdn.com/kf/H450a5e22c57c44c3a00e3c6e77168bfe4/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg,https://ae01.alicdn.com/kf/H796361fcd35242f59ca3dcb840ed935f8/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg,https://ae01.alicdn.com/kf/H4639ec4d94eb4324bda4b613252372d7o/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg,https://ae01.alicdn.com/kf/H836e15ba0d8948bc97f8a36d2b5377dcw/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core.jpg,",https://www.aliexpress.com/item/CHUWI-GemiBook-Pro-14-inch-2K-Screen-Laptop-16GB-RAM-512GB-SSD-Intel-Celeron-Quad-Core/1005001520846730.html,562.49,449.99,3.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AUANV1
Laptops,702,"CHUWI GemiBook 13"" 2K IPS Screen LPDDR4X 12GB 256GB SSD Intel Celeron Quad Core Windows 10 Laptop with Backlit Keyboard",4001359557503,https://ae01.alicdn.com/kf/H7fa9d6502a004196a7a0abc7c1d616d42/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H7fa9d6502a004196a7a0abc7c1d616d42/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg,https://ae01.alicdn.com/kf/H532005a095844064bab5c1de549ede129/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg,https://ae01.alicdn.com/kf/H2273db0f2842482a83228156bc875550z/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg,https://ae01.alicdn.com/kf/Hfdedc8eae06c422eb3101dd183ab1d93R/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg,https://ae01.alicdn.com/kf/H8f01135f10bc492dae9d1b05d2df822et/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10.jpg,",https://www.aliexpress.com/item/CHUWI-GemiBook-13-2K-IPS-Screen-LPDDR4X-12GB-256GB-SSD-Intel-Celeron-Quad-Core-Windows-10/4001359557503.html,512.49,409.99,5.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9wiJYP
Laptops,702,CHUWI HeroBook Plus 15.6 inch Laptop LPDDR4X 12GB 256G SSD Intel Celeron J4125 Quad Core Windows 10 NoteBook RJ45,1005001520565686,https://ae01.alicdn.com/kf/Hbb59acfa93f74768b1c7bac22ca86623L/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hbb59acfa93f74768b1c7bac22ca86623L/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg,https://ae01.alicdn.com/kf/Hc1232aba52564796b779cc4d22b027597/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg,https://ae01.alicdn.com/kf/H78e88265bc194d0dbf93e8f323cff73ed/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg,https://ae01.alicdn.com/kf/Hdc45b6e2404a45a281406405f9b69476D/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg,https://ae01.alicdn.com/kf/Hc12aa7b268364136b0e6ea60d8372d88n/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core.jpg,",https://www.aliexpress.com/item/CHUWI-HeroBook-Plus-15-6-inch-Laptop-LPDDR4X-12GB-256G-SSD-Intel-Celeron-J4125-Quad-Core/1005001520565686.html,574.99,459.99,5.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9vMy9H
Laptops,702,CHUWI CoreBook X Intel Core i5-7267U Laptops 14 Inch 2160x1440 Resolution DDR4 16GB 256GB SSD Winddows 10 Computer 46.2W Battery,1005001616782292,https://ae01.alicdn.com/kf/Hce2ad16838f1459a9162f95e75c0404dL/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hce2ad16838f1459a9162f95e75c0404dL/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg,https://ae01.alicdn.com/kf/H47c0cc0af90d42a195ae61b24818853dH/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg,https://ae01.alicdn.com/kf/H4e4130a269a54499a633de8deb9a5a0bG/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg,https://ae01.alicdn.com/kf/H28e1b44d1fb2401fb3b35d68f28d2cc0V/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg,https://ae01.alicdn.com/kf/H3a7a72d323484a65b4cfbf8814385aacG/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD.jpg,",https://www.aliexpress.com/item/CHUWI-CoreBook-X-Intel-Core-i5-7267U-Laptops-14-Inch-2160x1440-Resolution-DDR4-16GB-256GB-SSD/1005001616782292.html,649.99,513.49,4.00%,2098-12-31,21%,https://s.click.aliexpress.com/e/_AN2vTz
Laptops,702,15.6 inch Metal Body Laptop intel Celeron 5205U 8GB 256 GB SSD With Full Layout Keyboard Backlight Fingerprint Unlock Game,4000935307539,https://ae01.alicdn.com/kf/H17c4d416122f462e836b239a8a72ea0fA/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H17c4d416122f462e836b239a8a72ea0fA/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg,https://ae01.alicdn.com/kf/H3c364bfca87d426490c0141bc8bea0e2C/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg,https://ae01.alicdn.com/kf/H321639a9d8cc4757ad8a84dc7f1ef212c/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg,https://ae01.alicdn.com/kf/H9ac3402ad57a44719e1a9d8ee82cd853J/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg,https://ae01.alicdn.com/kf/H7a2d8c6701604c53a50b480094cc3db1b/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout.jpg,",https://www.aliexpress.com/item/15-6-inch-Metal-Body-Laptop-intel-Celeron-5205U-8GB-256-GB-SSD-With-Full-Layout/4000935307539.html,493.10,409.27,8.00%,2098-12-31,17%,https://s.click.aliexpress.com/e/_A6Ge8L
Laptops,702,Cheap Pocket Laptop Netbook Computer Notebook GPD MicroPC 6 Inch RJ45 RS232 HDMI Output  Windows 10 Pro System 8GB RAM Backlit,33025931111,https://ae01.alicdn.com/kf/H421b3f9546e8471f97a863e0e81cbea3o/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H421b3f9546e8471f97a863e0e81cbea3o/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg,https://ae01.alicdn.com/kf/Habd2a83f95d34c7aac4dd6c2aabe0d02v/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg,https://ae01.alicdn.com/kf/H47b2f5c417b14a0bbf1bf18600b241b4C/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg,https://ae01.alicdn.com/kf/Hb08b5211a88346bc823d522cbc5f557dJ/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg,https://ae01.alicdn.com/kf/HTB1t5t_X3aH3KVjSZFpq6zhKpXaX/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10.jpg,",https://www.aliexpress.com/item/Cheap-Pocket-Laptop-Netbook-Computer-Notebook-GPD-MicroPC-6-Inch-RJ45-RS232-HDMI-Output-Windows-10/33025931111.html,460.00,414.00,8.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_AoL7JH
Laptops,702,Latest Pocket Slim Laptop Ultrabook GPD Pocket 2 8GB+256GB 7 Inch Mini PC Computer Netbook Notebook IPS Touch Screen Windows 10,32968851612,https://ae01.alicdn.com/kf/H4dbad603b2ef4ea990a52bf78b719f5fo/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H4dbad603b2ef4ea990a52bf78b719f5fo/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg,https://ae01.alicdn.com/kf/U6209ccbb44f14ea5b9067740318dec24z/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg,https://ae01.alicdn.com/kf/H7200a646ce5f475c8b2901268e72fb510/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg,https://ae01.alicdn.com/kf/H3491e6c0bf5e4c6bb2bc45abf85d4685L/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg,https://ae01.alicdn.com/kf/Hac99311247cd4a4dad698b0a25999cadU/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook.jpg,",https://www.aliexpress.com/item/Latest-Pocket-Slim-Laptop-Ultrabook-GPD-Pocket-2-8GB-256GB-7-Inch-Mini-PC-Computer-Netbook/32968851612.html,600.00,540.00,8.00%,2098-12-31,10%,https://s.click.aliexpress.com/e/_9jr5Wx
Laptops,702,"New Original Apple MacBook Pro Latest Model 13.3"" Retina Display Intel i5 8/16G Memory 256/512G/1T SSD MacOS Notebook",4001327028580,https://ae01.alicdn.com/kf/H5da157e4edf64164ac08d2b8a0971e0cY/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H5da157e4edf64164ac08d2b8a0971e0cY/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg,https://ae01.alicdn.com/kf/H622f2a0b873d48cdb17da22324446e58A/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg,https://ae01.alicdn.com/kf/H799b59452d074fcb866126cb9583338cy/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg,https://ae01.alicdn.com/kf/H5666f05967af450ab9fdb2bec6f786e1k/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg,https://ae01.alicdn.com/kf/H31f80825bb6444fb8951e563cb4f23320/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory.jpg,",https://www.aliexpress.com/item/New-Original-Apple-MacBook-Pro-Latest-Model-13-3-Retina-Display-Intel-i5-8-16G-Memory/4001327028580.html,"1,899.00",,8.00%,2098-12-31,,https://s.click.aliexpress.com/e/_AD6B4X
Laptops,702,Jumper EZbook X1 6GB 128GB Laptop Intel Celeron Quad Core Notebook 360 Rotating Tablet 11.6 Inch 1920*1080 Touch Screen Computer,1005001420146983,https://ae01.alicdn.com/kf/H9eb5d1c008c241e9bd5dc45ab40a8087N/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H9eb5d1c008c241e9bd5dc45ab40a8087N/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg,https://ae01.alicdn.com/kf/H84576efa620941a095d434d822f0ce7fL/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg,https://ae01.alicdn.com/kf/H34755fc6650143daa8295825483b0f41d/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg,https://ae01.alicdn.com/kf/He42eb798ae9844178df8893b6990aa93k/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg,https://ae01.alicdn.com/kf/H442cb1c999b141c4b47fbc5feaaa1de03/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6.jpg,",https://www.aliexpress.com/item/Jumper-EZbook-X1-6GB-128GB-Laptop-Intel-Celeron-Quad-Core-Notebook-360-Rotating-Tablet-11-6/1005001420146983.html,365.99,274.49,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AamT3d
