"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1078147,"Loose Women Folk Style Contrast Color Stitching Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/AA/7B/c6766129-a75b-4c35-87a2-1a310971f2a5.jpg,https://www.banggood.com/Loose-Women-Folk-Style-Contrast-Color-Stitching-Dress-reviews-p1078147.html,US$45.99,US$1.84,https://www.banggood.com/O-NEWE-Loose-Women-Folk-Style-Contrast-Color-Stitching-Dress-p-1078147.html?p=JA280216647382201711&custlinkid=1801779
1078664,"Vintage Women Ethnic Style Printed Straight Midi Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A3/F5/4ae13b42-8ccc-491e-ae9f-73266e71cf34.jpg,https://www.banggood.com/Vintage-Women-Ethnic-Style-Printed-Straight-Midi-Dress-reviews-p1078664.html,US$33.34,US$1.33,https://www.banggood.com/Vintage-Women-Ethnic-Style-Printed-Straight-Midi-Dress-p-1078664.html?p=JA280216647382201711&custlinkid=1801780
1113758,"Vintage Women Geometric Printed Turtleneck Dress ",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/FC/B4/f6b9e6ab-9ac3-4d51-b410-27f615b03aa3.jpg,https://www.banggood.com/Vintage-Women-Geometric-Printed-Turtleneck-Dress--reviews-p1113758.html,US$28.74,US$1.15,https://www.banggood.com/Vintage-Women-Geometric-Printed-Turtleneck-Dress--p-1113758.html?p=JA280216647382201711&custlinkid=1801781
1119213,"Vintage Summer Women Dress Loose Folk Style Half Sleeve O-Neck Dresses",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/CE/FA/47e7e970-9596-4835-90df-d13af1ffe824.jpg,https://www.banggood.com/Vintage-Summer-Women-Dress-Loose-Folk-Style-Half-Sleeve-O-Neck-Dresses-reviews-p1119213.html,"US$39.99 ~ US$61.24",US$1.84,https://www.banggood.com/Vintage-Summer-Women-Dress-Loose-Folk-Style-Half-Sleeve-O-Neck-Dresses-p-1119213.html?p=JA280216647382201711&custlinkid=1801782
1124607,"L-5XL Vintage Women Irregular Hem Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/FB/06/146715b4-4cde-4c02-baf1-d1b7db603735.jpg,https://www.banggood.com/L-5XL-Vintage-Women-Irregular-Hem-Dress-reviews-p1124607.html,US$32.19,US$1.29,https://www.banggood.com/L-5XL-Vintage-Women-Irregular-Hem-Dress-p-1124607.html?p=JA280216647382201711&custlinkid=1801783
1130655,"Casual Vintage Pleat Pure Color Maxi Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/00/63/9f10dfaf-2f77-45a8-8485-f843ff93eab4.jpg,https://www.banggood.com/Casual-Vintage-Pleat-Pure-Color-Maxi-Dress-reviews-p1130655.html,US$19.99,US$0.8,https://www.banggood.com/Casual-Vintage-Pleat-Pure-Color-Maxi-Dress-p-1130655.html?p=JA280216647382201711&custlinkid=1801784
1138556,"O-Newe Casual Women Solid Sleeveless Pockets Lantern Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/1D/74/7ac8744e-e0f0-4353-9e5f-952e3655dd1b.jpeg,https://www.banggood.com/O-Newe-Casual-Women-Solid-Sleeveless-Pockets-Lantern-Dress-reviews-p1138556.html,US$17.24,US$0.69,https://www.banggood.com/O-Newe-Casual-Women-Solid-Sleeveless-Pockets-Lantern-Dress-p-1138556.html?p=JA280216647382201711&custlinkid=1801785
1192831,"Elegant Women Asymmetrical Hem Half Sleeve Dresses",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/71/E1/03236972-77a1-4701-aabb-8353c0f61ba0.jpg,https://www.banggood.com/Elegant-Women-Asymmetrical-Hem-Half-Sleeve-Dresses-reviews-p1192831.html,US$32.19,US$1.29,https://www.banggood.com/Elegant-Women-Asymmetrical-Hem-Half-Sleeve-Dresses-p-1192831.html?p=JA280216647382201711&custlinkid=1801786
1275104,"Elegant Women Floral Dress and Cardigan",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/3B/9C/5e23c3e0-5186-4293-bc7b-4c6c182f0a30.jpg,https://www.banggood.com/Elegant-Women-Floral-Dress-and-Cardigan-reviews-p1275104.html,US$57.49,US$2.3,https://www.banggood.com/Elegant-Women-Floral-Embroidery-Long-Dress-and-Cardigan-p-1275104.html?p=JA280216647382201711&custlinkid=1801787
1293206,"Floral Printed Spaghetti Straps Summer Dresses",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/5C/52/d05c01bd-d6da-4e1c-8e3f-ad7857b118cc.jpg,https://www.banggood.com/Floral-Printed-Spaghetti-Straps-Summer-Dresses-reviews-p1293206.html,US$28.74,US$1.15,https://www.banggood.com/Floral-Printed-Spaghetti-Straps-Button-Summer-Dress-p-1293206.html?p=JA280216647382201711&custlinkid=1801788
1337313,"Plus Size Vintage Plaid Patchwork Long Sleeve Casual Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/50/35/441d4866-58ee-415a-9ebf-e57cc39d523f.jpg,https://www.banggood.com/Plus-Size-Vintage-Plaid-Patchwork-Long-Sleeve-Casual-Dress-reviews-p1337313.html,US$35.79,US$1.43,https://www.banggood.com/Plus-Size-Vintage-Plaid-Patchwork-O-Neck-Long-Sleeve-Casual-Dress-p-1337313.html?p=JA280216647382201711&custlinkid=1801789
1339600,"S-5XL Plus Size Solid Color Short Sleeve Long Cotton Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/4E/9A/07328144-c896-4c6d-8199-bc4ce41a1d4a.jpg,https://www.banggood.com/S-5XL-Plus-Size-Solid-Color-Short-Sleeve-Long-Cotton-Dress-reviews-p1339600.html,US$23.09,US$0.92,https://www.banggood.com/S-5XL-Plus-Size-Solid-Color-Short-Sleeve-Long-Cotton-Dress-p-1339600.html?p=JA280216647382201711&custlinkid=1801790
1364353,"Vintage Women Japanese Cotton Linen Solid Color Pleated Long Aprons Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/E0/4C/26f96297-5a0d-40b1-9bbf-8ba9b2b79165.jpeg,https://www.banggood.com/Vintage-Women-Japanese-Cotton-Linen-Solid-Color-Pleated-Long-Aprons-Dress-reviews-p1364353.html,US$35.79,US$1.43,https://www.banggood.com/Vintage-Women-Japanese-Cotton-Linen-Solid-Color-Pleated-Long-Aprons-Dress-p-1364353.html?p=JA280216647382201711&custlinkid=1801791
1364913,"Vintage Cotton Linen Japanese Style Pure Color Aprons Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/FF/B6/e56e6f03-c96a-4f73-b906-17800672a08c.jpeg,https://www.banggood.com/Vintage-Cotton-Linen-Japanese-Style-Pure-Color-Aprons-Dress-reviews-p1364913.html,US$35.79,US$1.43,https://www.banggood.com/Vintage-Cotton-Linen-Japanese-Style-Pure-Color-Aprons-Dress-with-Pockets-p-1364913.html?p=JA280216647382201711&custlinkid=1801792
1395499,"Vintage Women A-line V-neck Long Sleeve Dress with Pockets",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/BB/86/9f5ad535-bc40-482b-a0fa-ef37eb758130.jpg,https://www.banggood.com/Vintage-Women-A-line-V-neck-Long-Sleeve-Dress-with-Pockets-reviews-p1395499.html,US$25.40,US$1.02,https://www.banggood.com/Vintage-Women-A-line-V-neck-Long-Sleeve-Dress-with-Pockets-p-1395499.html?p=JA280216647382201711&custlinkid=1801793
1413504,"Women's Casual Cotton Linen Loose Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/4F/FE/56ac6abb-945e-45ea-8c2d-a17883c2098d.jpg,https://www.banggood.com/Womens-Casual-Cotton-Linen-Loose-Dress-reviews-p1413504.html,US$34.49,US$1.38,https://www.banggood.com/Womens-Casual-Cotton-Linen-Loose-Dress-Short-Sleeve-Patchwork-Dresses-p-1413504.html?p=JA280216647382201711&custlinkid=1801794
1413514,"Women Casual Cotton Linen Loose Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/E8/2B/7d48035d-0628-4e27-8429-6fe858a225e7.jpg,https://www.banggood.com/Women-Casual-Cotton-Linen-Loose-Dress-reviews-p1413514.html,US$44.84,US$1.79,https://www.banggood.com/Women-Casual-Cotton-Linen-Loose-Dress-Dots-Printing-Short-Sleeved-Robes-p-1413514.html?p=JA280216647382201711&custlinkid=1801795
1414911,"Women Casual Pocket Long Loose Shirt Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/BA/44/827d243e-7557-4dda-a006-a0a9d0fdeeaf.jpg,https://www.banggood.com/Women-Casual-Pocket-Long-Loose-Shirt-Dress-reviews-p1414911.html,US$34.49,US$1.38,https://www.banggood.com/Women-Casual-Pocket-Long-Loose-Shirt-Dress-Soild-Color-Turn-Down-Collar-Dress-p-1414911.html?p=JA280216647382201711&custlinkid=1801796
1416837,"Women Elegant Embroidery Jacquard Silk Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/6D/F3/640701db-00d4-440d-bc1e-e61659ae2b3d.jpg,https://www.banggood.com/Women-Elegant-Embroidery-Jacquard-Silk-Dress-reviews-p1416837.html,US$40.24,US$1.61,https://www.banggood.com/Women-Elegant-Embroidery-Jacquard-Silk-Dress-Sleeveless-Calf-Length-Soild-Color-Dress-p-1416837.html?p=JA280216647382201711&custlinkid=1801797
1416843,"Women's Casual Loose Long Dress Sleeveless O-Neck Dresses",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/4C/65/5a6d8aa9-d07b-49b6-aba2-52d24ef6353a.jpg,https://www.banggood.com/Womens-Casual-Loose-Long-Dress-Sleeveless-O-Neck-Dresses-reviews-p1416843.html,US$24.14,US$0.97,https://www.banggood.com/Womens-Casual-Loose-Long-Dress-Sleeveless-O-Neck-Dresses-p-1416843.html?p=JA280216647382201711&custlinkid=1801798
1417505,"Women Bohemian Feather Printing Long Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/A4/1C/9c037cbb-6c29-4e9b-b94e-f7ebc5752add.jpg,https://www.banggood.com/Women-Bohemian-Feather-Printing-Long-Dress-reviews-p1417505.html,US$40.24,US$1.61,https://www.banggood.com/Women-Bohemian-Feather-Printing-Long-Dress-Seaside-Resort-Beach-Sleeveless-Dress-p-1417505.html?p=JA280216647382201711&custlinkid=1801799
1417508,"Women Casual Floral Printing Floor Length Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/11/DA/3e5a21f3-69ae-41c5-ba0d-531a07d69910.jpg,https://www.banggood.com/Women-Casual-Floral-Printing-Floor-Length-Dress-reviews-p1417508.html,US$37.94,US$1.52,https://www.banggood.com/Women-Casual-Floral-Printing-Floor-Length-Dress-V-Neck-Loose-Sleeveless-Dresses-p-1417508.html?p=JA280216647382201711&custlinkid=1801800
1419358,"Women Bohemian Bikini Lantern Fringed V-Neck Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/98/ED/3aab7cda-2f22-4431-86fc-5d3d44c7fe2b.jpg,https://www.banggood.com/Women-Bohemian-Bikini-Lantern-Fringed-V-Neck-Dress-reviews-p1419358.html,US$28.74,US$1.15,https://www.banggood.com/Women-Bohemian-Bikini-Lantern-Fringed-V-Neck-Dress-p-1419358.html?p=JA280216647382201711&custlinkid=1801801
