"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1297347,"ZhengCheng 333-MT01B 2.4G 20km/h Rc Car Motorcycle 30 Degree 24.4*12.7*14cm With Flashlight ",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/C6/90/b92047bf-624a-45ea-b04d-b1b51bc6fd03.jpg,https://www.banggood.com/ZhengCheng-333-MT01B-2_4G-20km-or-h-Rc-Car-Motorcycle-30-Degree-24_4+12_7+14cm-With-Flashlight--reviews-p1297347.html,US$61.20,US$4.28,https://www.banggood.com/ZhengCheng-333-MT01B-2_4G-Rc-Car-Motorcycle-30-Degree-With-Flashlight-p-1297347.html?p=JA280216647382201711&custlinkid=1810902
1349676,"Flytec 18203 AR Battle RC Tank 480P WIFI FPV Image Transmission App Control W/ Light",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/CE/ED/5c9836e7-b595-428d-a814-1d1a28d41c72.jpg,https://www.banggood.com/Flytec-18203-AR-Battle-RC-Tank-480P-WIFI-FPV-Image-Transmission-App-Control-W-or-Light-reviews-p1349676.html,US$42.54,US$2.98,https://www.banggood.com/Flytec-18203-AR-Battle-RC-Tank-480P-WIFI-FPV-Image-Transmission-App-Control-W-or-Light-p-1349676.html?p=JA280216647382201711&custlinkid=1810895
1360076,"Heng Long 6.0 Version 3918-1 1/16 2.4G M1A2 Rc Car Battle Tank Metal Track with Sound Smoke Toy",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/96/0C/ed4c0ca8-130e-4ce7-874c-b1d35c99d833.jpg,https://www.banggood.com/Heng-Long-6_0-Version-3918-1-1-or-16-2_4G-M1A2-Rc-Car-Battle-Tank-Metal-Track-with-Sound-Smoke-Toy-reviews-p1360076.html,US$299.13,US$20.94,https://www.banggood.com/Heng-Long-6_0-Version-3918-1-1-or-16-2_4G-M1A2-Rc-Car-Battle-Tank-Metal-Track-with-Sound-Smoke-Toy-p-1360076.html?p=JA280216647382201711&custlinkid=1810896
1446824,"JDRC SY003 1/18 2.4G Rc Car Side-row Drift Stunt Motorcycle Support Multi-player RTR Toys ",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/30/36/838cde02-82e1-4911-b0dc-09a72948f971.jpg,https://www.banggood.com/JDRC-SY003-1-or-18-2_4G-Rc-Car-Side-row-Drift-Stunt-Motorcycle-Support-Multi-player-RTR-Toys--reviews-p1446824.html,US$47.14,US$3.3,https://www.banggood.com/JDRC-SY003-1-or-18-2_4G-Rc-Car-Side-row-Drift-Stunt-Motorcycle-Support-Multi-player-RTR-Toys--p-1446824.html?p=JA280216647382201711&custlinkid=1810903
1464430,"X-Rider Flamingo 1/8 2.4G 2WD Rc Car Electric Tricycle RTR Model",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/76/53/7facd36a-cb38-45b1-8158-d27b1b1a09a7.jpg,https://www.banggood.com/X-Rider-Flamingo-1-or-8-2_4G-2WD-Rc-Car-Electric-Tricycle-RTR-Model-reviews-p1464430.html,US$175.55,US$12.29,https://www.banggood.com/X-Rider-Flamingo-1-or-8-2_4G-2WD-Rc-Car-Electric-Tricycle-RTR-Model-p-1464430.html?p=JA280216647382201711&custlinkid=1810904
1500065,"NEWQIDA 757-9026 1/12 2.4G 4D Rc Motorcycle Simulation 360 Degree Rotation Car Model RTR ",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/80/D2/2ffa320d-180e-4732-b6db-9bf7a7f61d5f.JPG,https://www.banggood.com/NEWQIDA-757-9026-1-or-12-2_4G-4D-Rc-Motorcycle-Simulation-360-Degree-Rotation-Car-Model-RTR--reviews-p1500065.html,US$101.63,US$7.11,https://www.banggood.com/NEWQIDA-757-9026-112-2_4G-4D-Rc-Motorcycle-Simulation-360-Degree-Rotation-Car-Model-RTR-p-1500065.html?p=JA280216647382201711&custlinkid=1810905
1506732,"2.4G Rotate 360° RC Car MotorCycle Vehicle Model Children Toys With Music",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/E9/22/38571e8c-369e-462b-ab71-04ca07350449.JPG,https://www.banggood.com/2_4G-Rotate-360-RC-Car-MotorCycle-Vehicle-Model-Children-Toys-With-Music-reviews-p1506732.html,US$32.99,US$2.31,https://www.banggood.com/2_4G-Rotate-360-RC-Car-MotorCycle-Vehicle-Model-Children-Toys-With-Music-p-1506732.html?p=JA280216647382201711&custlinkid=1810906
1560706,"FERPECT TOYS 757P-006 1/45 27MHZ 82cm Electric RC Train Harmonious CRH Rail Car Model ",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/49/C0/cd98d191-d29c-492d-9d24-b4d494e60a2d.JPG,https://www.banggood.com/FERPECT-TOYS-757P-006-1-or-45-27MHZ-82cm-Electric-RC-Train-Harmonious-CRH-Rail-Car-Model--reviews-p1560706.html,US$54.27,US$3.8,https://www.banggood.com/FERPECT-TOYS-757P-006-145-27MHZ-82cm-Electric-RC-Train-Harmonious-CRH-Rail-Car-Model-p-1560706.html?p=JA280216647382201711&custlinkid=1810907
1561171,"X-Rider Mars Kit 1/8 2WD Electric RC Motorcycle On-Road Tricycle without Car Shell & Electronic Parts",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/E0/E9/2d54fb97-019e-4558-aef3-150559c1eec5.jpg,https://www.banggood.com/X-Rider-Mars-Kit-1-or-8-2WD-Electric-RC-Motorcycle-On-Road-Tricycle-without-Car-Shell-and-Electronic-Parts-reviews-p1561171.html,US$187.10,US$13.1,https://www.banggood.com/X-Rider-Mars-Kit-18-2WD-Electric-RC-Motorcycle-On-Road-Tricycle-without-Car-Shell-Electronic-Parts-p-1561171.html?p=JA280216647382201711&custlinkid=1810908
1642136,"XJ13 4CH 2.4G RC Tank Car Vehicle With Music Light Children Toy",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/26/FB/14bfb928-b36f-4276-a4e6-b2dce469d255.JPG,https://www.banggood.com/XJ13-4CH-2_4G-RC-Tank-Car-Vehicle-With-Music-Light-Children-Toy-reviews-p1642136.html,US$27.74,US$1.94,https://www.banggood.com/XJ13-4CH-2_4G-RC-Tank-Car-Vehicle-With-Music-Light-Children-Toy-p-1642136.html?p=JA280216647382201711&custlinkid=1810897
