Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Couple Watches,200362143,RUIWAY Classic Style Watch Elegant Design Couple Watch Girl Watch Steel Steel Fashion Watches,1005003183819980,https://ae01.alicdn.com/kf/Ubd7feea954bc41619fa4d977efd83399u/RUIWAY-Classic-Style-Watch-Elegant-Design-Couple-Watch-Girl-Watch-Steel-Steel-Fashion-Watches.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ubd7feea954bc41619fa4d977efd83399u.jpg,https://ae04.alicdn.com/kf/U40ff6fc780434ca4a2f28c108e53ffa04.jpg,https://ae04.alicdn.com/kf/U4f9562de66e24c66b31143fc33401bdax.jpg,https://ae04.alicdn.com/kf/Ue38010c57eec42e1a85dc218e3a6e244j.jpg,https://ae04.alicdn.com/kf/Ud3329819b1c745a0b7e37f893ac06367i.jpg,",https://www.aliexpress.com/item/1005003183819980.html,26.00,9.10,19.00%,,65%,https://s.click.aliexpress.com/e/_9RNbsd
Couple Watches,200362143,BOBO BIRD Couple Wooden Watch Zebra Ebony Men Quartz Wristwatch Lover's Timepiece  часы мужские Dropshipping Free Customize,33044538333,https://ae01.alicdn.com/kf/S5ca91187c88b45bd8f1a8e5850dbdd05H/BOBO-BIRD-Couple-Wooden-Watch-Zebra-Ebony-Men-Quartz-Wristwatch-Lover-s-Timepiece-часы-мужские-Dropshipping.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S5ca91187c88b45bd8f1a8e5850dbdd05H.jpg,https://ae04.alicdn.com/kf/S8e6beb028b304d15b4d26694e7b536bel.jpg,https://ae04.alicdn.com/kf/Sb4e3effa38b74f75904f8a55105cc5018.jpg,https://ae04.alicdn.com/kf/S1c03b3fb999e44a1aaa0b7612be0b6836.jpg,https://ae04.alicdn.com/kf/S347cf8813ba3456390b79e6364febdeam.jpg,",https://www.aliexpress.com/item/33044538333.html,31.99,27.19,10.00%,,15%,https://s.click.aliexpress.com/e/_97GnC9
Couple Watches,200362143,OLEVS Fashion Couple Watch New Waterproof Luminous Simple White Dial Luxury Couple Watch Stainless Steel Strap Weekly Calendar,1005003894545704,https://ae01.alicdn.com/kf/S4164854b0d6c42248d6f3d97bf62821aF/OLEVS-Fashion-Couple-Watch-New-Waterproof-Luminous-Simple-White-Dial-Luxury-Couple-Watch-Stainless-Steel-Strap.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S4164854b0d6c42248d6f3d97bf62821aF.jpg,https://ae04.alicdn.com/kf/Sdf7765884cb447a299c59e2b4d662767p.jpg,https://ae04.alicdn.com/kf/S74e7cbccf7ff4f35a019d152f33308d8j.jpg,https://ae04.alicdn.com/kf/Sec7165475a4e4acda7354afac807042aQ.jpg,https://ae04.alicdn.com/kf/S6b5d55bbb95448a69d2c058604a22736D.jpg,",https://www.aliexpress.com/item/1005003894545704.html,"1,077.50",172.40,8.00%,,84%,https://s.click.aliexpress.com/e/_9Q8Jg9
Couple Watches,200362143,OLEVS 2022 Couple Fashion Casual Ladies Mesh Steel Strap Waterproof Breathable Alloy Case Men's And Women Watch Quartz Watches,1005003949444141,https://ae01.alicdn.com/kf/Sa43cf0c09c2748b7abc8111f800b2df4Y/OLEVS-2022-Couple-Fashion-Casual-Ladies-Mesh-Steel-Strap-Waterproof-Breathable-Alloy-Case-Men-s-And.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa43cf0c09c2748b7abc8111f800b2df4Y.jpg,https://ae04.alicdn.com/kf/Se4553c72195d4ae2b3dafe78bf741159x.jpg,https://ae04.alicdn.com/kf/S1a1f59d034ec47adaaaf02bae51001758.jpg,https://ae04.alicdn.com/kf/Sca635b0f9043411d9e78f300ef53b40du.jpg,https://ae04.alicdn.com/kf/Sc601e630e3a14c9abc01ce44b405d9865.jpg,",https://www.aliexpress.com/item/1005003949444141.html,249.40,49.88,8.00%,,80%,https://s.click.aliexpress.com/e/_ALhobX
Couple Watches,200362143,2022 Couple Watch Handmade Wooden Watch For Men Women Fashion Quartz Wristwatch Valentine's Day Gift Customize Logo,1005003887619764,https://ae01.alicdn.com/kf/S2c37553bb45e4db5869770771a03bf9dQ/2022-Couple-Watch-Handmade-Wooden-Watch-For-Men-Women-Fashion-Quartz-Wristwatch-Valentine-s-Day-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S2c37553bb45e4db5869770771a03bf9dQ.jpg,https://ae04.alicdn.com/kf/Sd4c5f028ca254488945281ca04daae89r.jpg,https://ae04.alicdn.com/kf/S71531def23774dd28c8ab49344238631d.jpg,https://ae04.alicdn.com/kf/S9dfc16973dcd4abca9a941e917d7f84f3.jpg,https://ae04.alicdn.com/kf/S435a72cb5fc243a1914bbc745740b32eb.jpg,",https://www.aliexpress.com/item/1005003887619764.html,64.00,32.00,8.00%,,50%,https://s.click.aliexpress.com/e/_AgdRf3
Couple Watches,200362143,OLEVS New Silver Simple Couple Watch Waterproof Stainless Steel Strap Week Calendar Luminous Trend Fashion Casual Watches 6635,1005003903130026,https://ae01.alicdn.com/kf/Sbc3583549b2447679e5595fc72a12119K/OLEVS-New-Silver-Simple-Couple-Watch-Waterproof-Stainless-Steel-Strap-Week-Calendar-Luminous-Trend-Fashion-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sbc3583549b2447679e5595fc72a12119K.jpg,https://ae04.alicdn.com/kf/Sdbee0d48539d4170ba745cd4dff29d1dW.jpg,https://ae04.alicdn.com/kf/S1e50b2bc725a432390e4b5f0dd71c2c2Q.jpg,https://ae04.alicdn.com/kf/S4d457d5d200b4ea9b96553a2bce1f15bQ.jpg,https://ae04.alicdn.com/kf/S252c7fba39d94dd8af9ea0b2839f2376l.jpg,",https://www.aliexpress.com/item/1005003903130026.html,"1,077.50",172.40,8.00%,,84%,https://s.click.aliexpress.com/e/_A00ynJ
Couple Watches,200362143,New Y68 Lover Smart Bracelets Smart Wristbands Sport Fitness Pedometer Color Screen Walk Step Counter Men Women Children Watches,1005003899105638,https://ae01.alicdn.com/kf/H7973573c526c42a49b1a5029b002d56fU/New-Y68-Lover-Smart-Bracelets-Smart-Wristbands-Sport-Fitness-Pedometer-Color-Screen-Walk-Step-Counter-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7973573c526c42a49b1a5029b002d56fU.jpg,https://ae04.alicdn.com/kf/H2ab894a566ed4cba8af9e55c574be99dY.png,https://ae04.alicdn.com/kf/H4d164ab1ea534760beb86ee70abfdd41J.png,https://ae04.alicdn.com/kf/H653a85bcc9ea4512ace738276050c663q.png,https://ae04.alicdn.com/kf/Hc7ff9dc82a8746c2b27dc08df3b8f73bM.png,",https://www.aliexpress.com/item/1005003899105638.html,3.74,2.99,8.00%,,20%,https://s.click.aliexpress.com/e/_9IVs2H
Couple Watches,200362143,OLEVS Fashion Silver All Steel Couple Watch Luminous Pointer Waterproof Watch 2022 New Three Eyes Weekly Calendar Couple Watches,1005003900055927,https://ae01.alicdn.com/kf/See508c77bb3249c6ad7eddcbeec35ff9j/OLEVS-Fashion-Silver-All-Steel-Couple-Watch-Luminous-Pointer-Waterproof-Watch-2022-New-Three-Eyes-Weekly.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/See508c77bb3249c6ad7eddcbeec35ff9j.jpg,https://ae04.alicdn.com/kf/Sa772bdf53c4c4deb823440fe0a2a50392.jpg,https://ae04.alicdn.com/kf/Saf7c9c2ea5ab4cb69cea830c1e0fd627G.jpg,https://ae04.alicdn.com/kf/Sdc56324c6d4843279ec88215e1235341m.jpg,https://ae04.alicdn.com/kf/Sfdfda705aef5498aaba02759fb386b44L.jpg,",https://www.aliexpress.com/item/1005003900055927.html,890.00,178.00,8.00%,,80%,https://s.click.aliexpress.com/e/_AKL5Cz
Couple Watches,200362143,OLEVS 2022 New Couple Business HD Luminous Diamond Double Calendar 30M Waterproof  Stainless Steel Bracelet Quartz Watches 5563,1005003943526094,https://ae01.alicdn.com/kf/S62c613a92eb84a9390cfc97b992702f9F/OLEVS-2022-New-Couple-Business-HD-Luminous-Diamond-Double-Calendar-30M-Waterproof-Stainless-Steel-Bracelet-Quartz.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S62c613a92eb84a9390cfc97b992702f9F.jpg,https://ae04.alicdn.com/kf/S2df3b35db1c343788fdd77d8f24197bdl.jpg,https://ae04.alicdn.com/kf/S4cf2650773c447efbb270ab2a9c49607o.jpg,https://ae04.alicdn.com/kf/S2dd82116f87245d49f8b8a2c26a61243D.jpg,https://ae04.alicdn.com/kf/S6ab99d4867c54d89b67611f2ff082406a.jpg,",https://www.aliexpress.com/item/1005003943526094.html,239.50,47.90,8.00%,,80%,https://s.click.aliexpress.com/e/_AAAeGZ
Couple Watches,200362143,Couple watch leather quartz movement waterproof luminous gentleman elegant lover watches Comfortable Men women clock OLEVS 6898,1005001389918173,https://ae01.alicdn.com/kf/H636ca7406bc34dd1ae740e1d42affaa4g/Couple-watch-leather-quartz-movement-waterproof-luminous-gentleman-elegant-lover-watches-Comfortable-Men-women-clock-OLEVS.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H636ca7406bc34dd1ae740e1d42affaa4g.jpg,https://ae04.alicdn.com/kf/H901d5766d37a455aad203b70475da0dfj.jpg,https://ae04.alicdn.com/kf/Heb73cc9a4abf42be81b3353d671ad966W.jpg,https://ae04.alicdn.com/kf/Hccd08b95cdca4b9fb2e752cfde0e91625.jpg,https://ae04.alicdn.com/kf/H6a9d30b5ecac473683d2d166155a4972s.jpg,",https://www.aliexpress.com/item/1005001389918173.html,50.60,25.30,20.00%,,50%,https://s.click.aliexpress.com/e/_Aei0JX
Couple Watches,200362143,New Fashion Men's Women's Sport LED Dashboard Pattern Dial Digital Wrist Watch Gift Digital LED Sports Watch Gifts for Men Women,1005003948749979,https://ae01.alicdn.com/kf/Sb74d73762e05491f9a251b42ba9087e04/New-Fashion-Men-s-Women-s-Sport-LED-Dashboard-Pattern-Dial-Digital-Wrist-Watch-Gift-Digital.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sb74d73762e05491f9a251b42ba9087e04.jpg,https://ae04.alicdn.com/kf/S89409e8674d44671a168fefd78f053836.jpg,https://ae04.alicdn.com/kf/Sd54f485de93c4e3398b6943025d2b3a4R.jpg,https://ae04.alicdn.com/kf/Sa767011d561541c3948796be1d5c604ec.jpg,https://ae04.alicdn.com/kf/S46eb09ae94424c2a81a22d409f0fc16be.jpg,",https://www.aliexpress.com/item/1005003948749979.html,9.99,5.19,8.00%,,48%,https://s.click.aliexpress.com/e/_A1IJE1
Couple Watches,200362143,Lovers Watches Digital Wristwatch 2022 Luxury Brand Fashion Casual Couple Watch For Men Women Clock Waterproof Relogio Feminino,1005003945459571,https://ae01.alicdn.com/kf/Sa66ea89460284bcfad7b92015c870c7cu/Lovers-Watches-Digital-Wristwatch-2022-Luxury-Brand-Fashion-Casual-Couple-Watch-For-Men-Women-Clock-Waterproof.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa66ea89460284bcfad7b92015c870c7cu.jpg,https://ae04.alicdn.com/kf/S26977f0056af4e838dbb2cb73effee0eZ.jpg,https://ae04.alicdn.com/kf/S2a2c1be15c89447c9f0780778ed81b27T.jpg,https://ae04.alicdn.com/kf/S640f57874cbf466dbb6585a0e285738ff.jpg,https://ae04.alicdn.com/kf/Seead808f308b4bdb8bfd6ced65d9b558x.jpg,",https://www.aliexpress.com/item/1005003945459571.html,21.53,10.76,8.00%,,50%,https://s.click.aliexpress.com/e/_AXy0pL
