Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Watches,200362145,NAVIFORCE Luxury Brand Diamonds Watches for Women Fashion Elegant Gold Ladies Quartz Wristwatch Stainless Steel Waterproof Clock,1005002605006925,https://ae01.alicdn.com/kf/H8bb4aa7beefe42a2be7d72f59f0e8d92h/NAVIFORCE-Luxury-Brand-Diamonds-Watches-for-Women-Fashion-Elegant-Gold-Ladies-Quartz-Wristwatch-Stainless-Steel-Waterproof.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8bb4aa7beefe42a2be7d72f59f0e8d92h.jpg,https://ae04.alicdn.com/kf/Hb1e9501b7738430585e7621570820fb7p.jpg,https://ae04.alicdn.com/kf/H44277b6bdbe64e259eabbffa322aaf95H.jpg,https://ae04.alicdn.com/kf/H119bceed0df44716a118516bd2b33578I.jpg,https://ae04.alicdn.com/kf/H44f5c9f78d894c8c9aa9e6cd73c52468N.jpg,",https://www.aliexpress.com/item/1005002605006925.html,35.98,17.99,8.00%,,50%,https://s.click.aliexpress.com/e/_9upLuH
Women's Watches,200362145,NAVIFORCE Luxury Brand Women Watches Fashion Casual Ladies Wristwatch Female Waterproof Clock Girls Gifts Relogio Feminino 2020,4001290907047,https://ae01.alicdn.com/kf/H4348e28ac9c2470da178d08841b4d20dn/NAVIFORCE-Luxury-Brand-Women-Watches-Fashion-Casual-Ladies-Wristwatch-Female-Waterproof-Clock-Girls-Gifts-Relogio-Feminino.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4348e28ac9c2470da178d08841b4d20dn.jpg,https://ae04.alicdn.com/kf/H72940489e829486fbc01691543a48023S.jpg,https://ae04.alicdn.com/kf/He7f4638266014411810df88f00005b4bG.jpg,https://ae04.alicdn.com/kf/Hbcb71453b3e344ee82c057fb02f93062k.jpg,https://ae04.alicdn.com/kf/H06652bfa5c204b768006a7b8f9875b58U.jpg,",https://www.aliexpress.com/item/4001290907047.html,37.98,18.99,8.00%,,50%,https://s.click.aliexpress.com/e/_ABiXb3
Women's Watches,200362145,NAVIFORCE Womens Watches Ladies Business Casual Quartz Wristwatch Waterproof Stainless steel Luxury Clock Girls Relogio Feminino,4000395719181,https://ae01.alicdn.com/kf/H18f59843f98f4e25a4abd57e8e061b26W/NAVIFORCE-Womens-Watches-Ladies-Business-Casual-Quartz-Wristwatch-Waterproof-Stainless-steel-Luxury-Clock-Girls-Relogio-Feminino.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H18f59843f98f4e25a4abd57e8e061b26W.jpg,https://ae04.alicdn.com/kf/Hf3d79e459f654f5482c62d7fbbe928321.jpg,https://ae04.alicdn.com/kf/H4c15d30d9d5c439ab32cc0bf9e87b57bW.jpg,https://ae04.alicdn.com/kf/Hb93227731f3b4804b1614540abbd527fr.jpg,https://ae04.alicdn.com/kf/H73e42cd610874e47b572aa037a048696G.jpg,",https://www.aliexpress.com/item/4000395719181.html,35.98,15.47,8.00%,,57%,https://s.click.aliexpress.com/e/_AmUlW1
Women's Watches,200362145,NAVIFORCE Top Brand Luxury Women’s Watches Fashion Business Waterproof Stainless Steel Quartz Clock Girl Watch Relogio Feminino,1005002701697285,https://ae01.alicdn.com/kf/Hae248e99b77141b984de62b1237a824dN/NAVIFORCE-Top-Brand-Luxury-Women-s-Watches-Fashion-Business-Waterproof-Stainless-Steel-Quartz-Clock-Girl-Watch.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae248e99b77141b984de62b1237a824dN.jpg,https://ae04.alicdn.com/kf/H8db89b4e281642c4a2dd9074efe674a9w.jpg,https://ae04.alicdn.com/kf/H0ec53c16c77642de862fecb43d9809f4a.jpg,https://ae04.alicdn.com/kf/H46b6164805eb44f280a493f2cbb1c8e2c.jpg,https://ae04.alicdn.com/kf/H1aa9d0ec66b64af18ff740cb59e060a4q.jpg,",https://www.aliexpress.com/item/1005002701697285.html,35.98,17.99,8.00%,,50%,https://s.click.aliexpress.com/e/_9QrcRf
Women's Watches,200362145,2021 NAVIFORCE Women Luxury Brand Watch Casual Fashion With Diamonds Quartz Waterproof Stainless Steel Ladies Clock Wrist Watch,1005002687353134,https://ae01.alicdn.com/kf/H2b92feaeefd6429a834d8e2677a742c8H/2021-NAVIFORCE-Women-Luxury-Brand-Watch-Casual-Fashion-With-Diamonds-Quartz-Waterproof-Stainless-Steel-Ladies-Clock.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2b92feaeefd6429a834d8e2677a742c8H.jpg,https://ae04.alicdn.com/kf/Hc1b50bc9aa7846d4a04d60d08441275eg.jpg,https://ae04.alicdn.com/kf/H8ad63f98901c406ea32afd1ce9a986a24.jpg,https://ae04.alicdn.com/kf/H0a6639f6ce1246a08a10fb6b11b31b4fN.jpg,https://ae04.alicdn.com/kf/Hca0c7f700179459985050f7c2f213be06.jpg,",https://www.aliexpress.com/item/1005002687353134.html,37.98,18.99,8.00%,,50%,https://s.click.aliexpress.com/e/_ALLL2Z
Women's Watches,200362145,Direct Selling 2021 NAVIFORCE Best New Women's Watch Fashion Elegant Of Butterfly Graphics With Diamonds Quartz  Ladies Watches,1005002672330317,https://ae01.alicdn.com/kf/H6429e0387f984ab499a6f209c4807ca7k/Direct-Selling-2021-NAVIFORCE-Best-New-Women-s-Watch-Fashion-Elegant-Of-Butterfly-Graphics-With-Diamonds.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6429e0387f984ab499a6f209c4807ca7k.jpg,https://ae04.alicdn.com/kf/H802f82a56e444ce98c3fceab4342709ak.jpg,https://ae04.alicdn.com/kf/Hdaeb11e968a541148ad5aa3d0a6929aem.jpg,https://ae04.alicdn.com/kf/H7eccf732be654f838e0ce5de1aef63f2w.jpg,https://ae04.alicdn.com/kf/H47652d4f135a4d3abfabe26ef37329b52.jpg,",https://www.aliexpress.com/item/1005002672330317.html,35.98,17.99,8.00%,,50%,https://s.click.aliexpress.com/e/_9hPH5X
Women's Watches,200362145,2020 New NAVIFORCE Fashion Elegant Ladies Watches Luxury Brand Quartz Wrist watch for Women Waterproof Leather Band Girls Clock,1005001667101380,https://ae01.alicdn.com/kf/H2c4bdaad39de4fd8a70f323f093294ecx/2020-New-NAVIFORCE-Fashion-Elegant-Ladies-Watches-Luxury-Brand-Quartz-Wrist-watch-for-Women-Waterproof-Leather.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2c4bdaad39de4fd8a70f323f093294ecx.jpg,https://ae04.alicdn.com/kf/H329b41d13de6433a922d744f533f4f662.jpg,https://ae04.alicdn.com/kf/H8afbfcea65a842bba732a29aef6a2110R.jpg,https://ae04.alicdn.com/kf/Hd5ec21ca5fcd4f26bc86b42b2a66c0e45.jpg,https://ae04.alicdn.com/kf/H0218aa3a83dc41b99785d5f2799b2c960.jpg,",https://www.aliexpress.com/item/1005001667101380.html,41.38,20.69,8.00%,,50%,https://s.click.aliexpress.com/e/_Afcn1R
Women's Watches,200362145,NAVIFORCE Luxury Brand Rose Gold Women's Watches Elegant Charming Ladies Quartz Wristwatch Waterproof Clock Girls Bracelet Gifts,1005002333533320,https://ae01.alicdn.com/kf/H2b7d9fbba36540cdbd2acf89f97169e8M/NAVIFORCE-Luxury-Brand-Rose-Gold-Women-s-Watches-Elegant-Charming-Ladies-Quartz-Wristwatch-Waterproof-Clock-Girls.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2b7d9fbba36540cdbd2acf89f97169e8M.jpg,https://ae04.alicdn.com/kf/H4603c16ba94847b3ac01d92cf65ce445c.jpg,https://ae04.alicdn.com/kf/Hf7650612d283471e9baf443c747920148.jpg,https://ae04.alicdn.com/kf/H7f16a40d7000408a9e1b2c5f89c46f30z.jpg,https://ae04.alicdn.com/kf/H01e1f2474588479591ffb31a19e57508n.jpg,",https://www.aliexpress.com/item/1005002333533320.html,199.90,19.99,8.00%,,90%,https://s.click.aliexpress.com/e/_ABCZUz
Women's Watches,200362145,NAVIFORCE Women Luxury Brand Gold Watches Fashion Elegant Ladies Quartz Wristwatch Creative Diamonds watch Waterproof Clock 2021,1005001860501111,https://ae01.alicdn.com/kf/Hb1e9501b7738430585e7621570820fb7p/NAVIFORCE-Women-Luxury-Brand-Gold-Watches-Fashion-Elegant-Ladies-Quartz-Wristwatch-Creative-Diamonds-watch-Waterproof-Clock.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb1e9501b7738430585e7621570820fb7p.jpg,https://ae04.alicdn.com/kf/H8bb4aa7beefe42a2be7d72f59f0e8d92h.jpg,https://ae04.alicdn.com/kf/H44277b6bdbe64e259eabbffa322aaf95H.jpg,https://ae04.alicdn.com/kf/H119bceed0df44716a118516bd2b33578I.jpg,https://ae04.alicdn.com/kf/H44f5c9f78d894c8c9aa9e6cd73c52468N.jpg,",https://www.aliexpress.com/item/1005001860501111.html,35.98,17.99,8.00%,,50%,https://s.click.aliexpress.com/e/_AYyWLB
Women's Watches,200362145,Direct Selling NAVIFORCE Best Selling Women’s Watches Waterproof Quartz Calendar Stainless Steel Multifunction Ladies Wristwatch,1005002710855297,https://ae01.alicdn.com/kf/H7284d6e8267d4097a6959603839ce2f37/Direct-Selling-NAVIFORCE-Best-Selling-Women-s-Watches-Waterproof-Quartz-Calendar-Stainless-Steel-Multifunction-Ladies-Wristwatch.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7284d6e8267d4097a6959603839ce2f37.jpg,https://ae04.alicdn.com/kf/Hbabf47e5594f4a5f91434108a357ea11l.jpg,https://ae04.alicdn.com/kf/H734f12b250ba4a0987df8c236d5f4c75u.jpg,https://ae04.alicdn.com/kf/H626476a8a0d6414c88851832e1c46631r.jpg,https://ae04.alicdn.com/kf/H44e73bd3479a4286b8e9cd317e90635dO.jpg,",https://www.aliexpress.com/item/1005002710855297.html,39.98,19.99,8.00%,,50%,https://s.click.aliexpress.com/e/_AluoEl
