Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hair Care & Styling,200001168,Airwrap Styler 5 In1 Electric Blow Dryer Comb Hair Curling Wand Detachable Brush Hair Kit Negative Ion Hair Curler Straightener,1005002375824411,https://ae01.alicdn.com/kf/H7d49d974eff540b081331b868c28c59fT/Airwrap-Styler-5-In1-Electric-Blow-Dryer-Comb-Hair-Curling-Wand-Detachable-Brush-Hair-Kit-Negative.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7d49d974eff540b081331b868c28c59fT.jpg,https://ae04.alicdn.com/kf/Hce1339ad1cf149fda145fa10282570d3O.png,https://ae04.alicdn.com/kf/Hfc23cec7128c41e295622c8e37866f640.jpg,https://ae04.alicdn.com/kf/H7944ed06fa204a59902964279e954587T.jpg,https://ae04.alicdn.com/kf/H4f24359959c242ebaff6700c28c921674.jpg,",https://www.aliexpress.com/item/1005002375824411.html,105.00,52.50,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_APOQbw
Hair Care & Styling,200001168,Automatic Hair Braider Electric Twist Braider Styling Braiding Machine Quick Braid Tool Hair Styling Tool,1005002400409392,https://ae01.alicdn.com/kf/H488e938210da4433acc1d1869952f0baq/Automatic-Hair-Braider-Electric-Twist-Braider-Styling-Braiding-Machine-Quick-Braid-Tool-Hair-Styling-Tool.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H488e938210da4433acc1d1869952f0baq.jpg,https://ae04.alicdn.com/kf/H636fbb3f167146a6aaa1c49b2e7f005dL.jpg,https://ae04.alicdn.com/kf/H62fb0dfff2c940b3954751c612b06e0bU.jpg,https://ae04.alicdn.com/kf/H2269b19432de4de489e1f04986aa0814S.jpg,https://ae04.alicdn.com/kf/H9dbae9b1176c4d8fadd9d6fb59927220R.jpg,",https://www.aliexpress.com/item/1005002400409392.html,9.95,9.75,40.00%,2098-12-31,2%,https://s.click.aliexpress.com/e/_ApxivO
Hair Care & Styling,200001168,Silicone Cutting Collar Hair Dyeing Shawls Short Cutting Collar Home Salon Hairdressing Cape Neck Wrap Guard Hair Cutting Pad,1005002343281472,https://ae01.alicdn.com/kf/H5a3fcb8bccaa413fa784b120ab70fdf3C/Silicone-Cutting-Collar-Hair-Dyeing-Shawls-Short-Cutting-Collar-Home-Salon-Hairdressing-Cape-Neck-Wrap-Guard.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5a3fcb8bccaa413fa784b120ab70fdf3C.jpg,https://ae04.alicdn.com/kf/H094bf8fbfdeb45c189f53c9ade6a2737M.jpg,https://ae04.alicdn.com/kf/Hc5f6486fc11c457487abe3d737588f56D.jpg,https://ae04.alicdn.com/kf/Hbaee017c1122416ba3ed0f9219bf7272Z.jpg,https://ae04.alicdn.com/kf/H3063f9cf28ec4aeebb5d6ad9ac3c8dbdq.jpg,",https://www.aliexpress.com/item/1005002343281472.html,19.78,9.89,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AOjaVW
Hair Care & Styling,200001168,1pc Professional Styling Salon Cape Barbershop Hair Cutting Apron (Purple),1005002284468664,https://ae01.alicdn.com/kf/H45edbd31d53e492c92b3e420c9a5b5des/1pc-Professional-Styling-Salon-Cape-Barbershop-Hair-Cutting-Apron-Purple-.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H45edbd31d53e492c92b3e420c9a5b5des.jpg,https://ae04.alicdn.com/kf/H10977eccb76347edb23fe99d39d53a87n.jpg,https://ae04.alicdn.com/kf/Hc4008c5be69b4a2ba136ef607d098ee7Q.jpg,https://ae04.alicdn.com/kf/H55cbac99f8de410db102de1da7004bbdP.jpg,https://ae04.alicdn.com/kf/H29989d9767ee475dbbc159ba0fd07659P.jpg,",https://www.aliexpress.com/item/1005002284468664.html,7.08,3.54,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9ABIdq
Hair Care & Styling,200001168,BIOAQUA Ginger Extract Hair Conditioner Moisturizing Hair Growth Repair Damage Hair Treatment Scalp Care 250g JOMTAM,1005002159268417,https://ae01.alicdn.com/kf/H8591ab52bfcd4fe8ab5a7366a6ec2d4db/BIOAQUA-Ginger-Extract-Hair-Conditioner-Moisturizing-Hair-Growth-Repair-Damage-Hair-Treatment-Scalp-Care-250g-JOMTAM.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8591ab52bfcd4fe8ab5a7366a6ec2d4db.jpg,https://ae04.alicdn.com/kf/H42c10fc0eb8d4667bcd4817650dbf671e.png,https://ae04.alicdn.com/kf/Ha9100bd4941341daa6275b6ffc7c83598.jpg,https://ae04.alicdn.com/kf/Hc3b0893d7db842a39f20207f8eb11b2cU.jpg,https://ae04.alicdn.com/kf/H5ce6ca3233604cf59f1552e7f46332d8W.jpg,",https://www.aliexpress.com/item/1005002159268417.html,12.00,6.00,15.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AVUXEG
Hair Care & Styling,200001168,BIOAQUA Ginger Extract Hair Masks Conditioner Moisturizing Hair Growth Repair Damage Hair Treatment Wig Care 400g JOMTAM,1005002159238186,https://ae01.alicdn.com/kf/H70e2ca3bc3284fdd946e3009e1327213v/BIOAQUA-Ginger-Extract-Hair-Masks-Conditioner-Moisturizing-Hair-Growth-Repair-Damage-Hair-Treatment-Wig-Care-400g.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H70e2ca3bc3284fdd946e3009e1327213v.jpg,https://ae04.alicdn.com/kf/Ha2923f3b8dc646c7a4aa6470726731c5p.jpg,https://ae04.alicdn.com/kf/H4fcbdcb53be54b859e64de116451f382U.png,https://ae04.alicdn.com/kf/H8f197c58482d4b66b67369f8449efa3dj.jpg,https://ae04.alicdn.com/kf/H0e27fce982aa490e856cb40d75b18a14f.jpg,",https://www.aliexpress.com/item/1005002159238186.html,13.00,6.50,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AppHNE
Hair Care & Styling,200001168,3 Barrels Hair Curling Iron Automatic Perm Splint Ceramic Hair Curler Professional Hair Waver Styling Tools Hair Styler Wand GH2,1005002400036965,https://ae01.alicdn.com/kf/H52b72d6477704412bef1b7a47b241822P/3-Barrels-Hair-Curling-Iron-Automatic-Perm-Splint-Ceramic-Hair-Curler-Professional-Hair-Waver-Styling-Tools.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H52b72d6477704412bef1b7a47b241822P.jpg,https://ae04.alicdn.com/kf/Hb408ac401e2445cfa3e58b8316b145cb1.jpg,https://ae04.alicdn.com/kf/Hec39e2bca86646fdb55a6970ec4c5ff0C.jpg,https://ae04.alicdn.com/kf/H18c5c15189b44082a4721debbe66b634m.jpg,https://ae04.alicdn.com/kf/H7ff1afa980274f1cac6057ec9a15a8c6M.jpg,",https://www.aliexpress.com/item/1005002400036965.html,59.07,29.54,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AWoUXE
Hair Care & Styling,200001168,1Pc Silicone Haircut Cape Waterproof Wai Cloth Hair Stylist Gown Apron Barber Accessories (Blue),1005002359302079,https://ae01.alicdn.com/kf/H40112bfe2893486e8fab2ecc258984d8s/1Pc-Silicone-Haircut-Cape-Waterproof-Wai-Cloth-Hair-Stylist-Gown-Apron-Barber-Accessories-Blue-.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H40112bfe2893486e8fab2ecc258984d8s.jpg,https://ae04.alicdn.com/kf/H6ffa7e07b9e746929975f37ab8e28f0ct.jpg,https://ae04.alicdn.com/kf/Hbffc02d9e52d4004bd245129bd7ad07av.jpg,https://ae04.alicdn.com/kf/Hd0f8239c8e13491199b46a2785fe4a6eO.jpg,https://ae04.alicdn.com/kf/Hc185fc18ba754ee8a37e0e0ec3e21df7z.jpg,",https://www.aliexpress.com/item/1005002359302079.html,17.73,9.22,8.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_AcKXha
Hair Care & Styling,200001168,1Pc Practical Haircut Cape Hair Cutting Cloak Haircut Gown for Barber Shop,1005002316327095,https://ae01.alicdn.com/kf/Hee9c03b1a296420280b4bf298b7c9b7dg/1Pc-Practical-Haircut-Cape-Hair-Cutting-Cloak-Haircut-Gown-for-Barber-Shop.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hee9c03b1a296420280b4bf298b7c9b7dg.jpg,https://ae04.alicdn.com/kf/H4a3a3f63d1e54984b56e59994792c823z.jpg,https://ae04.alicdn.com/kf/H1a0bcdf94b8347a795377940e579245cG.jpg,https://ae04.alicdn.com/kf/Hbb7eee9bcba54dca8bb163cd38d58a16L.jpg,https://ae04.alicdn.com/kf/H1d2c01eb193a43a1a5f0f30d7823917bU.jpg,",https://www.aliexpress.com/item/1005002316327095.html,18.12,8.88,8.00%,2098-12-31,51%,https://s.click.aliexpress.com/e/_A9aFks
Hair Care & Styling,200001168,1Pc Silicone Haircut Cape Waterproof Wai Cloth Hair Stylist Gown Apron Barber Accessories (Blue),1005002342650870,https://ae01.alicdn.com/kf/H9f2ea8f4f4ea40a3a603a67c28fcc04d9/1Pc-Silicone-Haircut-Cape-Waterproof-Wai-Cloth-Hair-Stylist-Gown-Apron-Barber-Accessories-Blue-.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9f2ea8f4f4ea40a3a603a67c28fcc04d9.jpg,https://ae04.alicdn.com/kf/H241aa80d59dd403094766fcfc9cd378aI.jpg,https://ae04.alicdn.com/kf/Hd2614a1b558a4672b92e41a3bbba1e1cX.jpg,https://ae04.alicdn.com/kf/H96d033f88e3745baab7e205fb0842084s.jpg,https://ae04.alicdn.com/kf/H1f85eb96af4249b0a5f09ef8434ea6fa2.jpg,",https://www.aliexpress.com/item/1005002342650870.html,17.73,8.33,8.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_AFkmqo
