Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Beauty Supply,200317142,Middle Part Peruvian Kinky Straight Lace Front Human Hair Wigs 13x1 Lace Frontal Wigs 28 inches Remy Hair Wig 180% Density,1005002120868538,https://ae01.alicdn.com/kf/Hae950194a6d248aba0f3260d613cc605F/Middle-Part-Peruvian-Kinky-Straight-Lace-Front-Human-Hair-Wigs-13x1-Lace-Frontal-Wigs-28-inches.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae950194a6d248aba0f3260d613cc605F.jpg,https://ae04.alicdn.com/kf/H5e7c76a56ff842bfb1cf6e88ce7f3ebew.jpg,https://ae04.alicdn.com/kf/H5673c1c1067f4dfe89aa1aee3c9765ce1.jpg,https://ae04.alicdn.com/kf/H7ebff6f054d54ab8820bb01b6f3170bbz.jpg,https://ae04.alicdn.com/kf/U0e4548f137ad427794ef5f531a53fe77F.jpg,",https://www.aliexpress.com/item/1005002120868538.html,120.00,52.80,9.00%,2098-12-31,56%,https://s.click.aliexpress.com/e/_9vlOfE
Beauty Supply,200317142,Kinky Curly Hair Weaves 613 Blonde Human Hair Bundles 1/3/4 Brazilian Remy Hair Extension 30 32 Inch Honey Blonde Bundles Deal,4001200318823,https://ae01.alicdn.com/kf/Hd323b3dd3beb4d3d9fca1e55eb187ba8O/Kinky-Curly-Hair-Weaves-613-Blonde-Human-Hair-Bundles-1-3-4-Brazilian-Remy-Hair-Extension.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd323b3dd3beb4d3d9fca1e55eb187ba8O.jpg,https://ae04.alicdn.com/kf/H2ac18ec59b4c454b8ef5199dcf0c06645.jpg,https://ae04.alicdn.com/kf/Hadd3ec2e5c754b2bb4cd1c72c4d3f8b0N.jpg,https://ae04.alicdn.com/kf/H703bae2654344c34b9ef338d6bde630dG.jpg,https://ae04.alicdn.com/kf/H5d09e0ecc7784b29b40a3644a55d8667N.jpg,",https://www.aliexpress.com/item/4001200318823.html,36.00,12.60,8.00%,2098-12-31,65%,https://s.click.aliexpress.com/e/_An0oMG
Beauty Supply,200317142,Black Pearl Straight Bundles With Closure Remy 30 inch Human Hair 3 Bundles With Closure Peruvian Hair Bundles With Closure,32839753725,https://ae01.alicdn.com/kf/H9a7e3098376945b1be14fb353e1f69b9P/Black-Pearl-Straight-Bundles-With-Closure-Remy-30-inch-Human-Hair-3-Bundles-With-Closure-Peruvian.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9a7e3098376945b1be14fb353e1f69b9P.jpg,https://ae04.alicdn.com/kf/H6bebed5c081244c783a73b4d5165f15dG.jpg,https://ae04.alicdn.com/kf/H48342c95b6d94ac99b18935f76aca83at.jpg,https://ae04.alicdn.com/kf/Hf39a1c7ded6a4722b62384cf05271d278.jpg,https://ae04.alicdn.com/kf/H193c5384ecb34e028795c462d397cbcfp.jpg,",https://www.aliexpress.com/item/32839753725.html,86.83,49.49,8.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_ATcITE
Beauty Supply,200317142,Black Pearl Pre-Colored 3 Bundles with Closure Straight Human Hair Bundles with Closure Brazilian Hair Weave Bundles Remy Hair,32841062069,https://ae01.alicdn.com/kf/Hbaa2c582cc4f49c1952c3d47c5792bcdt/Black-Pearl-Pre-Colored-3-Bundles-with-Closure-Straight-Human-Hair-Bundles-with-Closure-Brazilian-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbaa2c582cc4f49c1952c3d47c5792bcdt.jpg,https://ae04.alicdn.com/kf/Hf62eca9326c742ccbe43145f26ae98a2Q.jpg,https://ae04.alicdn.com/kf/Hd53a0fe061fe48668762f6e6c225af23A.jpg,https://ae04.alicdn.com/kf/H15cd55ded3b7470ca4c24aaca2e3905ae.jpg,https://ae04.alicdn.com/kf/H3021fa240b5f492d98b138af94197085G.jpg,",https://www.aliexpress.com/item/32841062069.html,75.81,43.21,8.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_9763W8
Beauty Supply,200317142,Midddle Part Body Wave Lace Front Wig For Women Peruvian Remy Human Hair Wig Pre Plucked With Baby Hair 13*1 T Part Lace Wig,1005002355645498,https://ae01.alicdn.com/kf/Hb1d63c5e88994c14878db8a0ce6fc3cf3/Midddle-Part-Body-Wave-Lace-Front-Wig-For-Women-Peruvian-Remy-Human-Hair-Wig-Pre-Plucked.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb1d63c5e88994c14878db8a0ce6fc3cf3.jpg,https://ae04.alicdn.com/kf/Hc19ac69066cb4c1ba4bb6cfe71430ffcE.jpg,https://ae04.alicdn.com/kf/H6370a37e58b744a1aeb128e9042ae0b6i.jpg,https://ae04.alicdn.com/kf/H8a7e9091101a4702b48c6886d36b20889.jpg,https://ae04.alicdn.com/kf/H766846b02cc24655808c594b3c544b1bG.jpg,",https://www.aliexpress.com/item/1005002355645498.html,120.00,40.80,12.00%,2098-12-31,66%,https://s.click.aliexpress.com/e/_9Rzd4s
Beauty Supply,200317142,Peruvian Body Wave Hair Weave Bundles Wholesale Hair Bundles Human Hair Extensions Color 1B/4/27 Blonde Ombre Hair Bundles,1005001899071381,https://ae01.alicdn.com/kf/Hd3b9dbf9fb674543a5a3f6e57402109fb/Peruvian-Body-Wave-Hair-Weave-Bundles-Wholesale-Hair-Bundles-Human-Hair-Extensions-Color-1B-4-27.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd3b9dbf9fb674543a5a3f6e57402109fb.jpg,https://ae04.alicdn.com/kf/Ha922495863a04fb7850917b282c0a69ei.jpg,https://ae04.alicdn.com/kf/Hd6e93460da1d42b1868e3f399c22a33dv.jpg,https://ae04.alicdn.com/kf/H0021ed2d5aa94e77a4cb4f2d6bc47e0ck.jpg,https://ae04.alicdn.com/kf/He6c6e2e5c0c2436d8ef648a241cf1a4bs.jpg,",https://www.aliexpress.com/item/1005001899071381.html,26.00,13.00,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ASsveG
Beauty Supply,200317142,10A Grade Human Hair Peruvian Kinky Curly Bundle Lucky Lady Top  Quality Women Hair Bundles Deep Curly Bundles Remy 8-30 Inches,1005001914572798,https://ae01.alicdn.com/kf/He001687be4054b16b3d6cdf7c35e5972u/10A-Grade-Human-Hair-Peruvian-Kinky-Curly-Bundle-Lucky-Lady-Top-Quality-Women-Hair-Bundles-Deep.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He001687be4054b16b3d6cdf7c35e5972u.jpg,https://ae04.alicdn.com/kf/H331195abd11c4d8a81179e53eab90192x.jpg,https://ae04.alicdn.com/kf/H31df47c433b84384bb7d6e86c8cbee16G.jpg,https://ae04.alicdn.com/kf/Hec446317052441c08004d79d4f01e37aZ.jpg,https://ae04.alicdn.com/kf/H8ed967ea60a8401d86ced0c8df74d43cO.jpg,",https://www.aliexpress.com/item/1005001914572798.html,52.54,21.02,11.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_9Rmv9a
Beauty Supply,200317142,straight bundles human hair Brazilian Hair Extensions Black Women Double Wefts Remy Natural color ALEESA,1005002392544000,https://ae01.alicdn.com/kf/Heb3ba03aad2d4eb09d2c8b87c654b9d2D/straight-bundles-human-hair-Brazilian-Hair-Extensions-Black-Women-Double-Wefts-Remy-Natural-color-ALEESA.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Heb3ba03aad2d4eb09d2c8b87c654b9d2D.jpg,https://ae04.alicdn.com/kf/H7a5523572d094fbc9c12e44446ba85d2r.jpg,https://ae04.alicdn.com/kf/H296aa028b2bb47ab985da6bb93c2bd1bH.jpg,https://ae04.alicdn.com/kf/Hbca58aaf958c41a794775b2b65f3c9bc2.jpg,https://ae04.alicdn.com/kf/Ha95d2be27d604e09b67f69d8ed6ac7e7D.jpg,",https://www.aliexpress.com/item/1005002392544000.html,20.30,16.24,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AM3pzw
Beauty Supply,200317142,LEVITA Wholesale Bone Straight Lace Front Wig Pre Plucked Brazilian Lace Human Hair Wigs For Women Cheap 4x4 Lace Closure Wig,1005002361957925,https://ae01.alicdn.com/kf/H0c29992026644228957ec515110f52c8Y/LEVITA-Wholesale-Bone-Straight-Lace-Front-Wig-Pre-Plucked-Brazilian-Lace-Human-Hair-Wigs-For-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0c29992026644228957ec515110f52c8Y.jpg,https://ae04.alicdn.com/kf/H117a8f8598e644f88667f027c870e1f5s.jpg,https://ae04.alicdn.com/kf/Hf5ad962abc3049de92b916b30b865ab20.jpg,https://ae04.alicdn.com/kf/H8eae98bd3b6b40dcad338757d1111d642.jpg,https://ae04.alicdn.com/kf/He40a806a8ecc4439abc9f2493bab8056O.jpg,",https://www.aliexpress.com/item/1005002361957925.html,87.20,47.96,8.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9iLuFw
Beauty Supply,200317142,Wignee Natural Wave Human Hair Wigs With Baby Hair For Black/White Women 150% High Density Pre-plucked Hairline Lace Human Wigs,4000385533446,https://ae01.alicdn.com/kf/H817fbd6d84ed439a82402a60d10d894fz/Wignee-Natural-Wave-Human-Hair-Wigs-With-Baby-Hair-For-Black-White-Women-150-High-Density.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H817fbd6d84ed439a82402a60d10d894fz.jpg,https://ae04.alicdn.com/kf/Ha9f97117e14949a28055eef3466c012e3.jpg,https://ae04.alicdn.com/kf/Hc23b40b4eba54cf8beb7b21ca365fb4fL.jpg,https://ae04.alicdn.com/kf/H6a7409d67b2c4edc8abfdde3b189a254m.jpg,https://ae04.alicdn.com/kf/H9a6d7f8e538a43758f1f450a7e2a990ct.jpg,",https://www.aliexpress.com/item/4000385533446.html,87.99,47.51,9.50%,2098-12-31,46%,https://s.click.aliexpress.com/e/_ACAZJW
