Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hair Tools & Accessories,201303603,"9.06oz /268ml American ECO Styling Hair Eco Style Gel, Olive Oil",1005002398103934,https://ae01.alicdn.com/kf/Ha149004f140c4567a5ff4de5d0883cfcG/9-06oz-268ml-American-ECO-Styling-Hair-Eco-Style-Gel-Olive-Oil.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha149004f140c4567a5ff4de5d0883cfcG.jpg,https://ae04.alicdn.com/kf/H761be5ed6505486d8b8e4efc1027c306A.jpg,",https://www.aliexpress.com/item/1005002398103934.html,22.37,15.66,8.50%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9Jil92
Hair Tools & Accessories,201303603,Alileader Dropshing Hairnets For Packing Hair Extensions Black Elastic Nylon Hair Net For Wigs Weaving Dancing Hairnet For Bun,1005002393915383,https://ae01.alicdn.com/kf/He53f8e53bc254a9c885ce4f80c1c1b2cL/Alileader-Dropshing-Hairnets-For-Packing-Hair-Extensions-Black-Elastic-Nylon-Hair-Net-For-Wigs-Weaving-Dancing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He53f8e53bc254a9c885ce4f80c1c1b2cL.jpg,https://ae04.alicdn.com/kf/H8754cfbe6aa74a22ae44919b3e642fb5T.jpg,https://ae04.alicdn.com/kf/Ha9342c4b292b4c1f859144077545e414c.jpg,https://ae04.alicdn.com/kf/Hbd3b1ff370b740588816793f2c21efddI.jpg,https://ae04.alicdn.com/kf/Hc498c0700b114f7caba532c4434db0a2V.jpg,",https://www.aliexpress.com/item/1005002393915383.html,2.84,1.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A4ITQk
Hair Tools & Accessories,201303603,Nude Color Body Facial Liquid Highlighter Foundation Concealer To Legs Body Foundation Makeup Base,1005002398621016,https://ae01.alicdn.com/kf/Hcb56e0e40e414cadb84d6ca668be4d4aG/Nude-Color-Body-Facial-Liquid-Highlighter-Foundation-Concealer-To-Legs-Body-Foundation-Makeup-Base.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcb56e0e40e414cadb84d6ca668be4d4aG.jpg,https://ae04.alicdn.com/kf/Hf362076f37ab4fd3904170687bd419c4Q.jpg,https://ae04.alicdn.com/kf/H915a51bc0d354233a4ce52b1f41eee3bn.jpg,https://ae04.alicdn.com/kf/H43e47bbed15f475abb349a2e63a7854aP.jpg,",https://www.aliexpress.com/item/1005002398621016.html,19.37,13.56,8.50%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AAURqM
Hair Tools & Accessories,201303603,Alileader Glueless Wig Caps For Making Wigs Dome Mesh Cap Stretchable Elastic Weaving Cap Hairnets Black Beige Spandex Dome Cap,1005002364661397,https://ae01.alicdn.com/kf/Hf249a9cec4234d68b856dc668cafcd000/Alileader-Glueless-Wig-Caps-For-Making-Wigs-Dome-Mesh-Cap-Stretchable-Elastic-Weaving-Cap-Hairnets-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf249a9cec4234d68b856dc668cafcd000.jpg,https://ae04.alicdn.com/kf/H277f79dc0ff84d66b068a8cf3688d063Z.jpg,https://ae04.alicdn.com/kf/HTB1mKenU4TpK1RjSZFKq6y2wXXaO.jpg,https://ae04.alicdn.com/kf/H2b23400d964e47e9bc91398ccc9d95c7V.jpg,https://ae04.alicdn.com/kf/Hb1f493bf145f4f11b8122853fd7fcb61e.jpg,",https://www.aliexpress.com/item/1005002364661397.html,11.41,7.99,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AeZLtK
Hair Tools & Accessories,201303603,Mannequin Head Salon 100% Real Hair Natural Black Hair Training Hairdressing Practice Cosmetology In Mannequins Model Dummy Head,32899916756,https://ae01.alicdn.com/kf/HTB1ICEIX._rK1Rjy0Fcq6zEvVXaZ/Mannequin-Head-Salon-100-Real-Hair-Natural-Black-Hair-Training-Hairdressing-Practice-Cosmetology-In-Mannequins-Model.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1ICEIX._rK1Rjy0Fcq6zEvVXaZ.jpg,https://ae04.alicdn.com/kf/H77f747de79e4438faef75254d801382dE.jpg,https://ae04.alicdn.com/kf/H36cedeedae204378b707249cdf170434f.jpg,https://ae04.alicdn.com/kf/Hf0db470cfece4dae8583e4a0bfbd99a9O.jpg,https://ae04.alicdn.com/kf/Hbb4a12932d94495a9111b5b6aed7d804J.jpg,",https://www.aliexpress.com/item/32899916756.html,32.70,25.83,8.00%,2098-12-31,21%,https://s.click.aliexpress.com/e/_A19h64
Hair Tools & Accessories,201303603,High quality Fashion Girls Women Ballet Dance Skating Snoods Hair Net Bun Cover Black Hair Styling Accessory Dropshipping,33057472249,https://ae01.alicdn.com/kf/HTB1WwKqXUY1gK0jSZFMq6yWcVXae/High-quality-Fashion-Girls-Women-Ballet-Dance-Skating-Snoods-Hair-Net-Bun-Cover-Black-Hair-Styling.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1WwKqXUY1gK0jSZFMq6yWcVXae.jpg,https://ae04.alicdn.com/kf/HTB1.8KpXQT2gK0jSZPcq6AKkpXaJ.jpg,https://ae04.alicdn.com/kf/HTB1oLiqXUz1gK0jSZLeq6z9kVXaT.jpg,https://ae04.alicdn.com/kf/HTB1YAmpXQT2gK0jSZFkq6AIQFXaA.jpg,https://ae04.alicdn.com/kf/HTB18iarXQL0gK0jSZFxq6xWHVXaK.jpg,",https://www.aliexpress.com/item/33057472249.html,0.45,0.29,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AP7v3q
Hair Tools & Accessories,201303603,"28"" 100% High Temperature Firber Colorful Hair Doll Heads Nice Hairdressing Training Head Nice Dummy Hairdresser Mannequin Head",32988704382,https://ae01.alicdn.com/kf/H644afa2baea14dc8bae98f448ecbec2eX/28-100-High-Temperature-Firber-Colorful-Hair-Doll-Heads-Nice-Hairdressing-Training-Head-Nice-Dummy-Hairdresser.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H644afa2baea14dc8bae98f448ecbec2eX.jpg,https://ae04.alicdn.com/kf/H674d952f854743ea8e75339ab132d3eaY.jpg,https://ae04.alicdn.com/kf/HTB1bZxkMMHqK1RjSZFgq6y7JXXae.jpg,https://ae04.alicdn.com/kf/H57a170fcf9a742bd9bda1c55fd86acc98.jpg,https://ae04.alicdn.com/kf/Hc6a6fdeea0cf4968b49770262fb7e944I.jpg,",https://www.aliexpress.com/item/32988704382.html,38.76,22.48,15.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_9AQAhe
Hair Tools & Accessories,201303603,1000pcs 4.0*3.6* 6mm Flare Euro Lock copper tubes Micro Rings links beads for stick I tip hair extensions 3# dark brown,1005002393736962,https://ae01.alicdn.com/kf/He1120f367f2348fc891be9129d5ef91cq/1000pcs-4-0-3-6-6mm-Flare-Euro-Lock-copper-tubes-Micro-Rings-links-beads-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He1120f367f2348fc891be9129d5ef91cq.jpg,https://ae04.alicdn.com/kf/H581993820cdd45f1911812307336bf76B.jpg,https://ae04.alicdn.com/kf/Hbd6a895d3b7340cea58f289771e4c210z.jpg,https://ae04.alicdn.com/kf/Hda55ddeee1af4d6f9ed33131d5516404s.jpg,https://ae04.alicdn.com/kf/Hbee361e615634b3eb30cc66037c9b9feQ.jpg,",https://www.aliexpress.com/item/1005002393736962.html,12.37,11.38,10.00%,2098-12-31,8%,https://s.click.aliexpress.com/e/_AkdBbQ
Hair Tools & Accessories,201303603,Afro Mannequin Heads Hairdresser Training Manikin With 100% Human Hair Cosmetology Hair Manikin Head For Practice Styling Braid,1005002388531759,https://ae01.alicdn.com/kf/H12996e09596147a1acdf97e752ebb5442/Afro-Mannequin-Heads-Hairdresser-Training-Manikin-With-100-Human-Hair-Cosmetology-Hair-Manikin-Head-For-Practice.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12996e09596147a1acdf97e752ebb5442.jpg,https://ae04.alicdn.com/kf/H9b64633c162c4b4cb54710470c5f7b7dn.jpg,https://ae04.alicdn.com/kf/Hfebf30c16dce40658f5afef8a737c1bb5.jpg,https://ae04.alicdn.com/kf/H1149dcc373f2413185fc6b511cdff8ad0.jpg,https://ae04.alicdn.com/kf/Hb034805178b54778a4c6d7a80edd00a2z.jpg,",https://www.aliexpress.com/item/1005002388531759.html,31.56,17.04,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_AXDN4u
Hair Tools & Accessories,201303603,Alileader Bulk Italian Keratin Glue Beads  For Hair Extensions 20/50/100G 100%Italian Italian Keratin Glue Granules Strong Hold,1005002346129790,https://ae01.alicdn.com/kf/H39c20c8beb9c446aad109b29717128bcD/Alileader-Bulk-Italian-Keratin-Glue-Beads-For-Hair-Extensions-20-50-100G-100-Italian-Italian-Keratin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H39c20c8beb9c446aad109b29717128bcD.jpg,https://ae04.alicdn.com/kf/He6970147346140488686d602ada6e02f9.jpg,https://ae04.alicdn.com/kf/H24d9bc5a6d994a60a30608c8e9cbd5a0O.jpg,https://ae04.alicdn.com/kf/H236cdfd0be3448af93c0c968d264f9448.jpg,https://ae04.alicdn.com/kf/H6ccb784528774d0e8ff93507885f3753s.jpg,",https://www.aliexpress.com/item/1005002346129790.html,2.82,1.97,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9IM2iY
Hair Tools & Accessories,201303603,31.5'' Female Mannequin Head With Synthetic Hair Dolls For Hairdressers Mannequin Hairstyles Hairdressing Styling Training Head,1005002356613315,https://ae01.alicdn.com/kf/Hd8a2765a2b1948a1a4d033180d97348f7/31-5-Female-Mannequin-Head-With-Synthetic-Hair-Dolls-For-Hairdressers-Mannequin-Hairstyles-Hairdressing-Styling-Training.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8a2765a2b1948a1a4d033180d97348f7.jpg,https://ae04.alicdn.com/kf/H2e3e938005e841a299e93e19b879aa09f.jpg,https://ae04.alicdn.com/kf/H115a9e8b10464348a72ca3321e2df92ew.jpg,https://ae04.alicdn.com/kf/Hde2bd9fe9adf441e8256ef98b9b10eb2z.jpg,https://ae04.alicdn.com/kf/H6becef848296429eb8bcd54883bd122dj.jpg,",https://www.aliexpress.com/item/1005002356613315.html,20.23,10.92,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_A30ZdS
Hair Tools & Accessories,201303603,6D Hair Extension Comb 6D Hair Extension Buckle 40pcs/lot 6D Hair Extensions device Black Brown Beige Color,1005002377307769,https://ae01.alicdn.com/kf/H94780378f56a4843b1278e56f5bfd8cfF/6D-Hair-Extension-Comb-6D-Hair-Extension-Buckle-40pcs-lot-6D-Hair-Extensions-device-Black-Brown.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H94780378f56a4843b1278e56f5bfd8cfF.jpg,https://ae04.alicdn.com/kf/H449874e46bbb4696936971ec87af0d24b.jpg,https://ae04.alicdn.com/kf/H11bb0e9017624cf3b8172c08dbe94685o.jpg,https://ae04.alicdn.com/kf/Hd3c30076f9684391a66e3dcae97dbc378.jpg,https://ae04.alicdn.com/kf/Hf4127019b68f447ab0cc1937db3dff2b1.jpg,",https://www.aliexpress.com/item/1005002377307769.html,27.90,19.53,8.50%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A9vbuC
