Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Synthetic Hair,200167144,INS FACING Synthetic Chignon Hair for Black Women Kinky Curly Drawstring Hair Bun Extension Dreadlock Ponytails,1005003416854563,https://ae01.alicdn.com/kf/H4a345d150f504405af2e6503f4b6f842B/INS-FACING-Synthetic-Chignon-Hair-for-Black-Women-Kinky-Curly-Drawstring-Hair-Bun-Extension-Dreadlock-Ponytails.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4a345d150f504405af2e6503f4b6f842B.jpg,https://ae04.alicdn.com/kf/H2fcfcc4ffff947db8bbf9ba8a9db1615Y.jpg,https://ae04.alicdn.com/kf/He051c288e9004616859b54d931f785adc.jpg,https://ae04.alicdn.com/kf/Hac41c29aa8124ba991352ffa7ed935304.jpg,https://ae04.alicdn.com/kf/H2f21adc25d5a4aa3bf5944c571c394d5N.jpg,",https://www.aliexpress.com/item/1005003416854563.html,17.10,8.89,10.00%,,48%,https://s.click.aliexpress.com/e/_9HKGt5
Synthetic Hair,200167144,Synthetic Kinky Curly Wig T Part Lace Wig For Black Women 30inches Blonde Lace Wig Hair Ombre Cosplay Wig Heat Resistant,1005003792848798,https://ae01.alicdn.com/kf/S2cd191360a454804982b267a4dcf08b5Q/Synthetic-Kinky-Curly-Wig-T-Part-Lace-Wig-For-Black-Women-30inches-Blonde-Lace-Wig-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S2cd191360a454804982b267a4dcf08b5Q.jpg,https://ae04.alicdn.com/kf/H315a6765df3545dd83a926847778b086t.jpg,https://ae04.alicdn.com/kf/H2ce22e30500d4f79a90a039cc40cba5fp.jpg,https://ae04.alicdn.com/kf/H08182cdd3e684a848664630b41d2e61aY.jpg,https://ae04.alicdn.com/kf/H4879cacdadc24fe597a2dfe52f592c84N.jpg,",https://www.aliexpress.com/item/1005003792848798.html,37.33,29.49,8.00%,,21%,https://s.click.aliexpress.com/e/_AcxR1h
Synthetic Hair,200167144,Noble Bob Wigs With Bangs Ombre Brown Blonde 14inches Straight Neat Fringe Free Part Womens Wigs Short Synthetic Hair,32874859133,https://ae01.alicdn.com/kf/HTB1PWItqY1YBuNjSszeq6yblFXaH/Noble-Bob-Wigs-With-Bangs-Ombre-Brown-Blonde-14inches-Straight-Neat-Fringe-Free-Part-Womens-Wigs.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1PWItqY1YBuNjSszeq6yblFXaH.jpg,https://ae04.alicdn.com/kf/HTB1g2UQfyMnBKNjSZFCq6x0KFXaR.jpg,https://ae04.alicdn.com/kf/HTB1UMWZfAZmBKNjSZPiq6xFNVXaU.jpg,https://ae04.alicdn.com/kf/HTB19hzUiS8YBeNkSnb4q6yevFXa4.jpg,https://ae04.alicdn.com/kf/HTB1V_Ngrf1TBuNjy0Fjq6yjyXXa2.jpg,",https://www.aliexpress.com/item/32874859133.html,27.98,13.99,8.00%,,50%,https://s.click.aliexpress.com/e/_9f5l2L
Synthetic Hair,200167144,Dreadlocks Synthetic Crochet Braiding Hair Extensions Black Brown 613 Faux Locs For Women 38 Inch 19Strands/Pack,1005003912195501,https://ae01.alicdn.com/kf/Sb0fab3b4c2e94abfb550664907c1ad4fw/Dreadlocks-Synthetic-Crochet-Braiding-Hair-Extensions-Black-Brown-613-Faux-Locs-For-Women-38-Inch-19Strands.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sb0fab3b4c2e94abfb550664907c1ad4fw.jpg,https://ae04.alicdn.com/kf/Se2a4de97905c4e38948a78501ca8f19c1.jpg,https://ae04.alicdn.com/kf/S9943bf02b49a4b44b848db82c2e2e199K.jpg,https://ae04.alicdn.com/kf/Sbfba7327c8654f1ea1ad0282528e8875C.jpg,https://ae04.alicdn.com/kf/Sefe96c0145654ec8a31ef60cd355db7eT.jpg,",https://www.aliexpress.com/item/1005003912195501.html,17.62,11.98,8.00%,,32%,https://s.click.aliexpress.com/e/_9AZnGB
Synthetic Hair,200167144,Ombre Brown Short Curly Bob Wig 14 Inch Afro Kinky Curly Hair Wigs for Women Synthetic Mixed Blonde Deep Curlys Red Wig Cosplays,1005003412752233,https://ae01.alicdn.com/kf/S99c6ae1de5a74bee8af16b4bb51ef7f8v/Ombre-Brown-Short-Curly-Bob-Wig-14-Inch-Afro-Kinky-Curly-Hair-Wigs-for-Women-Synthetic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S99c6ae1de5a74bee8af16b4bb51ef7f8v.jpg,https://ae04.alicdn.com/kf/Sd1bfff9126554da882ba9268ec5f7a51c.jpg,https://ae04.alicdn.com/kf/Sea43d503fbf443af9103d2d962b25c24G.jpg,https://ae04.alicdn.com/kf/Sdca79835462e485e9841d16a5e6e8896q.jpg,https://ae04.alicdn.com/kf/S25c1806f814b484e99989c5572bb5953R.jpg,",https://www.aliexpress.com/item/1005003412752233.html,29.41,13.23,15.00%,,55%,https://s.click.aliexpress.com/e/_AF9WeR
Synthetic Hair,200167144,Miracle Synthetic Afro Kinky Curly Wigs For Black Women Black 12 Inches Short Curly Wig With Bangs Blonde Green Wig Cosplay Wig,1005003657172989,https://ae01.alicdn.com/kf/H80dbf9c13ce7447b9cc1e1a8cc9a0df9l/Miracle-Synthetic-Afro-Kinky-Curly-Wigs-For-Black-Women-Black-12-Inches-Short-Curly-Wig-With.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80dbf9c13ce7447b9cc1e1a8cc9a0df9l.jpg,https://ae04.alicdn.com/kf/H5f384c111b7c4383960fae468cfc5c2bi.jpg,https://ae04.alicdn.com/kf/H20ad98e823494a288eceeafa4e98b942k.jpg,https://ae04.alicdn.com/kf/Hd85c8447b2024d628e1d3bf3c8a8010eb.jpg,https://ae04.alicdn.com/kf/Hde75483745d9433ba86fb960b99fcb12t.jpg,",https://www.aliexpress.com/item/1005003657172989.html,29.98,17.99,8.00%,,40%,https://s.click.aliexpress.com/e/_A9TSxD
Synthetic Hair,200167144,Synthetic Lace Wigs For Women Straight Wig ​26Inch Middle Part High Temperature Fiber Synthetic Lace Wig Cosplay Wig,1005003898672507,https://ae01.alicdn.com/kf/Sb8bfeb71f0e847b39b891e717595e472S/Synthetic-Lace-Wigs-For-Women-Straight-Wig-26Inch-Middle-Part-High-Temperature-Fiber-Synthetic-Lace-Wig.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sb8bfeb71f0e847b39b891e717595e472S.jpg,https://ae04.alicdn.com/kf/Se0b5aeeb186d441aacb6cfb0499cbb0ft.jpg,https://ae04.alicdn.com/kf/Sd540ab42348c4646aede5073f2895974i.jpg,https://ae04.alicdn.com/kf/S4d6c5813ed81446c93900b7ebefbecccK.jpg,",https://www.aliexpress.com/item/1005003898672507.html,60.83,32.24,8.00%,,47%,https://s.click.aliexpress.com/e/_Ac2cdN
Synthetic Hair,200167144,INS FACING Short Bob Synthetic Hair Nacy Classical Goddess Style Ladies Headband Clip Synthetic Hair Bangs Gold Genuine Counter,1005003716345503,https://ae01.alicdn.com/kf/H49369c27ca9f4234a4ae97d5c5d83ec9X/INS-FACING-Short-Bob-Synthetic-Hair-Nacy-Classical-Goddess-Style-Ladies-Headband-Clip-Synthetic-Hair-Bangs.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H49369c27ca9f4234a4ae97d5c5d83ec9X.jpg,https://ae04.alicdn.com/kf/Hc0ee38b24018477481ba857bf081f294O.jpg,https://ae04.alicdn.com/kf/H5fc88f04debe4f739a134beec9dc794co.jpg,https://ae04.alicdn.com/kf/Head3bf48625642c2b65c204f15a7e55dE.jpg,https://ae04.alicdn.com/kf/H56c618c85b7b49b494b6e1567a23822d5.jpg,",https://www.aliexpress.com/item/1005003716345503.html,17.63,11.99,20.00%,,32%,https://s.click.aliexpress.com/e/_AsUjhD
Synthetic Hair,200167144,Short Hair Afro Kinky Curly Wigs With Bangs For Black Women Synthetic African Ombre Glueless Cosplay Natural Brown Red Wigs,1005003883525604,https://ae01.alicdn.com/kf/S61dfddf47e56402389b4591713921712r/Short-Hair-Afro-Kinky-Curly-Wigs-With-Bangs-For-Black-Women-Synthetic-African-Ombre-Glueless-Cosplay.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S61dfddf47e56402389b4591713921712r.jpg,https://ae04.alicdn.com/kf/S5b95e645a819455fb457bee525e795cf3.jpg,https://ae04.alicdn.com/kf/Sd59ffdd5e8734612a1ddd5f5053387840.jpg,https://ae04.alicdn.com/kf/H51a46151d18e466f8970d3c6a731937fI.jpg,https://ae04.alicdn.com/kf/Hffac79f50aa14bd8a0cdb5438dd112ec6.jpg,",https://www.aliexpress.com/item/1005003883525604.html,43.08,21.54,10.00%,,50%,https://s.click.aliexpress.com/e/_A8JVOj
Synthetic Hair,200167144,Red Brown Copper Ginger Long Straight Synthetic Wigs for Women Natural Wave Wigs with Bangs Heat Resistant Cosplay Hair,1005003826307200,https://ae01.alicdn.com/kf/S9652f4626f624166b7d8082fafe0443ci/Red-Brown-Copper-Ginger-Long-Straight-Synthetic-Wigs-for-Women-Natural-Wave-Wigs-with-Bangs-Heat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S9652f4626f624166b7d8082fafe0443ci.jpg,https://ae04.alicdn.com/kf/S3a8bdd2de25c421e8af496af7dc685e81.jpg,https://ae04.alicdn.com/kf/S587ef3af9a11446387c3cb35c1f979a1M.jpg,https://ae04.alicdn.com/kf/Se7a6a741288649849a22416eb632ffd2k.jpg,https://ae04.alicdn.com/kf/S1370e5bcd8fa4af5a39f5f5f908f8cdcC.jpg,",https://www.aliexpress.com/item/1005003826307200.html,34.30,15.43,20.00%,,55%,https://s.click.aliexpress.com/e/_9ykKyT
