Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fashion Jewelry,1509,Fashion lady c g earrings vintage crystal rhinestone cc stud earrings earring For Women female,1005002348495638,https://ae01.alicdn.com/kf/Hd1d10519b2cd453a9da615526cf83253w/Fashion-lady-c-g-earrings-vintage-crystal-rhinestone-cc-stud-earrings-earring-For-Women-female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd1d10519b2cd453a9da615526cf83253w.jpg,",https://www.aliexpress.com/item/1005002348495638.html,3.32,1.99,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9xjcyk
Fashion Jewelry,1509,Luxury Designer Brands lady pra pearrings vintage crystal rhinestone cc stud earrings earring For Women female da,1005002370523023,https://ae01.alicdn.com/kf/H34b76545c44742179eb95e52c11862c1a/Luxury-Designer-Brands-lady-pra-pearrings-vintage-crystal-rhinestone-cc-stud-earrings-earring-For-Women-female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H34b76545c44742179eb95e52c11862c1a.jpg,",https://www.aliexpress.com/item/1005002370523023.html,4.50,2.70,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AcUZ1K
Fashion Jewelry,1509,1 Strand 2x4mm Colorful Rice Drop Shape AB Coating Faceted Glass Beads for Jewelry Making Jewelry Diy Beads  Wholesale Jewelry,1005002122557189,https://ae01.alicdn.com/kf/Ha6324dc834134d7b8c12c77a8c4a4ccfZ/1-Strand-2x4mm-Colorful-Rice-Drop-Shape-AB-Coating-Faceted-Glass-Beads-for-Jewelry-Making-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha6324dc834134d7b8c12c77a8c4a4ccfZ.jpg,https://ae04.alicdn.com/kf/H88ec8dff99a048b898df0a39f527e4e9s.jpg,https://ae04.alicdn.com/kf/He4c40941b7b84c2aa1ab5ee3678803c6D.jpg,https://ae04.alicdn.com/kf/H81db2a879a664455a389bcbcb31fb590j.jpg,https://ae04.alicdn.com/kf/H25316f7e30a24369a686467ebfe19446b.jpg,",https://www.aliexpress.com/item/1005002122557189.html,1.59,0.91,10.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_AE62Y4
Fashion Jewelry,1509,AITIEI Iced Out Bling Cubic Zircon Butterfly Pendant Necklace Double Layer Cubic Tennis Chain Necklace Women Hip Hop Jewelry,1005002342456579,https://ae01.alicdn.com/kf/He536278cb31e404185737433d3582c68C/AITIEI-Iced-Out-Bling-Cubic-Zircon-Butterfly-Pendant-Necklace-Double-Layer-Cubic-Tennis-Chain-Necklace-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He536278cb31e404185737433d3582c68C.jpg,https://ae04.alicdn.com/kf/H5e65f7a01a2a420a96eb3df392a0af99Y.jpg,https://ae04.alicdn.com/kf/H246f9451278747dd8942dad5667210f7C.jpg,https://ae04.alicdn.com/kf/Hc934ecdce132472a82b4637fb1429492s.jpg,https://ae04.alicdn.com/kf/H4fd99be076c34aa5918dcbb536810da6T.jpg,",https://www.aliexpress.com/item/1005002342456579.html,13.54,7.99,20.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AOzc5Q
Fashion Jewelry,1509,Natural Blue sand  Bead Diy for Bracelet Necklace Pendants Earrings Making,1005002346774463,https://ae01.alicdn.com/kf/H78d77531e1b148b5b11917f2ea113a33B/Natural-Blue-sand-Bead-Diy-for-Bracelet-Necklace-Pendants-Earrings-Making.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H78d77531e1b148b5b11917f2ea113a33B.jpg,https://ae04.alicdn.com/kf/H8b8f43cdf7b344859d3a3d6516ef0ec0E.jpg,https://ae04.alicdn.com/kf/H713ae2ac37f64e748359d783ebac15baT.jpg,https://ae04.alicdn.com/kf/H5b200b2735cd482e84e09af21762a869Z.jpg,",https://www.aliexpress.com/item/1005002346774463.html,2.69,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_A7G2aC
Fashion Jewelry,1509,AITIEI Men Hip Hop Heavy Rhombus Cuban Chain Necklace 20mm 3Row Chains Iced Out Bling Necklace Bracelet Fashion Jewelry For Gift,1005002289759708,https://ae01.alicdn.com/kf/H6eea750825c34d79ab3d09bb6bccd7d3z/AITIEI-Men-Hip-Hop-Heavy-Rhombus-Cuban-Chain-Necklace-20mm-3Row-Chains-Iced-Out-Bling-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6eea750825c34d79ab3d09bb6bccd7d3z.jpg,https://ae04.alicdn.com/kf/H21ddb8468ad0414598f99795899c0ac1H.jpg,https://ae04.alicdn.com/kf/H131a012b27de485c96697bbabac68e29e.jpg,https://ae04.alicdn.com/kf/Hf046e9a25a854b08bfb14d8ac29e80f1P.jpg,https://ae04.alicdn.com/kf/Hf8ef2c265bee418fb8cdd322aa6f4ede2.jpg,",https://www.aliexpress.com/item/1005002289759708.html,25.41,15.25,15.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_Abu8de
Fashion Jewelry,1509,AITIEI Iced Out Letters A-Z Pendant Necklace For Men Women With Rope Chain Micro Pave CZ Stone Hip Hop Punk Jewelry For Gift,1005001837374266,https://ae01.alicdn.com/kf/He8eeba6e7c1840b9aed8d5fee0733737K/AITIEI-Iced-Out-Letters-A-Z-Pendant-Necklace-For-Men-Women-With-Rope-Chain-Micro-Pave.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He8eeba6e7c1840b9aed8d5fee0733737K.jpg,https://ae04.alicdn.com/kf/H183829e1d22d4ed0ac5ecf65b9915997V.jpg,https://ae04.alicdn.com/kf/Hdf7ce01d04a04993a81f629e14599cff8.jpg,https://ae04.alicdn.com/kf/Hbbe16e6e32ce4c2e83ebb00152653b49K.jpg,https://ae04.alicdn.com/kf/H27c1d2550ccc4f078e2cea180b0ba1baS.jpg,",https://www.aliexpress.com/item/1005001837374266.html,11.38,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_AslNgg
Fashion Jewelry,1509,AITIEI New Coffee Beans Bracelet Link Double Chain For Men Women Stainless Steel Cuban Extension Chain Fashion Hip Hop Jewelry,1005001880404878,https://ae01.alicdn.com/kf/Ha207ef1544794f6e8be30f55a0ab77c6k/AITIEI-New-Coffee-Beans-Bracelet-Link-Double-Chain-For-Men-Women-Stainless-Steel-Cuban-Extension-Chain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha207ef1544794f6e8be30f55a0ab77c6k.jpg,https://ae04.alicdn.com/kf/He4c55e49cf3746d1b9081f0439732f81D.jpg,https://ae04.alicdn.com/kf/H74cd7d1802d84ff3863f004fd124972cK.jpg,https://ae04.alicdn.com/kf/Hae916ba9612f4230816fb6b65d250c8cd.jpg,https://ae04.alicdn.com/kf/H404349d5ddc145f0a585faede924afc4t.jpg,",https://www.aliexpress.com/item/1005001880404878.html,4.99,3.99,15.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_A80nOM
Fashion Jewelry,1509,AITIEI Rhinestone Cuban Butterfly Choker Necklace For Women With 'Angle' Letter Chunky Miami Curb Chain Necklace Hip Hop Jewelry,1005002284831152,https://ae01.alicdn.com/kf/H687780143f92432f8405f28165b929d6e/AITIEI-Rhinestone-Cuban-Butterfly-Choker-Necklace-For-Women-With-Angle-Letter-Chunky-Miami-Curb-Chain-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H687780143f92432f8405f28165b929d6e.jpg,https://ae04.alicdn.com/kf/H754fa47611e641b28f4a375436ace4a6r.jpg,https://ae04.alicdn.com/kf/H5a18b5387fda4d03bd59a044ce76d682j.jpg,https://ae04.alicdn.com/kf/H7b0ca0fc12dd45fba55386b5a505a6a6u.jpg,https://ae04.alicdn.com/kf/He07a80a739fe4480b628a3e024a1b787p.jpg,",https://www.aliexpress.com/item/1005002284831152.html,23.71,14.23,20.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AFqoeY
Fashion Jewelry,1509,AITIEI Assorted Stainless Steel Twisted Singapore Chain Necklace for Men Women Casual Basic Rope Link Chain Gothic Punk Jewelry,1005001750041745,https://ae01.alicdn.com/kf/H04a007125b2e4d7891c3a2de0cb26c80T/AITIEI-Assorted-Stainless-Steel-Twisted-Singapore-Chain-Necklace-for-Men-Women-Casual-Basic-Rope-Link-Chain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H04a007125b2e4d7891c3a2de0cb26c80T.jpg,https://ae04.alicdn.com/kf/H9a779b6882704d29b8559fe2656c462bp.jpg,https://ae04.alicdn.com/kf/H19e45b27d22c4405b7814d028380e209h.jpg,https://ae04.alicdn.com/kf/H8c3f635b5d204f739acfc787f0d499f5o.jpg,https://ae04.alicdn.com/kf/H63c649e9b2324d72ae9a2c2f00eeae6cB.jpg,",https://www.aliexpress.com/item/1005001750041745.html,2.52,2.02,50.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AUs9QU
