Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Coats & Jackets,200000796,Wool Blends Winter Coat For Women Fashion Plaid Lapel Neck Office Lady Elegant Long Coat Slim Overcoats Woman Jacket 2021,1005003601395045,https://ae01.alicdn.com/kf/H8a7383a34d2b4287b92f83bf6b8ecf69A/Wool-Blends-Winter-Coat-For-Women-Fashion-Plaid-Lapel-Neck-Office-Lady-Elegant-Long-Coat-Slim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8a7383a34d2b4287b92f83bf6b8ecf69A.jpg,https://ae04.alicdn.com/kf/H7ff0a9a5818c4b5d9c8e12b01d90786f8.jpg,",https://www.aliexpress.com/item/1005003601395045.html,61.08,30.54,12.00%,,50%,https://s.click.aliexpress.com/e/_A8tlgP
Coats & Jackets,200000796,U-SWEAR Winter New Imitation Fox Fur Collar Leather Long Down Feather Cotton Slim Fur Coat Female Faux Fur Coat  S-6XL,32922877690,https://ae01.alicdn.com/kf/HTB1V2OwXb56K1Rjt_igq6xajVXau/U-SWEAR-Winter-New-Imitation-Fox-Fur-Collar-Leather-Long-Down-Feather-Cotton-Slim-Fur-Coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1V2OwXb56K1Rjt_igq6xajVXau.jpg,https://ae04.alicdn.com/kf/HTB18f5qXizxK1RkSnaVq6xn9VXaJ.jpg,https://ae04.alicdn.com/kf/HTB10UOqXffsK1RjSszbq6AqBXXaZ.jpg,https://ae04.alicdn.com/kf/HTB1sJGxXfOzK1Rjt_jJq6xFsVXaT.jpg,https://ae04.alicdn.com/kf/HTB1wkqqXdfvK1RjSspfq6zzXFXaQ.jpg,",https://www.aliexpress.com/item/32922877690.html,84.00,37.80,9.00%,,55%,https://s.click.aliexpress.com/e/_Ap4HPV
Coats & Jackets,200000796,cropped sweater vest knitted vest women 2022 Streetwear new loose overlapping V-neck sleeveless vintage y2k sweater vest,1005003621373303,https://ae01.alicdn.com/kf/H4a9a0fc1f7d346c997e85aa4b208e0d9D/cropped-sweater-vest-knitted-vest-women-2022-Streetwear-new-loose-overlapping-V-neck-sleeveless-vintage-y2k.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4a9a0fc1f7d346c997e85aa4b208e0d9D.jpg,https://ae04.alicdn.com/kf/H3aaecf7ff17d4e4fb7002b13097fd630p.jpg,https://ae04.alicdn.com/kf/H001c202987b7459186721a334917d5923.jpg,https://ae04.alicdn.com/kf/H32cefe79c64d4829aa141869d7a0263cX.jpg,https://ae04.alicdn.com/kf/H6d2577f783b54b398818bdc84ce14d4aW.jpg,",https://www.aliexpress.com/item/1005003621373303.html,20.47,14.33,9.00%,,30%,https://s.click.aliexpress.com/e/_AbB8uj
Coats & Jackets,200000796,Spring/Autumn A-shaped Waterproof Cotton Hooded windbreaker женская куртка femme clothes for women autumn trench coat for women,1005003601924383,https://ae01.alicdn.com/kf/H307dfcc2ea474dbb8deb6a6b99e390e48/Spring-Autumn-A-shaped-Waterproof-Cotton-Hooded-windbreaker-женская-куртка-femme-clothes-for-women-autumn-trench.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H307dfcc2ea474dbb8deb6a6b99e390e48.jpg,https://ae04.alicdn.com/kf/H660e2149d78e4fe2baf0831229b8b111X.jpg,https://ae04.alicdn.com/kf/Hbd317aa8cd954f45b857c92f7a0de15c7.jpg,https://ae04.alicdn.com/kf/H9796d23dacfa467cae3903609ffa2e3f2.jpg,https://ae04.alicdn.com/kf/H85ce182764a9401aadac55897afef3abM.jpg,",https://www.aliexpress.com/item/1005003601924383.html,125.33,87.73,9.00%,,30%,https://s.click.aliexpress.com/e/_9xadhv
Coats & Jackets,200000796,Trench Coat Long Stitching Contrast Color Fake Two-piece 2022 Spring/autumn Luxury Windbreaker Single Breasted Long Coats Women,1005003616881493,https://ae01.alicdn.com/kf/H8e23a9c0aded49c594c1f778fd50d46eS/Trench-Coat-Long-Stitching-Contrast-Color-Fake-Two-piece-2022-Spring-autumn-Luxury-Windbreaker-Single-Breasted.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8e23a9c0aded49c594c1f778fd50d46eS.jpg,https://ae04.alicdn.com/kf/Hc202fe9aaa1746249c1385259967ab7bV.jpg,https://ae04.alicdn.com/kf/H819a3868364245ee80fe23a3e960d933d.jpg,https://ae04.alicdn.com/kf/H71f2a1330f94419eb56c94f5a18007f0N.jpg,https://ae04.alicdn.com/kf/H947db60faad14b88a3097803c3de42d4e.jpg,",https://www.aliexpress.com/item/1005003616881493.html,69.04,48.33,9.00%,,30%,https://s.click.aliexpress.com/e/_AOkdF9
Coats & Jackets,200000796,Women Fashion Minimalism Jacket Casual OL Commuter Long Sleeve Thicken Hooded Collar Loose Zipper Patchwork Winter Fall Lady Top,1005003707610972,https://ae01.alicdn.com/kf/S7ee5690177e140288352e5e0febad9d87/Women-Fashion-Minimalism-Jacket-Casual-OL-Commuter-Long-Sleeve-Thicken-Hooded-Collar-Loose-Zipper-Patchwork-Winter.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S7ee5690177e140288352e5e0febad9d87.jpg,https://ae04.alicdn.com/kf/H98488cf00df24e25bd6d75fbf6f659baD.jpg,https://ae04.alicdn.com/kf/Sa266cf4acf0740a1ba08541091dbebc8X.jpg,https://ae04.alicdn.com/kf/H4e989e5f335a43b8b85c8dd18bf6619ao.jpg,https://ae04.alicdn.com/kf/S3449728a789f471ea69a2af2bd975dccV.jpg,",https://www.aliexpress.com/item/1005003707610972.html,67.52,33.08,9.00%,,51%,https://s.click.aliexpress.com/e/_AETowr
Coats & Jackets,200000796,Womens Vest V-neck Knitted Vest Design Flower Hollowed Out Short Sleeveless Top Korean Fashion Womens Vests For Women Summer,1005003623886139,https://ae01.alicdn.com/kf/H4e0e48f9f2804332a45c303ef586ed54K/Womens-Vest-V-neck-Knitted-Vest-Design-Flower-Hollowed-Out-Short-Sleeveless-Top-Korean-Fashion-Womens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4e0e48f9f2804332a45c303ef586ed54K.jpg,https://ae04.alicdn.com/kf/H757013a02aea4545a8550602358fd21f7.jpg,https://ae04.alicdn.com/kf/Hc660428ef8214fde83bf9bfff6960276o.jpg,https://ae04.alicdn.com/kf/Hca7725c2d92b46c998a2c17ca0058442p.jpg,https://ae04.alicdn.com/kf/He07c8afe730247d9a5192029ed43fbb3g.jpg,",https://www.aliexpress.com/item/1005003623886139.html,85.71,60.00,9.00%,,30%,https://s.click.aliexpress.com/e/_ADJ3Ob
Coats & Jackets,200000796,U-SWEAR Harajuku Winter Casual Jacket Women Rainbow Wadded Parka  Loose Striped Coat Femme Chaqueta Mujer,32962320223,https://ae01.alicdn.com/kf/Sa7a41d7cbc63462da22f7a7de5b34a64t/U-SWEAR-Harajuku-Winter-Casual-Jacket-Women-Rainbow-Wadded-Parka-Loose-Striped-Coat-Femme-Chaqueta-Mujer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa7a41d7cbc63462da22f7a7de5b34a64t.jpg,https://ae04.alicdn.com/kf/S0191c2a568224260bdb96fae84e1aef2h.jpg,https://ae04.alicdn.com/kf/S473977d5aac142eebb98e3f8f7d761eeI.jpg,https://ae04.alicdn.com/kf/Sfe12cad55c0f441face12fbbe11e1d5dp.jpg,https://ae04.alicdn.com/kf/S23e7fcd1acc64f30be9d544c84da2df28.jpg,",https://www.aliexpress.com/item/32962320223.html,84.04,37.82,10.00%,,55%,https://s.click.aliexpress.com/e/_99OuZN
Coats & Jackets,200000796,ADEWEL New 2021Spring Women Wool Overcoat Warm Outerwear Soft Fleece Hooded Faux Fur Coat Long Sleeve Cardigan Female Outwear,32848920792,https://ae01.alicdn.com/kf/HTB1kNL1eqLN8KJjSZFvq6xW8VXac/ADEWEL-New-2021Spring-Women-Wool-Overcoat-Warm-Outerwear-Soft-Fleece-Hooded-Faux-Fur-Coat-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1kNL1eqLN8KJjSZFvq6xW8VXac.jpg,https://ae04.alicdn.com/kf/HTB10RbqmsrI8KJjy0Fhq6zfnpXaN.jpg,https://ae04.alicdn.com/kf/HTB1If_YeazB9uJjSZFMq6xq4XXa7.jpg,https://ae04.alicdn.com/kf/HTB1OXnImxHI8KJjy1zbq6yxdpXai.jpg,https://ae04.alicdn.com/kf/HTB1Yzv.epYM8KJjSZFuq6Af7FXaq.jpg,",https://www.aliexpress.com/item/32848920792.html,43.68,21.84,10.00%,,50%,https://s.click.aliexpress.com/e/_Abh6rD
Coats & Jackets,200000796,ADEWEL 2021 Red Plaid Coat Plus Size Jacket Spring Casual Cardigan Women Coat Chaqueta Mujer De Jeans Vintage Gothic Coat XXL,4000105653678,https://ae01.alicdn.com/kf/H1705051b06aa459ebb12de993d136de0G/ADEWEL-2021-Red-Plaid-Coat-Plus-Size-Jacket-Spring-Casual-Cardigan-Women-Coat-Chaqueta-Mujer-De.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1705051b06aa459ebb12de993d136de0G.jpg,https://ae04.alicdn.com/kf/Hb03251cd77464cdf8744fc3509334a9cV.jpg,https://ae04.alicdn.com/kf/H41cc574d3aac4173a52814a540f292ecG.jpg,https://ae04.alicdn.com/kf/Hd9fa92cfac764b98a7a7436fa493cf815.jpg,https://ae04.alicdn.com/kf/H936c8b46344b4201832470696eb427fca.jpg,",https://www.aliexpress.com/item/4000105653678.html,50.60,25.30,9.00%,,50%,https://s.click.aliexpress.com/e/_AoYubp
