Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Genuine Leather,200129142,New Women Genuine Leather Jacket Spring 2022 Casual Fashion Turn-down Collar Solid Color Loose Sheepskin Leather Trench Coat,1005003778924020,https://ae01.alicdn.com/kf/Hfa22154952624e3497cf8c3cfd1f56daJ/New-Women-Genuine-Leather-Jacket-Spring-2022-Casual-Fashion-Turn-down-Collar-Solid-Color-Loose-Sheepskin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfa22154952624e3497cf8c3cfd1f56daJ.jpg,https://ae04.alicdn.com/kf/H0eb46c5b3de04760af12fdd6c2263e5ax.jpg,https://ae04.alicdn.com/kf/H430f04bc97f849fdb24e4891b32db4cf5.jpg,https://ae04.alicdn.com/kf/Hbd2f5d7e233e4ff3bff78a8f1a9cd646X.jpg,https://ae04.alicdn.com/kf/H4e503f8b97494dd4b31a897acfa8f8bbT.jpg,",https://www.aliexpress.com/item/1005003778924020.html,139.80,69.90,10.00%,,50%,https://s.click.aliexpress.com/e/_A8oId9
Genuine Leather,200129142,New Style Autumn Winter Locomotive Leather Women's Short Style Jacket Loose Korean Version of the Dermis Leather Jacket,1005003558751893,https://ae01.alicdn.com/kf/Hdaa193f8d2224e11930c571e45bc522bG/New-Style-Autumn-Winter-Locomotive-Leather-Women-s-Short-Style-Jacket-Loose-Korean-Version-of-the.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdaa193f8d2224e11930c571e45bc522bG.jpg,https://ae04.alicdn.com/kf/H8729cd32c30e4fd3a49a268502efd595m.jpg,https://ae04.alicdn.com/kf/Hde37f6f4cac14cb6b141a936412c2dc5z.jpg,https://ae04.alicdn.com/kf/H01ac6f59a70e41bd909aa8b32bc3655dM.jpg,https://ae04.alicdn.com/kf/H80bd670f0cb443e0885734f40333b2d4W.jpg,",https://www.aliexpress.com/item/1005003558751893.html,123.92,61.96,40.00%,,50%,https://s.click.aliexpress.com/e/_9Aa0KR
Genuine Leather,200129142,Novmoop genuine leather women down coat long quilted jacket England fashion style winter kimoko jacket LT3560,1005002907132938,https://ae01.alicdn.com/kf/Haacdaffdda0a4dcd8025ccc7341f0c69J/Novmoop-genuine-leather-women-down-coat-long-quilted-jacket-England-fashion-style-winter-kimoko-jacket-LT3560.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haacdaffdda0a4dcd8025ccc7341f0c69J.jpg,https://ae04.alicdn.com/kf/H8fd63b35f9f0422e81cf78963fdc7bcfF.jpg,https://ae04.alicdn.com/kf/Hc48a5766dfd343c08f44b0f80debe402O.jpg,https://ae04.alicdn.com/kf/Hfedfa07f446f421898d276e33504a503t.jpg,https://ae04.alicdn.com/kf/H3d430be9922b4b079cc9dbb92ff6df810.jpg,",https://www.aliexpress.com/item/1005002907132938.html,457.00,251.35,10.00%,,45%,https://s.click.aliexpress.com/e/_AbZ46r
Genuine Leather,200129142,2022 Women Sheep Leather Motorcycle Jacket Fashion Leather Jacket G7,1005003723165796,https://ae01.alicdn.com/kf/Sc679197c96b245dfaeb226fb8c0d2a81k/2022-Women-Sheep-Leather-Motorcycle-Jacket-Fashion-Leather-Jacket-G7.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc679197c96b245dfaeb226fb8c0d2a81k.jpg,https://ae04.alicdn.com/kf/S9fc49a8da5234095b6584ac0cfc71298M.jpg,https://ae04.alicdn.com/kf/S974539e11ab5401da12ed2908a39f896G.jpg,https://ae04.alicdn.com/kf/S3adc0cbc7dcb4e0cae11ace04819b8bf8.jpg,https://ae04.alicdn.com/kf/S4505196a24f743c99a39a559c9343d87Z.jpg,",https://www.aliexpress.com/item/1005003723165796.html,124.00,119.04,9.00%,,4%,https://s.click.aliexpress.com/e/_Aryesb
Genuine Leather,200129142,High Quality Fashion Spring Autumn Men Real Sheepskin Vest Genuine Leather Male's Vest Thick Fur Lining Leather Sleeveless Coat,1005003860416150,https://ae01.alicdn.com/kf/S8db3c310f18f4fa4a3a4673285d51c98p/High-Quality-Fashion-Spring-Autumn-Men-Real-Sheepskin-Vest-Genuine-Leather-Male-s-Vest-Thick-Fur.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S8db3c310f18f4fa4a3a4673285d51c98p.jpg,https://ae04.alicdn.com/kf/S109ec32a75ae466e87a681f5c4a6fd42w.jpg,https://ae04.alicdn.com/kf/S273da1257a1b4d0da6920a3ea6ff42d0t.jpg,https://ae04.alicdn.com/kf/S515f57c6f2314d48943e464e5ce02e30E.jpg,https://ae04.alicdn.com/kf/Sb3893431919f4b68a14be48d8912b927m.jpg,",https://www.aliexpress.com/item/1005003860416150.html,99.98,49.99,9.00%,,50%,https://s.click.aliexpress.com/e/_9GCD1v
Genuine Leather,200129142,2022 Women Short Locomotive Autumn and Winter New Stand-up Collar Jacket  All-match Leather Jacket G3,1005003704223174,https://ae01.alicdn.com/kf/H4511d4e8ddd445f895314d9f57bdb02aI/2022-Women-Short-Locomotive-Autumn-and-Winter-New-Stand-up-Collar-Jacket-All-match-Leather-Jacket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4511d4e8ddd445f895314d9f57bdb02aI.jpg,https://ae04.alicdn.com/kf/H58b680eaefed4ad1b054785adf5dbd0eU.jpg,https://ae04.alicdn.com/kf/H30b69bd6347b4e559a92bd7bb9c26967V.jpg,https://ae04.alicdn.com/kf/S33f63cdb15f141d89563d062819854d6v.jpg,https://ae04.alicdn.com/kf/S0bdc074005b74134ba409efdd8a3eedc8.jpg,",https://www.aliexpress.com/item/1005003704223174.html,120.00,115.20,9.00%,,4%,https://s.click.aliexpress.com/e/_AEKvnV
Genuine Leather,200129142,2022 Leather Jacket Women Oversize Mid-length Sheepskin Leather Suit G2,1005003704018887,https://ae01.alicdn.com/kf/S393d7ee013874a8b902a57ef73a080e8P/2022-Leather-Jacket-Women-Oversize-Mid-length-Sheepskin-Leather-Suit-G2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S393d7ee013874a8b902a57ef73a080e8P.jpg,https://ae04.alicdn.com/kf/He4d98a760d1343c5b884aa83230fd576t.jpg,https://ae04.alicdn.com/kf/S45d9cf9caa2b465488ccc516c64e885a9.jpg,https://ae04.alicdn.com/kf/H3406c18cb9374d4885110fb58c4c7156f.jpg,https://ae04.alicdn.com/kf/H922fe205e12e403484a22c1ebdc78588o.jpg,",https://www.aliexpress.com/item/1005003704018887.html,145.00,139.20,9.00%,,4%,https://s.click.aliexpress.com/e/_AO96xp
Genuine Leather,200129142,New Women Genuine Leather Trench Coat Spring 2022 Fashion Turn-down Collar Single Breasted Medium Long Sheepskin Coat Black Coat,1005003778680767,https://ae01.alicdn.com/kf/H3b80b315b3fd4322a6424fb1629d0118z/New-Women-Genuine-Leather-Trench-Coat-Spring-2022-Fashion-Turn-down-Collar-Single-Breasted-Medium-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3b80b315b3fd4322a6424fb1629d0118z.jpg,https://ae04.alicdn.com/kf/H3d238c31422f4316a15b64162d47666df.jpg,https://ae04.alicdn.com/kf/Hcf17f8b0c5d6439a81dd47f1a4032a39G.jpg,https://ae04.alicdn.com/kf/H196a9391ac634eabbfe51f9f4134ab86U.jpg,https://ae04.alicdn.com/kf/H5ca5c14e8036430c8356727604d0e50cO.jpg,",https://www.aliexpress.com/item/1005003778680767.html,149.00,74.50,10.00%,,50%,https://s.click.aliexpress.com/e/_9xT7TN
Genuine Leather,200129142,New Women Sheepskin Coat Autumn Winter 2021 Fashion Keep Warm Long Jacket Thicken Genuine Leather Coat Suede Outerwear Female,1005002133894455,https://ae01.alicdn.com/kf/H9fead44affd541fe87f6a24867c4af6cp/New-Women-Sheepskin-Coat-Autumn-Winter-2021-Fashion-Keep-Warm-Long-Jacket-Thicken-Genuine-Leather-Coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9fead44affd541fe87f6a24867c4af6cp.jpg,https://ae04.alicdn.com/kf/H15608bbf4e4c40578d8f41cfd4c8769fz.jpg,https://ae04.alicdn.com/kf/H895a89ff5456446f93cbb2a070affedf4.jpg,https://ae04.alicdn.com/kf/Hf271ef30648645918e07b4da2ad7aebbP.jpg,https://ae04.alicdn.com/kf/H2794016a9cc045b888eb72755aca3ee5A.jpg,",https://www.aliexpress.com/item/1005002133894455.html,67.00,40.20,9.00%,,40%,https://s.click.aliexpress.com/e/_AUDqVH
Genuine Leather,200129142,New Women Sheepskin Coat Autumn Winter 2021 Fashion Keep Warm Long Jacket Thicken Genuine Leather Coat Suede Outerwear Female,1005003558778694,https://ae01.alicdn.com/kf/Hbfdcc86085cc4b02af06ff091cc7c21eE/New-Women-Sheepskin-Coat-Autumn-Winter-2021-Fashion-Keep-Warm-Long-Jacket-Thicken-Genuine-Leather-Coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbfdcc86085cc4b02af06ff091cc7c21eE.jpg,https://ae04.alicdn.com/kf/H59613a1333f644c7a428fc282e30af2eX.jpg,https://ae04.alicdn.com/kf/H522c0d99ffa6495888f5c1dd5ed981f8K.jpg,https://ae04.alicdn.com/kf/H963709e13db64f358246081f8e85c924C.jpg,https://ae04.alicdn.com/kf/H3e85e1ff3c72452bb759222f92da2adfS.jpg,",https://www.aliexpress.com/item/1005003558778694.html,151.62,75.81,40.00%,,50%,https://s.click.aliexpress.com/e/_9jMkdV
