Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
"Jumpsuits, Playsuits & Bodysuits",200000362,Sexy bodysuit corset Lantern sleeve Square collar elegant 18-35 year old Party Home Casual Black female bodysuit winter,1005002012539686,https://ae01.alicdn.com/kf/H029ca8ce35ff4d0ba86bf770cd18931dL/Sexy-bodysuit-corset-Lantern-sleeve-Square-collar-elegant-18-35-year-old-Party-Home-Casual-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H029ca8ce35ff4d0ba86bf770cd18931dL.jpg,https://ae04.alicdn.com/kf/H639770a08caf4fe6b9885bb65079f6095.jpg,https://ae04.alicdn.com/kf/H3dda52f1b4f845828c76a99d0d6281feu.jpg,https://ae04.alicdn.com/kf/H160d7b21281442ccac8caa8d533a5952G.jpg,https://ae04.alicdn.com/kf/Hd0e96db7b14c42b58b73728ecd7adff3q.jpg,",https://www.aliexpress.com/item/1005002012539686.html,18.35,12.66,10.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_99Kn2K
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE Black Deep V Neck Bodysuit Women Rompers Sexy Bodycon Jumpsuit Solid Elastic Casual Party Bodysuits Body Tops Overalls,1005001781764511,https://ae01.alicdn.com/kf/Hde2ff74c772741ca8c8a58dc61a56e114/CNYISHE-Black-Deep-V-Neck-Bodysuit-Women-Rompers-Sexy-Bodycon-Jumpsuit-Solid-Elastic-Casual-Party-Bodysuits.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hde2ff74c772741ca8c8a58dc61a56e114.jpg,https://ae04.alicdn.com/kf/H1b05ef3c28954fc1a38611f4809505175.jpg,https://ae04.alicdn.com/kf/Hff6ee1b77ad44f9f8f5a8176c0a1cf7en.jpg,https://ae04.alicdn.com/kf/H54c34339f7634102a0c87c78b3b03770j.jpg,https://ae04.alicdn.com/kf/H60e73eae7d4d4f509694aa6ca09b9b0f6.jpg,",https://www.aliexpress.com/item/1005001781764511.html,17.50,10.15,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_9wpMyS
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE Mesh Sheer Patchwork Lantern Sleeve Sexy Bodysuit Women Romper Spring Fashion Streetwear Party Elegant Jumpsuit Overalls,1005001865169450,https://ae01.alicdn.com/kf/Hfcd4ba808f9347ec87984ef6d444c704q/CNYISHE-Mesh-Sheer-Patchwork-Lantern-Sleeve-Sexy-Bodysuit-Women-Romper-Spring-Fashion-Streetwear-Party-Elegant-Jumpsuit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfcd4ba808f9347ec87984ef6d444c704q.jpg,https://ae04.alicdn.com/kf/Hc3d49d48c6974afe8ecc2a732f2ccd9fn.jpg,https://ae04.alicdn.com/kf/H635f1f1b0db14ae4a5068f53b5d443b7R.jpg,https://ae04.alicdn.com/kf/H3b0c7b6ae6be42bcbfe2eb81d9d6dbafj.jpg,https://ae04.alicdn.com/kf/Hdd54a355f7174e1198fd3874d520395eF.jpg,",https://www.aliexpress.com/item/1005001865169450.html,19.50,9.17,9.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_ADiYeQ
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE 2021 Fashion Print Letter Casual Turtleneck Long Sleeve Spring Bodysuits Women Rompers Skinny Female Jumpsuits Overalls,1005001877759417,https://ae01.alicdn.com/kf/H5acce3c2305e4f16930d828e9d0a6317d/CNYISHE-2021-Fashion-Print-Letter-Casual-Turtleneck-Long-Sleeve-Spring-Bodysuits-Women-Rompers-Skinny-Female-Jumpsuits.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5acce3c2305e4f16930d828e9d0a6317d.jpg,https://ae04.alicdn.com/kf/Hf9bd674beff0499ebeb5a2682ef498e6T.jpg,https://ae04.alicdn.com/kf/He8e7fe465b4644c8a66e2b3946e1a202X.jpg,",https://www.aliexpress.com/item/1005001877759417.html,19.50,12.09,9.00%,2098-12-31,38%,https://s.click.aliexpress.com/e/_A5zu4i
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE Mesh Sheer Ruched Off Shoulder Jumpsuits Sexy Hollow Out Women Long Sleeve Bodysuit With Gloves Skinny Rompers Overalls,1005001878009248,https://ae01.alicdn.com/kf/Hf0ddcc3e4f50400da3ce01416da4484cb/CNYISHE-Mesh-Sheer-Ruched-Off-Shoulder-Jumpsuits-Sexy-Hollow-Out-Women-Long-Sleeve-Bodysuit-With-Gloves.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf0ddcc3e4f50400da3ce01416da4484cb.jpg,https://ae04.alicdn.com/kf/Hbe7a2413851a402e87e67d1e40ef5a7aD.jpg,https://ae04.alicdn.com/kf/H6eef14138ba14aa898caa56d1cc4bc388.jpg,https://ae04.alicdn.com/kf/H072aa4ad22f04c7f844470ef90bf30fat.jpg,https://ae04.alicdn.com/kf/H9f997ace1e794f8b9d5ec1d2386bfddcM.jpg,",https://www.aliexpress.com/item/1005001878009248.html,19.50,8.97,9.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_AT1dNo
"Jumpsuits, Playsuits & Bodysuits",200000362,Joskaa Snake Print Halter Sexy Women High Street Jumpsuits Hollow Out Bodycon Clubwear Rompers Female Autumn One Piece Clothes,1005001996672225,https://ae01.alicdn.com/kf/Hdda06fbae2524f95ae06910c7f600bd8o/Joskaa-Snake-Print-Halter-Sexy-Women-High-Street-Jumpsuits-Hollow-Out-Bodycon-Clubwear-Rompers-Female-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdda06fbae2524f95ae06910c7f600bd8o.jpg,https://ae04.alicdn.com/kf/H03ff2b34ee87496c9eeae4437a6af4d9U.jpg,https://ae04.alicdn.com/kf/Ha6e4431ef8be4cecb82ff2e4ba8de1cep.jpg,https://ae04.alicdn.com/kf/Hd53cd4b81fbd4ad2a2673e36e9b02991O.jpg,https://ae04.alicdn.com/kf/Hf0dfe267713d4acea0a3cf3ca628f5feQ.jpg,",https://www.aliexpress.com/item/1005001996672225.html,21.65,12.56,15.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_9vVP0m
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE Print Deep V Neck Bodysuit Women Sexy Puff Sleeve Bodycon Jumpsuit Elastic Casual Party Spring Romper Body Tops Overalls,1005001994430729,https://ae01.alicdn.com/kf/H785fcb5fb12a483a978201f0c9251d1e8/CNYISHE-Print-Deep-V-Neck-Bodysuit-Women-Sexy-Puff-Sleeve-Bodycon-Jumpsuit-Elastic-Casual-Party-Spring.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H785fcb5fb12a483a978201f0c9251d1e8.jpg,https://ae04.alicdn.com/kf/H4e9ca46093064a9c90382d40583acedfw.jpg,https://ae04.alicdn.com/kf/H30769c7699cd4b44a7cdd82483a86e53T.jpg,https://ae04.alicdn.com/kf/Ha1c8394fafc34893b16b8d2a2131d5599.jpg,https://ae04.alicdn.com/kf/H4b64fb22aa3345da8e9d53b1808e1e445.jpg,",https://www.aliexpress.com/item/1005001994430729.html,19.50,13.06,9.00%,2098-12-31,33%,https://s.click.aliexpress.com/e/_A6yXOi
"Jumpsuits, Playsuits & Bodysuits",200000362,Joskaa Sexy Bandage Hollow Out Corset Solid Long Sleeve Skinny Bodysuits Women Club Party Jumpsuits Sporty Workout Fall Rompers,1005001676498379,https://ae01.alicdn.com/kf/H4f6d9c58f8e24c47a028d8ad1816595eM/Joskaa-Sexy-Bandage-Hollow-Out-Corset-Solid-Long-Sleeve-Skinny-Bodysuits-Women-Club-Party-Jumpsuits-Sporty.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4f6d9c58f8e24c47a028d8ad1816595eM.jpg,https://ae04.alicdn.com/kf/H0b8e88eef5a54e73a0b3c4e6b253e688G.jpg,https://ae04.alicdn.com/kf/Hc05111f083df41578fc3ed8a62d0dc89g.jpg,https://ae04.alicdn.com/kf/H1e900fd7cc6b4df49d1e460bbb5a1f6ce.jpg,https://ae04.alicdn.com/kf/H8ef9246bb2b44455ac27d9fe9e8b6700u.jpg,",https://www.aliexpress.com/item/1005001676498379.html,26.65,15.46,9.00%,2098-12-31,42%,https://s.click.aliexpress.com/e/_AaredM
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE 2021 Long Sleeve Turtleneck Skinny Bodysuit Spring Women Overalls Sexy Tie Dye Print Romper Female Jumpsuits One Piece,1005001895655865,https://ae01.alicdn.com/kf/He0e094a1f9c24ee3ab17ff1f12dc1829q/CNYISHE-2021-Long-Sleeve-Turtleneck-Skinny-Bodysuit-Spring-Women-Overalls-Sexy-Tie-Dye-Print-Romper-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He0e094a1f9c24ee3ab17ff1f12dc1829q.jpg,https://ae04.alicdn.com/kf/H62fb25e41193400683debe5601694006f.jpg,",https://www.aliexpress.com/item/1005001895655865.html,18.50,8.70,9.00%,2098-12-31,53%,https://s.click.aliexpress.com/e/_AqZHhC
"Jumpsuits, Playsuits & Bodysuits",200000362,CNYISHE 2021 Spring Sexy Women Leopard Bodysuit High Cut Clubwear Bodycon Jumpsuits Women Rompers Zippers Tops Overalls Female,1005001877810119,https://ae01.alicdn.com/kf/H4c7c2b2a747f4ae0919628a1c00e4a39H/CNYISHE-2021-Spring-Sexy-Women-Leopard-Bodysuit-High-Cut-Clubwear-Bodycon-Jumpsuits-Women-Rompers-Zippers-Tops.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4c7c2b2a747f4ae0919628a1c00e4a39H.jpg,https://ae04.alicdn.com/kf/H0b9fe3352d2741aba0fbe24e236fd2dag.jpg,https://ae04.alicdn.com/kf/H4a95760750fb4bdabcb6d1eec6805a81r.jpg,https://ae04.alicdn.com/kf/Ha27fa325613948428347eb0847908b9dm.jpg,https://ae04.alicdn.com/kf/H983fd37680df4e25bab67f963c323d3du.jpg,",https://www.aliexpress.com/item/1005001877810119.html,19.50,8.97,9.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_ACM9kq
