Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Plus Size Clothes,201516501,Plus Size Sexy Evening Party Dress Women Brand Designer Summer 2021 Off Shoulder Ruffle Yellow Long Bodycon Dresses Floor-length,1005003003988101,https://ae01.alicdn.com/kf/Ha52632981ca545bd887cad6ab4f15229u/Plus-Size-Sexy-Evening-Party-Dress-Women-Brand-Designer-Summer-2021-Off-Shoulder-Ruffle-Yellow-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha52632981ca545bd887cad6ab4f15229u.jpg,https://ae04.alicdn.com/kf/H833be26901d146a3b810539e87d66dcdV.jpg,https://ae04.alicdn.com/kf/H4bfff7fd99f94a0d940012f46eb1393ce.jpg,https://ae04.alicdn.com/kf/Hbd6eaafb2e694645b87f7577135999bbr.jpg,https://ae04.alicdn.com/kf/H273d988c723e4d97ba4dd29bbf782627N.jpg,",https://www.aliexpress.com/item/1005003003988101.html,83.49,41.74,13.00%,,50%,https://s.click.aliexpress.com/e/_ATBQtN
Plus Size Clothes,201516501,Plus Size Dress Spring New Fashion Solid Color Stretch Ice Silk Bronzing Fabric Pleated Cross Sexy Nightclub Party Dresses 2022,1005003792429761,https://ae01.alicdn.com/kf/See2d852a6ca44b758e7a1f2d4ce8f144R/Plus-Size-Dress-Spring-New-Fashion-Solid-Color-Stretch-Ice-Silk-Bronzing-Fabric-Pleated-Cross-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/See2d852a6ca44b758e7a1f2d4ce8f144R.jpg,https://ae04.alicdn.com/kf/Saf729cc4ad2c4d03a7620b7a58c6cd9co.jpg,https://ae04.alicdn.com/kf/S639a2928901248df9941c8d485d007b5M.jpg,https://ae04.alicdn.com/kf/S93f6c6dd6a944d88bdb251f8ef96da1f5.jpg,https://ae04.alicdn.com/kf/S66c291a261294465b221156892c995c13.jpg,",https://www.aliexpress.com/item/1005003792429761.html,45.03,22.51,30.00%,,50%,https://s.click.aliexpress.com/e/_979LMR
Plus Size Clothes,201516501,Plus Size Dress Sexy See-through Mesh Stitching Fringed High Waist Large Size Slim Casual Casual Bag Hip Dress Party Dresses,1005003772766357,https://ae01.alicdn.com/kf/S8c0945795be34d64b48e9ac07892d7b4h/Plus-Size-Dress-Sexy-See-through-Mesh-Stitching-Fringed-High-Waist-Large-Size-Slim-Casual-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S8c0945795be34d64b48e9ac07892d7b4h.jpg,https://ae04.alicdn.com/kf/S79e451cde012462ab701a0cec45e7f05E.jpg,https://ae04.alicdn.com/kf/S0eba54c0315540ebb06a99ad3b965f84i.jpg,https://ae04.alicdn.com/kf/S25299056e4324c79ad61634fee3910c3l.jpg,https://ae04.alicdn.com/kf/S641ea63bccf24643a6fea30b4a19470d0.jpg,",https://www.aliexpress.com/item/1005003772766357.html,47.61,23.80,30.00%,,50%,https://s.click.aliexpress.com/e/_AZlX0r
Plus Size Clothes,201516501,Plus Size Bodycon Party Dress Women Split Floor-Length V-Neck High Waist Sexy Evening Black Long Dresses Long Sleeve Autumn New,1005002995879069,https://ae01.alicdn.com/kf/H53a820cafe0947388e2b0ae9f594b010c/Plus-Size-Bodycon-Party-Dress-Women-Split-Floor-Length-V-Neck-High-Waist-Sexy-Evening-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H53a820cafe0947388e2b0ae9f594b010c.jpg,https://ae04.alicdn.com/kf/H51ec6c1502cf4472b60b6157105f81d1o.jpg,https://ae04.alicdn.com/kf/H488e9073383d458e9839dce3df394ac7i.jpg,",https://www.aliexpress.com/item/1005002995879069.html,47.59,23.79,12.00%,,50%,https://s.click.aliexpress.com/e/_9u0MQB
Plus Size Clothes,201516501,Women's Dress Plus Size Turtleneck Long Sleeves 2022 Spring Printed Pleated African New Fashion Female Maxi Dresses Big Size,1005003772616147,https://ae01.alicdn.com/kf/S9a28f9e8a65746d5b1e8c9cdeae044ba2/Women-s-Dress-Plus-Size-Turtleneck-Long-Sleeves-2022-Spring-Printed-Pleated-African-New-Fashion-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S9a28f9e8a65746d5b1e8c9cdeae044ba2.jpg,https://ae04.alicdn.com/kf/Sad843d7148454f2cba46a049a425f847Z.jpg,https://ae04.alicdn.com/kf/Se0db46cca92740db875e8c601ed94336u.jpg,https://ae04.alicdn.com/kf/S3e57bde225e746ceb9b885d5ba840dbd7.jpg,https://ae04.alicdn.com/kf/S0ae4e30ed95a44d4af1c9565e7f4bf70P.jpg,",https://www.aliexpress.com/item/1005003772616147.html,51.15,25.57,30.00%,,50%,https://s.click.aliexpress.com/e/_Amjm7h
Plus Size Clothes,201516501,Women's Plus Size Dress Fat Ladies Fashion Nightclub Feather Sexy Diamond Solid Color Dress Autumn Spring New Party Dresses,1005003782831287,https://ae01.alicdn.com/kf/Sa1182b9ff6214a2788b4a2b88c8556cbB/Women-s-Plus-Size-Dress-Fat-Ladies-Fashion-Nightclub-Feather-Sexy-Diamond-Solid-Color-Dress-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa1182b9ff6214a2788b4a2b88c8556cbB.jpg,https://ae04.alicdn.com/kf/S208e0dc3c9e44794a13ceeb36592334aX.jpg,https://ae04.alicdn.com/kf/Sb3cd8b54d99945bbb127ce8e87f6cfe45.jpg,https://ae04.alicdn.com/kf/Sbf44d53171de4c498e03fa8b123d5fe6f.jpg,https://ae04.alicdn.com/kf/Sc35f04519f26453e88ec12984ac39d82J.jpg,",https://www.aliexpress.com/item/1005003782831287.html,46.61,23.30,30.00%,,50%,https://s.click.aliexpress.com/e/_AK41Np
Plus Size Clothes,201516501,Plus Size Dress Spring New Fashion Solid Color Stretch Ice Silk Bronzing Fabric Pleated Cross Sexy Nightclub Party Dresses 2022,1005003792399812,https://ae01.alicdn.com/kf/S57694a53badc474f88f76773d48a005ff/Plus-Size-Dress-Spring-New-Fashion-Solid-Color-Stretch-Ice-Silk-Bronzing-Fabric-Pleated-Cross-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S57694a53badc474f88f76773d48a005ff.jpg,https://ae04.alicdn.com/kf/Sb7c5e712136e495da524beba286cb9098.jpg,https://ae04.alicdn.com/kf/Sa14dbb54d08d44e2b08c95768eb702c6c.jpg,https://ae04.alicdn.com/kf/S4319af25327e402a9b002ee755faf07du.jpg,https://ae04.alicdn.com/kf/Sa419765ac057466eb5754700fd2cea11W.jpg,",https://www.aliexpress.com/item/1005003792399812.html,45.03,22.51,30.00%,,50%,https://s.click.aliexpress.com/e/_9gsx0n
Plus Size Clothes,201516501,Women's Plus Size Dress Round Neck Solid Color Lace Stitching Long Sleeve Waist One-step Skirt Spring Ladies New 2022 Fashion,1005003791746241,https://ae01.alicdn.com/kf/Sf926cc4adb7041aaa215224186737ee9x/Women-s-Plus-Size-Dress-Round-Neck-Solid-Color-Lace-Stitching-Long-Sleeve-Waist-One-step.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sf926cc4adb7041aaa215224186737ee9x.jpg,https://ae04.alicdn.com/kf/Sc1735b475a9b486c890748ce7a3b4b0bC.jpg,https://ae04.alicdn.com/kf/Sfd28dfda8df7476aa39a0c7f9e78aafdc.jpg,https://ae04.alicdn.com/kf/S2650dff2f7894028a6299dfcb40fcc0ai.jpg,https://ae04.alicdn.com/kf/S962303115eac4a0ba20fca4a457f6901e.jpg,",https://www.aliexpress.com/item/1005003791746241.html,48.16,24.08,30.00%,,50%,https://s.click.aliexpress.com/e/_9zwCY7
Plus Size Clothes,201516501,Plus Size Dress V-neck See-through Mesh And Fringed Long-sleeved Performance Costume Women's Clothing Evening Prom Party Dress,1005003792395722,https://ae01.alicdn.com/kf/S90abb648c56c48f68403d9341b4e46c6R/Plus-Size-Dress-V-neck-See-through-Mesh-And-Fringed-Long-sleeved-Performance-Costume-Women-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S90abb648c56c48f68403d9341b4e46c6R.jpg,https://ae04.alicdn.com/kf/Sa91749412bcb464c9c3c91f7e2a9dc4fH.jpg,https://ae04.alicdn.com/kf/S60d05d0ee2b549af9a67613fa48973cau.jpg,https://ae04.alicdn.com/kf/S8eadb8fcf2014b6bbfa23324d319b1e6v.jpg,https://ae04.alicdn.com/kf/Seceeea4a90324c76bbdb5b2421f35bc1G.jpg,",https://www.aliexpress.com/item/1005003792395722.html,52.56,26.28,30.00%,,50%,https://s.click.aliexpress.com/e/_A1gdOj
Plus Size Clothes,201516501,Plus Size Dress Cardigan Long Skirt Temperament Commuter Blue Denim Stitching Mesh Skirt Autumn Spring New Fashion A-line Dress,1005003772518872,https://ae01.alicdn.com/kf/S6e50bb499f6e4bdeb9303401b9a085adD/Plus-Size-Dress-Cardigan-Long-Skirt-Temperament-Commuter-Blue-Denim-Stitching-Mesh-Skirt-Autumn-Spring-New.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S6e50bb499f6e4bdeb9303401b9a085adD.jpg,https://ae04.alicdn.com/kf/S68fff1e318064e65af623f0ee26d56a1w.jpg,https://ae04.alicdn.com/kf/Sbf6e05116c7a4494b05bced42157bb55g.jpg,https://ae04.alicdn.com/kf/S3f4a02ed0660452aa5e0bbcf6adde3bcM.jpg,https://ae04.alicdn.com/kf/S63b2ded56dbb4dc68a6d857ae5ef89201.jpg,",https://www.aliexpress.com/item/1005003772518872.html,53.88,26.94,30.00%,,50%,https://s.click.aliexpress.com/e/_9JGP1h
Plus Size Clothes,201516501,2021 New Casual Womens Dress Fashion Printing Plus Size High Waist V-neck African 4XL Western Style Temperament Ladies Dress,1005003409995588,https://ae01.alicdn.com/kf/H78612984b8a84569be38ae314e695cbcU/2021-New-Casual-Womens-Dress-Fashion-Printing-Plus-Size-High-Waist-V-neck-African-4XL-Western.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H78612984b8a84569be38ae314e695cbcU.jpg,https://ae04.alicdn.com/kf/H7c36d0560fae42d885b6b7deb3e5da67Y.jpg,https://ae04.alicdn.com/kf/Hbae7afca4f7c40beb2c0ae0839fdafd7h.jpg,",https://www.aliexpress.com/item/1005003409995588.html,46.05,23.02,18.00%,,50%,https://s.click.aliexpress.com/e/_ABr66n
Plus Size Clothes,201516501,ADEWEL Women Elegant Tops Shirt Plus Size Long Sleeve Ruffle 4XL Tops 2021 Fashion Caramel Solid T Shirt Female Spring Blusas,1005002431100515,https://ae01.alicdn.com/kf/H820acf4e794a48468f373302783ef434c/ADEWEL-Women-Elegant-Tops-Shirt-Plus-Size-Long-Sleeve-Ruffle-4XL-Tops-2021-Fashion-Caramel-Solid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H820acf4e794a48468f373302783ef434c.jpg,https://ae04.alicdn.com/kf/Ha9e19549f2f64c118924d28096070214C.jpg,https://ae04.alicdn.com/kf/H202cc1ced6744919b117a649a0516792U.jpg,https://ae04.alicdn.com/kf/H8a40b91e947740c3b6374ae34c66ea36C.jpg,https://ae04.alicdn.com/kf/H98246b5aca8848169597b3200a13aed9S.jpg,",https://www.aliexpress.com/item/1005002431100515.html,32.08,16.04,9.00%,,50%,https://s.click.aliexpress.com/e/_AKQOvV
Plus Size Clothes,201516501,Plus Size Tops Fashion Pit Strip Hot Stamping Cloth V-neck Pleated Drawstring Sleeve Top Sexy Nightclub Party  Blouse For Ladies,1005003792627158,https://ae01.alicdn.com/kf/Sf5e8d18fe5c340e6af8f7cbb2095bc1fo/Plus-Size-Tops-Fashion-Pit-Strip-Hot-Stamping-Cloth-V-neck-Pleated-Drawstring-Sleeve-Top-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sf5e8d18fe5c340e6af8f7cbb2095bc1fo.jpg,https://ae04.alicdn.com/kf/Sf3fe697e5c30446c979c967ff2dd9ddcA.jpg,https://ae04.alicdn.com/kf/Sf4e4448c4a364aac9558d5a8e97dd864K.jpg,https://ae04.alicdn.com/kf/Sd0519dd2494d41119a1c367553021497q.jpg,https://ae04.alicdn.com/kf/S6e957d2ff2cf42b596032914e3baa16ea.jpg,",https://www.aliexpress.com/item/1005003792627158.html,37.62,18.81,30.00%,,50%,https://s.click.aliexpress.com/e/_Af3oXp
Plus Size Clothes,201516501,Women Asymmetric Oversized Dress Ruffle Fashion Bodycon Midi Dresses African Office Ladies Casual Vestidos Plus Size Summer 2022,1005003773057789,https://ae01.alicdn.com/kf/H5c2a21dd775a43bfadf381f08f8589ebZ/Women-Asymmetric-Oversized-Dress-Ruffle-Fashion-Bodycon-Midi-Dresses-African-Office-Ladies-Casual-Vestidos-Plus-Size.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5c2a21dd775a43bfadf381f08f8589ebZ.jpg,https://ae04.alicdn.com/kf/Hb3fc646f9da447ea8b58d0082c091c1a2.jpg,https://ae04.alicdn.com/kf/H5b93ad7dc74d491f959a18e1f2ef4441u.jpg,",https://www.aliexpress.com/item/1005003773057789.html,45.07,22.53,30.00%,,50%,https://s.click.aliexpress.com/e/_A1eCaP
