Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Shorts,200000367,Womens Striped High Waist Shorts Bandage Pockets Ladies Summer Casual Beach Mini Shorts Streetwear S-2XL,1005001722448579,https://ae01.alicdn.com/kf/Hbd705c6b2e3f4e0babfc58f37d2dcf110/Womens-Striped-High-Waist-Shorts-Bandage-Pockets-Ladies-Summer-Casual-Beach-Mini-Shorts-Streetwear-S-2XL.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbd705c6b2e3f4e0babfc58f37d2dcf110.jpg,https://ae04.alicdn.com/kf/Hd8e16caba8fc49f7b532c5c88b281aed9.jpg,https://ae04.alicdn.com/kf/H25d8ff80b4d848999448d4ffd078de5c6.jpg,https://ae04.alicdn.com/kf/Hcdd03473c99a4e3597c52e953b15b9c6r.jpg,https://ae04.alicdn.com/kf/Hcc169982b3f94b71b687442d8e686fc4E.jpg,",https://www.aliexpress.com/item/1005001722448579.html,7.23,4.70,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9HGyno
Shorts,200000367,Sports Shorts for Women 2021 New Cycling Running Fitness High Waist Push Up Hip Side Pocket Tight Gym Shorts Leggings Quick-dry,1005002342936783,https://ae01.alicdn.com/kf/Hde95885e16f1400eb8ebed927516e1b69/Sports-Shorts-for-Women-2021-New-Cycling-Running-Fitness-High-Waist-Push-Up-Hip-Side-Pocket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hde95885e16f1400eb8ebed927516e1b69.jpg,https://ae04.alicdn.com/kf/H22e29127e7cb46579447b4f21cf72aa4C.jpg,https://ae04.alicdn.com/kf/H71d02ae40e894d0dbe0aab4ceac9cf1fA.jpg,https://ae04.alicdn.com/kf/H95df00a40a3f40d79ca71dcfa748277fR.jpg,https://ae04.alicdn.com/kf/H32835d91d99f4f02be6d270998a3fb7ct.jpg,",https://www.aliexpress.com/item/1005002342936783.html,33.00,6.60,15.00%,2098-12-31,80%,https://s.click.aliexpress.com/e/_A2v40E
Shorts,200000367,Summer Women Sports Shorts Short Pants Gym Workout Waistband Running Jogging Short,1005002311409486,https://ae01.alicdn.com/kf/H4017202ead454d2cb9ca0b7f8964efc16/Summer-Women-Sports-Shorts-Short-Pants-Gym-Workout-Waistband-Running-Jogging-Short.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4017202ead454d2cb9ca0b7f8964efc16.jpg,https://ae04.alicdn.com/kf/Hc7595e97f36a4cefbfcb1553d1ed8da2w.jpg,https://ae04.alicdn.com/kf/H8275d24ac95f4894898382d57d3674b9R.jpg,https://ae04.alicdn.com/kf/H1131550f5739407b8fae4357d0e03f03O.jpg,https://ae04.alicdn.com/kf/H5c11fb7c14c94afbbc1f581c1a5d0941w.jpg,",https://www.aliexpress.com/item/1005002311409486.html,7.11,3.56,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AsQxXc
Shorts,200000367,Europe Blue Crimping Denim Shorts For Women Summer New Brand Trendy Slim Casual Plus Size Womens High Waist Shorts,1005002273859211,https://ae01.alicdn.com/kf/Hdd02cf79a08d4edfb5a69914f3b256f2Y/Europe-Blue-Crimping-Denim-Shorts-For-Women-Summer-New-Brand-Trendy-Slim-Casual-Plus-Size-Womens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdd02cf79a08d4edfb5a69914f3b256f2Y.jpg,https://ae04.alicdn.com/kf/H97fa9b98d0cd404f81bec4f51e36f045G.jpg,",https://www.aliexpress.com/item/1005002273859211.html,29.17,14.59,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9fdr6a
Shorts,200000367,Hot sale summer woman denim shorts high waist ripped jeans shorts fashion sexy female shorts S-2XL drop shipping new,1005002273643879,https://ae01.alicdn.com/kf/H18c253e930234e3bbf0c2c0943f6e26bi/Hot-sale-summer-woman-denim-shorts-high-waist-ripped-jeans-shorts-fashion-sexy-female-shorts-S.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H18c253e930234e3bbf0c2c0943f6e26bi.jpg,https://ae04.alicdn.com/kf/H700107ab6b7a4a0ebe82723e39d07729x.jpg,https://ae04.alicdn.com/kf/Hba398ea95e5741028968dbab846e183cB.jpg,https://ae04.alicdn.com/kf/H70b56e7127ff4aa99bb7b66e7c3b526aD.jpg,https://ae04.alicdn.com/kf/H76daf9da23884daa81aeab06f5a8a40aF.jpg,",https://www.aliexpress.com/item/1005002273643879.html,15.78,7.89,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AkD9ww
Shorts,200000367,Korean Fashion Sexy Women Slim High Waist Jeans Shorts Denim Bottoms Hot Short Shorts Tight A Side Button shorts,1005002273853173,https://ae01.alicdn.com/kf/Hcb14f7242a4e4d47aba4f6e14a884554F/Korean-Fashion-Sexy-Women-Slim-High-Waist-Jeans-Shorts-Denim-Bottoms-Hot-Short-Shorts-Tight-A.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcb14f7242a4e4d47aba4f6e14a884554F.jpg,https://ae04.alicdn.com/kf/H9f30f9d549754cfbb179d823ab953714R.jpg,https://ae04.alicdn.com/kf/H83fcf33f83cc4eeea93bd9db3dbd52e7T.jpg,https://ae04.alicdn.com/kf/Hed7d0ee600314c7c96b9ecb3186232a0U.jpg,https://ae04.alicdn.com/kf/He5b24e90e3854155bdfa544ebec2986cD.jpg,",https://www.aliexpress.com/item/1005002273853173.html,13.56,6.78,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ApTtV0
Shorts,200000367,2021 Summer Women's Solid Shorts Sexy Ladies High Waist Casual Buttom Bandage Beach Hot Shorts Womens Plus Size S-5XL,1005002355529900,https://ae01.alicdn.com/kf/Hec574ab913b04990afde359714049518R/2021-Summer-Women-s-Solid-Shorts-Sexy-Ladies-High-Waist-Casual-Buttom-Bandage-Beach-Hot-Shorts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hec574ab913b04990afde359714049518R.jpg,https://ae04.alicdn.com/kf/Hd5aa19946450410cad3fff2e1c41fb28L.jpg,https://ae04.alicdn.com/kf/Hf4970d9010e74c89ac144e1f81c23645O.jpg,https://ae04.alicdn.com/kf/H0946e2d3a7f549199d97886bd7fdaf944.jpg,",https://www.aliexpress.com/item/1005002355529900.html,14.55,7.28,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_APeU9y
Shorts,200000367,Women Slim Denim Shorts Stretch Lace Stitching Jeans Shorts Ladies Casual Regular Short,1005002284188808,https://ae01.alicdn.com/kf/Hf0189342ff574e2f97fe600aba8f1465p/Women-Slim-Denim-Shorts-Stretch-Lace-Stitching-Jeans-Shorts-Ladies-Casual-Regular-Short.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf0189342ff574e2f97fe600aba8f1465p.jpg,https://ae04.alicdn.com/kf/He870c2bdc1da451296cb92ba181ae2f3x.jpg,https://ae04.alicdn.com/kf/H67b3588ce05b496ca09dfda47fffb951U.jpg,https://ae04.alicdn.com/kf/H0c20515570d1453982d1c95f8c4ee8a51.jpg,https://ae04.alicdn.com/kf/Hcb32bf6a967944bda72a4c6ec0a967dbX.jpg,",https://www.aliexpress.com/item/1005002284188808.html,33.13,16.57,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9HEQgw
Shorts,200000367,Women Shorts Casual Denim Shorts Crimping High Waist Slim Summer Jeans Shorts Feminino Chic Hot Ladies Bottom,1005002284171852,https://ae01.alicdn.com/kf/Ha559de8b474e46b2a50f709830a5669cY/Women-Shorts-Casual-Denim-Shorts-Crimping-High-Waist-Slim-Summer-Jeans-Shorts-Feminino-Chic-Hot-Ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha559de8b474e46b2a50f709830a5669cY.jpg,https://ae04.alicdn.com/kf/Ha79d004fa5f443d5b841eece8651652ah.jpg,https://ae04.alicdn.com/kf/H07184002d13a4878a44f4a2e7f6290f53.jpg,https://ae04.alicdn.com/kf/Hfa65eecce0324d2ebee13bb628b08aaay.jpg,https://ae04.alicdn.com/kf/Hb88b00fd0ac64284895dc0106e1f83c0H.jpg,",https://www.aliexpress.com/item/1005002284171852.html,35.90,17.95,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A2nrbG
Shorts,200000367,2021 New Arrival Casual Summer Hot Sale Pocket Jeans Denim Women Shorts High Waists Tassel Bandage sexy short Jeans,1005002273704010,https://ae01.alicdn.com/kf/H30e10f5d940a4009ac118d8fe4628bb1e/2021-New-Arrival-Casual-Summer-Hot-Sale-Pocket-Jeans-Denim-Women-Shorts-High-Waists-Tassel-Bandage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H30e10f5d940a4009ac118d8fe4628bb1e.jpg,https://ae04.alicdn.com/kf/H927e7f999d6748479de6fc3e215d091ak.jpg,https://ae04.alicdn.com/kf/H6c2a1550157e46d38e85d7bf1ba452ca5.jpg,https://ae04.alicdn.com/kf/H118dcd383a6d4d688af61e1aa797bdf4Z.jpg,https://ae04.alicdn.com/kf/H759c0271c3e04c44b7dad0198d0461edH.jpg,",https://www.aliexpress.com/item/1005002273704010.html,25.58,12.79,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A9394A
