Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Swimwears,200001918,Swimsuit female sexy cover belly show thin split ins super fairy three piece Student Korean conservative Bikini Swimsuit,1005002368234999,https://ae01.alicdn.com/kf/Hf7df65b3ccf24d1e9ec011944fe1289cZ/Swimsuit-female-sexy-cover-belly-show-thin-split-ins-super-fairy-three-piece-Student-Korean-conservative.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf7df65b3ccf24d1e9ec011944fe1289cZ.jpg,https://ae04.alicdn.com/kf/H4098d7800eaa49409dad589ffe695f852.jpg,https://ae04.alicdn.com/kf/Hf52e64930a6a4399ba8341421de9bbd8x.jpg,https://ae04.alicdn.com/kf/H8cab56ce82e549709336601c2e6492afN.jpg,https://ae04.alicdn.com/kf/Hbd78041335a0496a80dfe48025c2602eC.jpg,",https://www.aliexpress.com/item/1005002368234999.html,60.36,15.69,9.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_ALYoOQ
Swimwears,200001918,2020 New Bikini High Waist Strapless Sexy Bikini Women Swimwear Women Swimsuit Padded Bathing Suit Monokin Pure Color,1005002235196191,https://ae01.alicdn.com/kf/H1903562f12b14f8a869dfdaca7a5361aD/2020-New-Bikini-High-Waist-Strapless-Sexy-Bikini-Women-Swimwear-Women-Swimsuit-Padded-Bathing-Suit-Monokin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1903562f12b14f8a869dfdaca7a5361aD.jpg,https://ae04.alicdn.com/kf/H7b526bdbe3d84fd0b64027ad4bff78cbH.jpg,https://ae04.alicdn.com/kf/H98914e446fc94a48a883900ab0e40f0dK.jpg,https://ae04.alicdn.com/kf/Hfd7609eb514343a5986f2d14bc08b7ddI.jpg,https://ae04.alicdn.com/kf/H588a6388e05148b1b8eb6c5ffc7bce1fQ.jpg,",https://www.aliexpress.com/item/1005002235196191.html,15.22,10.65,40.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AB5Oh4
Swimwears,200001918,Push Up Bikinis 2020 Bikini Set High Waist Swimwear Women Swimsuit Female Swimming Suit Bathing Suit Print Biquini Bikini Set,1005002284442203,https://ae01.alicdn.com/kf/Hfa2b79e4246a47bdb47e3b9949aa7227l/Push-Up-Bikinis-2020-Bikini-Set-High-Waist-Swimwear-Women-Swimsuit-Female-Swimming-Suit-Bathing-Suit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfa2b79e4246a47bdb47e3b9949aa7227l.jpg,https://ae04.alicdn.com/kf/H12c4ea5a8ea54899b8340d91a2a67fb6k.jpg,https://ae04.alicdn.com/kf/Hcbcddb99781c4a2fae4c37f5b7ea0336I.jpg,https://ae04.alicdn.com/kf/Ha1ed27120060436bb7f40557cb6306ceJ.jpg,https://ae04.alicdn.com/kf/H04b6cb0ce7b94cdfab90ae166fc1a40fM.jpg,",https://www.aliexpress.com/item/1005002284442203.html,35.93,17.97,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A4IZvg
Swimwears,200001918,Push Up Swimsuit Female Patchwork Swimwear For Women Bathing Suit High Waist Bikini Set Sport Wear Swimming Suit Sexy Bikini,1005002284465115,https://ae01.alicdn.com/kf/H1f7b86e0fa094c0ebb545912503863a6n/Push-Up-Swimsuit-Female-Patchwork-Swimwear-For-Women-Bathing-Suit-High-Waist-Bikini-Set-Sport-Wear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1f7b86e0fa094c0ebb545912503863a6n.jpg,https://ae04.alicdn.com/kf/H757cb9966cf442e0aa2a78e634849cacu.jpg,https://ae04.alicdn.com/kf/H858f296d57484c00bec08fd4296d5918I.jpg,https://ae04.alicdn.com/kf/H5069ef1518d04f88873d40da5f2069bc6.jpg,https://ae04.alicdn.com/kf/Haece4cf410034b669050b3b74c047eafB.jpg,",https://www.aliexpress.com/item/1005002284465115.html,39.17,19.59,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AStHcm
Swimwears,200001918,Push Up Bikinis 2020 Sexy Women Swimsuit Swimwear Female Lace Print Thong Brazilian Bikini Set Biquini Bathing Suit Women,1005002284348339,https://ae01.alicdn.com/kf/H1fdfb1bc06884ef8acb9c7943eb88fbfl/Push-Up-Bikinis-2020-Sexy-Women-Swimsuit-Swimwear-Female-Lace-Print-Thong-Brazilian-Bikini-Set-Biquini.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1fdfb1bc06884ef8acb9c7943eb88fbfl.jpg,https://ae04.alicdn.com/kf/H250a69d620234aca98f0ad3f917baa9bM.jpg,https://ae04.alicdn.com/kf/Hfd4f4855fb444124890c55428297793cV.jpg,https://ae04.alicdn.com/kf/Ha6f71d0715c8467987286748626e2e9d0.jpg,https://ae04.alicdn.com/kf/Hce09493a386c4cdf914f711ceaf3e2a3t.jpg,",https://www.aliexpress.com/item/1005002284348339.html,38.70,19.35,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AYPOFC
Swimwears,200001918,Sexy Bikini 2021 Pleated Bandeau Swimsuit Female Swimwear Women Mini Thong Bikini Set Bather Swimming Beachwear for Bathing Suit,1005002364005985,https://ae01.alicdn.com/kf/He6a901e160474c2293bc9ecba5c09e9fR/Sexy-Bikini-2021-Pleated-Bandeau-Swimsuit-Female-Swimwear-Women-Mini-Thong-Bikini-Set-Bather-Swimming-Beachwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He6a901e160474c2293bc9ecba5c09e9fR.jpg,https://ae04.alicdn.com/kf/Hbd73c57376ff4069b8e87e6e277631e9h.jpg,https://ae04.alicdn.com/kf/Hc13b61009b544bc189c026159eaee893n.jpg,https://ae04.alicdn.com/kf/H7b08eae06e83440b8625f79a56f08f1ep.jpg,https://ae04.alicdn.com/kf/H071652c438dd4e678d93205eb8cad246t.jpg,",https://www.aliexpress.com/item/1005002364005985.html,29.06,14.53,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9zJwfg
Swimwears,200001918,Bikini 2021 Micro Sexy Swimsuit Women Push Up Swimwear Two Piece Bikini Set Solid Bather Bathing Suit Swim Suit Female,1005002363938723,https://ae01.alicdn.com/kf/Ha8471ef9bbb64f96b01a0173064584572/Bikini-2021-Micro-Sexy-Swimsuit-Women-Push-Up-Swimwear-Two-Piece-Bikini-Set-Solid-Bather-Bathing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha8471ef9bbb64f96b01a0173064584572.jpg,https://ae04.alicdn.com/kf/Hd2b3ba5427af46d481c0343cb64cb2eb9.jpg,https://ae04.alicdn.com/kf/Hd4f499af29004ae1a0243f1d24afd0801.jpg,https://ae04.alicdn.com/kf/Hf6763863182e40a99520a94bc6860357N.jpg,https://ae04.alicdn.com/kf/H87b127c6d56e4269a5c44b592c7d428e1.jpg,",https://www.aliexpress.com/item/1005002363938723.html,24.58,12.29,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AmBdqS
Swimwears,200001918,Sexy Swimwear 2020 Bikinis Black  Swimming Suit For Women Dot Polka Swimsuit Padded Push-up Bikini Set,1005002363996618,https://ae01.alicdn.com/kf/H4893e14c812148edaa523c6ed31bb6f9g/Sexy-Swimwear-2020-Bikinis-Black-Swimming-Suit-For-Women-Dot-Polka-Swimsuit-Padded-Push-up-Bikini.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4893e14c812148edaa523c6ed31bb6f9g.jpg,https://ae04.alicdn.com/kf/H6d0e092954a4418b81eb39d51192a7e9R.jpg,https://ae04.alicdn.com/kf/Haa751b640f8b440d852010e56eaaaa33K.jpg,https://ae04.alicdn.com/kf/Ha821f6257f544058a99a55e932b0c3e1O.jpg,https://ae04.alicdn.com/kf/H01c5a6a0946b484dad5c442e64a69368r.jpg,",https://www.aliexpress.com/item/1005002363996618.html,27.94,13.97,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9ha9dY
Swimwears,200001918,Bikini 2020 Chest Pad Bikini Set Push Up Padded Bikinis Swimsuit Women Swimwear Women 2020 Thicker Breathable Sponge Bra Pad,1005002364235260,https://ae01.alicdn.com/kf/H12b8bcd7a22144689fb5a839821764d4R/Bikini-2020-Chest-Pad-Bikini-Set-Push-Up-Padded-Bikinis-Swimsuit-Women-Swimwear-Women-2020-Thicker.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12b8bcd7a22144689fb5a839821764d4R.jpg,https://ae04.alicdn.com/kf/H05e301d76e9b44188c433ce88bf33439U.jpg,https://ae04.alicdn.com/kf/H4b8e2d8e8d55422282c0ad242c730d81A.jpg,https://ae04.alicdn.com/kf/Ha413ac1a76994f489f1dfe244fc71812X.jpg,https://ae04.alicdn.com/kf/H52bba240eb8343688feee1f9073aed9eY.jpg,",https://www.aliexpress.com/item/1005002364235260.html,6.55,3.28,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A19JVu
Swimwears,200001918,2021 new one-piece fairy skirt small fresh hot spring beach holiday style sexy hollow slim see-through skirt swimsuit,1005002368583686,https://ae01.alicdn.com/kf/H24c680303ccf426e8da3ba27f8afc1ccb/2021-new-one-piece-fairy-skirt-small-fresh-hot-spring-beach-holiday-style-sexy-hollow-slim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H24c680303ccf426e8da3ba27f8afc1ccb.jpg,https://ae04.alicdn.com/kf/Hffae8badbf60493ead05b2cab2aba7eeZ.jpg,https://ae04.alicdn.com/kf/Hb0ad7f522ceb4fac85677a0806423b92D.jpg,https://ae04.alicdn.com/kf/H878de2226bda42258dfb8bfbba465d10B.jpg,https://ae04.alicdn.com/kf/Ha10536a65c954fd59ddfb0ae47a6416fR.jpg,",https://www.aliexpress.com/item/1005002368583686.html,79.00,20.54,9.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_AlLBum
Swimwears,200001918,2021 New Embroidered Swimsuit Women's Split Flat-angle Skirt Covering Belly Thin Half-Long Sleeve Sunscreen Swimwear,1005002368575409,https://ae01.alicdn.com/kf/Hd76e82a12bef410fa078295c06c053c2i/2021-New-Embroidered-Swimsuit-Women-s-Split-Flat-angle-Skirt-Covering-Belly-Thin-Half-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd76e82a12bef410fa078295c06c053c2i.jpg,https://ae04.alicdn.com/kf/H0a2637d07400410eaa6e1f9ea7b815fb0.jpg,https://ae04.alicdn.com/kf/H76600a8c46c34e6a9e7fb612ee3508c0u.jpg,https://ae04.alicdn.com/kf/H14d1117a9a724ad0b111af1accb15d99w.jpg,https://ae04.alicdn.com/kf/H42bef42b6e054a0ebad72698ba925a8ap.jpg,",https://www.aliexpress.com/item/1005002368575409.html,75.00,19.50,9.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_9JCqkS
Swimwears,200001918,2021 fashion swimsuit female bikini Korean conservative three-piece split student sexy small breast hot spring bikini,1005002368492420,https://ae01.alicdn.com/kf/H41a91bf83f784965984e466d49c853e6t/2021-fashion-swimsuit-female-bikini-Korean-conservative-three-piece-split-student-sexy-small-breast-hot-spring.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H41a91bf83f784965984e466d49c853e6t.jpg,https://ae04.alicdn.com/kf/H80f9151c412a4fae8634cc9c4b9807e6X.jpg,https://ae04.alicdn.com/kf/H644a5edaed214bf2af73004c9d6c46570.jpg,https://ae04.alicdn.com/kf/H3808cdad310c4299be779a0633c8d90bv.jpg,https://ae04.alicdn.com/kf/H09ad0e92940a4044a9037e59412f22beV.jpg,",https://www.aliexpress.com/item/1005002368492420.html,76.00,19.76,9.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_A4k8NM
Swimwears,200001918,2021 Swimsuit Multicolor Sexy Solid Color High Waist Split Swimsuit Bikin Fairy Fan Mesh Bikini Set,1005002368364770,https://ae01.alicdn.com/kf/Hdf6ade2c47ad48a087beb7f754805390E/2021-Swimsuit-Multicolor-Sexy-Solid-Color-High-Waist-Split-Swimsuit-Bikin-Fairy-Fan-Mesh-Bikini-Set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdf6ade2c47ad48a087beb7f754805390E.jpg,https://ae04.alicdn.com/kf/H66fc663dd9dc492f9f0ef0bc3aaac17fe.jpg,https://ae04.alicdn.com/kf/H9eaca3d306b447ef8629ecb9b4286b60D.jpg,https://ae04.alicdn.com/kf/H62833a2cce254f32ba12db4cf971d75cN.jpg,https://ae04.alicdn.com/kf/Hac37bdb19393466488649069070d2d8bc.jpg,",https://www.aliexpress.com/item/1005002368364770.html,75.00,19.50,9.00%,2098-12-31,74%,https://s.click.aliexpress.com/e/_9QTume
Swimwears,200001918,Drop Shipping Sexy Push Up Unpadded Brazilian Bikini Set Women 4 Colors Bandage Bikini Set Swimsuit e Swimwear Bathing,1005002370218900,https://ae01.alicdn.com/kf/H04a8db7eaca542d98013dbb1207f22460/Drop-Shipping-Sexy-Push-Up-Unpadded-Brazilian-Bikini-Set-Women-4-Colors-Bandage-Bikini-Set-Swimsuit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H04a8db7eaca542d98013dbb1207f22460.jpg,https://ae04.alicdn.com/kf/Hc00f751e440740ce93a1085c09d23649Q.jpg,https://ae04.alicdn.com/kf/H3c59fc131e5642869faf2a0be8c8b6e7e.jpg,https://ae04.alicdn.com/kf/Ha3d6c83aacdc492186f5490afca0c834r.jpg,https://ae04.alicdn.com/kf/H64cb07a5b27749d9accc97c2bdb9e66ft.jpg,",https://www.aliexpress.com/item/1005002370218900.html,10.26,5.13,51.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AfpcAq
Swimwears,200001918,High Waist Bikini 2020 Sexy Black Swimwear Women Swimsuit High Leg Bandeau Bikinis Set Swimming for Bathing Suit Woman Swimsuits,1005002370233946,https://ae01.alicdn.com/kf/H8ce8e1df2f444893a946d6d8cb87254bp/High-Waist-Bikini-2020-Sexy-Black-Swimwear-Women-Swimsuit-High-Leg-Bandeau-Bikinis-Set-Swimming-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ce8e1df2f444893a946d6d8cb87254bp.jpg,https://ae04.alicdn.com/kf/Hfcf4eb4374dd48f49a225ef511b582959.jpg,https://ae04.alicdn.com/kf/H068215268cc149499620987bb6cbd6e4l.jpg,https://ae04.alicdn.com/kf/Ha8f7cb20e2294bda84ee614cf38ab720r.jpg,https://ae04.alicdn.com/kf/H29ba18da46ef475f92c6716fc97b4450B.jpg,",https://www.aliexpress.com/item/1005002370233946.html,32.19,16.10,51.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AeZ14Q
Swimwears,200001918,Sexy Bikini 2021 Pleated Bandeau Swimsuit Female Swimwear Women Mini Thong Bikini Set Bather Swimming Beachwear for Bathing Suit,1005002370519256,https://ae01.alicdn.com/kf/Hb7f9b56412c44ff1bf88f82ad44363f1l/Sexy-Bikini-2021-Pleated-Bandeau-Swimsuit-Female-Swimwear-Women-Mini-Thong-Bikini-Set-Bather-Swimming-Beachwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb7f9b56412c44ff1bf88f82ad44363f1l.jpg,https://ae04.alicdn.com/kf/Ha3604bd410054e45964dd0be5501d619p.jpg,https://ae04.alicdn.com/kf/Had1e728ee84a49548181c29575886107C.jpg,https://ae04.alicdn.com/kf/H6c41511aad9d4bedb260f1c3e1cfed1bB.jpg,https://ae04.alicdn.com/kf/Hf96bd9c16e434aef83dce18aac7b347a8.jpg,",https://www.aliexpress.com/item/1005002370519256.html,31.14,15.57,51.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9Ji3YI
