Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tops & Tees,200000778,Heart flower print ladies T-shirt ladies casual basis O-collar white shirt short sleeve ladies T-shirt love graphic printing,1005002315569027,https://ae01.alicdn.com/kf/Hd0f0da5f252a450ea7e64eeb822ea39f8/Heart-flower-print-ladies-T-shirt-ladies-casual-basis-O-collar-white-shirt-short-sleeve-ladies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd0f0da5f252a450ea7e64eeb822ea39f8.jpg,https://ae04.alicdn.com/kf/Ha52e6ba929a94c83873d7b4a583fb63c9.jpg,https://ae04.alicdn.com/kf/H73171679c22145a2ba1540f980b5320e5.jpg,https://ae04.alicdn.com/kf/Hd0166d7dcf9640af91c95705c1ee4147A.jpg,https://ae04.alicdn.com/kf/H3bf051a86ee04841a682f90acafc7ffdy.jpg,",https://www.aliexpress.com/item/1005002315569027.html,9.09,4.55,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AES8Pg
Tops & Tees,200000778,"Bicycle Vogue T Shirt Women Summer Casual Tshirts Tees Harajuku Korean Style Graphic Tops 2020 Kawaii Female T-shirt,Drop Ship",1005002315048288,https://ae01.alicdn.com/kf/H36359e6b30ab487eade2e7093b3a1b6cZ/Bicycle-Vogue-T-Shirt-Women-Summer-Casual-Tshirts-Tees-Harajuku-Korean-Style-Graphic-Tops-2020-Kawaii.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H36359e6b30ab487eade2e7093b3a1b6cZ.jpg,https://ae04.alicdn.com/kf/H81e47ead97524358abcfab6fad9a7cbce.jpg,https://ae04.alicdn.com/kf/Ha2e15a47e59e4e6e96da32bb3a3100007.jpg,https://ae04.alicdn.com/kf/H89df7b0e37c64113b03469799b83690ev.jpg,https://ae04.alicdn.com/kf/H29d5943781b34583a7bac290ebced5aaP.jpg,",https://www.aliexpress.com/item/1005002315048288.html,11.06,5.53,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AVXcg6
Tops & Tees,200000778,2020 women casual fashion t-shirt letter sun moon print loose o-neck short sleeve elastic stretched tshirt summer tops new,1005002314962282,https://ae01.alicdn.com/kf/H020d33e6c01440b3b121d168ec5db4f31/2020-women-casual-fashion-t-shirt-letter-sun-moon-print-loose-o-neck-short-sleeve-elastic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H020d33e6c01440b3b121d168ec5db4f31.jpg,https://ae04.alicdn.com/kf/H6ae681bb853c489381c0a4539823ff9c1.jpg,https://ae04.alicdn.com/kf/H93f0caf6eaf940869c03eae6e8a69dc5M.jpg,https://ae04.alicdn.com/kf/H642535782ce644578c567f8ba3b5c73dg.jpg,",https://www.aliexpress.com/item/1005002314962282.html,13.87,6.94,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9w5TuQ
Tops & Tees,200000778,2020 Tees Women T Shirt Print Letter T-shirt Casual White Black Pink Short Sleeve Cotton Tops Summer Brand clothing,1005002314934706,https://ae01.alicdn.com/kf/H732e1161f0e54f31bd6496ef89293ad2K/2020-Tees-Women-T-Shirt-Print-Letter-T-shirt-Casual-White-Black-Pink-Short-Sleeve-Cotton.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H732e1161f0e54f31bd6496ef89293ad2K.jpg,https://ae04.alicdn.com/kf/H04cdbbad77164c0fa39cd8bb71772e00z.jpg,https://ae04.alicdn.com/kf/Ha3da46a90a294992a1b3a6de622bc671S.jpg,https://ae04.alicdn.com/kf/Hffb1259794bb46b2a310ec369a89e5e7l.jpg,https://ae04.alicdn.com/kf/Ha60956912334456fa0c3f08a180e9924c.jpg,",https://www.aliexpress.com/item/1005002314934706.html,8.15,4.08,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ArtwFu
Tops & Tees,200000778,Middle Finger Print T Shirt Women Harajuku Vogue Tshirt Short Sleeve Streetwear Ladies Graphic Summer Female T-shirt,1005002315037094,https://ae01.alicdn.com/kf/H8e180299e1954bf5a8852ec9aa19f65aK/Middle-Finger-Print-T-Shirt-Women-Harajuku-Vogue-Tshirt-Short-Sleeve-Streetwear-Ladies-Graphic-Summer-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8e180299e1954bf5a8852ec9aa19f65aK.jpg,https://ae04.alicdn.com/kf/H22387694a7564496a118ccdf4a1ebbcag.jpg,https://ae04.alicdn.com/kf/H9d7e44fd5b544645a80d956a4acabb4dN.jpg,https://ae04.alicdn.com/kf/H9d8e16856c764d54ac57437a2242d0ef7.jpg,https://ae04.alicdn.com/kf/Hddc0125414e448788531a5754c2819c6a.jpg,",https://www.aliexpress.com/item/1005002315037094.html,8.98,4.49,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_99OqmI
Tops & Tees,200000778,Summer new ladies retro crop top high waist slimming stretch slim short sleeveless bottoming top M30709,1005002226302990,https://ae01.alicdn.com/kf/H04f7dc1851ef40568a4869ad47405741j/Summer-new-ladies-retro-crop-top-high-waist-slimming-stretch-slim-short-sleeveless-bottoming-top-M30709.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H04f7dc1851ef40568a4869ad47405741j.jpg,https://ae04.alicdn.com/kf/Hee53f00a03414de2ae730bf7b157ef4fz.jpg,https://ae04.alicdn.com/kf/He7916be872404426b6b6d4b06a770a2fq.jpg,https://ae04.alicdn.com/kf/H7ce401ea567e43e8b9f2732660a36b29t.jpg,https://ae04.alicdn.com/kf/H8def7e8b06ed4d06a068f63ded186756J.jpg,",https://www.aliexpress.com/item/1005002226302990.html,13.27,7.96,40.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AMdMnC
Tops & Tees,200000778,Hot Sale 2020 Summer Women Sexy Sleeveless Tops Fashion Short Square Collar Tank Tops 4 Colors,1005002226487274,https://ae01.alicdn.com/kf/H1c9d5e375b7442a08c5d2b8247f24ab8u/Hot-Sale-2020-Summer-Women-Sexy-Sleeveless-Tops-Fashion-Short-Square-Collar-Tank-Tops-4-Colors.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1c9d5e375b7442a08c5d2b8247f24ab8u.jpg,https://ae04.alicdn.com/kf/H3da35c1c87d640dd8d95d1e3c4c67600f.jpg,https://ae04.alicdn.com/kf/H61309377f5d547f0adcc8996f978d8c5j.jpg,https://ae04.alicdn.com/kf/H9fccbe35d9584c8eafb33f386f7c15b46.jpg,https://ae04.alicdn.com/kf/H9bbe766aff854b208aeb86d6d36f49848.jpg,",https://www.aliexpress.com/item/1005002226487274.html,11.17,6.70,40.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9imcLC
Tops & Tees,200000778,2020 Lips Watercolor Graphic T Shirt lip Women Tops Shirt Base O-neck Sexy Black Tees Kiss lip Funny whisper words Girls Tshirt,1005002315174969,https://ae01.alicdn.com/kf/H375acb92380a48e795f87d79dc78764fH/2020-Lips-Watercolor-Graphic-T-Shirt-lip-Women-Tops-Shirt-Base-O-neck-Sexy-Black-Tees.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H375acb92380a48e795f87d79dc78764fH.jpg,https://ae04.alicdn.com/kf/Ha851caf58662453da5e949332a6b5ffcc.jpg,https://ae04.alicdn.com/kf/H4f512157ee6148ffa2ecff5901baaae29.jpg,https://ae04.alicdn.com/kf/Hcc039ade9c0a415bab9c5efb7c799995K.jpg,https://ae04.alicdn.com/kf/H17fe7f5bfd18489aa03810fa23f3aa6bs.jpg,",https://www.aliexpress.com/item/1005002315174969.html,13.87,6.94,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AqbRpo
Tops & Tees,200000778,New T-shirts Women 2021 Vogue Vintage Tshirts Cotton Women O Neck Short Sleeve Best Friends Lady Girl Funny Hipster,1005002315462120,https://ae01.alicdn.com/kf/H199c7e738ec7449f8987705961b601dcC/New-T-shirts-Women-2021-Vogue-Vintage-Tshirts-Cotton-Women-O-Neck-Short-Sleeve-Best-Friends.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H199c7e738ec7449f8987705961b601dcC.jpg,https://ae04.alicdn.com/kf/H4ae1ffe6e674447c9e32a69f30da54efQ.jpg,https://ae04.alicdn.com/kf/H4437ae2566ee47448130670219053918D.jpg,https://ae04.alicdn.com/kf/Hba9f2481fefd4673bd11edea312441d6q.jpg,https://ae04.alicdn.com/kf/H967a51f950c649aba6445385a25703c6i.jpg,",https://www.aliexpress.com/item/1005002315462120.html,11.48,5.74,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_98CL4m
Tops & Tees,200000778,Refreshing Design New T Shirt Women Alpaca With Sunglasses Is Eating Grass Graphic Print T-shirt Kawaii Loose Vogue T Shirt,1005002302335768,https://ae01.alicdn.com/kf/H742d9e68968940d29d4ce2ac04a60a36N/Refreshing-Design-New-T-Shirt-Women-Alpaca-With-Sunglasses-Is-Eating-Grass-Graphic-Print-T-shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H742d9e68968940d29d4ce2ac04a60a36N.jpg,https://ae04.alicdn.com/kf/Hc4073ca4a395451ca0b83d56e4ac43f4Q.jpg,https://ae04.alicdn.com/kf/Hb1c55d5040f44403b72070f600a7c28ey.jpg,https://ae04.alicdn.com/kf/H2ca7b454aa0442e18c013213452b8bcbZ.jpg,https://ae04.alicdn.com/kf/H2a79454751f64ac3bee98b03909d48fdC.jpg,",https://www.aliexpress.com/item/1005002302335768.html,11.95,4.78,40.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_ADkhVC
Tops & Tees,200000778,Beautiful geometry printed t shirt women 90s Graphic T-shirt Harajuku Tops Tee Cute Short Sleeve animal tshirt Female Tshirts,1005002316650335,https://ae01.alicdn.com/kf/H8901149a9f1b4619b2207e7d2ead546br/Beautiful-geometry-printed-t-shirt-women-90s-Graphic-T-shirt-Harajuku-Tops-Tee-Cute-Short-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8901149a9f1b4619b2207e7d2ead546br.jpg,https://ae04.alicdn.com/kf/Hbf3988b68acb4c0fb323f49c25f878028.jpg,https://ae04.alicdn.com/kf/H4971e9209f1d4cf485b21ccf5654a540W.jpg,https://ae04.alicdn.com/kf/H2f01e94f053841a2ac24f0da6146f368w.jpg,https://ae04.alicdn.com/kf/Hfb446927ec4a44a488076eb027a143add.jpg,",https://www.aliexpress.com/item/1005002316650335.html,8.78,4.39,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ANPT2i
Tops & Tees,200000778,2019 New Fashion Slim Fit Zipper T-shirt Women Female Bustier Corset Tops High Neck Women Croped Tops Tee Solid Shirt White,1005002295237838,https://ae01.alicdn.com/kf/Hf9571e00c3b04854ae73816dea39c9ebH/2019-New-Fashion-Slim-Fit-Zipper-T-shirt-Women-Female-Bustier-Corset-Tops-High-Neck-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf9571e00c3b04854ae73816dea39c9ebH.jpg,https://ae04.alicdn.com/kf/H290cd929ebdc4313a8ce0ba5b880a8562.jpg,https://ae04.alicdn.com/kf/Hdeced452aa7c49eea4d9b1c3f763a7c9f.jpg,https://ae04.alicdn.com/kf/Hd275934d25f1407483cf3370fec262a27.jpg,https://ae04.alicdn.com/kf/H3639c7340919489ba97900086c7070f9G.jpg,",https://www.aliexpress.com/item/1005002295237838.html,11.86,5.93,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AMjVGO
Tops & Tees,200000778,"Women's Crop T-Shirt, Long Sleeve Round Neck Solid Color Top for Vacation Travelling Party Dating Shopping",1005002355632647,https://ae01.alicdn.com/kf/H5fa0238aece84119aaf6765c50b9c934j/Women-s-Crop-T-Shirt-Long-Sleeve-Round-Neck-Solid-Color-Top-for-Vacation-Travelling-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5fa0238aece84119aaf6765c50b9c934j.jpg,https://ae04.alicdn.com/kf/H0a18fc6c652a4369b25d4257c654b180M.jpg,https://ae04.alicdn.com/kf/H0d2d02f17f544c7ebb362eff66e18a612.jpg,https://ae04.alicdn.com/kf/H8e6832bc608145318de1cbfcbd1703e4D.jpg,https://ae04.alicdn.com/kf/H00945733e79342f08908d25d0b00aecdK.jpg,",https://www.aliexpress.com/item/1005002355632647.html,11.26,5.63,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9iJRJM
